,EHC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.9989
2020-01-02,14.9836
2020-01-03,14.985
2020-01-04,14.985
2020-01-05,14.985
2020-01-06,14.9504
2020-01-07,14.8547
2020-01-08,14.9476
2020-01-09,14.9476
2020-01-10,15.2347
2020-01-11,15.2347
2020-01-12,15.2347
2020-01-13,16.0267
2020-01-14,16.1473
2020-01-15,16.1404
2020-01-16,16.5218
2020-01-17,16.4123
2020-01-18,16.4123
2020-01-19,16.4123
2020-01-20,16.4123
2020-01-21,16.4483
2020-01-22,16.4289
2020-01-23,16.3457
2020-01-24,16.3263
2020-01-25,16.3263
2020-01-26,16.3263
2020-01-27,16.1182
2020-01-28,16.2306
2020-01-29,16.0919
2020-01-30,16.1043
2020-01-31,16.0752
2020-02-01,16.0752
2020-02-02,16.0752
2020-02-03,16.0946
2020-02-04,16.3027
2020-02-05,16.3887
2020-02-06,16.458
2020-02-07,16.4303
2020-02-08,16.4303
2020-02-09,16.4303
2020-02-10,16.7424
2020-02-11,16.7271
2020-02-12,16.7812
2020-02-13,16.8214
2020-02-14,16.8492
2020-02-15,16.8492
2020-02-16,16.8492
2020-02-17,16.8492
2020-02-18,16.8311
2020-02-19,16.8769
2020-02-20,16.8422
2020-02-21,16.7146
2020-02-22,16.7146
2020-02-23,16.7146
2020-02-24,16.3762
2020-02-25,16.053
2020-02-26,16.1238
2020-02-27,15.8103
2020-02-28,15.7539
2020-02-29,15.7539
2020-03-01,15.7539
2020-03-02,15.9893
2020-03-03,15.6265
2020-03-04,16.7523
2020-03-05,16.3161
2020-03-06,16.089
2020-03-07,16.089
2020-03-08,16.089
2020-03-09,15.0644
2020-03-10,15.3247
2020-03-11,14.2322
2020-03-12,13.5606
2020-03-13,14.2405
2020-03-14,14.2405
2020-03-15,14.2405
2020-03-16,13.3571
2020-03-17,13.1494
2020-03-18,12.7187
2020-03-19,12.8544
2020-03-20,12.3892
2020-03-21,12.3892
2020-03-22,12.3892
2020-03-23,12.3241
2020-03-24,12.9971
2020-03-25,13.1425
2020-03-26,13.6243
2020-03-27,13.8002
2020-03-28,13.8002
2020-03-29,13.8002
2020-03-30,14.048
2020-03-31,14.9199
2020-04-01,14.44
2020-04-02,14.6412
2020-04-03,14.3524
2020-04-04,14.3524
2020-04-05,14.3524
2020-04-06,14.9112
2020-04-07,15.0707
2020-04-08,15.7258
2020-04-09,15.9757
2020-04-10,15.9757
2020-04-11,15.9757
2020-04-12,15.9757
2020-04-13,15.7617
2020-04-14,15.8938
2020-04-15,15.743
2020-04-16,15.7847
2020-04-17,15.9872
2020-04-18,15.9872
2020-04-19,15.9872
2020-04-20,15.71
2020-04-21,15.4025
2020-04-22,15.45
2020-04-23,15.5031
2020-04-24,15.5002
2020-04-25,15.5002
2020-04-26,15.5002
2020-04-27,15.7746
2020-04-28,15.4069
2020-04-29,15.664
2020-04-30,15.2388
2020-05-01,15.0563
2020-05-02,15.0563
2020-05-03,15.0563
2020-05-04,15.0104
2020-05-05,15.2072
2020-05-06,15.075
2020-05-07,15.0362
2020-05-08,15.4873
2020-05-09,15.4873
2020-05-10,15.4873
2020-05-11,15.6388
2020-05-12,15.2341
2020-05-13,14.959
2020-05-14,14.9256
2020-05-15,15.1928
2020-05-16,15.1928
2020-05-17,15.1928
2020-05-18,15.8883
2020-05-19,16.1961
2020-05-20,16.1743
2020-05-21,16.3529
2020-05-22,16.3456
2020-05-23,16.3456
2020-05-24,16.3456
