,CBRL US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,15.3526
2020-01-02,15.4192
2020-01-03,15.4866
2020-01-04,15.4866
2020-01-05,15.4866
2020-01-06,15.5484
2020-01-07,15.4422
2020-01-08,15.588
2020-01-09,15.4469
2020-01-10,15.7156
2020-01-11,15.7156
2020-01-12,15.7156
2020-01-13,15.7298
2020-01-14,16.0301
2020-01-15,16.0571
2020-01-16,15.7996
2020-01-17,15.8019
2020-01-18,15.8019
2020-01-19,15.8019
2020-01-20,15.8019
2020-01-21,15.6839
2020-01-22,15.7469
2020-01-23,15.813
2020-01-24,15.672
2020-01-25,15.672
2020-01-26,15.672
2020-01-27,15.5428
2020-01-28,15.5999
2020-01-29,15.603
2020-01-30,15.5151
2020-01-31,14.9224
2020-02-01,14.9224
2020-02-02,14.9224
2020-02-03,14.8605
2020-02-04,14.9013
2020-02-05,15.1952
2020-02-06,15.3583
2020-02-07,15.3512
2020-02-08,15.3512
2020-02-09,15.3512
2020-02-10,15.5229
2020-02-11,15.5127
2020-02-12,15.6186
2020-02-13,15.8757
2020-02-14,15.86
2020-02-15,15.86
2020-02-16,15.86
2020-02-17,15.86
2020-02-18,15.7173
2020-02-19,15.7346
2020-02-20,15.9886
2020-02-21,16.1665
2020-02-22,16.1665
2020-02-23,16.1665
2020-02-24,15.9494
2020-02-25,15.4515
2020-02-26,15.1745
2020-02-27,14.5765
2020-02-28,14.1523
2020-02-29,14.1523
2020-03-01,14.1523
2020-03-02,14.6195
2020-03-03,14.2024
2020-03-04,14.4536
2020-03-05,13.6748
2020-03-06,13.3093
2020-03-07,13.3093
2020-03-08,13.3093
2020-03-09,12.421
2020-03-10,12.6597
2020-03-11,11.4778
2020-03-12,10.2545
2020-03-13,10.7045
2020-03-14,10.7045
2020-03-15,10.7045
2020-03-16,9.0029
2020-03-17,8.3643
2020-03-18,7.3734
2020-03-19,8.4081
2020-03-20,8.0872
2020-03-21,8.0872
2020-03-22,8.0872
2020-03-23,9.2151
2020-03-24,10.3633
2020-03-25,10.1605
2020-03-26,9.6111
2020-03-27,8.6609
2020-03-28,8.6609
2020-03-29,8.6609
2020-03-30,8.9294
2020-03-31,9.4475
2020-04-01,8.6758
2020-04-02,8.4394
2020-04-03,8.4081
2020-04-04,8.4081
2020-04-05,8.4081
2020-04-06,9.0249
2020-04-07,8.974
2020-04-08,9.3442
2020-04-09,9.8772
2020-04-10,9.8772
2020-04-11,9.8772
2020-04-12,9.8772
2020-04-13,9.7559
2020-04-14,9.8005
2020-04-15,9.86
2020-04-16,9.7747
2020-04-17,10.1097
2020-04-18,10.1097
2020-04-19,10.1097
2020-04-20,9.7019
2020-04-21,9.3583
2020-04-22,10.0095
2020-04-23,9.8498
2020-04-24,9.8678
2020-04-25,9.8678
2020-04-26,9.8678
2020-04-27,10.3398
2020-04-28,10.5362
2020-04-29,10.9072
2020-04-30,10.5574
2020-05-01,20.5156
2020-05-02,20.5156
2020-05-03,20.5156
2020-05-04,20.1267
2020-05-05,19.5041
2020-05-06,19.0249
2020-05-07,19.5292
2020-05-08,20.6886
2020-05-09,20.6886
2020-05-10,20.6886
2020-05-11,20.3559
2020-05-12,19.5721
2020-05-13,19.121
2020-05-14,19.019
2020-05-15,19.5869
2020-05-16,19.5869
2020-05-17,19.5869
2020-05-18,20.6842
2020-05-19,20.9533
2020-05-20,21.2343
2020-05-21,21.5331
2020-05-22,21.8126
2020-05-23,21.8126
2020-05-24,21.8126
2020-05-25,21.8126
2020-05-26,22.6674
2020-05-27,23.358
2020-05-28,22.6748
2020-05-29,22.4973
2020-05-30,22.4973
2020-05-31,22.4973
2020-06-01,22.5801
2020-06-02,22.4825
2020-06-03,24.0402
2020-06-04,25.0325
2020-06-05,25.6237
2020-06-06,25.6237
2020-06-07,25.6237
2020-06-08,26.0949
2020-06-09,25.7159
2020-06-10,24.1412
2020-06-11,22.906
2020-06-12,23.3963
2020-06-13,23.3963
2020-06-14,23.3963
2020-06-15,23.648
2020-06-16,23.8266
2020-06-17,23.2382
2020-06-18,23.2792
2020-06-19,23.0451
2020-06-20,23.0451
2020-06-21,23.0451
2020-06-22,22.808
2020-06-23,23.3509
2020-06-24,22.647
2020-06-25,22.5899
2020-06-26,21.6365
2020-06-27,21.6365
2020-06-28,21.6365
2020-06-29,22.6514
2020-06-30,22.8855
2020-07-01,22.6499
2020-07-02,22.1567
2020-07-03,22.1567
2020-07-04,22.1567
2020-07-05,22.1567
2020-07-06,22.366
2020-07-07,21.7353
2020-07-08,21.7616
2020-07-09,21.0196
2020-07-10,21.2099
2020-07-11,21.2099
2020-07-12,21.2099
2020-07-13,21.3577
2020-07-14,21.4616
2020-07-15,22.9046
2020-07-16,22.4304
2020-07-17,22.1948
2020-07-18,22.1948
2020-07-19,22.1948
2020-07-20,21.7601
2020-07-21,22.0279
2020-07-22,22.1816
2020-07-23,22.2899
2020-07-24,22.6543
2020-07-25,22.6543
2020-07-26,22.6543
2020-07-27,22.2987
2020-07-28,22.4904
2020-07-29,23.1431
2020-07-30,23.1212
2020-07-31,30.9002
2020-08-01,30.9002
2020-08-02,30.9002
2020-08-03,30.6154
2020-08-04,31.0503
2020-08-05,31.2216
2020-08-06,31.7911
2020-08-07,32.0451
2020-08-08,32.0451
2020-08-09,32.0451
2020-08-10,32.3607
2020-08-11,32.861
2020-08-12,32.6802
2020-08-13,32.6282
2020-08-14,32.6782
2020-08-15,32.6782
2020-08-16,32.6782
2020-08-17,32.3473
2020-08-18,32.2645
2020-08-19,32.0163
2020-08-20,32.1125
2020-08-21,32.3376
2020-08-22,32.3376
2020-08-23,32.3376
2020-08-24,32.8591
2020-08-25,33.1478
2020-08-26,33.09
2020-08-27,34.6333
2020-08-28,36.3286
2020-08-29,36.3286
2020-08-30,36.3286
2020-08-31,35.3722
2020-09-01,35.7936
2020-09-02,35.9149
2020-09-03,35.6609
2020-09-04,35.8687
2020-09-05,35.8687
2020-09-06,35.8687
2020-09-07,35.8687
2020-09-08,35.2933
2020-09-09,35.8398
2020-09-10,36.0245
2020-09-11,35.9649
2020-09-12,35.9649
2020-09-13,35.9649
2020-09-14,36.217
2020-09-15,34.8912
2020-09-16,33.6904
2020-09-17,33.3998
2020-09-18,32.4031
2020-09-19,32.4031
2020-09-20,32.4031
2020-09-21,31.9066
2020-09-22,32.455
2020-09-23,31.8123
2020-09-24,31.7046
2020-09-25,32.033
2020-09-26,32.033
2020-09-27,32.033
2020-09-28,32.6604
2020-09-29,31.5634
2020-09-30,31.7097
2020-10-01,31.6442
2020-10-02,32.4102
2020-10-03,32.4102
2020-10-04,32.4102
2020-10-05,32.1639
2020-10-06,32.0522
2020-10-07,32.1003
2020-10-08,32.2793
2020-10-09,32.4025
2020-10-10,32.4025
2020-10-11,32.4025
2020-10-12,32.3082
2020-10-13,32.2043
2020-10-14,32.3428
2020-10-15,32.7451
2020-10-16,32.1542
2020-10-17,32.1542
2020-10-18,32.1542
2020-10-19,32.1119
2020-10-20,32.7489
2020-10-21,32.7528
2020-10-22,33.9614
2020-10-23,33.6977
2020-10-24,33.6977
2020-10-25,33.6977
2020-10-26,32.7662
2020-10-27,32.9876
2020-10-28,30.7108
2020-10-29,31.4152
2020-10-30,12.7458
2020-10-31,12.7458
2020-11-01,12.7458
2020-11-02,12.8071
2020-11-03,12.8406
2020-11-04,12.7978
2020-11-05,13.1196
2020-11-06,13.2214
2020-11-07,13.2214
2020-11-08,13.2214
2020-11-09,14.5697
2020-11-10,14.3762
2020-11-11,13.9931
2020-11-12,13.7755
2020-11-13,13.9822
2020-11-14,13.9822
2020-11-15,13.9822
2020-11-16,14.4648
2020-11-17,14.5589
2020-11-18,14.5402
2020-11-19,14.6995
2020-11-20,14.7135
2020-11-21,14.7135
2020-11-22,14.7135
2020-11-23,14.9117
2020-11-24,15.2
2020-11-25,15.1674
2020-11-26,15.1674
2020-11-27,15.0182
2020-11-28,15.0182
2020-11-29,15.0182
2020-11-30,14.7477
2020-12-01,14.9436
2020-12-02,14.9094
2020-12-03,15.1475
2020-12-04,14.8799
2020-12-05,14.8799
2020-12-06,14.8799
2020-12-07,14.1214
2020-12-08,14.2435
2020-12-09,14.41
2020-12-10,14.5127
2020-12-11,14.4061
2020-12-12,14.4061
2020-12-13,14.4061
2020-12-14,14.4007
2020-12-15,14.5547
2020-12-16,14.5182
2020-12-17,14.4691
2020-12-18,14.3843
2020-12-19,14.3843
2020-12-20,14.3843
2020-12-21,14.3159
2020-12-22,14.445
2020-12-23,14.4567
2020-12-24,14.4061
2020-12-25,14.4061
2020-12-26,14.4061
2020-12-27,14.4061
2020-12-28,14.5944
2020-12-29,14.4201
2020-12-30,14.2342
2020-12-31,14.1626
2021-01-01,14.1626
2021-01-02,14.1626
2021-01-03,14.1626
2021-01-04,13.7433
2021-01-05,13.9962
2021-01-06,14.3221
2021-01-07,14.3455
2021-01-08,14.522
2021-01-09,14.522
2021-01-10,14.522
2021-01-11,14.6403
2021-01-12,14.8667
2021-01-13,14.7998
2021-01-14,15.0316
2021-01-15,14.8737
2021-01-16,14.8737
2021-01-17,14.8737
2021-01-18,14.8737
2021-01-19,14.9001
2021-01-20,15.0363
2021-01-21,14.7881
2021-01-22,14.7826
2021-01-23,14.7826
2021-01-24,14.7826
2021-01-25,14.7756
2021-01-26,14.5034
2021-01-27,14.5314
2021-01-28,14.6761
2021-01-29,17.2844
2021-01-30,17.2844
2021-01-31,17.2844
2021-02-01,17.562
2021-02-02,17.6845
2021-02-03,18.032
2021-02-04,18.4254
2021-02-05,18.477
2021-02-06,18.477
2021-02-07,18.477
2021-02-08,18.5833
2021-02-09,18.6235
2021-02-10,18.6551
2021-02-11,18.6943
2021-02-12,18.6426
2021-02-13,18.6426
2021-02-14,18.6426
2021-02-15,18.6426
2021-02-16,18.4091
