,RSG US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,20.9898
2020-01-02,21.0256
2020-01-03,21.0934
2020-01-04,21.0934
2020-01-05,21.0934
2020-01-06,21.1631
2020-01-07,21.0791
2020-01-08,21.0934
2020-01-09,21.2273
2020-01-10,21.2148
2020-01-11,21.2148
2020-01-12,21.2148
2020-01-13,21.3827
2020-01-14,21.4381
2020-01-15,21.5131
2020-01-16,21.6845
2020-01-17,21.6738
2020-01-18,21.6738
2020-01-19,21.6738
2020-01-20,21.6738
2020-01-21,21.7363
2020-01-22,21.8291
2020-01-23,21.8434
2020-01-24,21.8845
2020-01-25,21.8845
2020-01-26,21.8845
2020-01-27,21.8845
2020-01-28,21.8345
2020-01-29,21.8541
2020-01-30,22.0791
2020-01-31,21.9577
2020-02-01,21.9577
2020-02-02,21.9577
2020-02-03,22.0988
2020-02-04,22.1684
2020-02-05,22.2863
2020-02-06,22.2345
2020-02-07,22.3309
2020-02-08,22.3309
2020-02-09,22.3309
2020-02-10,22.4541
2020-02-11,22.4934
2020-02-12,22.5684
2020-02-13,22.6648
2020-02-14,22.9138
2020-02-15,22.9138
2020-02-16,22.9138
2020-02-17,22.9138
2020-02-18,22.8853
2020-02-19,22.8442
2020-02-20,22.68
2020-02-21,22.7353
2020-02-22,22.7353
2020-02-23,22.7353
2020-02-24,22.646
2020-02-25,22.3104
2020-02-26,22.2836
2020-02-27,21.291
2020-02-28,21.0982
2020-02-29,21.0982
2020-03-01,21.0982
2020-03-02,21.7802
2020-03-03,21.2857
2020-03-04,22.2229
2020-03-05,21.9301
2020-03-06,22.0373
2020-03-07,22.0373
2020-03-08,22.0373
2020-03-09,21.416
2020-03-10,21.6481
2020-03-11,21.2803
2020-03-12,19.1933
2020-03-13,20.1556
2020-03-14,20.1556
2020-03-15,20.1556
2020-03-16,18.5738
2020-03-17,19.5593
2020-03-18,18.5328
2020-03-19,18.1954
2020-03-20,17.7562
2020-03-21,17.7562
2020-03-22,17.7562
2020-03-23,16.8136
2020-03-24,17.7473
2020-03-25,17.7919
2020-03-26,18.8024
2020-03-27,18.481
2020-03-28,18.481
2020-03-29,18.481
2020-03-30,18.6723
2020-03-31,18.3097
2020-04-01,17.8925
2020-04-02,18.3399
2020-04-03,17.8605
2020-04-04,17.8605
2020-04-05,17.8605
2020-04-06,18.1411
2020-04-07,18.292
2020-04-08,18.8744
2020-04-09,19.51
2020-04-10,19.51
2020-04-11,19.51
2020-04-12,19.51
2020-04-13,18.9898
2020-04-14,19.0413
2020-04-15,18.6542
2020-04-16,18.7181
2020-04-17,19.2366
2020-04-18,19.2366
2020-04-19,19.2366
2020-04-20,18.8832
2020-04-21,18.5778
2020-04-22,18.8087
2020-04-23,18.5654
2020-04-24,18.4944
2020-04-25,18.4944
2020-04-26,18.4944
2020-04-27,18.9418
2020-04-28,19.0058
2020-04-29,19.146
2020-04-30,18.8921
2020-05-01,18.6773
2020-05-02,18.6773
2020-05-03,18.6773
2020-05-04,18.6897
2020-05-05,18.7394
2020-05-06,18.8926
2020-05-07,19.3637
2020-05-08,19.3814
2020-05-09,19.3814
2020-05-10,19.3814
2020-05-11,19.5124
2020-05-12,19.1937
2020-05-13,19.0024
2020-05-14,19.1476
2020-05-15,19.0556
2020-05-16,19.0556
2020-05-17,19.0556
2020-05-18,19.5408
2020-05-19,19.3283
2020-05-20,19.4522
2020-05-21,19.2929
2020-05-22,19.3478
2020-05-23,19.3478
2020-05-24,19.3478
2020-05-25,19.3478
2020-05-26,19.6399
2020-05-27,19.8524
2020-05-28,20.0154
2020-05-29,20.1163
2020-05-30,20.1163
2020-05-31,20.1163
2020-06-01,20.0437
2020-06-02,20.3235
2020-06-03,20.4368
2020-06-04,20.3607
2020-06-05,20.9043
2020-06-06,20.9043
2020-06-07,20.9043
2020-06-08,20.8866
2020-06-09,20.5342
2020-06-10,20.327
2020-06-11,19.4434
2020-06-12,19.4558
2020-06-13,19.4558
2020-06-14,19.4558
2020-06-15,19.4434
2020-06-16,19.6399
2020-06-17,19.6134
2020-06-18,19.5957
2020-06-19,19.1388
2020-06-20,19.1388
2020-06-21,19.1388
2020-06-22,19.3672
2020-06-23,19.3849
2020-06-24,19.0396
2020-06-25,19.1742
2020-06-26,19.2415
2020-06-27,19.2415
2020-06-28,19.2415
2020-06-29,19.3424
2020-06-30,19.8018
2020-07-01,19.6822
2020-07-02,19.6531
2020-07-03,19.6531
2020-07-04,19.6531
2020-07-05,19.6531
2020-07-06,19.7148
2020-07-07,19.5879
2020-07-08,19.4301
2020-07-09,19.5208
2020-07-10,19.7529
2020-07-11,19.7529
