,ITW US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,18.6958
2020-01-02,18.8892
2020-01-03,18.6467
2020-01-04,18.6467
2020-01-05,18.6467
2020-01-06,18.5929
2020-01-07,18.5241
2020-01-08,18.6118
2020-01-09,18.6958
2020-01-10,18.5646
2020-01-11,18.5646
2020-01-12,18.5646
2020-01-13,18.7137
2020-01-14,18.6024
2020-01-15,18.5807
2020-01-16,18.7109
2020-01-17,18.7712
2020-01-18,18.7712
2020-01-19,18.7712
2020-01-20,18.7712
2020-01-21,18.5307
2020-01-22,18.4958
2020-01-23,18.6929
2020-01-24,18.3816
2020-01-25,18.3816
2020-01-26,18.3816
2020-01-27,18.1052
2020-01-28,18.3401
2020-01-29,18.3354
2020-01-30,18.5326
2020-01-31,18.2571
2020-02-01,18.2571
2020-02-02,18.2571
2020-02-03,18.3967
2020-02-04,18.9222
2020-02-05,19.2741
2020-02-06,19.3033
2020-02-07,19.0646
2020-02-08,19.0646
2020-02-09,19.0646
2020-02-10,19.0929
2020-02-11,19.4033
2020-02-12,19.6429
2020-02-13,19.5863
2020-02-14,19.332
2020-02-15,19.332
2020-02-16,19.332
2020-02-17,19.332
2020-02-18,19.2029
2020-02-19,19.3011
2020-02-20,19.5323
2020-02-21,19.493
2020-02-22,19.493
2020-02-23,19.493
2020-02-24,18.8828
2020-02-25,18.3708
2020-02-26,18.2211
2020-02-27,17.6726
2020-02-28,17.4526
2020-02-29,17.4526
2020-03-01,17.4526
2020-03-02,17.9674
2020-03-03,17.5537
2020-03-04,18.353
2020-03-05,17.4461
2020-03-06,17.1092
2020-03-07,17.1092
2020-03-08,17.1092
2020-03-09,16.2116
2020-03-10,17.1569
2020-03-11,16.5775
2020-03-12,14.8704
2020-03-13,16.3922
2020-03-14,16.3922
2020-03-15,16.3922
2020-03-16,15.7155
2020-03-17,16.6777
2020-03-18,15.0173
2020-03-19,14.5091
2020-03-20,13.5217
2020-03-21,13.5217
2020-03-22,13.5217
2020-03-23,12.802
2020-03-24,14.6373
2020-03-25,15.183
2020-03-26,15.8344
2020-03-27,15.1615
2020-03-28,15.1615
2020-03-29,15.1615
2020-03-30,15.0725
2020-03-31,15.4605
2020-04-01,14.9972
2020-04-02,15.4108
2020-04-03,15.2971
2020-04-04,15.2971
2020-04-05,15.2971
2020-04-06,16.3125
2020-04-07,16.43
2020-04-08,17.0538
2020-04-09,17.0996
2020-04-10,17.0996
2020-04-11,17.0996
2020-04-12,17.0996
2020-04-13,16.3975
2020-04-14,16.7921
2020-04-15,16.4711
2020-04-16,16.5303
2020-04-17,17.0328
2020-04-18,17.0328
2020-04-19,17.0328
2020-04-20,16.7109
2020-04-21,16.3823
2020-04-22,16.7424
2020-04-23,16.7023
2020-04-24,16.9993
2020-04-25,16.9993
2020-04-26,16.9993
2020-04-27,17.4769
2020-04-28,17.7874
2020-04-29,17.8858
2020-04-30,17.4072
2020-05-01,17.1159
2020-05-02,17.1159
2020-05-03,17.1159
2020-05-04,17.0098
2020-05-05,17.1388
2020-05-06,17.0519
2020-05-07,16.8771
2020-05-08,17.1881
2020-05-09,17.1881
2020-05-10,17.1881
2020-05-11,17.2717
2020-05-12,16.5893
2020-05-13,16.3783
2020-05-14,16.6026
2020-05-15,16.6815
2020-05-16,16.6815
2020-05-17,16.6815
2020-05-18,17.5398
2020-05-19,17.2157
2020-05-20,17.5673
2020-05-21,17.4818
2020-05-22,17.4485
2020-05-23,17.4485
2020-05-24,17.4485
2020-05-25,17.4485
2020-05-26,18.3372
2020-05-27,18.6356
2020-05-28,18.3191
2020-05-29,18.2764
2020-05-30,18.2764
2020-05-31,18.2764
2020-06-01,18.1595
2020-06-02,18.2593
2020-06-03,18.8457
2020-06-04,18.8714
2020-06-05,19.2658
2020-06-06,19.2658
2020-06-07,19.2658
2020-06-08,19.0149
2020-06-09,18.8058
2020-06-10,18.4703
2020-06-11,17.5835
2020-06-12,17.5616
2020-06-13,17.5616
2020-06-14,17.5616
2020-06-15,17.5626
2020-06-16,17.9855
2020-06-17,18.2735
2020-06-18,18.0891
2020-06-19,18.1262
2020-06-20,18.1262
2020-06-21,18.1262
2020-06-22,18.2032
2020-06-23,18.2868
2020-06-24,17.9504
2020-06-25,18.1338
2020-06-26,17.8354
2020-06-27,17.8354
2020-06-28,17.8354
2020-06-29,18.0806
2020-06-30,21.0885
2020-07-01,20.8261
2020-07-02,21.0612
2020-07-03,21.0612
2020-07-04,21.0612
2020-07-05,21.0612
2020-07-06,21.3944
2020-07-07,21.1407
2020-07-08,21.0308
2020-07-09,20.9186
2020-07-10,21.0025
2020-07-11,21.0025
2020-07-12,21.0025
2020-07-13,21.0808
2020-07-14,21.5871
2020-07-15,21.8897
2020-07-16,21.8244
2020-07-17,21.8756
2020-07-18,21.8756
2020-07-19,21.8756
2020-07-20,21.4684
2020-07-21,21.8603
2020-07-22,21.9344
2020-07-23,22.0639
2020-07-24,22.1706
2020-07-25,22.1706
2020-07-26,22.1706
2020-07-27,22.4896
2020-07-28,22.2065
2020-07-29,22.4645
2020-07-30,22.2664
2020-07-31,22.1924
2020-08-01,22.1924
2020-08-02,22.1924
2020-08-03,22.2936
2020-08-04,22.2033
2020-08-05,22.5778
2020-08-06,22.5296
2020-08-07,22.8129
2020-08-08,22.8129
2020-08-09,22.8129
2020-08-10,23.3881
2020-08-11,23.4415
2020-08-12,23.6823
2020-08-13,23.5711
2020-08-14,23.4208
2020-08-15,23.4208
2020-08-16,23.4208
2020-08-17,23.4687
2020-08-18,23.4382
2020-08-19,23.3816
2020-08-20,23.1604
2020-08-21,23.3129
2020-08-22,23.3129
2020-08-23,23.3129
2020-08-24,23.545
2020-08-25,23.557
2020-08-26,23.7226
2020-08-27,23.6975
2020-08-28,23.9143
2020-08-29,23.9143
2020-08-30,23.9143
2020-08-31,23.5755
2020-09-01,23.9535
2020-09-02,24.0548
2020-09-03,23.2574
2020-09-04,23.1778
2020-09-05,23.1778
2020-09-06,23.1778
2020-09-07,23.1778
2020-09-08,22.8499
2020-09-09,23.3129
2020-09-10,22.9643
2020-09-11,23.3478
2020-09-12,23.3478
2020-09-13,23.3478
2020-09-14,23.6485
2020-09-15,23.6942
2020-09-16,23.7879
2020-09-17,23.9448
2020-09-18,23.7454
2020-09-19,23.7454
2020-09-20,23.7454
2020-09-21,22.9174
2020-09-22,23.0896
2020-09-23,22.8445
2020-09-24,23.0079
2020-09-25,23.0395
2020-09-26,23.0395
2020-09-27,23.0395
2020-09-28,23.3718
2020-09-29,23.131
2020-09-30,23.6851
2020-10-01,23.4263
2020-10-02,23.5327
2020-10-03,23.5327
2020-10-04,23.5327
2020-10-05,24.1969
2020-10-06,24.0434
2020-10-07,24.4052
2020-10-08,24.5553
2020-10-09,25.085
2020-10-10,25.085
2020-10-11,25.085
2020-10-12,24.8722
2020-10-13,24.7994
2020-10-14,24.7927
2020-10-15,24.87
2020-10-16,25.1892
2020-10-17,25.1892
2020-10-18,25.1892
2020-10-19,24.7165
2020-10-20,24.8308
2020-10-21,24.7423
2020-10-22,24.6381
2020-10-23,25.1959
2020-10-24,25.1959
2020-10-25,25.1959
2020-10-26,24.4354
2020-10-27,24.2909
2020-10-28,23.6246
2020-10-29,24.0882
2020-10-30,24.0089
2020-10-31,24.0089
2020-11-01,24.0089
2020-11-02,24.704
2020-11-03,25.3902
2020-11-04,24.7735
2020-11-05,25.4664
2020-11-06,25.527
2020-11-07,25.527
2020-11-08,25.527
2020-11-09,26.0282
2020-11-10,26.4374
2020-11-11,26.0046
2020-11-12,25.5516
2020-11-13,25.7568
2020-11-14,25.7568
2020-11-15,25.7568
2020-11-16,25.8006
2020-11-17,25.5774
2020-11-18,25.1547
2020-11-19,25.2433
2020-11-20,24.9013
2020-11-21,24.9013
2020-11-22,24.9013
2020-11-23,25.4541
2020-11-24,25.851
2020-11-25,25.7153
2020-11-26,25.7153
2020-11-27,25.842
2020-11-28,25.842
2020-11-29,25.842
2020-11-30,25.7142
2020-12-01,25.5987
2020-12-02,25.0336
2020-12-03,24.8576
2020-12-04,25.046
2020-12-05,25.046
2020-12-06,25.046
2020-12-07,24.7769
2020-12-08,25.176
2020-12-09,25.2074
2020-12-10,24.7567
2020-12-11,24.8699
2020-12-12,24.8699
2020-12-13,24.8699
2020-12-14,24.4338
2020-12-15,24.8856
2020-12-16,24.9025
2020-12-17,25.1559
2020-12-18,24.9058
2020-12-19,24.9058
2020-12-20,24.9058
2020-12-21,24.9036
2020-12-22,24.7388
2020-12-23,24.6928
2020-12-24,24.7444
2020-12-25,24.7444
2020-12-26,24.7444
2020-12-27,24.7444
2020-12-28,24.7376
2020-12-29,24.5168
2020-12-30,24.7141
2020-12-31,24.3855
2021-01-01,24.3855
2021-01-02,24.3855
2021-01-03,24.3855
2021-01-04,24.3032
2021-01-05,24.379
2021-01-06,24.9523
2021-01-07,24.9764
2021-01-08,24.9435
2021-01-09,24.9435
2021-01-10,24.9435
2021-01-11,24.8457
2021-01-12,24.9852
2021-01-13,24.7535
2021-01-14,24.5536
2021-01-15,24.3098
2021-01-16,24.3098
2021-01-17,24.3098
2021-01-18,24.3098
2021-01-19,24.4877
2021-01-20,24.5075
2021-01-21,24.3801
2021-01-22,24.3394
2021-01-23,24.3394
2021-01-24,24.3394
2021-01-25,24.2142
2021-01-26,23.9276
2021-01-27,23.4476
2021-01-28,23.6618
2021-01-29,23.3235
2021-01-30,23.3235
2021-01-31,23.3235
2021-02-01,23.3971
2021-02-02,23.7661
2021-02-03,23.6739
2021-02-04,23.6365
2021-02-05,24.1999
2021-02-06,24.1999
2021-02-07,24.1999
2021-02-08,24.4251
2021-02-09,24.3218
2021-02-10,24.4976
2021-02-11,24.0627
