,PATK US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.8999
2020-01-02,11.9662
2020-01-03,11.8788
2020-01-04,11.8788
2020-01-05,11.8788
2020-01-06,11.8426
2020-01-07,11.6858
2020-01-08,11.9406
2020-01-09,11.8909
2020-01-10,11.8079
2020-01-11,11.8079
2020-01-12,11.8079
2020-01-13,12.0205
2020-01-14,12.3898
2020-01-15,12.3084
2020-01-16,12.4335
2020-01-17,12.239
2020-01-18,12.239
2020-01-19,12.239
2020-01-20,12.239
2020-01-21,12.1004
2020-01-22,12.117
2020-01-23,12.227
2020-01-24,12.1124
2020-01-25,12.1124
2020-01-26,12.1124
2020-01-27,11.8833
2020-01-28,12.2074
2020-01-29,11.9466
2020-01-30,11.8878
2020-01-31,11.817
2020-02-01,11.817
2020-02-02,11.817
2020-02-03,12.034
2020-02-04,12.0778
2020-02-05,12.4305
2020-02-06,12.34
2020-02-07,12.1471
2020-02-08,12.1471
2020-02-09,12.1471
2020-02-10,12.3672
2020-02-11,12.539
2020-02-12,12.7953
2020-02-13,13.4947
2020-02-14,13.2535
2020-02-15,13.2535
2020-02-16,13.2535
2020-02-17,13.2535
2020-02-18,13.2701
2020-02-19,13.3274
2020-02-20,13.4434
2020-02-21,13.2942
2020-02-22,13.2942
2020-02-23,13.2942
2020-02-24,13.0078
2020-02-25,12.7395
2020-02-26,12.7727
2020-02-27,12.2617
2020-02-28,11.9992
2020-02-29,11.9992
2020-03-01,11.9992
2020-03-02,12.0613
2020-03-03,12.0643
2020-03-04,12.1688
2020-03-05,11.5675
2020-03-06,11.1873
2020-03-07,11.1873
2020-03-08,11.1873
2020-03-09,9.8089
2020-03-10,9.7528
2020-03-11,9.6029
2020-03-12,8.5774
2020-03-13,9.0803
2020-03-14,9.0803
2020-03-15,9.0803
2020-03-16,8.4198
2020-03-17,8.5744
2020-03-18,6.94
2020-03-19,7.0096
2020-03-20,6.9293
2020-03-21,6.9293
2020-03-22,6.9293
2020-03-23,7.049
2020-03-24,7.6655
2020-03-25,8.2078
2020-03-26,8.8106
2020-03-27,8.6302
2020-03-28,8.6302
2020-03-29,8.6302
2020-03-30,8.3694
2020-03-31,8.402
2020-04-01,7.8864
2020-04-02,7.916
2020-04-03,7.5234
2020-04-04,7.5234
2020-04-05,7.5234
2020-04-06,8.5413
2020-04-07,8.5428
2020-04-08,9.094
2020-04-09,9.2643
2020-04-10,9.2643
2020-04-11,9.2643
2020-04-12,9.2643
2020-04-13,8.971
2020-04-14,9.008
2020-04-15,8.2731
2020-04-16,8.2953
2020-04-17,8.8895
2020-04-18,8.8895
2020-04-19,8.8895
2020-04-20,8.7146
2020-04-21,8.5324
2020-04-22,8.5642
2020-04-23,8.9038
2020-04-24,9.0458
2020-04-25,9.0458
2020-04-26,9.0458
2020-04-27,9.4543
2020-04-28,10.0003
2020-04-29,10.52
2020-04-30,10.2638
2020-05-01,9.8495
2020-05-02,9.8495
2020-05-03,9.8495
2020-05-04,10.0793
2020-05-05,10.1818
2020-05-06,10.0486
2020-05-07,10.1416
2020-05-08,10.8051
2020-05-09,10.8051
2020-05-10,10.8051
2020-05-11,10.7687
2020-05-12,10.3618
2020-05-13,9.9331
2020-05-14,10.2568
2020-05-15,10.5208
2020-05-16,10.5208
2020-05-17,10.5208
2020-05-18,11.2893
2020-05-19,11.5387
2020-05-20,11.7837
2020-05-21,11.8843
2020-05-22,12.0053
2020-05-23,12.0053
2020-05-24,12.0053
2020-05-25,12.0053
2020-05-26,12.4851
2020-05-27,12.4516
2020-05-28,12.0491
2020-05-29,11.7939
2020-05-30,11.7939
2020-05-31,11.7939
2020-06-01,11.8493
2020-06-02,11.9995
2020-06-03,12.1468
2020-06-04,12.4093
2020-06-05,12.9882
2020-06-06,12.9882
2020-06-07,12.9882
2020-06-08,13.3251
2020-06-09,12.9853
2020-06-10,12.7199
2020-06-11,11.9062
2020-06-12,12.2591
2020-06-13,12.2591
2020-06-14,12.2591
2020-06-15,12.8366
2020-06-16,13.0626
2020-06-17,12.9357
2020-06-18,12.8351
2020-06-19,12.9824
2020-06-20,12.9824
2020-06-21,12.9824
2020-06-22,13.0072
2020-06-23,13.1224
2020-06-24,12.4545
2020-06-25,12.5332
2020-06-26,15.4581
2020-06-27,15.4581
2020-06-28,15.4581
2020-06-29,15.8781
2020-06-30,16.4155
2020-07-01,16.0028
2020-07-02,15.8396
2020-07-03,15.8396
2020-07-04,15.8396
2020-07-05,15.8396
2020-07-06,15.8029
2020-07-07,15.4434
2020-07-08,15.6195
2020-07-09,15.3003
2020-07-10,16.0065
2020-07-11,16.0065
2020-07-12,16.0065
2020-07-13,15.9111
2020-07-14,16.4889
2020-07-15,17.14
2020-07-16,16.9658
2020-07-17,16.8374
2020-07-18,16.8374
2020-07-19,16.8374
2020-07-20,16.9456
2020-07-21,17.1914
2020-07-22,17.5142
2020-07-23,17.0886
2020-07-24,16.8612
2020-07-25,16.8612
2020-07-26,16.8612
2020-07-27,17.4005
