,INGR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.8461
2020-01-02,11.8461
2020-01-03,11.9205
2020-01-04,11.9205
2020-01-05,11.9205
2020-01-06,11.8431
2020-01-07,11.724
2020-01-08,11.6833
2020-01-09,11.6297
2020-01-10,11.7032
2020-01-11,11.7032
2020-01-12,11.7032
2020-01-13,11.7429
2020-01-14,11.7518
2020-01-15,11.6754
2020-01-16,11.8391
2020-01-17,11.8094
2020-01-18,11.8094
2020-01-19,11.8094
2020-01-20,11.8094
2020-01-21,11.7448
2020-01-22,11.7766
2020-01-23,11.8391
2020-01-24,11.7776
2020-01-25,11.7776
2020-01-26,11.7776
2020-01-27,11.6912
2020-01-28,11.6744
2020-01-29,11.5741
2020-01-30,11.6644
2020-01-31,11.3547
2020-02-01,11.3547
2020-02-02,11.3547
2020-02-03,11.3786
2020-02-04,11.3895
2020-02-05,11.589
2020-02-06,11.5225
2020-02-07,11.5473
2020-02-08,11.5473
2020-02-09,11.5473
2020-02-10,11.6545
2020-02-11,12.398
2020-02-12,12.3275
2020-02-13,12.2829
2020-02-14,12.2819
2020-02-15,12.2819
2020-02-16,12.2819
2020-02-17,12.2819
2020-02-18,12.1826
2020-02-19,12.0235
2020-02-20,12.0603
2020-02-21,12.0533
2020-02-22,12.0533
2020-02-23,12.0533
2020-02-24,11.9171
2020-02-25,11.7411
2020-02-26,11.6416
2020-02-27,11.0311
2020-02-28,10.9028
2020-02-29,10.9028
2020-03-01,10.9028
2020-03-02,11.1315
2020-03-03,10.9317
2020-03-04,11.4139
2020-03-05,10.9227
2020-03-06,11.0898
2020-03-07,11.0898
2020-03-08,11.0898
2020-03-09,10.5747
2020-03-10,10.8074
2020-03-11,10.52
2020-03-12,9.5326
2020-03-13,9.8935
2020-03-14,9.8935
2020-03-15,9.8935
2020-03-16,8.9648
2020-03-17,9.6529
2020-03-18,8.6655
2020-03-19,9.1239
2020-03-20,9.2074
2020-03-21,9.2074
2020-03-22,9.2074
2020-03-23,9.3297
2020-03-24,9.5544
2020-03-25,9.5684
2020-03-26,10.0705
2020-03-27,9.9502
2020-03-28,9.9502
2020-03-29,9.9502
2020-03-30,10.3042
2020-03-31,10.3724
2020-04-01,10.3765
2020-04-02,10.5335
2020-04-03,10.4439
2020-04-04,10.4439
2020-04-05,10.4439
2020-04-06,10.8816
2020-04-07,10.7408
2020-04-08,10.8613
2020-04-09,11.056
2020-04-10,11.056
2020-04-11,11.056
2020-04-12,11.056
2020-04-13,11.0086
2020-04-14,11.0005
2020-04-15,10.3842
2020-04-16,10.4255
2020-04-17,10.9138
2020-04-18,10.9138
2020-04-19,10.9138
2020-04-20,10.9249
2020-04-21,10.5859
2020-04-22,10.5779
2020-04-23,10.7231
2020-04-24,10.9017
2020-04-25,10.9017
2020-04-26,10.9017
2020-04-27,11.1861
2020-04-28,11.1579
2020-04-29,11.1589
2020-04-30,10.9652
2020-05-01,10.828
2020-05-02,10.828
2020-05-03,10.828
2020-05-04,10.7241
2020-05-05,11.0711
2020-05-06,10.8473
2020-05-07,10.928
2020-05-08,11.2504
2020-05-09,11.2504
2020-05-10,11.2504
2020-05-11,11.057
2020-05-12,10.93
2020-05-13,10.7315
2020-05-14,10.6498
2020-05-15,10.6478
2020-05-16,10.6478
2020-05-17,10.6478
2020-05-18,10.8353
2020-05-19,10.6126
2020-05-20,10.7274
2020-05-21,10.7163
2020-05-22,10.7899
2020-05-23,10.7899
2020-05-24,10.7899
2020-05-25,10.7899
2020-05-26,11.1698
2020-05-27,11.4782
2020-05-28,11.2424
2020-05-29,11.2625
2020-05-30,11.2625
2020-05-31,11.2625
2020-06-01,11.2655
2020-06-02,11.3391
2020-06-03,11.4147
2020-06-04,11.6041
2020-06-05,11.7936
2020-06-06,11.7936
2020-06-07,11.7936
2020-06-08,11.8823
2020-06-09,11.7825
2020-06-10,11.4802
2020-06-11,10.9965
2020-06-12,11.057
2020-06-13,11.057
2020-06-14,11.057
2020-06-15,11.1406
2020-06-16,11.4419
2020-06-17,11.4288
2020-06-18,11.459
2020-06-19,11.4207
2020-06-20,11.4207
2020-06-21,11.4207
2020-06-22,11.3129
2020-06-23,11.2424
2020-06-24,11.0549
2020-06-25,11.0096
2020-06-26,10.8222
2020-06-27,10.8222
2020-06-28,10.8222
2020-06-29,10.9663
2020-06-30,11.9721
2020-07-01,11.7677
2020-07-02,12.0644
2020-07-03,12.0644
2020-07-04,12.0644
2020-07-05,12.0644
2020-07-06,12.1227
2020-07-07,11.9359
2020-07-08,11.7974
2020-07-09,11.4688
2020-07-10,11.7414
2020-07-11,11.7414
2020-07-12,11.7414
2020-07-13,11.7326
2020-07-14,11.9446
2020-07-15,12.1424
2020-07-16,12.1358
2020-07-17,12.2589
2020-07-18,12.2589
2020-07-19,12.2589
2020-07-20,11.9457
2020-07-21,12.1875
2020-07-22,12.193
2020-07-23,12.4336
2020-07-24,12.4501
2020-07-25,12.4501
2020-07-26,12.4501
2020-07-27,12.5369
2020-07-28,12.515
2020-07-29,12.593
2020-07-30,12.5457
2020-07-31,12.3567
2020-08-01,12.3567
2020-08-02,12.3567
2020-08-03,12.4633
2020-08-04,11.1985
2020-08-05,11.4794
2020-08-06,11.4179
2020-08-07,11.6047
2020-08-08,11.6047
2020-08-09,11.6047
2020-08-10,11.8092
2020-08-11,11.9191
2020-08-12,11.9498
2020-08-13,11.6476
2020-08-14,11.8256
2020-08-15,11.8256
2020-08-16,11.8256
2020-08-17,11.7366
2020-08-18,11.5432
2020-08-19,11.4157
2020-08-20,11.4025
2020-08-21,11.4003
2020-08-22,11.4003
2020-08-23,11.4003
2020-08-24,11.5058
2020-08-25,11.475
2020-08-26,11.4069
2020-08-27,11.5256
2020-08-28,11.6806
2020-08-29,11.6806
2020-08-30,11.6806
2020-08-31,11.6927
2020-09-01,11.6465
2020-09-02,11.763
2020-09-03,11.6267
2020-09-04,11.8103
2020-09-05,11.8103
2020-09-06,11.8103
2020-09-07,11.8103
2020-09-08,11.7905
2020-09-09,11.863
2020-09-10,11.5948
2020-09-11,11.5333
2020-09-12,11.5333
2020-09-13,11.5333
2020-09-14,11.6619
2020-09-15,11.7663
2020-09-16,11.9125
2020-09-17,11.9147
2020-09-18,11.7883
2020-09-19,11.7883
2020-09-20,11.7883
2020-09-21,11.5069
2020-09-22,11.4454
2020-09-23,11.1376
2020-09-24,11.2091
2020-09-25,11.2508
2020-09-26,11.2508
2020-09-27,11.2508
2020-09-28,11.2706
2020-09-29,11.0981
2020-09-30,11.5192
2020-10-01,11.415
2020-10-02,11.5293
2020-10-03,11.5293
2020-10-04,11.5293
2020-10-05,11.6425
2020-10-06,11.5943
2020-10-07,11.6481
2020-10-08,11.6593
2020-10-09,11.6448
2020-10-10,11.6448
2020-10-11,11.6448
2020-10-12,11.6952
2020-10-13,11.7199
2020-10-14,11.786
2020-10-15,11.9172
2020-10-16,11.9205
2020-10-17,11.9205
2020-10-18,11.9205
2020-10-19,11.8421
2020-10-20,11.6582
2020-10-21,11.6111
2020-10-22,11.6728
2020-10-23,11.6235
2020-10-24,11.6235
2020-10-25,11.6235
2020-10-26,11.6033
2020-10-27,11.4811
2020-10-28,11.2009
2020-10-29,11.0641
2020-10-30,10.9823
2020-10-31,10.9823
2020-11-01,10.9823
2020-11-02,11.1214
2020-11-03,11.1472
2020-11-04,10.8726
2020-11-05,11.0295
2020-11-06,10.7988
2020-11-07,10.7988
2020-11-08,10.7988
2020-11-09,11.2214
2020-11-10,11.3963
2020-11-11,11.2158
2020-11-12,11.0903
2020-11-13,11.2651
2020-11-14,11.2651
2020-11-15,11.2651
2020-11-16,11.6822
2020-11-17,11.8044
