,CORT US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-07-16,10.4496
2020-07-17,10.5064
2020-07-18,10.5064
2020-07-19,10.5064
2020-07-20,10.8231
2020-07-21,10.5714
2020-07-22,10.3846
2020-07-23,10.3196
2020-07-24,10.2059
2020-07-25,10.2059
2020-07-26,10.2059
2020-07-27,10.6485
2020-07-28,10.076
2020-07-29,10.2303
2020-07-30,10.1816
2020-07-31,9.2639
2020-08-01,9.2639
2020-08-02,9.2639
2020-08-03,9.5887
2020-08-04,9.9711
2020-08-05,8.882
2020-08-06,8.5626
2020-08-07,8.538
2020-08-08,8.538
2020-08-09,8.538
2020-08-10,8.4398
2020-08-11,8.1859
2020-08-12,8.1368
2020-08-13,8.3415
2020-08-14,8.3947
2020-08-15,8.3947
2020-08-16,8.3947
2020-08-17,8.5135
2020-08-18,8.407
2020-08-19,8.3415
2020-08-20,8.3579
2020-08-21,7.6987
2020-08-22,7.6987
2020-08-23,7.6987
2020-08-24,7.5717
2020-08-25,7.6454
2020-08-26,7.4161
2020-08-27,7.3261
2020-08-28,7.4489
2020-08-29,7.4489
2020-08-30,7.4489
2020-08-31,7.5226
2020-09-01,7.3916
2020-09-02,13.3941
2020-09-03,12.7472
2020-09-04,13.4842
2020-09-05,13.4842
2020-09-06,13.4842
2020-09-07,13.4842
2020-09-08,12.1617
2020-09-09,13.3614
2020-09-10,12.0593
2020-09-11,11.6499
2020-09-12,11.6499
2020-09-13,11.6499
2020-09-14,11.8628
2020-09-15,11.6335
2020-09-16,11.5926
2020-09-17,11.22
2020-09-18,11.8546
2020-09-19,11.8546
2020-09-20,11.8546
2020-09-21,11.8546
2020-09-22,11.7154
2020-09-23,11.093
2020-09-24,10.8596
2020-09-25,11.1176
2020-09-26,11.1176
2020-09-27,11.1176
2020-09-28,11.3223
2020-09-29,11.4943
2020-09-30,11.8182
2020-10-01,11.7964
2020-10-02,11.3963
2020-10-03,11.3963
2020-10-04,11.3963
2020-10-05,12.0226
2020-10-06,12.0921
2020-10-07,12.1443
2020-10-08,12.614
2020-10-09,12.6401
2020-10-10,12.6401
2020-10-11,12.6401
2020-10-12,12.5618
2020-10-13,12.7706
2020-10-14,12.6662
2020-10-15,12.4401
2020-10-16,12.3357
2020-10-17,12.3357
2020-10-18,12.3357
2020-10-19,12.0747
2020-10-20,12.1443
2020-10-21,11.8486
2020-10-22,12.1269
2020-10-23,12.2052
2020-10-24,12.2052
2020-10-25,12.2052
2020-10-26,12.2052
2020-10-27,12.1617
2020-10-28,11.579
2020-10-29,11.605
2020-10-30,11.2745
2020-10-31,11.2745
2020-11-01,11.2745
2020-11-02,11.8225
2020-11-03,12.2442
2020-11-04,12.5764
2020-11-05,12.489
2020-11-06,12.4977
2020-11-07,12.4977
2020-11-08,12.4977
2020-11-09,12.3666
2020-11-10,12.7338
2020-11-11,13.2847
2020-11-12,12.6989
2020-11-13,12.4977
2020-11-14,12.4977
2020-11-15,12.4977
2020-11-16,12.5065
2020-11-17,12.454
2020-11-18,12.9962
2020-11-19,17.176
2020-11-20,17.6045
2020-11-21,17.6045
2020-11-22,17.6045
2020-11-23,16.7912
2020-11-24,16.6863
2020-11-25,16.6426
2020-11-26,16.6426
2020-11-27,16.7825
2020-11-28,16.7825
2020-11-29,16.7825
2020-11-30,16.4764
2020-12-01,16.7825
2020-12-02,16.6776
2020-12-03,17.106
2020-12-04,17.2722
2020-12-05,17.2722
2020-12-06,17.2722
2020-12-07,17.4208
2020-12-08,17.9455
2020-12-09,17.998
2020-12-10,18.715
2020-12-11,18.8199
2020-12-12,18.8199
2020-12-13,18.8199
2020-12-14,19.1085
2020-12-15,19.5719
2020-12-16,19.5894
2020-12-17,20.1491
2020-12-18,19.6419
2020-12-19,19.6419
2020-12-20,19.6419
2020-12-21,19.9217
2020-12-22,20.3327
2020-12-23,20.5513
2020-12-24,20.4551
2020-12-25,20.4551
2020-12-26,20.4551
2020-12-27,20.4551
2020-12-28,19.9829
2020-12-29,19.4583
2020-12-30,19.5632
2020-12-31,19.9816
2021-01-01,19.9816
2021-01-02,19.9816
2021-01-03,19.9816
2021-01-04,19.9182
2021-01-05,19.8277
2021-01-06,20.2169
2021-01-07,20.9228
2021-01-08,20.8957
2021-01-09,20.8957
2021-01-10,20.8957
2021-01-11,20.7509
2021-01-12,20.6785
2021-01-13,20.7147
2021-01-14,21.303
2021-01-15,21.7736
2021-01-16,21.7736
2021-01-17,21.7736
2021-01-18,21.7736
2021-01-19,22.3257
2021-01-20,22.2171
2021-01-21,21.6288
2021-01-22,21.7012
2021-01-23,21.7012
2021-01-24,21.7012
2021-01-25,22.1538
2021-01-26,22.1176
2021-01-27,22.3619
2021-01-28,22.2895
2021-01-29,21.8822
2021-01-30,21.8822
2021-01-31,21.8822
2021-02-01,22.8145
2021-02-02,23.3937
2021-02-03,22.5882
2021-02-04,22.9683
2021-02-05,22.9231
2021-02-06,22.9231
2021-02-07,22.9231
2021-02-08,23.9639
2021-02-09,23.1132
2021-02-10,23.2489
2021-02-11,22.2533
2021-02-12,21.6469
2021-02-13,21.6469
2021-02-14,21.6469
2021-02-15,21.6469
2021-02-16,21.7284
2021-02-17,21.3844
2021-02-18,20.4884
2021-02-19,20.6875
2021-02-20,20.6875
2021-02-21,20.6875
2021-02-22,20.5065
2021-02-23,20.6388
2021-02-24,20.6205
2021-02-25,19.6654
2021-02-26,19.2907
2021-02-27,19.2907
2021-02-28,19.2907
2021-03-01,19.574
2021-03-02,18.9525
2021-03-03,18.6143
2021-03-04,18.1071
2021-03-05,18.7423
2021-03-06,18.7423
2021-03-07,18.7423
2021-03-08,18.0111
2021-03-09,18.8428
2021-03-10,18.9342
2021-03-11,19.5923
2021-03-12,19.7842
2021-03-13,19.7842
2021-03-14,19.7842
2021-03-15,19.8756
2021-03-16,19.6106
2021-03-17,19.8025
2021-03-18,19.1079
2021-03-19,19.7202
2021-03-20,19.7202
2021-03-21,19.7202
2021-03-22,19.7934
2021-03-23,19.2724
2021-03-24,17.9197
2021-03-25,18.0111
2021-03-26,18.6783
2021-03-27,18.6783
2021-03-28,18.6783
2021-03-29,18.1025
2021-03-30,17.7735
2021-03-31,21.2309
2021-04-01,21.9126
2021-04-02,21.9126
2021-04-03,21.9126
2021-04-04,21.9126
2021-04-05,21.6037
2021-04-06,21.625
2021-04-07,20.7302
2021-04-08,20.2935
2021-04-09,20.0485
2021-04-10,20.0485
2021-04-11,20.0485
2021-04-12,19.7822
2021-04-13,19.6224
2021-04-14,20.3361
2021-04-15,20.3254
2021-04-16,20.139
2021-04-17,20.139
2021-04-18,20.139
2021-04-19,20.2828
2021-04-20,19.8887
2021-04-21,20.5811
2021-04-22,21.1455
2021-04-23,21.2725
2021-04-24,21.2725
2021-04-25,21.2725
2021-04-26,21.6003
2021-04-27,21.1561
2021-04-28,21.0186
2021-04-29,20.7013
2021-04-30,19.9927
2021-05-01,19.9927
2021-05-02,19.9927
2021-05-03,19.6437
2021-05-04,19.3793
2021-05-05,18.7976
2021-05-06,18.8808
2021-05-07,18.2348
2021-05-08,18.2348
2021-05-09,18.2348
2021-05-10,17.0381
2021-05-11,17.5464
2021-05-12,17.7159
2021-05-13,18.0442
2021-05-14,18.3725
2021-05-15,18.3725
2021-05-16,18.3725
2021-05-17,18.5631
2021-05-18,18.5419
2021-05-19,18.6055
2021-05-20,18.722
2021-05-21,18.6796
2021-05-22,18.6796
2021-05-23,18.6796
2021-05-24,18.3407
2021-05-25,18.2878
2021-05-26,18.6055
2021-05-27,18.8385
2021-05-28,18.7643
2021-05-29,18.7643
2021-05-30,18.7643
2021-05-31,18.7643
2021-06-01,18.7008
2021-06-02,18.5631
2021-06-03,18.9126
2021-06-04,18.5631
2021-06-05,18.5631
2021-06-06,18.5631
2021-06-07,18.5419
2021-06-08,18.6796
2021-06-09,19.0715
2021-06-10,18.6796
2021-06-11,18.6902
2021-06-12,18.6902
2021-06-13,18.6902
2021-06-14,18.7431
2021-06-15,19.1138
2021-06-16,20.0564
2021-06-17,20.2364
2021-06-18,19.7175
2021-06-19,19.7175
2021-06-20,19.7175
2021-06-21,20.2258
2021-06-22,19.1456
2021-06-23,19.4633
2021-06-24,19.8975
2021-06-25,19.9716
2021-06-26,19.9716
2021-06-27,19.9716
2021-06-28,20.1411
2021-06-29,19.4421
2021-06-30,19.6217
2021-07-01,20.2004
2021-07-02,19.9602
2021-07-03,19.9602
2021-07-04,19.9602
2021-07-05,19.9602
2021-07-06,19.6981
2021-07-07,20.0039
2021-07-08,19.4361
2021-07-09,19.6654
2021-07-10,19.6654
2021-07-11,19.6654
2021-07-12,19.4033
2021-07-13,19.1631
2021-07-14,18.0821
2021-07-15,17.8309
2021-07-16,17.6562
2021-07-17,17.6562
2021-07-18,17.6562
2021-07-19,18.0384
2021-07-20,17.962
2021-07-21,18.2568
2021-07-22,17.7872
2021-07-23,17.7545
2021-07-24,17.7545
2021-07-25,17.7545
2021-07-26,17.5907
2021-07-27,17.4597
2021-07-28,17.8746
2021-07-29,17.6207
2021-07-30,18.1417
2021-07-31,18.1417
2021-08-01,18.1417
2021-08-02,18.413
2021-08-03,19.0208
2021-08-04,19.01
2021-08-05,19.086
2021-08-06,19.2922
2021-08-07,19.2922
2021-08-08,19.2922
2021-08-09,19.086
2021-08-10,18.4348
2021-08-11,17.8921
2021-08-12,17.8921
2021-08-13,18.044
2021-08-14,18.044
2021-08-15,18.044
2021-08-16,17.6859
2021-08-17,17.7944
2021-08-18,17.675
2021-08-19,17.7076
2021-08-20,17.9572
2021-08-21,17.9572
2021-08-22,17.9572
2021-08-23,18.2828
2021-08-24,18.5324
2021-08-25,18.565
2021-08-26,18.4999
2021-08-27,18.9666
2021-08-28,18.9666
2021-08-29,18.9666
2021-08-30,18.9666
2021-08-31,18.6952
2021-09-01,19.0968
2021-09-02,19.1728
2021-09-03,18.9666
2021-09-04,18.9666
2021-09-05,18.9666
2021-09-06,18.9666
2021-09-07,18.858
2021-09-08,18.7821
2021-09-09,18.5867
2021-09-10,18.4999
2021-09-11,18.4999
2021-09-12,18.4999
2021-09-13,18.2394
2021-09-14,17.8704
2021-09-15,17.7727
2021-09-16,17.9898
2021-09-17,17.8595
2021-09-18,17.8595
2021-09-19,17.8595
2021-09-20,17.751
2021-09-21,17.5773
2021-09-22,17.599
2021-09-23,17.8378
2021-09-24,17.6207
2021-09-25,17.6207
2021-09-26,17.6207
2021-09-27,18.0006
2021-09-28,17.3168
2021-09-29,17.23
2021-09-30,15.1053
2021-10-01,15.2621
2021-10-02,15.2621
2021-10-03,15.2621
2021-10-04,14.9681
2021-10-05,15.2033
2021-10-06,14.9877
2021-10-07,15.2621
2021-10-08,15.7519
2021-10-09,15.7519
2021-10-10,15.7519
2021-10-11,16.2222
2021-10-12,16.6141
2021-10-13,16.477
2021-10-14,16.6533
2021-10-15,15.458
2021-10-16,15.458
2021-10-17,15.458
2021-10-18,14.3999
2021-10-19,15.0661
2021-10-20,14.9094
2021-10-21,14.2529
2021-10-22,14.1648
2021-10-23,14.1648
2021-10-24,14.1648
2021-10-25,13.6455
2021-10-26,13.3908
2021-10-27,13.0576
2021-10-28,13.2242
2021-10-29,13.4593
2021-10-30,13.4593
2021-10-31,13.4593
2021-11-01,13.6651
2021-11-02,13.4789
2021-11-03,13.6213
2021-11-04,15.4264
2021-11-05,16.0021
2021-11-06,16.0021
2021-11-07,16.0021
2021-11-08,18.1585
2021-11-09,18.256
2021-11-10,17.6218
2021-11-11,17.8267
2021-11-12,18.2658
2021-11-13,18.2658
2021-11-14,18.2658
2021-11-15,18.1585
2021-11-16,18.5585
2021-11-17,18.4414
2021-11-18,18.1877
2021-11-19,18.1389
2021-11-20,18.1389
2021-11-21,18.1389
2021-11-22,18.5975
2021-11-23,17.7682
2021-11-24,17.7389
2021-11-25,17.7389
2021-11-26,16.7924
2021-11-27,16.7924
2021-11-28,16.7924
2021-11-29,16.4314
2021-11-30,16.3143
