,FFIV US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,15.0177
2020-01-02,15.1547
2020-01-03,15.0609
2020-01-04,15.0609
2020-01-05,15.0609
2020-01-06,14.845
2020-01-07,14.6896
2020-01-08,14.6217
2020-01-09,14.5662
2020-01-10,14.4626
2020-01-11,14.4626
2020-01-12,14.4626
2020-01-13,14.5921
2020-01-14,14.5798
2020-01-15,14.5822
2020-01-16,14.898
2020-01-17,14.6908
2020-01-18,14.6908
2020-01-19,14.6908
2020-01-20,14.6908
2020-01-21,14.449
2020-01-22,14.1085
2020-01-23,14.3157
2020-01-24,14.5477
2020-01-25,14.5477
2020-01-26,14.5477
2020-01-27,14.1627
2020-01-28,13.336
2020-01-29,13.2941
2020-01-30,13.2275
2020-01-31,12.8573
2020-02-01,12.8573
2020-02-02,12.8573
2020-02-03,12.8141
2020-02-04,13.0029
2020-02-05,13.2413
2020-02-06,13.0402
2020-02-07,13.0377
2020-02-08,13.0377
2020-02-09,13.0377
2020-02-10,13.4486
2020-02-11,13.3474
2020-02-12,13.4239
2020-02-13,13.6103
2020-02-14,13.5227
2020-02-15,13.5227
2020-02-16,13.5227
2020-02-17,13.5227
2020-02-18,13.5461
2020-02-19,13.799
2020-02-20,14.1816
2020-02-21,14.2445
2020-02-22,14.2445
2020-02-23,14.2445
2020-02-24,13.862
2020-02-25,13.4338
2020-02-26,13.3919
2020-02-27,12.9415
2020-02-28,12.5898
2020-02-29,12.5898
2020-03-01,12.5898
2020-03-02,12.6009
2020-03-03,12.1185
2020-03-04,12.8921
2020-03-05,12.4479
2020-03-06,12.5516
2020-03-07,12.5516
2020-03-08,12.5516
2020-03-09,11.5706
2020-03-10,12.3344
2020-03-11,11.0906
2020-03-12,9.9221
2020-03-13,10.8315
2020-03-14,10.8315
2020-03-15,10.8315
2020-03-16,9.5927
2020-03-17,9.2805
2020-03-18,8.9622
2020-03-19,9.9221
2020-03-20,10.1455
2020-03-21,10.1455
2020-03-22,10.1455
2020-03-23,9.9616
2020-03-24,10.4626
2020-03-25,10.7809
2020-03-26,11.8618
2020-03-27,11.4608
2020-03-28,11.4608
2020-03-29,11.4608
2020-03-30,11.3386
2020-03-31,14.4331
2020-04-01,14.0265
2020-04-02,14.5018
2020-04-03,14.527
2020-04-04,14.527
2020-04-05,14.527
2020-04-06,15.2827
2020-04-07,15.8533
2020-04-08,16.4337
2020-04-09,17.0631
2020-04-10,17.0631
2020-04-11,17.0631
2020-04-12,17.0631
2020-04-13,16.4056
2020-04-14,16.7253
2020-04-15,16.3664
2020-04-16,16.632
2020-04-17,16.8837
2020-04-18,16.8837
2020-04-19,16.8837
2020-04-20,16.6804
2020-04-21,16.2851
2020-04-22,16.7575
2020-04-23,16.8711
2020-04-24,17.3337
2020-04-25,17.3337
2020-04-26,17.3337
2020-04-27,17.8384
2020-04-28,19.175
2020-04-29,19.4309
2020-04-30,18.9514
2020-05-01,18.3978
2020-05-02,18.3978
2020-05-03,18.3978
2020-05-04,18.4118
2020-05-05,18.5684
2020-05-06,19.3939
2020-05-07,19.5217
2020-05-08,20.4077
2020-05-09,20.4077
2020-05-10,20.4077
2020-05-11,20.3304
2020-05-12,19.1988
2020-05-13,18.7242
2020-05-14,18.7368
2020-05-15,18.9629
2020-05-16,18.9629
2020-05-17,18.9629
2020-05-18,19.3055
2020-05-19,18.991
2020-05-20,19.1945
2020-05-21,18.7396
2020-05-22,18.7635
2020-05-23,18.7635
2020-05-24,18.7635
2020-05-25,18.7635
2020-05-26,19.0162
2020-05-27,19.8811
2020-05-28,19.4571
2020-05-29,19.832
2020-05-30,19.832
2020-05-31,19.832
2020-06-01,19.9584
2020-06-02,20.0594
2020-06-03,19.9963
2020-06-04,19.547
2020-06-05,19.8629
2020-06-06,19.8629
2020-06-07,19.8629
2020-06-08,20.0229
2020-06-09,19.6916
2020-06-10,19.9864
2020-06-11,18.7916
2020-06-12,19.1861
2020-06-13,19.1861
2020-06-14,19.1861
2020-06-15,19.1412
2020-06-16,19.3911
2020-06-17,19.1679
2020-06-18,18.9418
2020-06-19,18.6708
2020-06-20,18.6708
2020-06-21,18.6708
2020-06-22,18.7059
2020-06-23,18.6301
2020-06-24,18.4406
2020-06-25,18.4195
2020-06-26,19.158
2020-06-27,19.158
2020-06-28,19.158
2020-06-29,18.7775
2020-06-30,19.2822
2020-07-01,18.9666
2020-07-02,19.1426
2020-07-03,19.1426
2020-07-04,19.1426
2020-07-05,19.1426
2020-07-06,19.3142
2020-07-07,18.5273
2020-07-08,18.5084
2020-07-09,20.0575
2020-07-10,19.7244
2020-07-11,19.7244
2020-07-12,19.7244
2020-07-13,19.3957
2020-07-14,19.9266
2020-07-15,20.3659
2020-07-16,20.4401
2020-07-17,20.7295
2020-07-18,20.7295
2020-07-19,20.7295
2020-07-20,21.1572
2020-07-21,21.4467
2020-07-22,21.5165
2020-07-23,21.4976
2020-07-24,21.1528
2020-07-25,21.1528
2020-07-26,21.1528
2020-07-27,21.0894
2020-07-28,19.1507
2020-07-29,19.1171
2020-07-30,18.7168
2020-07-31,18.8483
2020-08-01,18.8483
2020-08-02,18.8483
2020-08-03,19.3085
2020-08-04,19.5467
2020-08-05,19.5658
2020-08-06,19.6462
2020-08-07,19.5351
2020-08-08,19.5351
2020-08-09,19.5351
2020-08-10,19.3948
2020-08-11,19.1216
2020-08-12,19.2005
2020-08-13,18.9959
2020-08-14,18.8732
2020-08-15,18.8732
2020-08-16,18.8732
2020-08-17,18.692
2020-08-18,18.6511
2020-08-19,18.673
2020-08-20,18.6233
2020-08-21,18.7665
2020-08-22,18.7665
2020-08-23,18.7665
2020-08-24,18.8936
2020-08-25,18.5371
2020-08-26,18.5459
2020-08-27,17.808
2020-08-28,18.0286
2020-08-29,18.0286
2020-08-30,18.0286
2020-08-31,18.3296
2020-09-01,18.1499
2020-09-02,18.3705
2020-09-03,17.7963
2020-09-04,17.5713
2020-09-05,17.5713
2020-09-06,17.5713
2020-09-07,17.5713
2020-09-08,16.8407
2020-09-09,17.0102
2020-09-10,16.5338
2020-09-11,16.5265
2020-09-12,16.5265
2020-09-13,16.5265
2020-09-14,16.7676
2020-09-15,16.7457
2020-09-16,17.0438
