,OEC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.9948
2020-01-02,11.9497
2020-01-03,11.8434
2020-01-04,11.8434
2020-01-05,11.8434
2020-01-06,11.7083
2020-01-07,11.8311
2020-01-08,11.8352
2020-01-09,11.7902
2020-01-10,11.8311
2020-01-11,11.8311
2020-01-12,11.8311
2020-01-13,11.872
2020-01-14,11.7861
2020-01-15,11.9948
2020-01-16,11.8884
2020-01-17,11.5283
2020-01-18,11.5283
2020-01-19,11.5283
2020-01-20,11.5283
2020-01-21,11.3646
2020-01-22,11.16
2020-01-23,11.2132
2020-01-24,11.0536
2020-01-25,11.0536
2020-01-26,11.0536
2020-01-27,10.8327
2020-01-28,10.9391
2020-01-29,10.8859
2020-01-30,10.8736
2020-01-31,10.5217
2020-02-01,10.5217
2020-02-02,10.5217
2020-02-03,10.4767
2020-02-04,10.8081
2020-02-05,10.8859
2020-02-06,10.7917
2020-02-07,10.4521
2020-02-08,10.4521
2020-02-09,10.4521
2020-02-10,10.5176
2020-02-11,10.6854
2020-02-12,10.7917
2020-02-13,10.6895
2020-02-14,10.7017
2020-02-15,10.7017
2020-02-16,10.7017
2020-02-17,10.7017
2020-02-18,10.7263
2020-02-19,10.849
2020-02-20,11.0741
2020-02-21,11.3169
2020-02-22,11.3169
2020-02-23,11.3169
2020-02-24,11.0591
2020-02-25,10.4657
2020-02-26,10.261
2020-02-27,9.9172
2020-02-28,9.9132
2020-02-29,9.9132
2020-03-01,9.9132
2020-03-02,9.9868
2020-03-03,9.7658
2020-03-04,9.8067
2020-03-05,9.8067
2020-03-06,9.774
2020-03-07,9.774
2020-03-08,9.774
2020-03-09,8.6731
2020-03-10,8.6935
2020-03-11,8.4848
2020-03-12,8.1083
2020-03-13,8.6076
2020-03-14,8.6076
2020-03-15,8.6076
2020-03-16,7.6499
2020-03-17,7.4207
2020-03-18,6.905
2020-03-19,7.2243
2020-03-20,7.1629
2020-03-21,7.1629
2020-03-22,7.1629
2020-03-23,6.8518
2020-03-24,7.0769
2020-03-25,7.1506
2020-03-26,7.4739
2020-03-27,7.1465
2020-03-28,7.1465
2020-03-29,7.1465
2020-03-30,7.1956
2020-03-31,7.3767
2020-04-01,6.9471
2020-04-02,7.0435
2020-04-03,6.9311
2020-04-04,6.9311
2020-04-05,6.9311
2020-04-06,7.0917
2020-04-07,7.192
2020-04-08,7.4691
2020-04-09,7.9188
2020-04-10,7.9188
2020-04-11,7.9188
2020-04-12,7.9188
2020-04-13,7.9188
2020-04-14,7.722
2020-04-15,7.449
2020-04-16,7.2884
2020-04-17,7.4209
2020-04-18,7.4209
2020-04-19,7.4209
2020-04-20,7.4068
2020-04-21,7.3133
2020-04-22,7.3051
2020-04-23,7.3987
2020-04-24,7.5207
2020-04-25,7.5207
2020-04-26,7.5207
2020-04-27,7.7931
2020-04-28,7.9598
2020-04-29,8.1916
2020-04-30,8.0859
2020-05-01,7.7931
2020-05-02,7.7931
2020-05-03,7.7931
2020-05-04,7.7118
2020-05-05,7.7402
2020-05-06,7.7199
2020-05-07,7.9584
2020-05-08,7.8536
2020-05-09,7.8536
2020-05-10,7.8536
2020-05-11,7.6237
2020-05-12,7.5108
2020-05-13,7.2366
2020-05-14,7.3293
2020-05-15,7.2285
2020-05-16,7.2285
2020-05-17,7.2285
2020-05-18,7.7245
2020-05-19,7.8132
2020-05-20,7.9261
2020-05-21,7.9665
2020-05-22,8.0713
2020-05-23,8.0713
2020-05-24,8.0713
2020-05-25,8.0713
2020-05-26,8.3657
2020-05-27,9.1319
2020-05-28,8.9504
2020-05-29,8.8416
2020-05-30,8.8416
2020-05-31,8.8416
2020-06-01,8.8254
2020-06-02,8.9182
2020-06-03,9.1722
2020-06-04,9.3577
2020-06-05,9.511
2020-06-06,9.511
2020-06-07,9.511
2020-06-08,9.6481
2020-06-09,9.3698
2020-06-10,9.0513
2020-06-11,8.4827
2020-06-12,8.6722
2020-06-13,8.6722
2020-06-14,8.6722
2020-06-15,8.7448
2020-06-16,8.8819
2020-06-17,8.7407
2020-06-18,8.7851
2020-06-19,8.8456
2020-06-20,8.8456
2020-06-21,8.8456
2020-06-22,8.7286
2020-06-23,8.7407
2020-06-24,8.4504
2020-06-25,8.5714
