,WEC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,27.4081
2020-01-02,27.0867
2020-01-03,27.2042
2020-01-04,27.2042
2020-01-05,27.2042
2020-01-06,27.2186
2020-01-07,27.1465
2020-01-08,27.1712
2020-01-09,27.3586
2020-01-10,27.4719
2020-01-11,27.4719
2020-01-12,27.4719
2020-01-13,27.7006
2020-01-14,27.7624
2020-01-15,28.0116
2020-01-16,28.2196
2020-01-17,28.2711
2020-01-18,28.2711
2020-01-19,28.2711
2020-01-20,28.2711
2020-01-21,28.5286
2020-01-22,28.6439
2020-01-23,28.7408
2020-01-24,28.7943
2020-01-25,28.7943
2020-01-26,28.7943
2020-01-27,28.6996
2020-01-28,28.6996
2020-01-29,28.7387
2020-01-30,29.1342
2020-01-31,28.9859
2020-02-01,28.9859
2020-02-02,28.9859
2020-02-03,29.1918
2020-02-04,28.9344
2020-02-05,29.0106
2020-02-06,28.9879
2020-02-07,28.957
2020-02-08,28.957
2020-02-09,28.957
2020-02-10,29.0374
2020-02-11,29.0477
2020-02-12,29.163
2020-02-13,29.2578
2020-02-14,29.3937
2020-02-15,29.3937
2020-02-16,29.3937
2020-02-17,29.3937
2020-02-18,29.6017
2020-02-19,29.5049
2020-02-20,29.5008
2020-02-21,29.5235
2020-02-22,29.5235
2020-02-23,29.5235
2020-02-24,29.3834
2020-02-25,29.093
2020-02-26,29.0683
2020-02-27,28.0939
2020-02-28,27.4286
2020-02-29,27.4286
2020-03-01,27.4286
2020-03-02,28.5326
2020-03-03,28.51
2020-03-04,29.8756
2020-03-05,29.855
2020-03-06,29.9807
2020-03-07,29.9807
2020-03-08,29.9807
2020-03-09,29.4966
2020-03-10,29.4307
2020-03-11,28.4832
2020-03-12,27.2865
2020-03-13,28.889
2020-03-14,28.889
2020-03-15,28.889
2020-03-16,27.5007
2020-03-17,29.5152
2020-03-18,29.9415
2020-03-19,27.0331
2020-03-20,23.6716
2020-03-21,23.6716
2020-03-22,23.6716
2020-03-23,23.0124
2020-03-24,24.9322
2020-03-25,25.0413
2020-03-26,26.2834
2020-03-27,26.7571
2020-03-28,26.7571
2020-03-29,26.7571
2020-03-30,27.338
2020-03-31,25.1613
2020-04-01,24.261
2020-04-02,25.1379
2020-04-03,24.5989
2020-04-04,24.5989
2020-04-05,24.5989
2020-04-06,25.7765
2020-04-07,25.0891
2020-04-08,25.9561
2020-04-09,27.1318
2020-04-10,27.1318
2020-04-11,27.1318
2020-04-12,27.1318
2020-04-13,26.5069
2020-04-14,27.3486
2020-04-15,26.8721
2020-04-16,27.2763
2020-04-17,27.5458
2020-04-18,27.5458
2020-04-19,27.5458
2020-04-20,26.6748
2020-04-21,26.5303
2020-04-22,26.7764
2020-04-23,26.3838
2020-04-24,26.2628
2020-04-25,26.2628
2020-04-26,26.2628
2020-04-27,25.8233
2020-04-28,26.4502
2020-04-29,26.1729
2020-04-30,25.6339
2020-05-01,25.2258
2020-05-02,25.2258
2020-05-03,25.2258
2020-05-04,25.3234
2020-05-05,25.4445
2020-05-06,24.5383
2020-05-07,24.5754
2020-05-08,24.6828
2020-05-09,24.6828
2020-05-10,24.6828
2020-05-11,24.6125
2020-05-12,24.552
2020-05-13,24.5032
2020-05-14,24.4934
2020-05-15,24.511
2020-05-16,24.511
2020-05-17,24.511
2020-05-18,25.0617
2020-05-19,24.8801
2020-05-20,24.9992
2020-05-21,24.8781
2020-05-22,24.7727
2020-05-23,24.7727
2020-05-24,24.7727
2020-05-25,24.7727
2020-05-26,24.6848
2020-05-27,24.7258
2020-05-28,25.3254
2020-05-29,25.8644
2020-05-30,25.8644
2020-05-31,25.8644
2020-06-01,26.1378
2020-06-02,26.3018
2020-06-03,26.2999
2020-06-04,26.0284
2020-06-05,26.0831
2020-06-06,26.0831
2020-06-07,26.0831
2020-06-08,26.5576
2020-06-09,26.1983
2020-06-10,26.251
2020-06-11,25.7862
2020-06-12,25.587
2020-06-13,25.587
2020-06-14,25.587
2020-06-15,25.6183
2020-06-16,25.6866
2020-06-17,25.6085
2020-06-18,25.4992
2020-06-19,25.1496
2020-06-20,25.1496
2020-06-21,25.1496
2020-06-22,25.1066
2020-06-23,24.9582
2020-06-24,24.8996
2020-06-25,24.5911
2020-06-26,24.6555
2020-06-27,24.6555
2020-06-28,24.6555
2020-06-29,24.9348
2020-06-30,24.788
2020-07-01,25.1112
2020-07-02,25.2729
2020-07-03,25.2729
2020-07-04,25.2729
2020-07-05,25.2729
2020-07-06,25.2286
2020-07-07,24.99
2020-07-08,24.9977
2020-07-09,24.7534
2020-07-10,24.865
2020-07-11,24.865
