,ATKR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.2878
2020-01-02,11.2571
2020-01-03,11.206
2020-01-04,11.206
2020-01-05,11.206
2020-01-06,11.165
2020-01-07,11.2817
2020-01-08,11.3328
2020-01-09,11.3799
2020-01-10,11.3901
2020-01-11,11.3901
2020-01-12,11.3901
2020-01-13,11.5579
2020-01-14,11.474
2020-01-15,11.4658
2020-01-16,11.5783
2020-01-17,11.517
2020-01-18,11.517
2020-01-19,11.517
2020-01-20,11.517
2020-01-21,11.6254
2020-01-22,11.6909
2020-01-23,11.3574
2020-01-24,11.384
2020-01-25,11.384
2020-01-26,11.384
2020-01-27,11.2469
2020-01-28,11.3185
2020-01-29,11.3758
2020-01-30,11.4024
2020-01-31,11.1323
2020-02-01,11.1323
2020-02-02,11.1323
2020-02-03,11.1609
2020-02-04,11.5312
2020-02-05,11.6486
2020-02-06,11.5394
2020-02-07,11.4673
2020-02-08,11.4673
2020-02-09,11.4673
2020-02-10,11.6424
2020-02-11,11.6857
2020-02-12,11.8031
2020-02-13,11.9123
2020-02-14,11.6939
2020-02-15,11.6939
2020-02-16,11.6939
2020-02-17,11.6939
2020-02-18,11.6548
2020-02-19,11.7825
2020-02-20,11.6754
2020-02-21,11.5662
2020-02-22,11.5662
2020-02-23,11.5662
2020-02-24,11.3808
2020-02-25,11.008
2020-02-26,11.01
2020-02-27,10.5672
2020-02-28,10.6125
2020-02-29,10.6125
2020-03-01,10.6125
2020-03-02,11.0018
2020-03-03,10.6702
2020-03-04,10.8535
2020-03-05,10.6537
2020-03-06,10.7484
2020-03-07,10.7484
2020-03-08,10.7484
2020-03-09,10.0357
2020-03-10,10.4518
2020-03-11,10.2129
2020-03-12,8.9522
2020-03-13,9.0161
2020-03-14,9.0161
2020-03-15,9.0161
2020-03-16,7.7842
2020-03-17,7.1704
2020-03-18,5.473
2020-03-19,6.1507
2020-03-20,6.8985
2020-03-21,6.8985
2020-03-22,6.8985
2020-03-23,6.8305
2020-03-24,6.8346
2020-03-25,7.2239
2020-03-26,7.603
2020-03-27,7.1529
2020-03-28,7.1529
2020-03-29,7.1529
2020-03-30,7.1846
2020-03-31,7.1965
2020-04-01,6.7657
2020-04-02,6.6604
2020-04-03,6.5512
2020-04-04,6.5512
2020-04-05,6.5512
2020-04-06,7.2144
2020-04-07,7.4745
2020-04-08,7.7664
2020-04-09,7.9967
2020-04-10,7.9967
2020-04-11,7.9967
2020-04-12,7.9967
2020-04-13,7.7962
2020-04-14,7.7465
2020-04-15,7.3752
