,KRO US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-06-07,11.0023
2020-06-08,11.0387
2020-06-09,10.7294
2020-06-10,10.4111
2020-06-11,9.5196
2020-06-12,9.7379
2020-06-13,9.7379
2020-06-14,9.7379
2020-06-15,10.2018
2020-06-16,10.4292
2020-06-17,10.0836
2020-06-18,9.9016
2020-06-19,9.8471
2020-06-20,9.8471
2020-06-21,9.8471
2020-06-22,9.8743
2020-06-23,9.656
2020-06-24,9.4923
2020-06-25,9.6651
2020-06-26,9.6833
2020-06-27,9.6833
2020-06-28,9.6833
2020-06-29,10.22
2020-06-30,11.2435
2020-07-01,10.6781
2020-07-02,11.0193
2020-07-03,11.0193
2020-07-04,11.0193
2020-07-05,11.0193
2020-07-06,11.1558
2020-07-07,10.9608
2020-07-08,10.8341
2020-07-09,10.6781
2020-07-10,11.0291
2020-07-11,11.0291
2020-07-12,11.0291
2020-07-13,11.224
2020-07-14,11.4093
2020-07-15,11.9065
2020-07-16,11.9065
2020-07-17,11.8187
2020-07-18,11.8187
2020-07-19,11.8187
2020-07-20,11.4678
2020-07-21,11.7213
2020-07-22,11.6725
2020-07-23,11.6823
2020-07-24,11.614
2020-07-25,11.614
2020-07-26,11.614
2020-07-27,12.2087
2020-07-28,11.9357
2020-07-29,12.3062
2020-07-30,12.0235
2020-07-31,12.0527
2020-08-01,12.0527
2020-08-02,12.0527
2020-08-03,12.1405
2020-08-04,12.1405
2020-08-05,12.6098
2020-08-06,12.7365
2020-08-07,12.7073
2020-08-08,12.7073
2020-08-09,12.7073
2020-08-10,13.3313
2020-08-11,13.4386
2020-08-12,13.6628
2020-08-13,13.5653
2020-08-14,13.6531
2020-08-15,13.6531
2020-08-16,13.6531
2020-08-17,13.7896
2020-08-18,13.4191
2020-08-19,13.3801
2020-08-20,13.3313
2020-08-21,13.0486
2020-08-22,13.0486
2020-08-23,13.0486
2020-08-24,13.6921
2020-08-25,13.9163
2020-08-26,14.1016
2020-08-27,13.7603
2020-08-28,13.9261
2020-08-29,13.9261
2020-08-30,13.9261
2020-08-31,13.2728
2020-09-01,13.7311
2020-09-02,13.5361
2020-09-03,13.0778
2020-09-04,13.4581
2020-09-05,13.4581
2020-09-06,13.4581
2020-09-07,13.4581
2020-09-08,13.2436
2020-09-09,13.5556
2020-09-10,13.3898
2020-09-11,13.5653
2020-09-12,13.5653
2020-09-13,13.5653
2020-09-14,14.0041
2020-09-15,13.8871
2020-09-16,13.8676
2020-09-17,14.1796
2020-09-18,13.9261
2020-09-19,13.9261
2020-09-20,13.9261
2020-09-21,13.4971
2020-09-22,13.3898
2020-09-23,13.0583
2020-09-24,13.2728
2020-09-25,13.1656
2020-09-26,13.1656
2020-09-27,13.1656
2020-09-28,13.4776
2020-09-29,13.5946
2020-09-30,14.3667
2020-10-01,14.2648
2020-10-02,14.5704
2020-10-03,14.5704
2020-10-04,14.5704
2020-10-05,14.7335
2020-10-06,14.7538
2020-10-07,15.1308
2020-10-08,15.3142
2020-10-09,15.2327
2020-10-10,15.2327
2020-10-11,15.2327
2020-10-12,15.5588
2020-10-13,15.2327
2020-10-14,15.518
2020-10-15,15.4569
2020-10-16,15.6912
2020-10-17,15.6912
2020-10-18,15.6912
2020-10-19,15.7829
2020-10-20,15.6505
2020-10-21,15.2225
2020-10-22,15.3957
2020-10-23,15.4671
2020-10-24,15.4671
2020-10-25,15.4671
2020-10-26,15.1003
2020-10-27,14.7742
2020-10-28,14.4176
2020-10-29,14.9372
2020-10-30,14.8354
2020-10-31,14.8354
2020-11-01,14.8354
2020-11-02,15.141
2020-11-03,15.4365
2020-11-04,15.0391
2020-11-05,15.3754
2020-11-06,15.4773
2020-11-07,15.4773
2020-11-08,15.4773
2020-11-09,15.5893
2020-11-10,16.058
2020-11-11,15.4161
2020-11-12,15.1206
2020-11-13,15.3448
2020-11-14,15.3448
2020-11-15,15.3448
2020-11-16,15.7014
2020-11-17,15.4671
2020-11-18,15.4161
2020-11-19,15.4467
2020-11-20,15.2123
2020-11-21,15.2123
2020-11-22,15.2123
2020-11-23,15.569
2020-11-24,15.9867
2020-11-25,15.6301
2020-11-26,15.6301
2020-11-27,15.7014
2020-11-28,15.7014
2020-11-29,15.7014
2020-11-30,15.2735
2020-12-01,15.4671
2020-12-02,15.7524
2020-12-03,15.9969
2020-12-04,16.5777
2020-12-05,16.5777
2020-12-06,16.5777
2020-12-07,16.4758
2020-12-08,16.598
2020-12-09,16.3229
2020-12-10,16.2211
2020-12-11,15.8644
2020-12-12,15.8644
2020-12-13,15.8644
2020-12-14,15.8339
2020-12-15,16.058
2020-12-16,16.1395
2020-12-17,16.7407
2020-12-18,16.812
2020-12-19,16.812
2020-12-20,16.812
2020-12-21,16.7305
2020-12-22,16.5879
2020-12-23,16.598
2020-12-24,16.5879
2020-12-25,16.5879
2020-12-26,16.5879
2020-12-27,16.5879
2020-12-28,16.6082
2020-12-29,16.3331
2020-12-30,16.5879
2020-12-31,15.6251
2021-01-01,15.6251
2021-01-02,15.6251
2021-01-03,15.6251
2021-01-04,15.481
2021-01-05,15.9327
2021-01-06,16.7498
2021-01-07,16.4999
2021-01-08,16.1058
2021-01-09,16.1058
2021-01-10,16.1058
2021-01-11,16.3365
2021-01-12,16.6248
2021-01-13,16.0865
2021-01-14,15.9327
2021-01-15,15.7309
2021-01-16,15.7309
2021-01-17,15.7309
2021-01-18,15.7309
2021-01-19,15.9616
2021-01-20,16.0577
2021-01-21,15.8462
2021-01-22,16.0673
2021-01-23,16.0673
2021-01-24,16.0673
2021-01-25,15.7597
2021-01-26,15.6636
2021-01-27,15.3079
2021-01-28,15.5002
2021-01-29,14.9042
2021-01-30,14.9042
2021-01-31,14.9042
2021-02-01,15.2695
2021-02-02,15.2406
2021-02-03,15.3272
2021-02-04,15.4137
2021-02-05,15.6828
2021-02-06,15.6828
2021-02-07,15.6828
2021-02-08,15.6348
2021-02-09,15.6348
2021-02-10,15.6636
2021-02-11,15.6732
2021-02-12,15.5002
2021-02-13,15.5002
2021-02-14,15.5002
2021-02-15,15.5002
2021-02-16,15.4425
2021-02-17,14.9715
2021-02-18,14.7312
2021-02-19,15.2022
2021-02-20,15.2022
2021-02-21,15.2022
2021-02-22,15.3464
2021-02-23,15.2695
2021-02-24,15.6636
2021-02-25,15.356
2021-02-26,15.183
2021-02-27,15.183
2021-02-28,15.183
2021-03-01,15.6444
2021-03-02,15.654
2021-03-03,15.5963
2021-03-04,15.3944
2021-03-05,16.1827
2021-03-06,16.1827
2021-03-07,16.1827
2021-03-08,15.8366
2021-03-09,15.7117
2021-03-10,16.3076
2021-03-11,15.8655
2021-03-12,15.7982
2021-03-13,15.7982
2021-03-14,15.7982
2021-03-15,15.3079
2021-03-16,15.3272
2021-03-17,15.7597
2021-03-18,16.125
2021-03-19,16.2211
2021-03-20,16.2211
2021-03-21,16.2211
2021-03-22,16.0289
2021-03-23,15.2983
2021-03-24,15.1926
2021-03-25,15.6059
2021-03-26,16.1827
2021-03-27,16.1827
2021-03-28,16.1827
2021-03-29,15.9904
2021-03-30,15.9808
2021-03-31,15.2488
2021-04-01,15.3799
2021-04-02,15.3799
2021-04-03,15.3799
2021-04-04,15.3799
2021-04-05,15.7544
2021-04-06,15.82
2021-04-07,15.6702
2021-04-08,15.717
2021-04-09,15.6608
2021-04-10,15.6608
2021-04-11,15.6608
2021-04-12,15.9885
2021-04-13,15.8574
2021-04-14,16.1102
2021-04-15,16.3443
2021-04-16,16.672
2021-04-17,16.672
2021-04-18,16.672
2021-04-19,17.0466
2021-04-20,16.7188
2021-04-21,17.084
2021-04-22,16.7001
2021-04-23,17.0372
2021-04-24,17.0372
2021-04-25,17.0372
2021-04-26,17.2338
2021-04-27,17.3181
2021-04-28,17.2713
2021-04-29,17.2806
2021-04-30,16.8406
2021-05-01,16.8406
2021-05-02,16.8406
2021-05-03,17.2619
2021-05-04,17.3649
2021-05-05,18.0297
2021-05-06,17.3462
2021-05-07,17.3555
2021-05-08,17.3555
2021-05-09,17.3555
2021-05-10,17.1121
2021-05-11,17.1496
2021-05-12,16.4567
2021-05-13,16.9436
2021-05-14,17.0372
2021-05-15,17.0372
2021-05-16,17.0372
2021-05-17,17.1683
2021-05-18,16.8312
2021-05-19,16.5222
2021-05-20,16.4286
2021-05-21,16.6627
2021-05-22,16.6627
2021-05-23,16.6627
2021-05-24,16.8312
2021-05-25,16.1383
2021-05-26,16.1945
2021-05-27,16.2132
2021-05-28,16.129
2021-05-29,16.129
2021-05-30,16.129
2021-05-31,16.129
2021-06-01,16.6159
2021-06-02,16.3162
2021-06-03,16.3724
2021-06-04,16.2039
2021-06-05,16.2039
2021-06-06,16.2039
2021-06-07,15.6233
2021-06-08,15.5391
2021-06-09,15.4642
2021-06-10,15.2863
2021-06-11,15.3986
2021-06-12,15.3986
2021-06-13,15.3986
2021-06-14,15.1177
2021-06-15,15.1177
2021-06-16,15.3893
2021-06-17,14.6027
2021-06-18,14.4436
2021-06-19,14.4436
2021-06-20,14.4436
2021-06-21,14.7151
2021-06-22,14.6496
2021-06-23,14.5372
2021-06-24,14.6215
2021-06-25,14.6027
2021-06-26,14.6027
2021-06-27,14.6027
2021-06-28,14.3312
2021-06-29,14.2001
2021-06-30,13.9747
2021-07-01,13.9294
2021-07-02,13.8389
2021-07-03,13.8389
2021-07-04,13.8389
2021-07-05,13.8389
2021-07-06,13.531
2021-07-07,13.6578
2021-07-08,13.3408
2021-07-09,13.7755
2021-07-10,13.7755
2021-07-11,13.7755
2021-07-12,13.9385
2021-07-13,13.8298
2021-07-14,13.7212
2021-07-15,13.857
2021-07-16,13.5853
2021-07-17,13.5853
2021-07-18,13.5853
2021-07-19,13.1688
2021-07-20,13.2593
2021-07-21,13.4133
2021-07-22,13.4314
2021-07-23,13.4133
2021-07-24,13.4133
2021-07-25,13.4133
2021-07-26,13.6125
2021-07-27,13.6397
2021-07-28,13.7845
2021-07-29,13.6668
2021-07-30,13.6034
2021-07-31,13.6034
2021-08-01,13.6034
2021-08-02,13.4857
2021-08-03,13.4857
2021-08-04,12.9975
2021-08-05,12.6987
2021-08-06,12.8617
2021-08-07,12.8617
2021-08-08,12.8617
2021-08-09,12.8254
2021-08-10,12.8798
2021-08-11,12.8979
2021-08-12,12.6896
2021-08-13,12.8707
2021-08-14,12.8707
2021-08-15,12.8707
2021-08-16,12.436
2021-08-17,12.5085
2021-08-18,12.427
2021-08-19,12.3364
2021-08-20,12.4904
2021-08-21,12.4904
2021-08-22,12.4904
2021-08-23,12.753
2021-08-24,12.8526
2021-08-25,13.0971
2021-08-26,12.9432
2021-08-27,13.2873
2021-08-28,13.2873
2021-08-29,13.2873
2021-08-30,13.1877
2021-08-31,12.9975
2021-09-01,12.6896
2021-09-02,12.7077
2021-09-03,12.6534
2021-09-04,12.6534
2021-09-05,12.6534
2021-09-06,12.6534
2021-09-07,12.6624
2021-09-08,12.3908
2021-09-09,12.4179
2021-09-10,12.3183
2021-09-11,12.3183
2021-09-12,12.3183
2021-09-13,12.753
2021-09-14,12.5809
2021-09-15,13.0699
2021-09-16,12.6987
2021-09-17,12.6443
2021-09-18,12.6443
2021-09-19,12.6443
2021-09-20,12.1191
2021-09-21,12.0467
2021-09-22,12.1191
2021-09-23,12.3727
2021-09-24,12.264
2021-09-25,12.264
2021-09-26,12.264
2021-09-27,12.6262
2021-09-28,12.6081
2021-09-29,12.4723
2021-09-30,9.5361
2021-10-01,9.7507
2021-10-02,9.7507
2021-10-03,9.7507
2021-10-04,9.7936
2021-10-05,9.8151
2021-10-06,9.7292
2021-10-07,9.8509
2021-10-08,9.8366
2021-10-09,9.8366
2021-10-10,9.8366
2021-10-11,9.9582
2021-10-12,9.901
2021-10-13,9.9081
2021-10-14,10.2229
2021-10-15,10.1156
2021-10-16,10.1156
2021-10-17,10.1156
2021-10-18,10.0297
2021-10-19,9.9868
2021-10-20,10.087
2021-10-21,10.0655
2021-10-22,10.0798
2021-10-23,10.0798
2021-10-24,10.0798
2021-10-25,10.2515
2021-10-26,10.2301
2021-10-27,9.9153
2021-10-28,10.0584
