,APO US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.0076
2020-01-02,9.0002
2020-01-03,8.9485
2020-01-04,8.9485
2020-01-05,8.9485
2020-01-06,8.9884
2020-01-07,8.9958
2020-01-08,9.1465
2020-01-09,9.318
2020-01-10,9.3268
2020-01-11,9.3268
2020-01-12,9.3268
2020-01-13,9.3623
2020-01-14,9.1938
2020-01-15,9.1702
2020-01-16,9.2101
2020-01-17,9.3992
2020-01-18,9.3992
2020-01-19,9.3992
2020-01-20,9.3992
2020-01-21,9.4584
2020-01-22,9.6431
2020-01-23,9.6623
2020-01-24,9.4953
2020-01-25,9.4953
2020-01-26,9.4953
2020-01-27,9.3239
2020-01-28,9.4569
2020-01-29,9.5175
2020-01-30,8.848
2020-01-31,8.9499
2020-02-01,8.9499
2020-02-02,8.9499
2020-02-03,8.746
2020-02-04,8.9115
2020-02-05,9.0445
2020-02-06,8.91
2020-02-07,8.9559
2020-02-08,8.9559
2020-02-09,8.9559
2020-02-10,8.8465
2020-02-11,8.879
2020-02-12,8.8051
2020-02-13,8.7238
2020-02-14,8.712
2020-02-15,8.712
2020-02-16,8.712
2020-02-17,8.712
2020-02-18,8.7061
2020-02-19,8.8391
2020-02-20,8.8214
2020-02-21,8.9686
2020-02-22,8.9686
2020-02-23,8.9686
2020-02-24,8.8504
2020-02-25,8.5818
2020-02-26,8.5865
2020-02-27,8.4499
2020-02-28,8.3501
2020-02-29,8.3501
2020-03-01,8.3501
2020-03-02,8.6156
2020-03-03,8.5266
2020-03-04,8.5465
2020-03-05,8.5159
2020-03-06,8.1721
2020-03-07,8.1721
2020-03-08,8.1721
2020-03-09,7.1837
2020-03-10,7.3955
2020-03-11,7.1622
2020-03-12,6.5759
2020-03-13,7.4738
2020-03-14,7.4738
2020-03-15,7.4738
2020-03-16,6.7371
2020-03-17,6.7448
2020-03-18,6.5606
2020-03-19,6.5437
2020-03-20,6.0756
2020-03-21,6.0756
2020-03-22,6.0756
2020-03-23,5.6091
2020-03-24,6.1738
2020-03-25,7.2804
2020-03-26,7.7423
2020-03-27,7.3986
2020-03-28,7.3986
2020-03-29,7.3986
2020-03-30,7.397
2020-03-31,7.397
2020-04-01,7.397
2020-04-02,7.397
2020-04-03,7.397
2020-04-04,7.397
2020-04-05,7.397
2020-04-06,7.397
2020-04-07,7.397
2020-04-08,7.397
2020-04-09,7.397
2020-04-10,7.397
2020-04-11,7.397
2020-04-12,7.397
2020-04-13,7.397
2020-04-14,7.397
2020-04-15,7.397
2020-04-16,7.397
2020-04-17,7.397
2020-04-18,7.397
2020-04-19,7.397
2020-04-20,7.397
2020-04-21,7.397
2020-04-22,7.397
2020-04-23,7.397
2020-04-24,7.397
2020-04-25,7.397
2020-04-26,7.397
2020-04-27,7.397
2020-04-28,7.397
2020-04-29,7.397
2020-04-30,7.397
2020-05-01,7.397
2020-05-02,7.397
2020-05-03,7.397
2020-05-04,7.397
2020-05-05,7.397
2020-05-06,7.397
2020-05-07,7.397
2020-05-08,7.397
2020-05-09,7.397
2020-05-10,7.397
2020-05-11,7.397
2020-05-12,7.397
2020-05-13,7.397
2020-05-14,7.397
2020-05-15,7.397
2020-05-16,7.397
2020-05-17,7.397
2020-05-18,7.397
2020-05-19,7.397
2020-05-20,7.397
2020-05-21,7.397
2020-05-22,7.397
2020-05-23,7.397
2020-05-24,7.397
2020-05-25,7.397
2020-05-26,7.397
2020-05-27,7.397
2020-05-28,7.397
2020-05-29,7.397
2020-05-30,7.397
2020-05-31,7.397
2020-06-01,7.397
2020-06-02,7.397
2020-06-03,7.397
2020-06-04,7.397
2020-06-05,7.397
2020-06-06,7.397
2020-06-07,7.397
2020-06-08,7.397
2020-06-09,7.397
2020-06-10,7.397
2020-06-11,7.397
2020-06-12,7.397
2020-06-13,7.397
2020-06-14,7.397
2020-06-15,7.397
2020-06-16,7.397
2020-06-17,7.397
2020-06-18,7.397
2020-06-19,7.397
2020-06-20,7.397
2020-06-21,7.397
2020-06-22,7.397
2020-06-23,7.397
2020-06-24,7.397
2020-06-25,7.397
2020-06-26,7.397
2020-06-27,7.397
2020-06-28,7.397
2020-06-29,7.397
2020-06-30,7.397
2020-07-01,7.397
2020-07-02,7.397
2020-07-03,7.397
2020-07-04,7.397
2020-07-05,7.397
2020-07-06,7.397
2020-07-07,7.397
2020-07-08,7.397
2020-07-09,7.397
2020-07-10,7.397
2020-07-11,7.397
2020-07-12,7.397
2020-07-13,7.397
2020-07-14,7.397
2020-07-15,7.397
2020-07-16,7.397
2020-07-17,7.397
2020-07-18,7.397
2020-07-19,7.397
2020-07-20,7.397
2020-07-21,7.397
2020-07-22,7.397
2020-07-23,7.397
2020-07-24,7.397
2020-07-25,7.397
2020-07-26,7.397
2020-07-27,7.397
2020-07-28,7.397
2020-07-29,7.397
2020-07-30,7.397
2020-07-31,7.397
2020-08-01,7.397
2020-08-02,7.397
2020-08-03,7.397
2020-08-04,7.397
2020-08-05,7.397
2020-08-06,7.397
2020-08-07,7.397
2020-08-08,7.397
