,CHDN US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,31.7026
2020-01-02,31.4435
2020-01-03,31.2873
2020-01-04,31.2873
2020-01-05,31.2873
2020-01-06,31.1899
2020-01-07,31.1476
2020-01-08,31.4104
2020-01-09,31.6998
2020-01-10,31.4398
2020-01-11,31.4398
2020-01-12,31.4398
2020-01-13,32.1583
2020-01-14,32.2337
2020-01-15,32.3439
2020-01-16,32.9467
2020-01-17,33.1599
2020-01-18,33.1599
2020-01-19,33.1599
2020-01-20,33.1599
2020-01-21,32.8181
2020-01-22,32.6269
2020-01-23,32.7758
2020-01-24,32.7629
2020-01-25,32.7629
2020-01-26,32.7629
2020-01-27,32.6802
2020-01-28,33.0753
2020-01-29,33.1929
2020-01-30,33.4374
2020-01-31,33.022
2020-02-01,33.022
2020-02-02,33.022
2020-02-03,33.7902
2020-02-04,34.4444
2020-02-05,34.3654
2020-02-06,34.7035
2020-02-07,34.9277
2020-02-08,34.9277
2020-02-09,34.9277
2020-02-10,35.5195
2020-02-11,35.8631
2020-02-12,35.9403
2020-02-13,36.2049
2020-02-14,36.295
2020-02-15,36.295
2020-02-16,36.295
2020-02-17,36.295
2020-02-18,36.6662
2020-02-19,36.6956
2020-02-20,36.5247
2020-02-21,36.1204
2020-02-22,36.1204
2020-02-23,36.1204
2020-02-24,35.3155
2020-02-25,34.0989
2020-02-26,33.2168
2020-02-27,31.8734
2020-02-28,29.4568
2020-02-29,29.4568
2020-03-01,29.4568
2020-03-02,29.9741
2020-03-03,29.486
2020-03-04,30.2922
2020-03-05,28.8846
2020-03-06,28.0328
2020-03-07,28.0328
2020-03-08,28.0328
2020-03-09,25.6691
2020-03-10,26.7477
2020-03-11,24.5364
2020-03-12,20.5485
2020-03-13,23.4212
2020-03-14,23.4212
2020-03-15,23.4212
2020-03-16,20.2692
2020-03-17,19.583
2020-03-18,17.6319
2020-03-19,18.8274
2020-03-20,19.7637
2020-03-21,19.7637
2020-03-22,19.7637
2020-03-23,19.8878
2020-03-24,22.7131
2020-03-25,23.9122
2020-03-26,24.4396
2020-03-27,23.6567
2020-03-28,23.6567
2020-03-29,23.6567
2020-03-30,24.7426
2020-03-31,31.4382
2020-04-01,27.763
2020-04-02,26.5073
2020-04-03,26.3837
2020-04-04,26.3837
2020-04-05,26.3837
2020-04-06,27.9675
2020-04-07,28.0124
2020-04-08,30.3981
2020-04-09,31.6606
2020-04-10,31.6606
2020-04-11,31.6606
2020-04-12,31.6606
2020-04-13,29.2502
2020-04-14,30.3756
2020-04-15,28.8952
2020-04-16,27.9989
2020-04-17,30.2094
2020-04-18,30.2094
2020-04-19,30.2094
2020-04-20,29.3063
2020-04-21,27.9203
2020-04-22,27.7046
2020-04-23,27.7698
2020-04-24,27.9158
2020-04-25,27.9158
2020-04-26,27.9158
2020-04-27,30.1083
2020-04-28,31.227
2020-04-29,32.6371
2020-04-30,30.7538
2020-05-01,29.3162
2020-05-02,29.3162
2020-05-03,29.3162
2020-05-04,29.4013
2020-05-05,30.2209
2020-05-06,30.044
2020-05-07,31.3562
2020-05-08,32.9529
2020-05-09,32.9529
2020-05-10,32.9529
2020-05-11,32.1086
2020-05-12,31.4771
2020-05-13,30.353
2020-05-14,30.6038
2020-05-15,31.0405
2020-05-16,31.0405
2020-05-17,31.0405
2020-05-18,33.3716
2020-05-19,33.6493
2020-05-20,35.2885
2020-05-21,34.8026
2020-05-22,35.6893
2020-05-23,35.6893
2020-05-24,35.6893
2020-05-25,35.6893
2020-05-26,36.8695
2020-05-27,39.9978
2020-05-28,37.8861
2020-05-29,38.0205
2020-05-30,38.0205
2020-05-31,38.0205
2020-06-01,37.7406
2020-06-02,37.866
2020-06-03,39.6955
2020-06-04,38.587
2020-06-05,40.009
2020-06-06,40.009
2020-06-07,40.009
2020-06-08,42.5719
2020-06-09,42.0267
2020-06-10,40.7077
2020-06-11,37.1471
2020-06-12,38.4258
2020-06-13,38.4258
2020-06-14,38.4258
2020-06-15,38.6609
2020-06-16,39.3686
2020-06-17,38.961
2020-06-18,38.7942
2020-06-19,38.2086
2020-06-20,38.2086
2020-06-21,38.2086
2020-06-22,38.7102
2020-06-23,40.0426
2020-06-24,38.025
2020-06-25,38.3071
2020-06-26,36.5067
2020-06-27,36.5067
2020-06-28,36.5067
2020-06-29,38.0339
2020-06-30,350.8827
2020-07-01,348.3695
2020-07-02,348.819
2020-07-03,348.819
2020-07-04,348.819
2020-07-05,348.819
2020-07-06,344.5078
2020-07-07,334.1893
2020-07-08,341.6676
2020-07-09,335.1497
2020-07-10,340.4008
2020-07-11,340.4008
2020-07-12,340.4008
2020-07-13,335.4766
2020-07-14,344.9777
2020-07-15,359.1374
2020-07-16,357.6867
2020-07-17,356.6447
2020-07-18,356.6447
2020-07-19,356.6447
2020-07-20,352.313
2020-07-21,355.6639
2020-07-22,355.337
2020-07-23,347.7974
2020-07-24,350.4945
2020-07-25,350.4945
2020-07-26,350.4945
2020-07-27,341.3816
2020-07-28,335.8648
2020-07-29,343.3595
2020-07-30,362.9745
2020-07-31,361.8507
2020-08-01,361.8507
2020-08-02,361.8507
2020-08-03,372.3528
2020-08-04,375.152
2020-08-05,379.8719
2020-08-06,406.066
2020-08-07,411.2966
2020-08-08,411.2966
2020-08-09,411.2966
2020-08-10,408.62
2020-08-11,426.1304
2020-08-12,427.4585
2020-08-13,432.5461
2020-08-14,434.2215
2020-08-15,434.2215
2020-08-16,434.2215
2020-08-17,436.1626
2020-08-18,437.3272
2020-08-19,435.3862
2020-08-20,432.73
2020-08-21,434.8141
2020-08-22,434.8141
2020-08-23,434.8141
2020-08-24,431.361
2020-08-25,426.1917
2020-08-26,430.1964
2020-08-27,442.6192
2020-08-28,442.4149
2020-08-29,442.4149
2020-08-30,442.4149
2020-08-31,435.897
2020-09-01,442.0266
2020-09-02,447.196
2020-09-03,432.1375
2020-09-04,432.4644
2020-09-05,432.4644
2020-09-06,432.4644
2020-09-07,432.4644
2020-09-08,430.2577
2020-09-09,439.3092
2020-09-10,426.0895
2020-09-11,412.5225
2020-09-12,412.5225
2020-09-13,412.5225
2020-09-14,419.2652
2020-09-15,414.0754
2020-09-16,415.097
2020-09-17,409.2125
2020-09-18,402.286
2020-09-19,402.286
2020-09-20,402.286
2020-09-21,394.3787
2020-09-22,412.2978
2020-09-23,414.8109
2020-09-24,382.0786
2020-09-25,425.5992
2020-09-26,425.5992
2020-09-27,425.5992
2020-09-28,434.8549
2020-09-29,417.9166
2020-09-30,195.261
2020-10-01,201.1377
2020-10-02,202.3592
2020-10-03,202.3592
2020-10-04,202.3592
2020-10-05,202.4938
2020-10-06,199.8392
2020-10-07,204.4174
2020-10-08,206.9374
2020-10-09,201.859
2020-10-10,201.859
2020-10-11,201.859
2020-10-12,204.6098
2020-10-13,203.648
2020-10-14,202.0129
2020-10-15,204.6675
2020-10-16,205.0138
2020-10-17,205.0138
2020-10-18,205.0138
2020-10-19,200.474
2020-10-20,200.6279
2020-10-21,198.4542
2020-10-22,202.9651
2020-10-23,204.2924
2020-10-24,204.2924
2020-10-25,204.2924
2020-10-26,200.7145
2020-10-27,195.5977
2020-10-28,191.2457
2020-10-29,185.289
2020-10-30,181.228
2020-10-31,181.228
2020-11-01,181.228
2020-11-02,184.981
2020-11-03,195.1239
2020-11-04,196.7599
2020-11-05,203.0342
2020-11-06,199.31
2020-11-07,199.31
2020-11-08,199.31
2020-11-09,211.2332
2020-11-10,212.898
2020-11-11,210.5981
2020-11-12,207.74
2020-11-13,211.7336
2020-11-14,211.7336
2020-11-15,211.7336
2020-11-16,215.7657
2020-11-17,213.5235
2020-11-18,211.3679
2020-11-19,218.0368
2020-11-20,217.2381
2020-11-21,217.2381
2020-11-22,217.2381
2020-11-23,217.5268
2020-11-24,216.8628
2020-11-25,215.9389
2020-11-26,215.9389
2020-11-27,215.7272
2020-11-28,215.7272
2020-11-29,215.7272
2020-11-30,210.8386
2020-12-01,213.6871
2020-12-02,210.9926
2020-12-03,213.6871
2020-12-04,219.8556
2020-12-05,219.8556
2020-12-06,219.8556
2020-12-07,222.3961
2020-12-08,225.2735
2020-12-09,226.717
2020-12-10,230.3738
2020-12-11,223.7434
2020-12-12,223.7434
2020-12-13,223.7434
2020-12-14,226.6496
2020-12-15,232.7026
2020-12-16,233.4725
2020-12-17,238.7652
2020-12-18,237.2833
2020-12-19,237.2833
2020-12-20,237.2833
2020-12-21,231.7307
2020-12-22,233.1741
2020-12-23,236.6481
2020-12-24,236.8117
2020-12-25,236.8117
2020-12-26,236.8117
2020-12-27,236.8117
2020-12-28,237.3987
2020-12-29,226.3032
2020-12-30,228.6512
2020-12-31,153.9914
2021-01-01,153.9914
2021-01-02,153.9914
2021-01-03,153.9914
2021-01-04,149.7968
2021-01-05,155.0728
2021-01-06,161.0239
2021-01-07,164.1239
2021-01-08,165.1988
2021-01-09,165.1988
2021-01-10,165.1988
2021-01-11,165.3561
2021-01-12,165.3233
2021-01-13,160.1522
2021-01-14,162.1381
2021-01-15,162.2102
2021-01-16,162.2102
2021-01-17,162.2102
2021-01-18,162.2102
2021-01-19,164.137
2021-01-20,165.9787
2021-01-21,164.1108
2021-01-22,166.8176
2021-01-23,166.8176
2021-01-24,166.8176
2021-01-25,160.5585
2021-01-26,155.7872
2021-01-27,147.5619
2021-01-28,154.4305
2021-01-29,149.1808
2021-01-30,149.1808
2021-01-31,149.1808
2021-02-01,155.0204
2021-02-02,161.3123
2021-02-03,159.8311
2021-02-04,164.7269
2021-02-05,170.3372
2021-02-06,170.3372
2021-02-07,170.3372
2021-02-08,167.9384
2021-02-09,165.8608
2021-02-10,164.858
2021-02-11,163.8356
2021-02-12,168.8363
2021-02-13,168.8363
2021-02-14,168.8363
2021-02-15,168.8363
2021-02-16,168.0891
2021-02-17,166.6997
2021-02-18,167.2043
2021-02-19,169.7735
2021-02-20,169.7735
2021-02-21,169.7735
2021-02-22,174.7218
2021-02-23,175.7639
2021-02-24,181.4397
2021-02-25,173.0073
2021-02-26,173.7296
2021-02-27,173.7296
2021-02-28,173.7296
2021-03-01,178.1524
2021-03-02,179.028
2021-03-03,176.0944
2021-03-04,171.3072
2021-03-05,173.0457
2021-03-06,173.0457
2021-03-07,173.0457
2021-03-08,172.8859
2021-03-09,177.999
2021-03-10,184.646
2021-03-11,187.7068
2021-03-12,189.0698
2021-03-13,189.0698
2021-03-14,189.0698
2021-03-15,188.5899
2021-03-16,181.7558
2021-03-17,183.5923
2021-03-18,179.2794
2021-03-19,180.0281
2021-03-20,180.0281
2021-03-21,180.0281
2021-03-22,175.4017
2021-03-23,171.9974
2021-03-24,167.7038
2021-03-25,171.7863
2021-03-26,175.4529
2021-03-27,175.4529
2021-03-28,175.4529
2021-03-29,170.3401
2021-03-30,173.9107
2021-03-31,89.318
2021-04-01,90.5566
2021-04-02,90.5566
2021-04-03,90.5566
2021-04-04,90.5566
2021-04-05,89.7569
2021-04-06,90.3778
2021-04-07,87.9495
2021-04-08,88.034
2021-04-09,87.5269
2021-04-10,87.5269
2021-04-11,87.5269
2021-04-12,86.0217
2021-04-13,86.0445
2021-04-14,85.999
2021-04-15,86.1615
2021-04-16,87.1205
2021-04-17,87.1205
2021-04-18,87.1205
2021-04-19,85.1245
2021-04-20,83.9673
2021-04-21,86.5919
2021-04-22,84.609
2021-04-23,85.5679
2021-04-24,85.5679
2021-04-25,85.5679
2021-04-26,85.5842
2021-04-27,86.5626
2021-04-28,86.7511
2021-04-29,85.5029
2021-04-30,84.1409
2021-05-01,84.1409
2021-05-02,84.1409
2021-05-03,83.2502
2021-05-04,82.7951
2021-05-05,82.535
2021-05-06,80.3538
2021-05-07,80.8057
2021-05-08,80.8057
2021-05-09,80.8057
2021-05-10,78.1336
2021-05-11,79.2518
2021-05-12,76.5505
2021-05-13,77.2234
2021-05-14,80.1458
2021-05-15,80.1458
2021-05-16,80.1458
2021-05-17,78.5139
2021-05-18,77.7338
2021-05-19,77.1291
2021-05-20,77.2917
2021-05-21,78.2831
2021-05-22,78.2831
2021-05-23,78.2831
2021-05-24,80.071
2021-05-25,80.4481
2021-05-26,81.5306
2021-05-27,81.3778
2021-05-28,80.2498
2021-05-29,80.2498
2021-05-30,80.2498
2021-05-31,80.2498
2021-06-01,80.8934
2021-06-02,80.6269
2021-06-03,79.5509
2021-06-04,80.2888
2021-06-05,80.2888
2021-06-06,80.2888
2021-06-07,81.173
2021-06-08,80.24
2021-06-09,80.149
2021-06-10,79.915
2021-06-11,80.7341
2021-06-12,80.7341
2021-06-13,80.7341
2021-06-14,80.6464
2021-06-15,79.8402
2021-06-16,79.2778
2021-06-17,77.7565
2021-06-18,77.711
2021-06-19,77.711
2021-06-20,77.711
2021-06-21,79.8825
2021-06-22,80.8187
2021-06-23,80.7862
2021-06-24,81.1015
2021-06-25,82.0734
2021-06-26,82.0734
2021-06-27,82.0734
2021-06-28,79.7102
2021-06-29,80.0548
2021-06-30,36.4333
2021-07-01,36.6665
2021-07-02,36.8544
2021-07-03,36.8544
2021-07-04,36.8544
2021-07-05,36.8544
2021-07-06,35.8213
2021-07-07,35.2305
2021-07-08,34.8912
2021-07-09,35.4517
2021-07-10,35.4517
2021-07-11,35.4517
2021-07-12,35.638
2021-07-13,34.767
2021-07-14,34.1929
2021-07-15,34.2762
2021-07-16,33.8279
2021-07-17,33.8279
2021-07-18,33.8279
2021-07-19,33.2568
2021-07-20,34.4686
2021-07-21,35.276
2021-07-22,35.3335
2021-07-23,35.0306
2021-07-24,35.0306
2021-07-25,35.0306
2021-07-26,35.2987
2021-07-27,34.9745
2021-07-28,34.9106
2021-07-29,34.6485
2021-07-30,34.5455
2021-07-31,34.5455
2021-08-01,34.5455
2021-08-02,34.4713
2021-08-03,33.8215
2021-08-04,34.1214
2021-08-05,35.4029
2021-08-06,36.0375
2021-08-07,36.0375
2021-08-08,36.0375
2021-08-09,35.6301
2021-08-10,36.0921
2021-08-11,36.1118
2021-08-12,35.9527
2021-08-13,35.4665
2021-08-14,35.4665
2021-08-15,35.4665
2021-08-16,34.9378
2021-08-17,34.2577
2021-08-18,34.7424
2021-08-19,34.7364
2021-08-20,35.2771
2021-08-21,35.2771
2021-08-22,35.2771
2021-08-23,35.8921
2021-08-24,36.8146
2021-08-25,37.366
2021-08-26,37.0751
2021-08-27,38.1506
2021-08-28,38.1506
2021-08-29,38.1506
2021-08-30,38.1688
2021-08-31,38.2869
2021-09-01,38.8156
2021-09-02,39.0019
2021-09-03,39.2564
2021-09-04,39.2564
2021-09-05,39.2564
2021-09-06,39.2564
2021-09-07,40.0592
2021-09-08,39.8805
2021-09-09,39.7941
2021-09-10,39.3988
2021-09-11,39.3988
2021-09-12,39.3988
2021-09-13,39.6442
2021-09-14,39.6684
2021-09-15,39.7078
2021-09-16,40.6545
2021-09-17,40.7726
2021-09-18,40.7726
2021-09-19,40.7726
2021-09-20,40.6909
2021-09-21,40.7499
2021-09-22,41.7572
2021-09-23,42.454
2021-09-24,42.8145
2021-09-25,42.8145
2021-09-26,42.8145
