,TXN US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,21.0421
2020-01-02,21.2507
2020-01-03,20.9703
2020-01-04,20.9703
2020-01-05,20.9703
2020-01-06,20.8253
2020-01-07,21.2246
2020-01-08,21.2817
2020-01-09,21.5376
2020-01-10,21.3208
2020-01-11,21.3208
2020-01-12,21.3208
2020-01-13,21.3126
2020-01-14,21.43
2020-01-15,21.1855
2020-01-16,21.3469
2020-01-17,21.5979
2020-01-18,21.5979
2020-01-19,21.5979
2020-01-20,21.5979
2020-01-21,21.461
2020-01-22,21.8652
2020-01-23,22.0136
2020-01-24,21.4056
2020-01-25,21.4056
2020-01-26,21.4056
2020-01-27,20.7193
2020-01-28,21.0013
2020-01-29,20.5857
2020-01-30,20.4112
2020-01-31,19.7967
2020-02-01,19.7967
2020-02-02,19.7967
2020-02-03,20.245
2020-02-04,20.7454
2020-02-05,21.7185
2020-02-06,21.7316
2020-02-07,21.1089
2020-02-08,21.1089
2020-02-09,21.1089
2020-02-10,21.2637
2020-02-11,21.4349
2020-02-12,21.7153
2020-02-13,21.7788
2020-02-14,21.681
2020-02-15,21.681
2020-02-16,21.681
2020-02-17,21.681
2020-02-18,21.5229
2020-02-19,21.831
2020-02-20,21.5421
2020-02-21,21.0616
2020-02-22,21.0616
2020-02-23,21.0616
2020-02-24,19.9086
2020-02-25,19.4102
2020-02-26,19.477
2020-02-27,18.5552
2020-02-28,18.7197
2020-02-29,18.7197
2020-03-01,18.7197
2020-03-02,19.5063
2020-03-03,18.6659
2020-03-04,19.5193
2020-03-05,18.8141
2020-03-06,18.56
2020-03-07,18.56
2020-03-08,18.56
2020-03-09,17.2376
2020-03-10,18.3907
2020-03-11,17.47
2020-03-12,16.0096
2020-03-13,17.3951
2020-03-14,17.3951
2020-03-15,17.3951
2020-03-16,15.3534
2020-03-17,17.413
2020-03-18,16.4117
2020-03-19,16.6673
2020-03-20,16.021
2020-03-21,16.021
2020-03-22,16.021
2020-03-23,16.1577
2020-03-24,17.2844
2020-03-25,16.2749
2020-03-26,17.6751
2020-03-27,16.4931
2020-03-28,16.4931
2020-03-29,16.4931
2020-03-30,16.7406
2020-03-31,17.0206
2020-04-01,16.5127
