,GNRC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,18.6118
2020-01-02,18.8491
2020-01-03,18.7923
2020-01-04,18.7923
2020-01-05,18.7923
2020-01-06,18.7221
2020-01-07,18.9978
2020-01-08,18.5182
2020-01-09,18.4129
2020-01-10,18.301
2020-01-11,18.301
2020-01-12,18.301
2020-01-13,18.6653
2020-01-14,18.8708
2020-01-15,18.8959
2020-01-16,19.1683
2020-01-17,19.1014
2020-01-18,19.1014
2020-01-19,19.1014
2020-01-20,19.1014
2020-01-21,18.9159
2020-01-22,18.9427
2020-01-23,19.0129
2020-01-24,19.6278
2020-01-25,19.6278
2020-01-26,19.6278
2020-01-27,19.3454
2020-01-28,19.698
2020-01-29,20.1308
2020-01-30,19.7665
2020-01-31,19.1131
2020-02-01,19.1131
2020-02-02,19.1131
2020-02-03,19.1382
2020-02-04,19.2284
2020-02-05,19.1933
2020-02-06,19.0012
2020-02-07,18.7388
2020-02-08,18.7388
2020-02-09,18.7388
2020-02-10,20.0673
2020-02-11,20.2227
2020-02-12,20.8059
2020-02-13,21.1522
2020-02-14,20.7359
2020-02-15,20.7359
2020-02-16,20.7359
2020-02-17,20.7359
2020-02-18,20.3749
2020-02-19,21.2374
2020-02-20,21.3561
2020-02-21,21.2257
2020-02-22,21.2257
2020-02-23,21.2257
2020-02-24,20.6557
2020-02-25,19.7413
2020-02-26,20.3372
2020-02-27,19.4596
2020-02-28,19.0199
2020-02-29,19.0199
2020-03-01,19.0199
2020-03-02,20.0096
2020-03-03,20.3991
2020-03-04,21.5426
2020-03-05,21.2801
2020-03-06,20.5261
2020-03-07,20.5261
2020-03-08,20.5261
2020-03-09,18.6989
2020-03-10,19.8675
2020-03-11,18.8678
2020-03-12,17.5839
2020-03-13,18.4381
2020-03-14,18.4381
2020-03-15,18.4381
2020-03-16,16.4087
2020-03-17,17.6508
2020-03-18,16.6026
2020-03-19,16.6143
2020-03-20,15.9757
2020-03-21,15.9757
2020-03-22,15.9757
2020-03-23,15.0111
2020-03-24,16.1311
2020-03-25,16.4755
2020-03-26,17.9132
2020-03-27,16.6745
2020-03-28,16.6745
2020-03-29,16.6745
2020-03-30,17.4384
2020-03-31,17.7969
2020-04-01,16.0532
2020-04-02,16.6465
2020-04-03,16.3335
2020-04-04,16.3335
2020-04-05,16.3335
2020-04-06,17.5957
2020-04-07,17.1899
2020-04-08,18.3437
2020-04-09,19.2018
2020-04-10,19.2018
2020-04-11,19.2018
2020-04-12,19.2018
2020-04-13,18.8063
2020-04-14,19.329
2020-04-15,18.4228
2020-04-16,18.3678
2020-04-17,18.8527
2020-04-18,18.8527
2020-04-19,18.8527
2020-04-20,18.863
2020-04-21,17.9654
2020-04-22,18.4004
2020-04-23,18.4503
2020-04-24,18.5501
2020-04-25,18.5501
2020-04-26,18.5501
2020-04-27,18.7736
2020-04-28,18.8269
2020-04-29,19.6042
2020-04-30,18.561
2020-05-01,17.8461
2020-05-02,17.8461
2020-05-03,17.8461
2020-05-04,18.039
2020-05-05,18.9028
2020-05-06,18.9165
2020-05-07,18.8649
2020-05-08,19.6676
2020-05-09,19.6676
2020-05-10,19.6676
2020-05-11,19.6659
2020-05-12,18.9562
2020-05-13,18.6409
2020-05-14,19.1181
2020-05-15,19.8124
2020-05-16,19.8124
2020-05-17,19.8124
2020-05-18,20.9683
2020-05-19,20.7461
2020-05-20,21.2439
2020-05-21,21.4903
2020-05-22,21.4834
2020-05-23,21.4834
2020-05-24,21.4834
2020-05-25,21.4834
2020-05-26,22.1036
2020-05-27,22.8013
2020-05-28,22.1018
2020-05-29,20.9442
2020-05-30,20.9442
2020-05-31,20.9442
2020-06-01,20.8236
2020-06-02,20.8098
2020-06-03,21.1078
2020-06-04,20.8167
2020-06-05,21.5575
2020-06-06,21.5575
2020-06-07,21.5575
2020-06-08,21.3921
2020-06-09,21.237
2020-06-10,21.2818
2020-06-11,20.1448
2020-06-12,19.9398
2020-06-13,19.9398
2020-06-14,19.9398
2020-06-15,20.8115
2020-06-16,21.5454
2020-06-17,21.1544
2020-06-18,20.8494
2020-06-19,21.3335
2020-06-20,21.3335
2020-06-21,21.3335
2020-06-22,21.9347
2020-06-23,21.8779
2020-06-24,21.2887
2020-06-25,21.5557
2020-06-26,22.0605
2020-06-27,22.0605
2020-06-28,22.0605
2020-06-29,22.2552
2020-06-30,22.6305
2020-07-01,22.4852
2020-07-02,22.7688
2020-07-03,22.7688
2020-07-04,22.7688
2020-07-05,22.7688
2020-07-06,23.1423
2020-07-07,23.0801
2020-07-08,23.4346
2020-07-09,23.4398
2020-07-10,23.5712
2020-07-11,23.5712
2020-07-12,23.5712
2020-07-13,23.445
2020-07-14,24.2214
2020-07-15,24.709
2020-07-16,24.4652
2020-07-17,24.8578
2020-07-18,24.8578
2020-07-19,24.8578
2020-07-20,25.1742
2020-07-21,25.0808
2020-07-22,24.984
2020-07-23,25.2053
2020-07-24,24.9338
2020-07-25,24.9338
2020-07-26,24.9338
2020-07-27,25.4699
2020-07-28,24.9442
2020-07-29,25.7085
2020-07-30,27.111
2020-07-31,28.7952
2020-08-01,28.7952
2020-08-02,28.7952
2020-08-03,29.6754
2020-08-04,30.0531
2020-08-05,31.0665
2020-08-06,31.5099
2020-08-07,32.4834
2020-08-08,32.4834
2020-08-09,32.4834
2020-08-10,30.3562
2020-08-11,30.1033
2020-08-12,31.2189
2020-08-13,31.839
2020-08-14,31.9204
2020-08-15,31.9204
2020-08-16,31.9204
2020-08-17,33.107
2020-08-18,33.0169
2020-08-19,32.9338
2020-08-20,33.1503
2020-08-21,33.8883
2020-08-22,33.8883
2020-08-23,33.8883
2020-08-24,34.1342
2020-08-25,33.8294
2020-08-26,34.6002
2020-08-27,33.8779
2020-08-28,34.2884
2020-08-29,34.2884
2020-08-30,34.2884
2020-08-31,34.4547
2020-09-01,35.0211
2020-09-02,34.7145
2020-09-03,32.3916
2020-09-04,32.4678
2020-09-05,32.4678
2020-09-06,32.4678
2020-09-07,32.4678
2020-09-08,31.8252
2020-09-09,33.4102
2020-09-10,32.7311
2020-09-11,32.4505
2020-09-12,32.4505
2020-09-13,32.4505
2020-09-14,33.4361
2020-09-15,33.9575
2020-09-16,33.8553
2020-09-17,33.4344
2020-09-18,33.1902
2020-09-19,33.1902
2020-09-20,33.1902
2020-09-21,32.939
2020-09-22,33.2283
2020-09-23,31.9915
2020-09-24,32.3916
2020-09-25,32.8403
2020-09-26,32.8403
2020-09-27,32.8403
2020-09-28,34.4893
2020-09-29,34.136
2020-09-30,30.5349
2020-10-01,30.9184
2020-10-02,31.1604
2020-10-03,31.1604
2020-10-04,31.1604
2020-10-05,32.6991
2020-10-06,32.6245
2020-10-07,32.5743
2020-10-08,32.1877
2020-10-09,32.3445
2020-10-10,32.3445
2020-10-11,32.3445
2020-10-12,32.1101
2020-10-13,31.7372
2020-10-14,31.9594
2020-10-15,32.9928
2020-10-16,32.7523
2020-10-17,32.7523
2020-10-18,32.7523
2020-10-19,33.0446
2020-10-20,33.3094
2020-10-21,32.3171
2020-10-22,32.9243
2020-10-23,33.3352
2020-10-24,33.3352
2020-10-25,33.3352
2020-10-26,33.0856
2020-10-27,32.6762
2020-10-28,34.1069
2020-10-29,34.0247
2020-10-30,33.0476
2020-10-31,33.0476
2020-11-01,33.0476
2020-11-02,33.4159
2020-11-03,34.8087
2020-11-04,35.1073
2020-11-05,36.2085
2020-11-06,36.5604
2020-11-07,36.5604
2020-11-08,36.5604
2020-11-09,34.6564
2020-11-10,34.2619
2020-11-11,35.3799
2020-11-12,34.5406
2020-11-13,33.9603
2020-11-14,33.9603
2020-11-15,33.9603
2020-11-16,33.5368
2020-11-17,33.0647
2020-11-18,33.3464
2020-11-19,34.0791
2020-11-20,35.0265
2020-11-21,35.0265
2020-11-22,35.0265
2020-11-23,34.5178
2020-11-24,33.6359
2020-11-25,34.0426
2020-11-26,34.0426
2020-11-27,34.7874
2020-11-28,34.7874
2020-11-29,34.7874
2020-11-30,33.9039
2020-12-01,33.511
2020-12-02,33.1637
2020-12-03,32.6823
2020-12-04,32.329
2020-12-05,32.329
2020-12-06,32.329
2020-12-07,32.8849
2020-12-08,34.0974
2020-12-09,32.9641
2020-12-10,33.2444
2020-12-11,34.1598
2020-12-12,34.1598
2020-12-13,34.1598
2020-12-14,34.2786
2020-12-15,35.2444
2020-12-16,34.6412
2020-12-17,34.3609
2020-12-18,34.0852
2020-12-19,34.0852
2020-12-20,34.0852
2020-12-21,36.1415
2020-12-22,35.6876
2020-12-23,35.6419
2020-12-24,36.5848
2020-12-25,36.5848
2020-12-26,36.5848
2020-12-27,36.5848
2020-12-28,36.5604
2020-12-29,34.7828
2020-12-30,35.974
2020-12-31,30.5791
2021-01-01,30.5791
2021-01-02,30.5791
2021-01-03,30.5791
2021-01-04,30.2053
2021-01-05,30.6539
2021-01-06,33.0555
2021-01-07,34.1323
2021-01-08,33.87
2021-01-09,33.87
2021-01-10,33.87
2021-01-11,34.9586
2021-01-12,34.7291
2021-01-13,33.887
2021-01-14,33.9434
2021-01-15,33.9106
2021-01-16,33.9106
2021-01-17,33.9106
2021-01-18,33.9106
2021-01-19,35.8322
2021-01-20,36.0066
2021-01-21,36.471
2021-01-22,37.1635
2021-01-23,37.1635
2021-01-24,37.1635
2021-01-25,36.0368
2021-01-26,35.4846
2021-01-27,33.386
2021-01-28,33.9264
