,M US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,7.6393
2020-01-02,7.5505
2020-01-03,7.5524
2020-01-04,7.5524
2020-01-05,7.5524
2020-01-06,7.6577
2020-01-07,7.7631
2020-01-08,7.8426
2020-01-09,7.7705
2020-01-10,7.789
2020-01-11,7.789
2020-01-12,7.789
2020-01-13,7.8019
2020-01-14,7.7982
2020-01-15,7.7169
2020-01-16,7.7372
2020-01-17,7.7446
2020-01-18,7.7446
2020-01-19,7.7446
2020-01-20,7.7446
2020-01-21,7.6374
2020-01-22,7.667
2020-01-23,7.6522
2020-01-24,7.5986
2020-01-25,7.5986
2020-01-26,7.5986
2020-01-27,7.5246
2020-01-28,7.6152
2020-01-29,7.6152
2020-01-30,7.6078
2020-01-31,9.8831
2020-02-01,9.8831
2020-02-02,9.8831
2020-02-03,10.0167
2020-02-04,10.0193
2020-02-05,10.2761
2020-02-06,10.1451
2020-02-07,10.001
2020-02-08,10.001
2020-02-09,10.001
2020-02-10,9.9565
2020-02-11,9.9905
2020-02-12,10.1582
2020-02-13,10.0901
2020-02-14,10.0717
2020-02-15,10.0717
2020-02-16,10.0717
2020-02-17,10.0717
2020-02-18,9.9145
2020-02-19,9.9722
2020-02-20,10.0639
2020-02-21,9.9565
2020-02-22,9.9565
2020-02-23,9.9565
2020-02-24,9.7521
2020-02-25,9.5298
2020-02-26,9.2651
2020-02-27,9.0843
2020-02-28,9.1708
2020-02-29,9.1708
2020-03-01,9.1708
2020-03-02,9.1079
2020-03-03,9.0188
2020-03-04,9.0214
2020-03-05,8.7384
2020-03-06,8.7148
2020-03-07,8.7148
2020-03-08,8.7148
2020-03-09,8.4371
2020-03-10,8.4161
2020-03-11,8.1908
2020-03-12,7.6378
2020-03-13,7.8082
2020-03-14,7.8082
2020-03-15,7.8082
2020-03-16,7.4623
2020-03-17,7.4596
2020-03-18,7.3286
2020-03-19,7.457
2020-03-20,7.2815
2020-03-21,7.2815
2020-03-22,7.2815
2020-03-23,6.9644
2020-03-24,7.1871
2020-03-25,7.4361
2020-03-26,7.2605
2020-03-27,7.1531
2020-03-28,7.1531
2020-03-29,7.1531
2020-03-30,7.1111
2020-03-31,6.9933
2020-04-01,6.8672
2020-04-02,6.8726
2020-04-03,6.9671
2020-04-04,6.9671
2020-04-05,6.9671
2020-04-06,7.1825
2020-04-07,7.256
2020-04-08,7.2823
2020-04-09,7.453
2020-04-10,7.453
2020-04-11,7.453
2020-04-12,7.453
2020-04-13,7.3216
2020-04-14,7.3321
2020-04-15,7.2087
2020-04-16,7.2166
2020-04-17,7.2586
2020-04-18,7.2586
2020-04-19,7.2586
2020-04-20,7.0984
2020-04-21,7.0748
2020-04-22,6.9697
2020-04-23,6.9881
2020-04-24,7.0223
2020-04-25,7.0223
2020-04-26,7.0223
2020-04-27,7.1483
2020-04-28,7.277
2020-04-29,7.298
2020-04-30,7.2429
2020-05-01,7.2429
2020-05-02,7.2429
2020-05-03,7.2429
2020-05-04,7.2429
2020-05-05,7.2429
2020-05-06,7.2429
2020-05-07,7.2429
2020-05-08,7.2429
2020-05-09,7.2429
2020-05-10,7.2429
2020-05-11,7.2429
2020-05-12,7.2429
2020-05-13,7.2429
2020-05-14,7.2429
2020-05-15,7.2429
2020-05-16,7.2429
2020-05-17,7.2429
2020-05-18,7.2429
2020-05-19,7.2429
2020-05-20,7.2429
2020-05-21,7.2429
2020-05-22,7.2429
2020-05-23,7.2429
2020-05-24,7.2429
2020-05-25,7.2429
2020-05-26,7.2429
2020-05-27,7.2429
2020-05-28,7.2429
2020-05-29,7.2429
2020-05-30,7.2429
2020-05-31,7.2429
2020-06-01,7.2429
2020-06-02,7.2429
2020-06-03,7.2429
2020-06-04,7.2429
2020-06-05,7.2429
2020-06-06,7.2429
2020-06-07,7.2429
2020-06-08,7.2429
2020-06-09,7.2429
2020-06-10,7.2429
2020-06-11,7.2429
2020-06-12,7.2429
2020-06-13,7.2429
2020-06-14,7.2429
2020-06-15,7.2429
2020-06-16,7.2429
2020-06-17,7.2429
2020-06-18,7.2429
2020-06-19,7.2429
2020-06-20,7.2429
2020-06-21,7.2429
2020-06-22,7.2429
2020-06-23,7.2429
2020-06-24,7.2429
2020-06-25,7.2429
2020-06-26,7.2429
2020-06-27,7.2429
2020-06-28,7.2429
2020-06-29,7.2429
2020-06-30,7.2429
2020-07-01,7.2429
2020-07-02,7.2429
2020-07-03,7.2429
2020-07-04,7.2429
2020-07-05,7.2429
2020-07-06,7.2429
2020-07-07,7.2429
2020-07-08,7.2429
2020-07-09,7.2429
2020-07-10,7.2429
2020-07-11,7.2429
2020-07-12,7.2429
2020-07-13,7.2429
2020-07-14,7.2429
2020-07-15,7.2429
2020-07-16,7.2429
2020-07-17,7.2429
2020-07-18,7.2429
2020-07-19,7.2429
2020-07-20,7.2429
2020-07-21,7.2429
2020-07-22,7.2429
2020-07-23,7.2429
2020-07-24,7.2429
2020-07-25,7.2429
2020-07-26,7.2429
2020-07-27,7.2429
2020-07-28,7.2429
2020-07-29,7.2429
2020-07-30,7.2429
2020-07-31,7.2429
2020-08-01,7.2429
2020-08-02,7.2429
2020-08-03,7.2429
2020-08-04,7.2429
2020-08-05,7.2429
2020-08-06,7.2429
2020-08-07,7.2429
2020-08-08,7.2429
2020-08-09,7.2429
2020-08-10,7.2429
