,IPG US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.9723
2020-01-02,11.8331
2020-01-03,11.8402
2020-01-04,11.8402
2020-01-05,11.8402
2020-01-06,11.9116
2020-01-07,11.9295
2020-01-08,11.9509
2020-01-09,11.9937
2020-01-10,11.9794
2020-01-11,11.9794
2020-01-12,11.9794
2020-01-13,12.0651
2020-01-14,12.1615
2020-01-15,12.2222
2020-01-16,12.2008
2020-01-17,12.3472
2020-01-18,12.3472
2020-01-19,12.3472
2020-01-20,12.3472
2020-01-21,12.3115
2020-01-22,12.1865
2020-01-23,12.1294
2020-01-24,12.083
2020-01-25,12.083
2020-01-26,12.083
2020-01-27,11.9937
2020-01-28,12.0187
2020-01-29,11.9437
2020-01-30,12.008
2020-01-31,11.8295
2020-02-01,11.8295
2020-02-02,11.8295
2020-02-03,11.858
2020-02-04,11.8902
2020-02-05,12.1222
2020-02-06,12.0116
2020-02-07,11.9437
2020-02-08,11.9437
2020-02-09,11.9437
2020-02-10,11.9937
2020-02-11,12.0258
2020-02-12,12.6435
2020-02-13,12.6721
2020-02-14,12.4614
2020-02-15,12.4614
2020-02-16,12.4614
2020-02-17,12.4614
2020-02-18,12.6007
2020-02-19,12.6471
2020-02-20,12.6257
2020-02-21,12.4421
2020-02-22,12.4421
2020-02-23,12.4421
2020-02-24,12.2814
2020-02-25,11.9921
2020-02-26,11.935
2020-02-27,11.51
2020-02-28,11.3529
2020-02-29,11.3529
2020-03-01,11.3529
2020-03-02,11.5064
2020-03-03,11.2993
2020-03-04,11.4243
2020-03-05,11.1208
2020-03-06,10.8815
2020-03-07,10.8815
2020-03-08,10.8815
2020-03-09,10.2351
2020-03-10,10.453
2020-03-11,10.1566
2020-03-12,9.1745
2020-03-13,9.8352
2020-03-14,9.8352
2020-03-15,9.8352
2020-03-16,9.1424
2020-03-17,9.2495
2020-03-18,8.9745
2020-03-19,8.7602
2020-03-20,8.196
2020-03-21,8.196
2020-03-22,8.196
2020-03-23,8.3246
2020-03-24,8.9995
2020-03-25,9.0995
2020-03-26,9.6673
2020-03-27,9.1566
2020-03-28,9.1566
2020-03-29,9.1566
2020-03-30,9.5102
2020-03-31,9.7058
2020-04-01,9.1302
2020-04-02,9.0709
2020-04-03,8.7953
2020-04-04,8.7953
2020-04-05,8.7953
2020-04-06,9.2977
2020-04-07,9.4268
2020-04-08,9.6047
2020-04-09,9.7609
2020-04-10,9.7609
2020-04-11,9.7609
2020-04-12,9.7609
2020-04-13,9.6768
2020-04-14,9.6803
2020-04-15,9.2074
2020-04-16,9.1478
2020-04-17,9.3335
2020-04-18,9.3335
2020-04-19,9.3335
2020-04-20,9.2144
2020-04-21,8.9727
2020-04-22,8.9762
2020-04-23,9.2097
2020-04-24,9.2237
2020-04-25,9.2237
2020-04-26,9.2237
2020-04-27,9.5707
2020-04-28,9.8581
2020-04-29,10.3697
2020-04-30,10.0088
2020-05-01,9.816
2020-05-02,9.816
2020-05-03,9.816
2020-05-04,9.6197
2020-05-05,9.5917
2020-05-06,9.7424
2020-05-07,9.7599
2020-05-08,10.1279
2020-05-09,10.1279
2020-05-10,10.1279
2020-05-11,9.9071
2020-05-12,9.7109
2020-05-13,9.3604
2020-05-14,9.441
2020-05-15,9.4445
2020-05-16,9.4445
2020-05-17,9.4445
2020-05-18,9.8826
2020-05-19,9.6828
2020-05-20,9.9001
2020-05-21,9.781
2020-05-22,9.8335
2020-05-23,9.8335
2020-05-24,9.8335
2020-05-25,9.8335
2020-05-26,10.2015
2020-05-27,10.4328
2020-05-28,10.17
2020-05-29,10.0543
2020-05-30,10.0543
2020-05-31,10.0543
2020-06-01,10.1805
2020-06-02,10.2085
2020-06-03,10.4714
2020-06-04,10.58
2020-06-05,10.8394
2020-06-06,10.8394
2020-06-07,10.8394
2020-06-08,11.1478
2020-06-09,10.8008
2020-06-10,10.5975
2020-06-11,10.0368
2020-06-12,10.1139
2020-06-13,10.1139
2020-06-14,10.1139
2020-06-15,10.2576
2020-06-16,10.3102
2020-06-17,10.177
2020-06-18,10.2085
2020-06-19,10.0368
2020-06-20,10.0368
2020-06-21,10.0368
2020-06-22,9.9282
2020-06-23,10.0999
2020-06-24,9.8195
2020-06-25,9.8265
2020-06-26,9.7424
2020-06-27,9.7424
2020-06-28,9.7424
2020-06-29,10.0053
2020-06-30,12.803
2020-07-01,12.7591
2020-07-02,12.7591
2020-07-03,12.7591
2020-07-04,12.7591
2020-07-05,12.7591
2020-07-06,12.8908
2020-07-07,12.8162
2020-07-08,12.7328
2020-07-09,12.4652
2020-07-10,12.7196
2020-07-11,12.7196
2020-07-12,12.7196
2020-07-13,12.724
2020-07-14,12.8864
2020-07-15,13.1935
2020-07-16,13.2593
2020-07-17,13.1716
2020-07-18,13.1716
2020-07-19,13.1716
2020-07-20,12.9303
2020-07-21,13.0312
2020-07-22,13.1716
2020-07-23,13.3734
2020-07-24,13.4129
2020-07-25,13.4129
2020-07-26,13.4129
2020-07-27,13.4173
2020-07-28,13.3515
2020-07-29,13.5708
2020-07-30,13.3515
2020-07-31,13.1998
2020-08-01,13.1998
2020-08-02,13.1998
2020-08-03,13.3623
2020-08-04,13.4018
2020-08-05,13.4808
2020-08-06,13.4106
2020-08-07,13.3579
2020-08-08,13.3579
2020-08-09,13.3579
2020-08-10,13.6696
2020-08-11,13.7487
2020-08-12,13.6169
2020-08-13,13.5247
2020-08-14,13.5555
2020-08-15,13.5555
2020-08-16,13.5555
2020-08-17,13.4325
2020-08-18,13.371
2020-08-19,13.3271
2020-08-20,13.09
2020-08-21,12.9495
2020-08-22,12.9495
2020-08-23,12.9495
2020-08-24,13.3227
2020-08-25,13.2349
2020-08-26,13.1383
2020-08-27,13.3535
2020-08-28,13.4149
2020-08-29,13.4149
2020-08-30,13.4149
2020-08-31,13.0724
2020-09-01,13.0637
