,TRGP US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,111.6546
2020-01-02,111.3891
2020-01-03,112.1614
2020-01-04,112.1614
2020-01-05,112.1614
2020-01-06,112.8976
2020-01-07,113.0303
2020-01-08,110.1582
2020-01-09,111.0874
2020-01-10,110.2306
2020-01-11,110.2306
2020-01-12,110.2306
2020-01-13,110.8461
2020-01-14,111.727
2020-01-15,111.6546
2020-01-16,112.1735
2020-01-17,112.1976
2020-01-18,112.1976
2020-01-19,112.1976
2020-01-20,112.1976
2020-01-21,110.9185
2020-01-22,109.8686
2020-01-23,109.8927
2020-01-24,109.06
2020-01-25,109.06
2020-01-26,109.06
2020-01-27,107.6964
2020-01-28,108.5532
2020-01-29,108.2998
2020-01-30,107.0568
2020-01-31,106.4293
2020-02-01,106.4293
2020-02-02,106.4293
2020-02-03,106.5017
2020-02-04,107.7326
2020-02-05,108.6618
2020-02-06,108.1308
2020-02-07,107.3706
2020-02-08,107.3706
2020-02-09,107.3706
2020-02-10,105.0536
2020-02-11,106.1034
2020-02-12,106.8878
2020-02-13,106.4413
2020-02-14,106.8999
2020-02-15,106.8999
2020-02-16,106.8999
2020-02-17,106.8999
2020-02-18,106.8637
2020-02-19,106.9723
2020-02-20,109.9893
2020-02-21,109.6678
2020-02-22,109.6678
2020-02-23,109.6678
2020-02-24,108.0006
2020-02-25,105.4756
2020-02-26,104.3521
2020-02-27,101.368
2020-02-28,101.5251
2020-02-29,101.5251
2020-03-01,101.5251
2020-03-02,103.3494
2020-03-03,102.3345
2020-03-04,103.4098
2020-03-05,101.6459
2020-03-06,96.0402
2020-03-07,96.0402
2020-03-08,96.0402
2020-03-09,78.2326
2020-03-10,79.4769
2020-03-11,79.8394
2020-03-12,75.8163
2020-03-13,77.4594
2020-03-14,77.4594
2020-03-15,77.4594
2020-03-16,74.2579
2020-03-17,71.0926
2020-03-18,68.0965
2020-03-19,70.1019
2020-03-20,71.2013
2020-03-21,71.2013
2020-03-22,71.2013
2020-03-23,70.9597
2020-03-24,72.0712
2020-03-25,72.2645
2020-03-26,71.6242
2020-03-27,70.8268
2020-03-28,70.8268
2020-03-29,70.8268
2020-03-30,70.2128
2020-03-31,70.2128
2020-04-01,70.2128
2020-04-02,70.2128
2020-04-03,70.2128
2020-04-04,70.2128
2020-04-05,70.2128
2020-04-06,70.2128
2020-04-07,70.2128
2020-04-08,70.2128
2020-04-09,70.2128
2020-04-10,70.2128
2020-04-11,70.2128
2020-04-12,70.2128
2020-04-13,70.2128
2020-04-14,70.2128
2020-04-15,70.2128
2020-04-16,70.2128
2020-04-17,70.2128
2020-04-18,70.2128
2020-04-19,70.2128
2020-04-20,70.2128
2020-04-21,70.2128
2020-04-22,70.2128
2020-04-23,70.2128
2020-04-24,70.2128
2020-04-25,70.2128
2020-04-26,70.2128
2020-04-27,70.2128
2020-04-28,70.2128
2020-04-29,70.2128
2020-04-30,70.2128
2020-05-01,70.2128
2020-05-02,70.2128
2020-05-03,70.2128
2020-05-04,70.2128
2020-05-05,70.2128
2020-05-06,70.2128
2020-05-07,70.2128
2020-05-08,70.2128
2020-05-09,70.2128
2020-05-10,70.2128
2020-05-11,70.2128
2020-05-12,70.2128
2020-05-13,70.2128
2020-05-14,70.2128
2020-05-15,70.2128
2020-05-16,70.2128
2020-05-17,70.2128
2020-05-18,70.2128
2020-05-19,70.2128
