,GLW US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,23.6423
2020-01-02,24.1605
2020-01-03,23.9308
2020-01-04,23.9308
2020-01-05,23.9308
2020-01-06,23.9779
2020-01-07,24.1075
2020-01-08,24.1899
2020-01-09,24.2959
2020-01-10,24.2312
2020-01-11,24.2312
2020-01-12,24.2312
2020-01-13,24.4019
2020-01-14,24.2312
2020-01-15,23.972
2020-01-16,24.1723
2020-01-17,24.2017
2020-01-18,24.2017
2020-01-19,24.2017
2020-01-20,24.2017
2020-01-21,23.9956
2020-01-22,23.9603
2020-01-23,23.9014
2020-01-24,23.7895
2020-01-25,23.7895
2020-01-26,23.7895
2020-01-27,23.3184
2020-01-28,22.9886
2020-01-29,23.0404
2020-01-30,22.6553
2020-01-31,22.0718
2020-02-01,22.0718
2020-02-02,22.0718
2020-02-03,22.2002
2020-02-04,22.5911
2020-02-05,23.0053
2020-02-06,22.9353
2020-02-07,22.6494
2020-02-08,22.6494
2020-02-09,22.6494
2020-02-10,22.5853
2020-02-11,22.8595
2020-02-12,23.3262
2020-02-13,23.2504
2020-02-14,23.1804
2020-02-15,23.1804
2020-02-16,23.1804
2020-02-17,23.1804
2020-02-18,22.8535
2020-02-19,22.8477
2020-02-20,23.0406
2020-02-21,22.8477
2020-02-22,22.8477
2020-02-23,22.8477
2020-02-24,22.2863
2020-02-25,21.5379
2020-02-26,21.2631
2020-02-27,20.5498
2020-02-28,20.4504
2020-02-29,20.4504
2020-03-01,20.4504
2020-03-02,20.924
2020-03-03,20.4679
2020-03-04,21.1696
2020-03-05,20.883
2020-03-06,21.0468
2020-03-07,21.0468
2020-03-08,21.0468
2020-03-09,19.854
2020-03-10,20.6375
2020-03-11,20.0352
2020-03-12,18.4682
2020-03-13,19.8306
2020-03-14,19.8306
2020-03-15,19.8306
2020-03-16,17.6438
2020-03-17,19.1055
2020-03-18,19.0705
2020-03-19,18.936
2020-03-20,17.5123
2020-03-21,17.5123
2020-03-22,17.5123
2020-03-23,16.8641
2020-03-24,18.1896
2020-03-25,18.3239
2020-03-26,19.2349
2020-03-27,18.6101
2020-03-28,18.6101
2020-03-29,18.6101
2020-03-30,18.9254
2020-03-31,32.0134
2020-04-01,30.5878
2020-04-02,30.1791
2020-04-03,29.3915
2020-04-04,29.3915
2020-04-05,29.3915
2020-04-06,31.1859
2020-04-07,31.156
2020-04-08,32.0433
2020-04-09,32.6514
2020-04-10,32.6514
2020-04-11,32.6514
2020-04-12,32.6514
2020-04-13,31.8838
2020-04-14,32.1729
2020-04-15,31.4651
2020-04-16,31.3155
2020-04-17,32.1928
2020-04-18,32.1928
2020-04-19,32.1928
2020-04-20,31.9137
2020-04-21,30.9168
2020-04-22,31.4551
2020-04-23,31.5049
2020-04-24,32.2526
2020-04-25,32.2526
2020-04-26,32.2526
2020-04-27,33.1
2020-04-28,33.6084
2020-04-29,33.9473
2020-04-30,33.4788
2020-05-01,32.133
2020-05-02,32.133
2020-05-03,32.133
2020-05-04,31.8638
2020-05-05,32.0978
2020-05-06,32.1376
2020-05-07,32.3763
2020-05-08,33.0427
2020-05-09,33.0427
2020-05-10,33.0427
2020-05-11,32.7244
2020-05-12,31.8391
2020-05-13,31.0633
2020-05-14,31.3716
2020-05-15,31.0832
2020-05-16,31.0832
2020-05-17,31.0832
2020-05-18,32.3962
2020-05-19,32.2669
2020-05-20,33.003
2020-05-21,32.7443
2020-05-22,32.804
2020-05-23,32.804
2020-05-24,32.804
2020-05-25,32.804
2020-05-26,33.8982
2020-05-27,34.7437
2020-05-28,34.4652
2020-05-29,34.2065
2020-05-30,34.2065
2020-05-31,34.2065
2020-06-01,34.1568
2020-06-02,35.2908
2020-06-03,36.554
2020-06-04,36.1562
2020-06-05,38.0759
2020-06-06,38.0759
2020-06-07,38.0759
2020-06-08,38.6628
2020-06-09,39.0209
2020-06-10,39.2397
2020-06-11,37.5487
2020-06-12,38.3246
2020-06-13,38.3246
2020-06-14,38.3246
2020-06-15,38.5136
2020-06-16,39.0507
2020-06-17,38.6429
2020-06-18,38.7424
2020-06-19,38.0958
2020-06-20,38.0958
2020-06-21,38.0958
2020-06-22,37.9367
2020-06-23,38.2749
2020-06-24,37.2105
2020-06-25,37.2105
2020-06-26,36.8127
2020-06-27,36.8127
2020-06-28,36.8127
2020-06-29,37.0812
2020-06-30,98.7276
2020-07-01,98.0935
2020-07-02,98.9918
2020-07-03,98.9918
2020-07-04,98.9918
2020-07-05,98.9918
2020-07-06,101.1584
2020-07-07,100.2865
2020-07-08,100.2601
2020-07-09,100.3393
2020-07-10,100.7621
2020-07-11,100.7621
2020-07-12,100.7621
2020-07-13,100.8942
2020-07-14,102.5852
2020-07-15,104.4347
2020-07-16,106.2842
2020-07-17,107.0241
2020-07-18,107.0241
2020-07-19,107.0241
2020-07-20,107.0241
2020-07-21,107.7374
2020-07-22,108.5037
2020-07-23,109.0321
2020-07-24,107.6846
2020-07-25,107.6846
2020-07-26,107.6846
2020-07-27,111.2251
2020-07-28,109.9901
2020-07-29,113.6007
2020-07-30,112.6093
2020-07-31,112.2919
2020-08-01,112.2919
2020-08-02,112.2919
2020-08-03,112.0274
2020-08-04,112.7945
2020-08-05,114.6195
2020-08-06,114.5137
2020-08-07,114.5402
2020-08-08,114.5402
2020-08-09,114.5402
2020-08-10,115.3337
2020-08-11,115.7305
2020-08-12,116.8678
2020-08-13,116.3124
2020-08-14,115.7834
2020-08-15,115.7834
2020-08-16,115.7834
2020-08-17,115.8098
2020-08-18,115.2279
2020-08-19,115.5453
2020-08-20,114.5931
2020-08-21,116.1801
2020-08-22,116.1801
2020-08-23,116.1801
2020-08-24,118.5607
2020-08-25,117.2911
2020-08-26,117.0001
2020-08-27,115.2808
2020-08-28,116.6827
2020-08-29,116.6827
2020-08-30,116.6827
2020-08-31,116.1537
2020-09-01,117.1852
2020-09-02,119.4335
2020-09-03,114.6724
2020-09-04,115.0692
2020-09-05,115.0692
2020-09-06,115.0692
2020-09-07,115.0692
2020-09-08,114.3021
2020-09-09,117.7672
2020-09-10,114.6195
2020-09-11,114.7782
2020-09-12,114.7782
2020-09-13,114.7782
2020-09-14,116.8943
