,GM US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.7759
2020-01-02,9.9792
2020-01-03,9.7029
2020-01-04,9.7029
2020-01-05,9.7029
2020-01-06,9.5777
2020-01-07,9.3979
2020-01-08,9.2675
2020-01-09,9.3796
2020-01-10,9.2675
2020-01-11,9.2675
2020-01-12,9.2675
2020-01-13,9.3536
2020-01-14,9.3979
2020-01-15,9.3979
2020-01-16,9.5021
2020-01-17,9.5152
2020-01-18,9.5152
2020-01-19,9.5152
2020-01-20,9.5152
2020-01-21,9.3562
2020-01-22,9.3353
2020-01-23,9.3275
2020-01-24,9.1789
2020-01-25,9.1789
2020-01-26,9.1789
2020-01-27,8.9443
2020-01-28,9.0043
2020-01-29,8.9938
2020-01-30,8.9234
2020-01-31,8.9391
2020-02-01,8.9391
2020-02-02,8.9391
2020-02-03,9.0251
2020-02-04,9.1945
2020-02-05,9.368
2020-02-06,9.1855
2020-02-07,9.003
2020-02-08,9.003
2020-02-09,9.003
2020-02-10,9.1646
2020-02-11,9.3628
2020-02-12,9.4879
2020-02-13,9.4358
2020-02-14,9.2976
2020-02-15,9.2976
2020-02-16,9.2976
2020-02-17,9.2976
2020-02-18,9.2063
2020-02-19,9.3393
2020-02-20,9.4358
2020-02-21,9.2689
2020-02-22,9.2689
2020-02-23,9.2689
2020-02-24,8.8622
2020-02-25,8.5128
2020-02-26,8.578
2020-02-27,8.2417
2020-02-28,8.1869
2020-02-29,8.1869
2020-03-01,8.1869
2020-03-02,8.4268
2020-03-03,8.1921
2020-03-04,8.4555
2020-03-05,8.0826
2020-03-06,7.715
2020-03-07,7.715
2020-03-08,7.715
2020-03-09,6.6722
2020-03-10,7.3057
2020-03-11,7.0137
2020-03-12,6.242
2020-03-13,6.6774
2020-03-14,6.6774
2020-03-15,6.6774
2020-03-16,5.7101
2020-03-17,5.5328
2020-03-18,4.6151
2020-03-19,4.8523
2020-03-20,4.9644
2020-03-21,4.9644
2020-03-22,4.9644
2020-03-23,4.8237
2020-03-24,5.7388
2020-03-25,5.8378
2020-03-26,6.1168
2020-03-27,5.8092
2020-03-28,5.8092
2020-03-29,5.8092
2020-03-30,5.7935
2020-03-31,6.57
2020-04-01,6.1262
2020-04-02,5.8138
2020-04-03,5.77
2020-04-04,5.77
2020-04-05,5.77
2020-04-06,6.2109
2020-04-07,6.7219
2020-04-08,7.2562
2020-04-09,7.5277
2020-04-10,7.5277
2020-04-11,7.5277
2020-04-12,7.5277
2020-04-13,7.2212
2020-04-14,7.2124
2020-04-15,6.827
2020-04-16,6.5963
2020-04-17,7.0664
2020-04-18,7.0664
2020-04-19,7.0664
2020-04-20,7.0372
2020-04-21,6.7043
2020-04-22,6.7219
2020-04-23,6.7861
2020-04-24,6.9116
2020-04-25,6.9116
2020-04-26,6.9116
2020-04-27,7.0731
2020-04-28,6.9941
2020-04-29,7.4624
2020-04-30,7.0263
2020-05-01,6.6195
2020-05-02,6.6195
2020-05-03,6.6195
2020-05-04,6.5756
2020-05-05,6.7248
2020-05-06,6.9034
2020-05-07,7.0642
2020-05-08,7.4999
2020-05-09,7.4999
2020-05-10,7.4999
2020-05-11,7.1695
2020-05-12,7.0993
2020-05-13,6.7777
2020-05-14,7.0262
2020-05-15,7.1198
2020-05-16,7.1198
2020-05-17,7.1198
2020-05-18,7.7573
2020-05-19,7.7222
2020-05-20,7.9532
2020-05-21,8.0467
2020-05-22,8.0994
2020-05-23,8.0994
2020-05-24,8.0994
2020-05-25,8.0994
2020-05-26,8.5146
2020-05-27,8.6287
2020-05-28,8.3041
2020-05-29,8.0701
2020-05-30,8.0701
2020-05-31,8.0701
2020-06-01,8.3801
2020-06-02,8.5175
2020-06-03,9.0029
2020-06-04,9.0293
2020-06-05,9.4533
2020-06-06,9.4533
2020-06-07,9.4533
2020-06-08,9.4737
2020-06-09,9.2339
2020-06-10,8.9094
2020-06-11,8.2514
2020-06-12,8.6784
2020-06-13,8.6784
2020-06-14,8.6784
2020-06-15,8.6228
2020-06-16,8.6257
