,TSCO US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,18.4157
2020-01-02,18.3632
2020-01-03,18.18
2020-01-04,18.18
2020-01-05,18.18
2020-01-06,18.1306
2020-01-07,17.8694
2020-01-08,18.1402
2020-01-09,17.9968
2020-01-10,18.0701
2020-01-11,18.0701
2020-01-12,18.0701
2020-01-13,17.9299
2020-01-14,17.8964
2020-01-15,17.9299
2020-01-16,18.0414
2020-01-17,18.3122
2020-01-18,18.3122
2020-01-19,18.3122
2020-01-20,18.3122
2020-01-21,18.4476
2020-01-22,18.3249
2020-01-23,18.4508
2020-01-24,18.4364
2020-01-25,18.4364
2020-01-26,18.4364
2020-01-27,18.5033
2020-01-28,18.6626
2020-01-29,18.6674
2020-01-30,18.4778
2020-01-31,18.3377
2020-02-01,18.3377
2020-02-02,18.3377
2020-02-03,18.5702
2020-02-04,18.043
2020-02-05,18.5001
2020-02-06,18.9175
2020-02-07,18.9111
2020-02-08,18.9111
2020-02-09,18.9111
2020-02-10,19.0672
2020-02-11,19.0736
2020-02-12,19.2265
2020-02-13,19.1835
2020-02-14,19.1692
2020-02-15,19.1692
2020-02-16,19.1692
2020-02-17,19.1692
2020-02-18,19.115
2020-02-19,19.244
2020-02-20,19.1543
2020-02-21,19.2774
2020-02-22,19.2774
2020-02-23,19.2774
2020-02-24,18.7535
2020-02-25,18.2311
2020-02-26,17.9692
2020-02-27,17.8019
2020-02-28,17.4989
2020-02-29,17.4989
2020-03-01,17.4989
2020-03-02,17.9676
2020-03-03,18.2296
2020-03-04,18.7361
2020-03-05,18.31
2020-03-06,17.9676
2020-03-07,17.9676
2020-03-08,17.9676
2020-03-09,16.2886
2020-03-10,17.2528
2020-03-11,16.6768
2020-03-12,15.6053
2020-03-13,15.558
2020-03-14,15.558
2020-03-15,15.558
2020-03-16,14.0474
2020-03-17,14.5501
2020-03-18,14.8514
2020-03-19,15.4571
2020-03-20,15.3822
2020-03-21,15.3822
2020-03-22,15.3822
2020-03-23,15.7178
2020-03-24,16.0238
2020-03-25,15.5414
2020-03-26,16.564
2020-03-27,16.7051
2020-03-28,16.7051
2020-03-29,16.7051
2020-03-30,17.0829
2020-03-31,16.9287
2020-04-01,16.8439
2020-04-02,16.867
2020-04-03,16.1499
2020-04-04,16.1499
2020-04-05,16.1499
2020-04-06,17.4546
2020-04-07,17.2279
2020-04-08,17.8771
2020-04-09,17.4962
2020-04-10,17.4962
2020-04-11,17.4962
2020-04-12,17.4962
2020-04-13,17.7183
2020-04-14,18.2257
2020-04-15,17.8833
2020-04-16,17.9543
2020-04-17,18.1887
2020-04-18,18.1887
2020-04-19,18.1887
2020-04-20,18.2982
2020-04-21,18.2519
2020-04-22,18.6066
2020-04-23,18.5526
2020-04-24,19.6167
2020-04-25,19.6167
2020-04-26,19.6167
2020-04-27,19.7879
2020-04-28,19.7648
2020-04-29,19.4841
2020-04-30,19.5319
2020-05-01,19.6337
2020-05-02,19.6337
2020-05-03,19.6337
2020-05-04,19.6876
2020-05-05,20.0979
2020-05-06,20.0901
2020-05-07,20.1087
2020-05-08,20.367
2020-05-09,20.367
2020-05-10,20.367
2020-05-11,20.6544
2020-05-12,20.447
2020-05-13,20.2579
2020-05-14,20.3086
2020-05-15,21.0602
2020-05-16,21.0602
2020-05-17,21.0602
2020-05-18,20.759
2020-05-19,20.6514
2020-05-20,20.4562
2020-05-21,20.6345
2020-05-22,21.0802
2020-05-23,21.0802
2020-05-24,21.0802
2020-05-25,21.0802
2020-05-26,20.9818
2020-05-27,22.2959
2020-05-28,22.176
2020-05-29,22.6432
2020-05-30,22.6432
2020-05-31,22.6432
2020-06-01,22.7416
2020-06-02,22.9106
2020-06-03,22.7739
2020-06-04,22.6985
2020-06-05,22.6601
2020-06-06,22.6601
2020-06-07,22.6601
2020-06-08,22.677
2020-06-09,22.7078
2020-06-10,22.531
2020-06-11,22.2113
2020-06-12,22.0945
2020-06-13,22.0945
2020-06-14,22.0945
2020-06-15,22.5587
2020-06-16,22.9229
