,WHR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.0591
2020-01-02,9.0961
2020-01-03,8.9943
2020-01-04,8.9943
2020-01-05,8.9943
2020-01-06,9.0495
2020-01-07,9.0515
2020-01-08,9.1343
2020-01-09,9.173
2020-01-10,9.1456
2020-01-11,9.1456
2020-01-12,9.1456
2020-01-13,9.2703
2020-01-14,9.2884
2020-01-15,9.3166
2020-01-16,9.3258
2020-01-17,9.2643
2020-01-18,9.2643
2020-01-19,9.2643
2020-01-20,9.2643
2020-01-21,9.2148
2020-01-22,9.0253
2020-01-23,9.1874
2020-01-24,9.1351
2020-01-25,9.1351
2020-01-26,9.1351
2020-01-27,9.0873
2020-01-28,9.4268
2020-01-29,9.3234
2020-01-30,9.2707
2020-01-31,9.0044
2020-02-01,9.0044
2020-02-02,9.0044
2020-02-03,9.0438
2020-02-04,9.1649
2020-02-05,9.3375
2020-02-06,9.2816
2020-02-07,9.1267
2020-02-08,9.1267
2020-02-09,9.1267
2020-02-10,9.1347
2020-02-11,9.1976
2020-02-12,9.2184
2020-02-13,9.1996
2020-02-14,9.2048
2020-02-15,9.2048
2020-02-16,9.2048
2020-02-17,9.2048
2020-02-18,9.0417
2020-02-19,9.0074
2020-02-20,9.0817
2020-02-21,9.0062
2020-02-22,9.0062
2020-02-23,9.0062
2020-02-24,8.7496
2020-02-25,8.6049
2020-02-26,8.6113
2020-02-27,8.3771
2020-02-28,8.2337
2020-02-29,8.2337
2020-03-01,8.2337
2020-03-02,8.4739
2020-03-03,8.2341
2020-03-04,8.3967
2020-03-05,8.1138
2020-03-06,7.9643
2020-03-07,7.9643
2020-03-08,7.9643
2020-03-09,7.6077
2020-03-10,7.8068
2020-03-11,7.5323
2020-03-12,7.2251
2020-03-13,7.7294
2020-03-14,7.7294
2020-03-15,7.7294
2020-03-16,6.8261
2020-03-17,7.0089
2020-03-18,6.6741
2020-03-19,6.4184
2020-03-20,6.0944
2020-03-21,6.0944
2020-03-22,6.0944
2020-03-23,5.6863
2020-03-24,6.4439
2020-03-25,6.4112
2020-03-26,6.4435
2020-03-27,6.4858
2020-03-28,6.4858
2020-03-29,6.4858
2020-03-30,6.6235
2020-03-31,7.1513
2020-04-01,6.9439
2020-04-02,6.985
2020-04-03,7.0253
2020-04-04,7.0253
2020-04-05,7.0253
2020-04-06,7.4182
2020-04-07,7.5148
2020-04-08,7.7051
2020-04-09,7.9074
2020-04-10,7.9074
2020-04-11,7.9074
2020-04-12,7.9074
2020-04-13,7.7438
2020-04-14,7.8579
2020-04-15,7.7135
2020-04-16,7.5838
2020-04-17,7.9305
2020-04-18,7.9305
2020-04-19,7.9305
2020-04-20,7.7179
2020-04-21,7.6453
2020-04-22,7.6919
2020-04-23,7.8076
2020-04-24,7.9006
2020-04-25,7.9006
2020-04-26,7.9006
2020-04-27,8.0841
2020-04-28,8.2704
2020-04-29,8.6155
2020-04-30,8.1863
2020-05-01,8.1675
2020-05-02,8.1675
2020-05-03,8.1675
2020-05-04,7.9233
2020-05-05,8.0515
2020-05-06,7.9672
2020-05-07,7.9581
2020-05-08,8.1837
2020-05-09,8.1837
2020-05-10,8.1837
2020-05-11,8.0282
2020-05-12,7.9126
2020-05-13,7.8335
2020-05-14,8.0001
2020-05-15,8.0333
2020-05-16,8.0333
2020-05-17,8.0333
2020-05-18,8.4207
2020-05-19,8.4163
2020-05-20,8.4314
2020-05-21,8.4369
2020-05-22,8.4646
2020-05-23,8.4646
2020-05-24,8.4646
2020-05-25,8.4646
2020-05-26,8.6961
2020-05-27,8.8401
2020-05-28,8.5426
2020-05-29,8.5485
2020-05-30,8.5485
2020-05-31,8.5485
2020-06-01,8.6257
2020-06-02,8.7982
2020-06-03,8.8789
2020-06-04,9.0657
2020-06-05,9.1432
2020-06-06,9.1432
2020-06-07,9.1432
2020-06-08,9.3031
2020-06-09,9.1496
2020-06-10,9.0554
2020-06-11,8.5746
2020-06-12,8.5596
2020-06-13,8.5596
2020-06-14,8.5596
2020-06-15,8.6981
2020-06-16,8.7266
2020-06-17,8.7234
2020-06-18,8.7388
2020-06-19,8.757
2020-06-20,8.757
2020-06-21,8.757
2020-06-22,8.7052
2020-06-23,8.7744
2020-06-24,8.6146
2020-06-25,8.6466
2020-06-26,8.5873
2020-06-27,8.5873
2020-06-28,8.5873
2020-06-29,8.7594
2020-06-30,9.683
2020-07-01,9.5763
2020-07-02,9.668
2020-07-03,9.668
2020-07-04,9.668
2020-07-05,9.668
2020-07-06,9.8518
2020-07-07,9.8599
2020-07-08,9.9601
2020-07-09,9.8389
2020-07-10,9.9447
2020-07-11,9.9447
2020-07-12,9.9447
2020-07-13,9.9799
2020-07-14,10.0878
2020-07-15,10.266
2020-07-16,10.3162
2020-07-17,10.2412
2020-07-18,10.2412
2020-07-19,10.2412
2020-07-20,10.2626
2020-07-21,10.2926
2020-07-22,10.4102
2020-07-23,10.9439
2020-07-24,10.9148
2020-07-25,10.9148
2020-07-26,10.9148
2020-07-27,11.2483
2020-07-28,11.1161
2020-07-29,11.1131
2020-07-30,11.132
2020-07-31,11.1367
2020-08-01,11.1367
2020-08-02,11.1367
2020-08-03,11.2007
2020-08-04,11.3243
2020-08-05,11.5931
2020-08-06,11.5128
2020-08-07,11.5695
2020-08-08,11.5695
2020-08-09,11.5695
2020-08-10,11.7313
2020-08-11,11.7038
2020-08-12,11.8004
2020-08-13,11.7953
2020-08-14,11.9013
2020-08-15,11.9013
2020-08-16,11.9013
2020-08-17,11.9447
2020-08-18,11.9473
2020-08-19,12.049
2020-08-20,11.9868
2020-08-21,11.8949
2020-08-22,11.8949
2020-08-23,11.8949
2020-08-24,11.9206
2020-08-25,11.8842
2020-08-26,11.8588
2020-08-27,11.7682
2020-08-28,11.8133
2020-08-29,11.8133
2020-08-30,11.8133
2020-08-31,11.7635
2020-09-01,11.7871
2020-09-02,11.8382
2020-09-03,11.4991
2020-09-04,11.3462
2020-09-05,11.3462
2020-09-06,11.3462
2020-09-07,11.3462
2020-09-08,11.36
2020-09-09,11.5102
2020-09-10,11.4089
2020-09-11,11.5523
2020-09-12,11.5523
2020-09-13,11.5523
2020-09-14,11.7669
2020-09-15,11.7914
2020-09-16,11.8429
2020-09-17,11.7214
2020-09-18,11.6154
2020-09-19,11.6154
2020-09-20,11.6154
2020-09-21,11.7648
2020-09-22,11.8481
2020-09-23,11.6785
2020-09-24,11.6665
2020-09-25,11.7803
2020-09-26,11.7803
2020-09-27,11.7803
2020-09-28,12.0761
2020-09-29,11.8936
2020-09-30,12.5414
2020-10-01,12.5084
2020-10-02,12.5565
2020-10-03,12.5565
2020-10-04,12.5565
2020-10-05,12.9705
