,WTS US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,17.7291
2020-01-02,17.7855
2020-01-03,17.8248
2020-01-04,17.8248
2020-01-05,17.8248
2020-01-06,17.6556
2020-01-07,17.5172
2020-01-08,17.5804
2020-01-09,17.6078
2020-01-10,17.5001
2020-01-11,17.5001
2020-01-12,17.5001
2020-01-13,17.7701
2020-01-14,17.7633
2020-01-15,17.7342
2020-01-16,17.9308
2020-01-17,18.0196
2020-01-18,18.0196
2020-01-19,18.0196
2020-01-20,18.0196
2020-01-21,17.9649
2020-01-22,18.1615
2020-01-23,18.0828
2020-01-24,18.0179
2020-01-25,18.0179
2020-01-26,18.0179
2020-01-27,17.9085
2020-01-28,17.9393
2020-01-29,17.6813
2020-01-30,17.9957
2020-01-31,17.7206
2020-02-01,17.7206
2020-02-02,17.7206
2020-02-03,17.8624
2020-02-04,18.1016
2020-02-05,18.4024
2020-02-06,18.3016
2020-02-07,17.8094
2020-02-08,17.8094
2020-02-09,17.8094
2020-02-10,18.0265
2020-02-11,19.0382
2020-02-12,19.1697
2020-02-13,18.9835
2020-02-14,18.9579
2020-02-15,18.9579
2020-02-16,18.9579
2020-02-17,18.9579
2020-02-18,18.9306
2020-02-19,18.7478
2020-02-20,18.9127
2020-02-21,18.8051
2020-02-22,18.8051
2020-02-23,18.8051
2020-02-24,18.1902
2020-02-25,17.5753
2020-02-26,17.4165
2020-02-27,17.0458
2020-02-28,16.7213
2020-02-29,16.7213
2020-03-01,16.7213
2020-03-02,17.0151
2020-03-03,17.1449
2020-03-04,17.7
2020-03-05,17.1551
2020-03-06,16.8938
2020-03-07,16.8938
2020-03-08,16.8938
2020-03-09,16.53
2020-03-10,17.0304
2020-03-11,16.2516
2020-03-12,14.3711
2020-03-13,15.5752
2020-03-14,15.5752
2020-03-15,15.5752
2020-03-16,13.2557
2020-03-17,14.9347
2020-03-18,13.6623
2020-03-19,13.5939
2020-03-20,13.5546
2020-03-21,13.5546
2020-03-22,13.5546
2020-03-23,13.0525
2020-03-24,14.132
2020-03-25,14.0158
2020-03-26,15.0833
2020-03-27,14.4661
2020-03-28,14.4661
2020-03-29,14.4661
2020-03-30,14.6387
2020-03-31,15.1234
2020-04-01,13.444
2020-04-02,13.9441
2020-04-03,13.6164
2020-04-04,13.6164
2020-04-05,13.6164
2020-04-06,14.4322
2020-04-07,14.0806
2020-04-08,14.4783
2020-04-09,15.0125
2020-04-10,15.0125
2020-04-11,15.0125
2020-04-12,15.0125
2020-04-13,14.5534
2020-04-14,14.5841
2020-04-15,13.9594
2020-04-16,13.7615
2020-04-17,14.4936
2020-04-18,14.4936
2020-04-19,14.4936
2020-04-20,14.0823
2020-04-21,13.6505
2020-04-22,13.9202
2020-04-23,13.7017
2020-04-24,13.9492
2020-04-25,13.9492
2020-04-26,13.9492
2020-04-27,14.1915
2020-04-28,14.7343
2020-04-29,15.5672
2020-04-30,14.7394
2020-05-01,14.6745
2020-05-02,14.6745
2020-05-03,14.6745
2020-05-04,14.6251
2020-05-05,14.5994
2020-05-06,14.5039
2020-05-07,13.9763
2020-05-08,14.4288
2020-05-09,14.4288
2020-05-10,14.4288
2020-05-11,13.8964
2020-05-12,13.4642
2020-05-13,13.175
2020-05-14,13.1665
2020-05-15,13.2431
2020-05-16,13.2431
2020-05-17,13.2431
2020-05-18,14.0784
2020-05-19,13.8538
2020-05-20,14.1124
2020-05-21,14.1175
2020-05-22,14.2077
2020-05-23,14.2077
2020-05-24,14.2077
2020-05-25,14.2077
2020-05-26,14.7725
2020-05-27,15.3169
2020-05-28,15.0787
2020-05-29,14.8235
2020-05-30,14.8235
2020-05-31,14.8235
2020-06-01,14.6687
2020-06-02,14.9273
2020-06-03,15.3713
2020-06-04,15.3679
2020-06-05,16.1794
2020-06-06,16.1794
2020-06-07,16.1794
2020-06-08,16.1573
2020-06-09,15.6486
2020-06-10,15.1893
2020-06-11,14.2349
2020-06-12,14.3166
2020-06-13,14.3166
2020-06-14,14.3166
2020-06-15,14.4118
2020-06-16,14.6024
2020-06-17,14.468
2020-06-18,14.3676
2020-06-19,14.4424
2020-06-20,14.4424
2020-06-21,14.4424
2020-06-22,14.4901
2020-06-23,14.6381
2020-06-24,13.961
