,VZ US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.7041
2020-01-02,12.6565
2020-01-03,12.568
2020-01-04,12.568
2020-01-05,12.568
2020-01-06,12.5503
2020-01-07,12.4591
2020-01-08,12.474
2020-01-09,12.357
2020-01-10,12.376
2020-01-11,12.376
2020-01-12,12.376
2020-01-13,12.3978
2020-01-14,12.3828
2020-01-15,12.391
2020-01-16,12.4686
2020-01-17,12.5312
2020-01-18,12.5312
2020-01-19,12.5312
2020-01-20,12.5312
2020-01-21,12.5571
2020-01-22,12.5789
2020-01-23,12.583
2020-01-24,12.5517
2020-01-25,12.5517
2020-01-26,12.5517
2020-01-27,12.5013
2020-01-28,12.6088
2020-01-29,12.4495
2020-01-30,12.4268
2020-01-31,12.4377
2020-02-01,12.4377
2020-02-02,12.4377
2020-02-03,12.2485
2020-02-04,12.2811
2020-02-05,12.3955
2020-02-06,12.4377
2020-02-07,12.5058
2020-02-08,12.5058
2020-02-09,12.5058
2020-02-10,12.5466
2020-02-11,12.3356
2020-02-12,12.273
2020-02-13,12.3302
2020-02-14,12.3111
2020-02-15,12.3111
2020-02-16,12.3111
2020-02-17,12.3111
2020-02-18,12.2294
2020-02-19,12.2716
2020-02-20,12.2539
2020-02-21,12.2686
2020-02-22,12.2686
2020-02-23,12.2686
2020-02-24,12.24
2020-02-25,12.1216
2020-02-26,12.1243
2020-02-27,11.8411
2020-02-28,11.7186
2020-02-29,11.7186
2020-03-01,11.7186
2020-03-02,12.1488
2020-03-03,11.9283
2020-03-04,12.2577
2020-03-05,12.127
2020-03-06,12.0875
2020-03-07,12.0875
2020-03-08,12.0875
2020-03-09,11.946
2020-03-10,12.0399
2020-03-11,11.8098
2020-03-12,11.3156
2020-03-13,11.72
2020-03-14,11.72
2020-03-15,11.72
2020-03-16,11.287
2020-03-17,11.739
2020-03-18,11.7404
2020-03-19,11.6451
2020-03-20,11.3973
2020-03-21,11.3973
2020-03-22,11.3973
2020-03-23,11.1944
2020-03-24,11.1509
2020-03-25,11.1441
2020-03-26,11.6342
2020-03-27,11.5293
2020-03-28,11.5293
2020-03-29,11.5293
2020-03-30,11.8016
2020-03-31,12.1649
2020-04-01,12.0504
2020-04-02,12.3799
2020-04-03,12.3021
2020-04-04,12.3021
2020-04-05,12.3021
2020-04-06,12.5849
2020-04-07,12.6245
2020-04-08,12.7405
2020-04-09,12.6896
2020-04-10,12.6896
2020-04-11,12.6896
2020-04-12,12.6896
2020-04-13,12.5807
2020-04-14,12.7885
2020-04-15,12.6174
2020-04-16,12.7207
2020-04-17,12.8338
2020-04-18,12.8338
2020-04-19,12.8338
2020-04-20,12.7871
2020-04-21,12.6019
2020-04-22,12.7673
2020-04-23,12.7108
2020-04-24,12.7631
2020-04-25,12.7631
2020-04-26,12.7631
2020-04-27,12.7461
2020-04-28,12.7489
2020-04-29,12.7899
2020-04-30,12.6952
2020-05-01,12.6074
2020-05-02,12.6074
2020-05-03,12.6074
2020-05-04,12.524
2020-05-05,12.5622
2020-05-06,12.4391
2020-05-07,12.4306
2020-05-08,12.6315
2020-05-09,12.6315
2020-05-10,12.6315
2020-05-11,12.5466
2020-05-12,12.4136
2020-05-13,12.3273
2020-05-14,12.3358
2020-05-15,12.3075
2020-05-16,12.3075
2020-05-17,12.3075
2020-05-18,12.4504
2020-05-19,12.2608
2020-05-20,12.2438
2020-05-21,12.2028
2020-05-22,12.2212
2020-05-23,12.2212
2020-05-24,12.2212
2020-05-25,12.2212
2020-05-26,12.2495
2020-05-27,12.3683
2020-05-28,12.4504
2020-05-29,12.6852
2020-05-30,12.6852
2020-05-31,12.6852
2020-06-01,12.4589
2020-06-02,12.5466
2020-06-03,12.6074
2020-06-04,12.6626
2020-06-05,12.7362
2020-06-06,12.7362
2020-06-07,12.7362
2020-06-08,12.7857
2020-06-09,12.7532
2020-06-10,12.78
2020-06-11,12.5537
2020-06-12,12.565
2020-06-13,12.565
2020-06-14,12.565
2020-06-15,12.5112
2020-06-16,12.6202
2020-06-17,12.582
2020-06-18,12.6159
2020-06-19,12.5126
2020-06-20,12.5126
2020-06-21,12.5126
2020-06-22,12.4419
2020-06-23,12.34
2020-06-24,12.1971
2020-06-25,12.2467
2020-06-26,12.0882
2020-06-27,12.0882
2020-06-28,12.0882
2020-06-29,12.3047
2020-06-30,12.3763
2020-07-01,12.3101
2020-07-02,12.3274
2020-07-03,12.3274
2020-07-04,12.3274
2020-07-05,12.3274
2020-07-06,12.3922
2020-07-07,12.3634
2020-07-08,12.4123
2020-07-09,12.2051
2020-07-10,12.2842
2020-07-11,12.2842
2020-07-12,12.2842
2020-07-13,12.2785
2020-07-14,12.4209
2020-07-15,12.3663
2020-07-16,12.4698
2020-07-17,12.5447
2020-07-18,12.5447
2020-07-19,12.5447
2020-07-20,12.4828
2020-07-21,12.4785
2020-07-22,12.4655
2020-07-23,12.4799
2020-07-24,12.6238
2020-07-25,12.6238
2020-07-26,12.6238
2020-07-27,12.6267
2020-07-28,12.7146
2020-07-29,12.7103
2020-07-30,12.6887
2020-07-31,12.7146
2020-08-01,12.7146
2020-08-02,12.7146
2020-08-03,12.68
2020-08-04,12.7764
2020-08-05,12.7232
2020-08-06,12.7649
2020-08-07,12.8657
2020-08-08,12.8657
2020-08-09,12.8657
2020-08-10,12.9318
2020-08-11,12.8628
2020-08-12,12.8757
2020-08-13,12.8642
2020-08-14,12.9031
2020-08-15,12.9031
2020-08-16,12.9031
2020-08-17,12.9016
2020-08-18,12.9592
2020-08-19,12.9405
2020-08-20,12.9275
2020-08-21,12.9318
2020-08-22,12.9318
2020-08-23,12.9318
2020-08-24,13.0153
2020-08-25,12.9937
2020-08-26,12.9995
2020-08-27,12.9952
2020-08-28,12.9707
2020-08-29,12.9707
2020-08-30,12.9707
2020-08-31,12.9721
2020-09-01,12.9563
