,BKI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,38.6692
2020-01-02,38.4368
2020-01-03,38.5298
2020-01-04,38.5298
2020-01-05,38.5298
2020-01-06,38.4523
2020-01-07,38.4988
2020-01-08,38.7054
2020-01-09,38.8035
2020-01-10,38.8603
2020-01-11,38.8603
2020-01-12,38.8603
2020-01-13,39.4646
2020-01-14,39.3613
2020-01-15,39.3871
2020-01-16,39.4697
2020-01-17,39.3819
2020-01-18,39.3819
2020-01-19,39.3819
2020-01-20,39.3819
2020-01-21,39.5782
2020-01-22,39.3045
2020-01-23,39.3716
2020-01-24,39.4078
2020-01-25,39.4078
2020-01-26,39.4078
2020-01-27,38.9378
2020-01-28,39.5472
2020-01-29,39.7434
2020-01-30,40.3012
2020-01-31,39.9294
2020-02-01,39.9294
2020-02-02,39.9294
2020-02-03,40.3322
2020-02-04,40.7092
2020-02-05,40.6111
2020-02-06,40.5801
2020-02-07,40.859
2020-02-08,40.859
2020-02-09,40.859
2020-02-10,41.0707
2020-02-11,40.9158
2020-02-12,40.9519
2020-02-13,41.52
2020-02-14,43.7872
2020-02-15,43.7872
2020-02-16,43.7872
2020-02-17,43.7872
2020-02-18,44.0557
2020-02-19,44.6703
2020-02-20,44.1074
2020-02-21,43.7355
2020-02-22,43.7355
2020-02-23,43.7355
2020-02-24,43.3482
2020-02-25,42.0209
2020-02-26,41.7782
2020-02-27,40.1566
2020-02-28,39.9247
2020-02-29,39.9247
2020-03-01,39.9247
2020-03-02,41.199
2020-03-03,40.7328
2020-03-04,42.1262
2020-03-05,40.6913
2020-03-06,39.8004
2020-03-07,39.8004
2020-03-08,39.8004
2020-03-09,37.7284
2020-03-10,39.5517
2020-03-11,38.1376
2020-03-12,37.5367
2020-03-13,39.2357
2020-03-14,39.2357
2020-03-15,39.2357
2020-03-16,35.2109
2020-03-17,35.6823
2020-03-18,36.164
2020-03-19,34.7136
2020-03-20,32.3101
2020-03-21,32.3101
2020-03-22,32.3101
2020-03-23,33.2736
2020-03-24,33.8071
2020-03-25,33.0042
2020-03-26,35.8014
2020-03-27,34.9157
2020-03-28,34.9157
2020-03-29,34.9157
2020-03-30,35.905
2020-03-31,35.1411
2020-04-01,35.1514
2020-04-02,35.8797
2020-04-03,35.0334
2020-04-04,35.0334
2020-04-05,35.0334
2020-04-06,37.3824
2020-04-07,37.131
2020-04-08,37.808
2020-04-09,37.9209
2020-04-10,37.9209
2020-04-11,37.9209
2020-04-12,37.9209
2020-04-13,37.8388
2020-04-14,39.085
2020-04-15,38.4696
2020-04-16,39.044
2020-04-17,39.9723
2020-04-18,39.9723
2020-04-19,39.9723
2020-04-20,39.9313
2020-04-21,39.203
2020-04-22,40.0338
2020-04-23,40.6185
2020-04-24,40.7313
2020-04-25,40.7313
2020-04-26,40.7313
2020-04-27,41.7503
2020-04-28,41.7195
2020-04-29,41.986
2020-04-30,41.535
2020-05-01,41.1044
2020-05-02,41.1044
2020-05-03,41.1044
2020-05-04,41.0378
2020-05-05,42.5283
2020-05-06,42.5591
2020-05-07,42.6616
2020-05-08,42.6257
2020-05-09,42.6257
2020-05-10,42.6257
2020-05-11,43.0563
2020-05-12,42.3028
2020-05-13,42.5745
2020-05-14,42.759
2020-05-15,43.087
2020-05-16,43.087
2020-05-17,43.087
2020-05-18,43.7072
2020-05-19,43.3689
2020-05-20,43.7277
2020-05-21,42.9999
2020-05-22,43.5739
2020-05-23,43.5739
2020-05-24,43.5739
2020-05-25,43.5739
2020-05-26,43.4868
2020-05-27,42.9076
2020-05-28,43.9378
2020-05-29,44.8194
2020-05-30,44.8194
2020-05-31,44.8194
2020-06-01,44.8194
2020-06-02,44.8809
2020-06-03,44.0659
2020-06-04,42.6462
2020-06-05,43.0511
2020-06-06,43.0511
2020-06-07,43.0511
2020-06-08,43.8353
2020-06-09,44.394
2020-06-10,44.4811
2020-06-11,43.4253
2020-06-12,42.3182
2020-06-13,42.3182
2020-06-14,42.3182
2020-06-15,42.8871
2020-06-16,42.9794
2020-06-17,45.8373
2020-06-18,44.7527
2020-06-19,43.8775
2020-06-20,43.8775
2020-06-21,43.8775
2020-06-22,44.4306
2020-06-23,44.3715
2020-06-24,43.5232
2020-06-25,44.6131
2020-06-26,44.3554
2020-06-27,44.3554
2020-06-28,44.3554
2020-06-29,43.9688
2020-06-30,42.3391
2020-07-01,42.4575
2020-07-02,42.1832
2020-07-03,42.1832
2020-07-04,42.1832
2020-07-05,42.1832
2020-07-06,42.4144
2020-07-07,41.1505
2020-07-08,41.7153
2020-07-09,42.0702
2020-07-10,41.5808
2020-07-11,41.5808
2020-07-12,41.5808
2020-07-13,40.4675
2020-07-14,41.1075
2020-07-15,41.0967
2020-07-16,41.371
2020-07-17,41.7852
2020-07-18,41.7852
2020-07-19,41.7852
2020-07-20,42.2316
2020-07-21,42.1939
2020-07-22,42.6457
2020-07-23,42.5005
2020-07-24,42.6672
2020-07-25,42.6672
2020-07-26,42.6672
2020-07-27,43.3933
2020-07-28,43.1405
2020-07-29,43.2535
2020-07-30,43.5116
2020-07-31,43.6084
2020-08-01,43.6084
2020-08-02,43.6084
2020-08-03,44.0548
2020-08-04,44.3937
2020-08-05,44.1301
2020-08-06,43.9849
2020-08-07,44.5389
2020-08-08,44.5389
2020-08-09,44.5389
2020-08-10,45.8408
2020-08-11,45.7333
2020-08-12,46.2496
2020-08-13,45.9592
2020-08-14,45.8839
2020-08-15,45.8839
2020-08-16,45.8839
2020-08-17,46.3786
2020-08-18,46.6798
2020-08-19,46.669
2020-08-20,46.8088
2020-08-21,46.7228
2020-08-22,46.7228
2020-08-23,46.7228
2020-08-24,47.1638
2020-08-25,47.5402
2020-08-26,47.8306
2020-08-27,48.2232
2020-08-28,48.6588
2020-08-29,48.6588
2020-08-30,48.6588
2020-08-31,48.5405
2020-09-01,49.2826
2020-09-02,49.2934
2020-09-03,47.2606
2020-09-04,47.1799
2020-09-05,47.1799
2020-09-06,47.1799
2020-09-07,47.1799
2020-09-08,46.1044
2020-09-09,47.551
2020-09-10,47.3036
2020-09-11,47.4757
2020-09-12,47.4757
2020-09-13,47.4757
2020-09-14,48.2554
2020-09-15,49.3364
2020-09-16,49.6752
2020-09-17,49.3902
2020-09-18,49.245
