,HUBB US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,15.8714
2020-01-02,15.933
2020-01-03,15.9357
2020-01-04,15.9357
2020-01-05,15.9357
2020-01-06,15.8732
2020-01-07,15.8533
2020-01-08,15.9067
2020-01-09,15.664
2020-01-10,15.5526
2020-01-11,15.5526
2020-01-12,15.5526
2020-01-13,15.7084
2020-01-14,15.5988
2020-01-15,15.7301
2020-01-16,15.9212
2020-01-17,15.9928
2020-01-18,15.9928
2020-01-19,15.9928
2020-01-20,15.9928
2020-01-21,15.9285
2020-01-22,15.9819
2020-01-23,15.9511
2020-01-24,15.7917
2020-01-25,15.7917
2020-01-26,15.7917
2020-01-27,15.6667
2020-01-28,15.7582
2020-01-29,15.8189
2020-01-30,15.8886
2020-01-31,15.4556
2020-02-01,15.4556
2020-02-02,15.4556
2020-02-03,15.6703
2020-02-04,15.4946
2020-02-05,15.9231
2020-02-06,15.8279
2020-02-07,15.654
2020-02-08,15.654
2020-02-09,15.654
2020-02-10,15.8252
2020-02-11,16.0272
2020-02-12,15.9901
2020-02-13,16.0254
2020-02-14,15.858
2020-02-15,15.858
2020-02-16,15.858
2020-02-17,15.858
2020-02-18,15.7238
2020-02-19,15.8036
2020-02-20,15.7819
2020-02-21,15.5842
2020-02-22,15.5842
2020-02-23,15.5842
2020-02-24,15.285
2020-02-25,14.8634
2020-02-26,14.8399
2020-02-27,14.5189
2020-02-28,14.5615
2020-02-29,14.5615
2020-03-01,14.5615
2020-03-02,15.1826
2020-03-03,14.5788
2020-03-04,15.2198
2020-03-05,14.8644
2020-03-06,14.6794
2020-03-07,14.6794
2020-03-08,14.6794
2020-03-09,13.5506
2020-03-10,14.2877
2020-03-11,13.5497
2020-03-12,12.1753
2020-03-13,13.2832
2020-03-14,13.2832
2020-03-15,13.2832
2020-03-16,12.3194
2020-03-17,12.3357
2020-03-18,11.246
2020-03-19,11.673
2020-03-20,11.2378
2020-03-21,11.2378
2020-03-22,11.2378
2020-03-23,10.343
2020-03-24,11.4228
2020-03-25,12.2052
2020-03-26,12.7301
2020-03-27,12.1798
2020-03-28,12.1798
2020-03-29,12.1798
2020-03-30,12.7133
2020-03-31,13.0235
2020-04-01,12.6128
2020-04-02,12.8269
2020-04-03,12.3887
2020-04-04,12.3887
2020-04-05,12.3887
2020-04-06,13.126
2020-04-07,13.1653
2020-04-08,13.5101
2020-04-09,13.9108
2020-04-10,13.9108
2020-04-11,13.9108
2020-04-12,13.9108
2020-04-13,13.4269
2020-04-14,13.833
2020-04-15,13.4489
2020-04-16,13.3181
2020-04-17,13.5476
2020-04-18,13.5476
2020-04-19,13.5476
2020-04-20,13.2266
2020-04-21,13.0153
2020-04-22,13.3181
2020-04-23,13.3848
2020-04-24,13.4525
2020-04-25,13.4525
2020-04-26,13.4525
2020-04-27,13.7425
2020-04-28,13.8468
2020-04-29,14.1257
2020-04-30,13.9099
2020-05-01,13.6585
2020-05-02,13.6585
2020-05-03,13.6585
2020-05-04,13.4688
2020-05-05,13.6129
2020-05-06,13.3941
2020-05-07,13.4078
2020-05-08,13.694
2020-05-09,13.694
2020-05-10,13.694
2020-05-11,13.6047
2020-05-12,12.9501
2020-05-13,12.5389
2020-05-14,12.8069
2020-05-15,12.8844
2020-05-16,12.8844
2020-05-17,12.8844
2020-05-18,13.4014
2020-05-19,13.2637
2020-05-20,13.3521
2020-05-21,13.2674
2020-05-22,13.1826
2020-05-23,13.1826
2020-05-24,13.1826
2020-05-25,13.1826
2020-05-26,13.5454
2020-05-27,13.9557
2020-05-28,13.8691
2020-05-29,13.6895
2020-05-30,13.6895
2020-05-31,13.6895
2020-06-01,13.9238
2020-06-02,14.2584
2020-06-03,14.4881
2020-06-04,14.706
2020-06-05,15.0917
2020-06-06,15.0917
2020-06-07,15.0917
2020-06-08,15.088
2020-06-09,14.8975
2020-06-10,14.5228
2020-06-11,13.7579
2020-06-12,13.9028
