,POOL US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,26.8555
2020-01-02,27.0233
2020-01-03,27.1676
2020-01-04,27.1676
2020-01-05,27.1676
2020-01-06,27.1723
2020-01-07,26.9306
2020-01-08,27.0573
2020-01-09,27.1055
2020-01-10,27.4023
2020-01-11,27.4023
2020-01-12,27.4023
2020-01-13,27.3518
2020-01-14,27.2357
2020-01-15,27.4011
2020-01-16,27.5677
2020-01-17,27.7285
2020-01-18,27.7285
2020-01-19,27.7285
2020-01-20,27.7285
2020-01-21,27.6663
2020-01-22,27.8188
2020-01-23,27.8411
2020-01-24,27.7437
2020-01-25,27.7437
2020-01-26,27.7437
2020-01-27,27.935
2020-01-28,27.9209
2020-01-29,28.3972
2020-01-30,28.2154
2020-01-31,27.6675
2020-02-01,27.6675
2020-02-02,27.6675
2020-02-03,27.8575
2020-02-04,28.084
2020-02-05,28.1978
2020-02-06,28.4301
2020-02-07,28.5603
2020-02-08,28.5603
2020-02-09,28.5603
2020-02-10,28.6354
2020-02-11,28.8396
2020-02-12,28.592
2020-02-13,28.7046
2020-02-14,29.3394
2020-02-15,29.3394
2020-02-16,29.3394
2020-02-17,29.3394
2020-02-18,29.6268
2020-02-19,29.33
2020-02-20,29.2009
2020-02-21,28.829
2020-02-22,28.829
2020-02-23,28.829
2020-02-24,28.2858
2020-02-25,27.4574
2020-02-26,27.7508
2020-02-27,27.4235
2020-02-28,26.784
2020-02-29,26.784
2020-03-01,26.784
2020-03-02,26.7793
2020-03-03,27.3011
2020-03-04,28.7368
2020-03-05,28.6308
2020-03-06,28.427
2020-03-07,28.427
2020-03-08,28.427
2020-03-09,27.0266
2020-03-10,27.4589
2020-03-11,26.3588
2020-03-12,23.9538
2020-03-13,26.2163
2020-03-14,26.2163
2020-03-15,26.2163
2020-03-16,22.14
2020-03-17,23.2813
2020-03-18,24.0115
2020-03-19,24.7712
2020-03-20,21.6983
2020-03-21,21.6983
2020-03-22,21.6983
2020-03-23,21.8785
2020-03-24,23.2613
2020-03-25,22.5534
2020-03-26,23.7614
2020-03-27,23.995
2020-03-28,23.995
2020-03-29,23.995
2020-03-30,25.3362
2020-03-31,25.6037
2020-04-01,25.3944
2020-04-02,25.1696
2020-04-03,23.4033
2020-04-04,23.4033
2020-04-05,23.4033
2020-04-06,25.5098
2020-04-07,24.9864
2020-04-08,25.8821
2020-04-09,25.9249
2020-04-10,25.9249
2020-04-11,25.9249
2020-04-12,25.9249
2020-04-13,24.8592
2020-04-14,25.4336
2020-04-15,24.9745
2020-04-16,25.5538
2020-04-17,25.8428
2020-04-18,25.8428
2020-04-19,25.8428
2020-04-20,24.9888
2020-04-21,24.1752
2020-04-22,24.8485
2020-04-23,26.5113
2020-04-24,27.5936
2020-04-25,27.5936
2020-04-26,27.5936
2020-04-27,28.6784
2020-04-28,28.4488
2020-04-29,28.0944
2020-04-30,27.1744
2020-05-01,27.6889
2020-05-02,27.6889
2020-05-03,27.6889
2020-05-04,27.5461
2020-05-05,28.378
2020-05-06,28.4323
2020-05-07,28.0051
2020-05-08,28.7072
2020-05-09,28.7072
2020-05-10,28.7072
2020-05-11,29.0706
2020-05-12,28.3461
2020-05-13,27.729
2020-05-14,27.8883
2020-05-15,28.509
2020-05-16,28.509
2020-05-17,28.509
2020-05-18,29.2866
2020-05-19,29.2217
2020-05-20,29.4317
2020-05-21,30.3237
2020-05-22,30.3037
2020-05-23,30.3037
2020-05-24,30.3037
2020-05-25,30.3037
2020-05-26,30.8512
2020-05-27,32.2258
2020-05-28,32.7757
2020-05-29,33.9427
2020-05-30,33.9427
2020-05-31,33.9427
2020-06-01,33.794
2020-06-02,33.5663
2020-06-03,33.9981
2020-06-04,33.2076
2020-06-05,32.7415
2020-06-06,32.7415
2020-06-07,32.7415
2020-06-08,32.3308
2020-06-09,33.1722
2020-06-10,33.1556
2020-06-11,31.8907
2020-06-12,32.0134
2020-06-13,32.0134
2020-06-14,32.0134
2020-06-15,32.3037
2020-06-16,33.2772
2020-06-17,33.5167
2020-06-18,33.486
2020-06-19,33.6571
2020-06-20,33.6571
2020-06-21,33.6571
2020-06-22,34.148
2020-06-23,33.5958
2020-06-24,33.0306
2020-06-25,33.3397
2020-06-26,32.9893
2020-06-27,32.9893
2020-06-28,32.9893
2020-06-29,33.5615
2020-06-30,30.7619
2020-07-01,30.8736
2020-07-02,30.5847
2020-07-03,30.5847
2020-07-04,30.5847
2020-07-05,30.5847
2020-07-06,30.4815
2020-07-07,30.764
2020-07-08,30.647
2020-07-09,31.5417
2020-07-10,31.473
2020-07-11,31.473
2020-07-12,31.473
2020-07-13,31.2356
2020-07-14,31.7834
2020-07-15,32.4462
2020-07-16,32.0219
2020-07-17,33.1809
2020-07-18,33.1809
2020-07-19,33.1809
2020-07-20,33.9285
2020-07-21,33.399
2020-07-22,33.9876
2020-07-23,33.8458
2020-07-24,34.2422
2020-07-25,34.2422
2020-07-26,34.2422
2020-07-27,34.8931
2020-07-28,34.4957
2020-07-29,35.282
2020-07-30,35.3883
2020-07-31,35.6969
2020-08-01,35.6969
2020-08-02,35.6969
2020-08-03,36.2919
2020-08-04,36.5711
2020-08-05,36.9139
2020-08-06,36.9743
2020-08-07,36.9797
2020-08-08,36.9797
2020-08-09,36.9797
2020-08-10,36.6444
2020-08-11,35.6409
2020-08-12,36.5226
2020-08-13,36.0645
2020-08-14,35.9793
2020-08-15,35.9793
2020-08-16,35.9793
2020-08-17,36.7026
2020-08-18,36.9204
2020-08-19,36.6487
2020-08-20,36.6455
2020-08-21,37.4938
2020-08-22,37.4938
2020-08-23,37.4938
2020-08-24,37.6394
2020-08-25,37.7127
2020-08-26,37.7612
2020-08-27,37.8496
2020-08-28,37.2276
2020-08-29,37.2276
2020-08-30,37.2276
2020-08-31,36.8977
2020-09-01,37.122
2020-09-02,37.1176
2020-09-03,34.9402
2020-09-04,33.3578
2020-09-05,33.3578
2020-09-06,33.3578
2020-09-07,33.3578
2020-09-08,33.1552
2020-09-09,34.1576
2020-09-10,33.9162
2020-09-11,33.9313
2020-09-12,33.9313
2020-09-13,33.9313
2020-09-14,34.8001
2020-09-15,34.8109
2020-09-16,33.9205
2020-09-17,34.3592
2020-09-18,34.0326
2020-09-19,34.0326
2020-09-20,34.0326
2020-09-21,33.9496
2020-09-22,34.7483
2020-09-23,34.6815
2020-09-24,34.9855
2020-09-25,35.5245
2020-09-26,35.5245
2020-09-27,35.5245
2020-09-28,36.6132
2020-09-29,36.9732
2020-09-30,33.3453
2020-10-01,32.7415
2020-10-02,32.2119
2020-10-03,32.2119
2020-10-04,32.2119
2020-10-05,32.6903
2020-10-06,32.7154
2020-10-07,33.0656
2020-10-08,33.9539
2020-10-09,34.5037
2020-10-10,34.5037
2020-10-11,34.5037
2020-10-12,35.096
2020-10-13,35.0285
2020-10-14,35.831
2020-10-15,35.8378
2020-10-16,35.7471
2020-10-17,35.7471
2020-10-18,35.7471
2020-10-19,35.179
2020-10-20,35.3796
2020-10-21,35.4124
2020-10-22,34.8616
2020-10-23,35.966
2020-10-24,35.966
2020-10-25,35.966
2020-10-26,36.0471
2020-10-27,36.4753
2020-10-28,36.076
2020-10-29,35.8628
2020-10-30,34.8898
2020-10-31,34.8898
2020-11-01,34.8898
2020-11-02,35.6108
2020-11-03,36.2768
2020-11-04,37.5324
2020-11-05,38.1848
2020-11-06,38.0852
2020-11-07,38.0852
2020-11-08,38.0852
2020-11-09,32.2288
2020-11-10,33.9116
2020-11-11,34.5263
2020-11-12,33.8942
2020-11-13,34.0005
2020-11-14,34.0005
2020-11-15,34.0005
2020-11-16,34.017
2020-11-17,32.9199
2020-11-18,32.2423
2020-11-19,33.8091
2020-11-20,33.9271
2020-11-21,33.9271
2020-11-22,33.9271
2020-11-23,33.3723
2020-11-24,32.8068
2020-11-25,33.3201
2020-11-26,33.3201
2020-11-27,34.2412
2020-11-28,34.2412
2020-11-29,34.2412
2020-11-30,34.5302
2020-12-01,35.2058
2020-12-02,33.8555
2020-12-03,32.9963
2020-12-04,32.4192
2020-12-05,32.4192
2020-12-06,32.4192
2020-12-07,33.2234
2020-12-08,33.8546
2020-12-09,33.4467
2020-12-10,33.1084
2020-12-11,33.726
2020-12-12,33.726
2020-12-13,33.726
2020-12-14,34.5756
2020-12-15,34.7892
2020-12-16,35.1904
2020-12-17,35.5006
2020-12-18,36.2952
2020-12-19,36.2952
2020-12-20,36.2952
2020-12-21,36.067
2020-12-22,36.8132
2020-12-23,36.4063
2020-12-24,36.33
2020-12-25,36.33
2020-12-26,36.33
2020-12-27,36.33
2020-12-28,36.1395
2020-12-29,36.2633
2020-12-30,36.5764
2020-12-31,33.5082
2021-01-01,33.5082
2021-01-02,33.5082
2021-01-03,33.5082
2021-01-04,32.1573
2021-01-05,32.1555
2021-01-06,33.3247
2021-01-07,34.6722
2021-01-08,35.1084
2021-01-09,35.1084
2021-01-10,35.1084
2021-01-11,34.6116
2021-01-12,34.59
2021-01-13,33.6138
2021-01-14,33.0063
2021-01-15,32.3745
2021-01-16,32.3745
2021-01-17,32.3745
2021-01-18,32.3745
2021-01-19,32.4809
2021-01-20,32.9665
2021-01-21,33.0071
2021-01-22,33.2321
2021-01-23,33.2321
2021-01-24,33.2321
2021-01-25,33.2001
2021-01-26,32.7449
2021-01-27,31.9643
2021-01-28,32.6566
2021-01-29,31.9227
2021-01-30,31.9227
2021-01-31,31.9227
2021-02-01,32.4108
2021-02-02,32.1928
2021-02-03,31.9807
2021-02-04,32.339
2021-02-05,32.3676
2021-02-06,32.3676
2021-02-07,32.3676
2021-02-08,32.3745
2021-02-09,32.4515
2021-02-10,31.6077
2021-02-11,29.8206
2021-02-12,30.5086
2021-02-13,30.5086
2021-02-14,30.5086
2021-02-15,30.5086
2021-02-16,30.1183
2021-02-17,29.8448
2021-02-18,29.8673
2021-02-19,29.4909
2021-02-20,29.4909
2021-02-21,29.4909
2021-02-22,28.4826
2021-02-23,28.8132
2021-02-24,29.6908
2021-02-25,29.2727
2021-02-26,30.294
2021-02-27,30.294
2021-02-28,30.294
2021-03-01,30.2446
2021-03-02,29.9412
2021-03-03,29.9758
2021-03-04,29.3247
2021-03-05,29.8995
2021-03-06,29.8995
2021-03-07,29.8995
2021-03-08,29.7366
2021-03-09,30.4449
2021-03-10,31.0249
2021-03-11,31.3404
2021-03-12,30.959
2021-03-13,30.959
2021-03-14,30.959
2021-03-15,31.4037
2021-03-16,31.0916
2021-03-17,30.6781
2021-03-18,30.4761
2021-03-19,30.8168
2021-03-20,30.8168
2021-03-21,30.8168
2021-03-22,30.4197
2021-03-23,30.8263
2021-03-24,30.7561
2021-03-25,30.3356
2021-03-26,30.9087
2021-03-27,30.9087
2021-03-28,30.9087
2021-03-29,31.0491
2021-03-30,30.8988
2021-03-31,25.9752
2021-04-01,26.4311
2021-04-02,26.4311
2021-04-03,26.4311
2021-04-04,26.4311
2021-04-05,26.8223
2021-04-06,26.8741
2021-04-07,26.7971
2021-04-08,27.0931
2021-04-09,27.722
2021-04-10,27.722
2021-04-11,27.722
2021-04-12,27.8437
2021-04-13,27.7911
2021-04-14,27.593
2021-04-15,28.0778
2021-04-16,28.6382
2021-04-17,28.6382
2021-04-18,28.6382
2021-04-19,28.6915
2021-04-20,28.9155
2021-04-21,28.8874
2021-04-22,30.6731
2021-04-23,31.3265
2021-04-24,31.3265
2021-04-25,31.3265
2021-04-26,30.8741
2021-04-27,31.4821
2021-04-28,31.021
2021-04-29,31.4269
2021-04-30,31.5039
2021-05-01,31.5039
2021-05-02,31.5039
2021-05-03,31.96
2021-05-04,32.1248
2021-05-05,32.8737
2021-05-06,32.3909
2021-05-07,33.0499
2021-05-08,33.0499
2021-05-09,33.0499
2021-05-10,33.1183
2021-05-11,32.6802
2021-05-12,31.3053
2021-05-13,32.4025
2021-05-14,32.6082
2021-05-15,32.6082
2021-05-16,32.6082
2021-05-17,32.4499
2021-05-18,31.8334
2021-05-19,31.8859
2021-05-20,32.0226
2021-05-21,31.9881
2021-05-22,31.9881
2021-05-23,31.9881
2021-05-24,32.0953
2021-05-25,32.0176
2021-05-26,32.0154
2021-05-27,32.1478
