,DECK US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.1326
2020-01-02,12.3889
2020-01-03,12.4887
2020-01-04,12.4887
2020-01-05,12.4887
2020-01-06,12.5692
2020-01-07,12.4647
2020-01-08,12.1303
2020-01-09,12.1659
2020-01-10,11.8361
2020-01-11,11.8361
2020-01-12,11.8361
2020-01-13,12.0498
2020-01-14,12.104
2020-01-15,12.1295
2020-01-16,12.4268
2020-01-17,12.4934
2020-01-18,12.4934
2020-01-19,12.4934
2020-01-20,12.4934
2020-01-21,12.6072
2020-01-22,12.6335
2020-01-23,12.6087
2020-01-24,12.8139
2020-01-25,12.8139
2020-01-26,12.8139
2020-01-27,12.6312
2020-01-28,12.6118
2020-01-29,12.7318
2020-01-30,12.7922
2020-01-31,13.8397
2020-02-01,13.8397
2020-02-02,13.8397
2020-02-03,13.5842
2020-02-04,13.7444
2020-02-05,13.9891
2020-02-06,13.934
2020-02-07,13.8821
2020-02-08,13.8821
2020-02-09,13.8821
2020-02-10,14.0115
2020-02-11,14.0316
2020-02-12,14.5025
2020-02-13,14.5923
2020-02-14,14.5931
2020-02-15,14.5931
2020-02-16,14.5931
2020-02-17,14.5931
2020-02-18,14.6411
2020-02-19,14.6365
2020-02-20,14.4777
2020-02-21,14.1284
2020-02-22,14.1284
2020-02-23,14.1284
2020-02-24,13.5801
2020-02-25,13.168
2020-02-26,13.1138
2020-02-27,12.5299
2020-02-28,12.5206
2020-02-29,12.5206
2020-03-01,12.5206
2020-03-02,12.9187
2020-03-03,12.6065
2020-03-04,12.9938
2020-03-05,12.4369
2020-03-06,12.43
2020-03-07,12.43
2020-03-08,12.43
2020-03-09,11.6075
2020-03-10,11.9823
2020-03-11,10.9383
2020-03-12,9.2135
2020-03-13,9.0997
2020-03-14,9.0997
2020-03-15,9.0997
2020-03-16,7.6831
2020-03-17,7.6359
2020-03-18,6.1202
2020-03-19,7.096
2020-03-20,7.1069
2020-03-21,7.1069
2020-03-22,7.1069
2020-03-23,7.8651
2020-03-24,9.394
2020-03-25,9.0935
2020-03-26,9.9469
2020-03-27,9.3676
2020-03-28,9.3676
2020-03-29,9.3676
2020-03-30,9.8354
2020-03-31,9.8046
2020-04-01,8.9765
2020-04-02,9.214
2020-04-03,8.844
2020-04-04,8.844
2020-04-05,8.844
2020-04-06,10.1568
2020-04-07,10.3839
2020-04-08,10.6997
2020-04-09,11.0067
2020-04-10,11.0067
2020-04-11,11.0067
2020-04-12,11.0067
2020-04-13,10.56
2020-04-14,10.7329
2020-04-15,10.2029
2020-04-16,10.2296
2020-04-17,10.7458
2020-04-18,10.7458
2020-04-19,10.7458
2020-04-20,10.3427
2020-04-21,9.6406
2020-04-22,9.7052
2020-04-23,9.7036
2020-04-24,10.0809
2020-04-25,10.0809
2020-04-26,10.0809
2020-04-27,10.8064
2020-04-28,10.9292
2020-04-29,11.548
2020-04-30,10.997
2020-05-01,10.5551
2020-05-02,10.5551
2020-05-03,10.5551
2020-05-04,10.3095
2020-05-05,10.5802
2020-05-06,10.5026
2020-05-07,10.6577
2020-05-08,11.031
2020-05-09,11.031
2020-05-10,11.031
2020-05-11,10.8831
2020-05-12,10.169
2020-05-13,9.9234
2020-05-14,10.2506
2020-05-15,10.3564
2020-05-16,10.3564
2020-05-17,10.3564
2020-05-18,11.3372
2020-05-19,11.4616
2020-05-20,12.1079
2020-05-21,12.5538
2020-05-22,13.4595
2020-05-23,13.4595
2020-05-24,13.4595
2020-05-25,13.4595
2020-05-26,13.5249
2020-05-27,14.7553
2020-05-28,14.0371
2020-05-29,13.7253
2020-05-30,13.7253
