,TRN US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,18.8008
2020-01-02,18.7979
2020-01-03,18.7713
2020-01-04,18.7713
2020-01-05,18.7713
2020-01-06,18.7271
2020-01-07,18.6181
2020-01-08,18.5945
2020-01-09,18.5444
2020-01-10,18.5179
2020-01-11,18.5179
2020-01-12,18.5179
2020-01-13,18.5739
2020-01-14,18.4737
2020-01-15,18.3735
2020-01-16,18.6092
2020-01-17,18.4354
2020-01-18,18.4354
2020-01-19,18.4354
2020-01-20,18.4354
2020-01-21,18.2821
2020-01-22,18.3234
2020-01-23,18.4206
2020-01-24,18.403
2020-01-25,18.403
2020-01-26,18.403
2020-01-27,18.4059
2020-01-28,18.4442
2020-01-29,18.4619
2020-01-30,18.4855
2020-01-31,18.2644
2020-02-01,18.2644
2020-02-02,18.2644
2020-02-03,18.3352
2020-02-04,18.509
2020-02-05,18.6535
2020-02-06,18.565
2020-02-07,18.4707
2020-02-08,18.4707
2020-02-09,18.4707
2020-02-10,18.5297
2020-02-11,18.6446
2020-02-12,18.7595
2020-02-13,18.7389
2020-02-14,18.6417
2020-02-15,18.6417
2020-02-16,18.6417
2020-02-17,18.6417
2020-02-18,18.7684
2020-02-19,18.7772
2020-02-20,18.9729
2020-02-21,18.8435
2020-02-22,18.8435
2020-02-23,18.8435
2020-02-24,18.5502
2020-02-25,18.2828
2020-02-26,18.3288
2020-02-27,18.1591
2020-02-28,18.1246
2020-02-29,18.1246
2020-03-01,18.1246
2020-03-02,18.3115
2020-03-03,18.2483
2020-03-04,18.5128
2020-03-05,18.3719
2020-03-06,18.0959
2020-03-07,18.0959
2020-03-08,18.0959
2020-03-09,17.2102
2020-03-10,17.2534
2020-03-11,17.193
2020-03-12,16.9026
2020-03-13,17.4201
2020-03-14,17.4201
2020-03-15,17.4201
2020-03-16,16.9946
2020-03-17,17.3051
2020-03-18,16.9026
2020-03-19,17.1815
2020-03-20,16.9256
2020-03-21,16.9256
2020-03-22,16.9256
2020-03-23,16.6668
2020-03-24,16.9256
2020-03-25,17.2534
2020-03-26,17.2764
2020-03-27,16.8594
2020-03-28,16.8594
2020-03-29,16.8594
2020-03-30,16.8566
2020-03-31,17.544
2020-04-01,17.276
2020-04-02,17.5621
2020-04-03,17.097
2020-04-04,17.097
2020-04-05,17.097
2020-04-06,17.4364
2020-04-07,17.6747
2020-04-08,17.9397
2020-04-09,17.8831
2020-04-10,17.8831
2020-04-11,17.8831
2020-04-12,17.8831
2020-04-13,17.8265
2020-04-14,17.8057
2020-04-15,17.4126
2020-04-16,17.3947
2020-04-17,17.5198
2020-04-18,17.5198
2020-04-19,17.5198
2020-04-20,17.3918
2020-04-21,17.4215
2020-04-22,17.3799
2020-04-23,17.5407
2020-04-24,17.633
2020-04-25,17.633
2020-04-26,17.633
2020-04-27,17.8384
2020-04-28,17.9069
2020-04-29,18.0797
2020-04-30,18.4229
2020-05-01,18.2539
2020-05-02,18.2539
2020-05-03,18.2539
2020-05-04,18.0939
2020-05-05,18.1769
2020-05-06,18.1472
2020-05-07,18.0287
2020-05-08,18.337
2020-05-09,18.337
2020-05-10,18.337
2020-05-11,18.3992
2020-05-12,18.3043
2020-05-13,18.0879
2020-05-14,18.0168
2020-05-15,18.0968
2020-05-16,18.0968
2020-05-17,18.0968
2020-05-18,18.5237
2020-05-19,18.4674
2020-05-20,18.5889
2020-05-21,18.6364
2020-05-22,18.5978
2020-05-23,18.5978
2020-05-24,18.5978
2020-05-25,18.5978
2020-05-26,18.8113
2020-05-27,18.998
2020-05-28,18.7371
2020-05-29,18.6245
2020-05-30,18.6245
2020-05-31,18.6245
2020-06-01,18.6304
2020-06-02,18.8824
2020-06-03,19.1462
2020-06-04,19.3537
2020-06-05,19.3952
2020-06-06,19.3952
2020-06-07,19.3952
2020-06-08,19.7984
2020-06-09,19.5464
2020-06-10,19.3923
2020-06-11,18.9595
2020-06-12,19.2055
2020-06-13,19.2055
2020-06-14,19.2055
2020-06-15,19.2826
2020-06-16,19.4249
2020-06-17,19.3537
2020-06-18,19.3182
2020-06-19,19.1907
2020-06-20,19.1907
2020-06-21,19.1907
2020-06-22,19.2767
2020-06-23,19.2292
2020-06-24,18.8468
2020-06-25,19.0128
2020-06-26,18.829
2020-06-27,18.829
2020-06-28,18.829
2020-06-29,18.9446
2020-06-30,18.9446
2020-07-01,18.9446
2020-07-02,18.9446
2020-07-03,18.9446
2020-07-04,18.9446
2020-07-05,18.9446
2020-07-06,18.9446
2020-07-07,18.9446
2020-07-08,18.9446
2020-07-09,18.9446
2020-07-10,18.9446
2020-07-11,18.9446
2020-07-12,18.9446
2020-07-13,18.9446
2020-07-14,18.9446
2020-07-15,18.9446
2020-07-16,18.9446
2020-07-17,18.9446
2020-07-18,18.9446
2020-07-19,18.9446
2020-07-20,18.9446
2020-07-21,18.9446
2020-07-22,18.9446
2020-07-23,18.9446
2020-07-24,18.9446
2020-07-25,18.9446
2020-07-26,18.9446
2020-07-27,18.9446
2020-07-28,18.9446
2020-07-29,18.9446
2020-07-30,18.9446
2020-07-31,18.9446
2020-08-01,18.9446
2020-08-02,18.9446
2020-08-03,18.9446
