,USNA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-06-08,10.4308
2020-06-09,10.1832
2020-06-10,10.3021
2020-06-11,9.7033
2020-06-12,9.8124
2020-06-13,9.8124
2020-06-14,9.8124
2020-06-15,10.0097
2020-06-16,10.1398
2020-06-17,9.9607
2020-06-18,9.7873
2020-06-19,9.3759
2020-06-20,9.3759
2020-06-21,9.3759
2020-06-22,9.3759
2020-06-23,9.2724
2020-06-24,8.7813
2020-06-25,8.4665
2020-06-26,7.6598
2020-06-27,7.6598
2020-06-28,7.6598
2020-06-29,8.0467
2020-06-30,8.2944
2020-07-01,8.3884
2020-07-02,9.4695
2020-07-03,9.4695
2020-07-04,9.4695
2020-07-05,9.4695
2020-07-06,9.1078
2020-07-07,9.3343
2020-07-08,9.5145
2020-07-09,9.4416
2020-07-10,9.4681
2020-07-11,9.4681
2020-07-12,9.4681
2020-07-13,9.696
2020-07-14,9.8271
2020-07-15,10.0643
2020-07-16,10.3107
2020-07-17,10.4776
2020-07-18,10.4776
2020-07-19,10.4776
2020-07-20,10.6485
2020-07-21,10.3173
2020-07-22,9.8788
2020-07-23,9.6099
2020-07-24,9.1489
2020-07-25,9.1489
2020-07-26,9.1489
2020-07-27,9.333
2020-07-28,9.2707
2020-07-29,9.3555
2020-07-30,9.3449
2020-07-31,9.3211
2020-08-01,9.3211
2020-08-02,9.3211
2020-08-03,9.3211
2020-08-04,9.3545
2020-08-05,9.597
2020-08-06,9.5055
2020-08-07,9.5042
2020-08-08,9.5042
2020-08-09,9.5042
2020-08-10,9.3081
2020-08-11,9.54
2020-08-12,9.6765
2020-08-13,9.6566
2020-08-14,9.585
2020-08-15,9.585
2020-08-16,9.585
2020-08-17,9.6341
2020-08-18,9.5917
2020-08-19,9.5002
2020-08-20,9.5877
2020-08-21,9.4326
2020-08-22,9.4326
2020-08-23,9.4326
2020-08-24,8.9901
2020-08-25,9.21
2020-08-26,9.0802
2020-08-27,9.0205
2020-08-28,8.9927
2020-08-29,8.9927
2020-08-30,8.9927
2020-08-31,8.9569
2020-09-01,8.8138
2020-09-02,8.8854
2020-09-03,8.5766
2020-09-04,8.5475
2020-09-05,8.5475
