,TAP US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,27.1133
2020-01-02,27.0194
2020-01-03,26.9839
2020-01-04,26.9839
2020-01-05,26.9839
2020-01-06,27.3192
2020-01-07,27.2816
2020-01-08,27.3336
2020-01-09,27.3175
2020-01-10,27.3482
2020-01-11,27.3482
2020-01-12,27.3482
2020-01-13,27.434
2020-01-14,27.5842
2020-01-15,27.5762
2020-01-16,27.7975
2020-01-17,27.7975
2020-01-18,27.7975
2020-01-19,27.7975
2020-01-20,27.7975
2020-01-21,27.8011
2020-01-22,27.7958
2020-01-23,27.8655
2020-01-24,27.6743
2020-01-25,27.6743
2020-01-26,27.6743
2020-01-27,27.6261
2020-01-28,27.6663
2020-01-29,27.7226
2020-01-30,27.7119
2020-01-31,27.5295
2020-02-01,27.5295
2020-02-02,27.5295
2020-02-03,27.7253
2020-02-04,27.8862
2020-02-05,28.1839
2020-02-06,28.0445
2020-02-07,28.1196
2020-02-08,28.1196
2020-02-09,28.1196
2020-02-10,28.1357
2020-02-11,28.192
2020-02-12,27.5095
2020-02-13,27.7241
2020-02-14,27.5132
2020-02-15,27.5132
2020-02-16,27.5132
2020-02-17,27.5132
2020-02-18,27.2986
2020-02-19,27.3581
2020-02-20,27.5002
2020-02-21,27.468
2020-02-22,27.468
2020-02-23,27.468
2020-02-24,27.1757
2020-02-25,26.4299
2020-02-26,26.5158
2020-02-27,26.0517
2020-02-28,25.9444
2020-02-29,25.9444
2020-03-01,25.9444
2020-03-02,26.4014
2020-03-03,26.1197
2020-03-04,26.6535
2020-03-05,26.0204
2020-03-06,25.4875
2020-03-07,25.4875
2020-03-08,25.4875
2020-03-09,24.1383
2020-03-10,24.3743
2020-03-11,23.583
2020-03-12,22.6111
2020-03-13,23.7567
2020-03-14,23.7567
2020-03-15,23.7567
2020-03-16,23.6351
2020-03-17,24.2091
2020-03-18,23.2595
2020-03-19,22.7391
2020-03-20,22.318
2020-03-21,22.318
2020-03-22,22.318
2020-03-23,21.6796
2020-03-24,22.4602
2020-03-25,22.4117
2020-03-26,22.7014
2020-03-27,22.5512
2020-03-28,22.5512
2020-03-29,22.5512
2020-03-30,23.1521
2020-03-31,39.4087
2020-04-01,38.8799
2020-04-02,39.86
2020-04-03,40.3385
2020-04-04,40.3385
2020-04-05,40.3385
2020-04-06,41.4843
2020-04-07,41.8579
2020-04-08,42.918
2020-04-09,43.7302
2020-04-10,43.7302
2020-04-11,43.7302
2020-04-12,43.7302
2020-04-13,42.4579
2020-04-14,43.1652
2020-04-15,42.2663
2020-04-16,41.6138
2020-04-17,42.1659
2020-04-18,42.1659
