,TRS US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,16.4149
2020-01-02,16.2921
2020-01-03,16.5802
2020-01-04,16.5802
2020-01-05,16.5802
2020-01-06,16.4905
2020-01-07,16.37
2020-01-08,16.3818
2020-01-09,16.3535
2020-01-10,16.2448
2020-01-11,16.2448
2020-01-12,16.2448
2020-01-13,16.3157
2020-01-14,16.2259
2020-01-15,16.3771
2020-01-16,16.6038
2020-01-17,16.4905
2020-01-18,16.4905
2020-01-19,16.4905
2020-01-20,16.4905
2020-01-21,16.0937
2020-01-22,16.037
2020-01-23,16.0181
2020-01-24,15.8622
2020-01-25,15.8622
2020-01-26,15.8622
2020-01-27,15.678
2020-01-28,15.7016
2020-01-29,15.6165
2020-01-30,15.6307
2020-01-31,15.1489
2020-02-01,15.1489
2020-02-02,15.1489
2020-02-03,15.215
2020-02-04,15.5173
2020-02-05,15.4134
2020-02-06,15.2197
2020-02-07,15.0119
2020-02-08,15.0119
2020-02-09,15.0119
2020-02-10,15.0402
2020-02-11,15.1158
2020-02-12,15.1678
2020-02-13,15.1489
2020-02-14,15.0119
2020-02-15,15.0119
2020-02-16,15.0119
2020-02-17,15.0119
2020-02-18,15.1064
2020-02-19,15.1914
2020-02-20,15.489
2020-02-21,15.5835
2020-02-22,15.5835
2020-02-23,15.5835
2020-02-24,15.13
2020-02-25,14.8229
2020-02-26,14.8182
2020-02-27,13.18
2020-02-28,13.3424
2020-02-29,13.3424
2020-03-01,13.3424
2020-03-02,13.9922
2020-03-03,13.9643
2020-03-04,14.136
2020-03-05,13.3795
2020-03-06,12.934
2020-03-07,12.934
2020-03-08,12.934
2020-03-09,12.1357
2020-03-10,12.4281
2020-03-11,12.196
2020-03-12,11.834
2020-03-13,12.3817
2020-03-14,12.3817
2020-03-15,12.3817
2020-03-16,11.8016
2020-03-17,13.3192
2020-03-18,11.8387
2020-03-19,12.1728
2020-03-20,11.3374
2020-03-21,11.3374
2020-03-22,11.3374
2020-03-23,11.3421
2020-03-24,11.8805
2020-03-25,11.7087
2020-03-26,12.6926
2020-03-27,12.2378
2020-03-28,12.2378
2020-03-29,12.2378
2020-03-30,11.9686
2020-03-31,13.5765
2020-04-01,13.0643
2020-04-02,13.2645
2020-04-03,13.2505
2020-04-04,13.2505
2020-04-05,13.2505
2020-04-06,13.6091
2020-04-07,13.6976
2020-04-08,13.8186
2020-04-09,14.5031
2020-04-10,14.5031
2020-04-11,14.5031
2020-04-12,14.5031
2020-04-13,13.9956
2020-04-14,14.0933
2020-04-15,13.3576
2020-04-16,13.3064
2020-04-17,13.7395
2020-04-18,13.7395
2020-04-19,13.7395
2020-04-20,13.5672
2020-04-21,13.0922
2020-04-22,13.2366
2020-04-23,13.3763
2020-04-24,13.3716
2020-04-25,13.3716
2020-04-26,13.3716
2020-04-27,13.8093
2020-04-28,14.2936
2020-04-29,14.8756
2020-04-30,13.6824
2020-05-01,13.3726
2020-05-02,13.3726
2020-05-03,13.3726
2020-05-04,13.327
2020-05-05,13.2587
2020-05-06,12.876
2020-05-07,12.8532
2020-05-08,13.2997
2020-05-09,13.2997
