,HEES US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,13.0836
2020-01-02,13.0088
2020-01-03,12.8834
2020-01-04,12.8834
2020-01-05,12.8834
2020-01-06,12.918
2020-01-07,12.8815
2020-01-08,12.7411
2020-01-09,12.7056
2020-01-10,12.6158
2020-01-11,12.6158
2020-01-12,12.6158
2020-01-13,12.5315
2020-01-14,12.5858
2020-01-15,12.5746
2020-01-16,12.7056
2020-01-17,12.6813
2020-01-18,12.6813
2020-01-19,12.6813
2020-01-20,12.6813
2020-01-21,12.393
2020-01-22,12.2695
2020-01-23,12.262
2020-01-24,12.2152
2020-01-25,12.2152
2020-01-26,12.2152
2020-01-27,12.0992
2020-01-28,12.219
2020-01-29,12.1497
2020-01-30,12.0936
2020-01-31,11.9008
2020-02-01,11.9008
2020-02-02,11.9008
2020-02-03,11.9663
2020-02-04,12.1703
2020-02-05,12.3219
2020-02-06,12.2676
2020-02-07,12.1628
2020-02-08,12.1628
2020-02-09,12.1628
2020-02-10,12.1685
2020-02-11,12.3126
2020-02-12,12.4005
2020-02-13,12.3949
2020-02-14,12.3668
2020-02-15,12.3668
2020-02-16,12.3668
2020-02-17,12.3668
2020-02-18,12.2976
2020-02-19,12.3893
2020-02-20,11.7784
2020-02-21,11.857
2020-02-22,11.857
2020-02-23,11.857
2020-02-24,11.6473
2020-02-25,11.3701
2020-02-26,11.2297
2020-02-27,11.2222
2020-02-28,11.2765
2020-02-29,11.2765
2020-03-01,11.2765
2020-03-02,11.1623
2020-03-03,11.0125
2020-03-04,11.0218
2020-03-05,10.8477
2020-03-06,10.651
2020-03-07,10.651
2020-03-08,10.651
2020-03-09,10.1623
2020-03-10,10.2016
2020-03-11,10.0218
2020-03-12,9.6286
2020-03-13,9.5687
2020-03-14,9.5687
2020-03-15,9.5687
2020-03-16,9.2934
2020-03-17,9.0162
2020-03-18,8.6155
2020-03-19,8.8571
2020-03-20,8.8964
2020-03-21,8.8964
2020-03-22,8.8964
2020-03-23,8.8945
2020-03-24,8.9488
2020-03-25,9.2297
2020-03-26,9.7484
2020-03-27,9.3889
2020-03-28,9.3889
2020-03-29,9.3889
2020-03-30,9.3908
2020-03-31,16.1464
2020-04-01,15.9011
2020-04-02,16.1464
2020-04-03,15.7609
2020-04-04,15.7609
2020-04-05,15.7609
2020-04-06,16.0764
2020-04-07,16.137
2020-04-08,16.2806
2020-04-09,16.2774
2020-04-10,16.2774
2020-04-11,16.2774
2020-04-12,16.2774
2020-04-13,15.8307
2020-04-14,15.9423
2020-04-15,15.719
2020-04-16,15.4542
2020-04-17,15.6472
2020-04-18,15.6472
2020-04-19,15.6472
2020-04-20,15.5818
2020-04-21,15.3903
2020-04-22,15.4701
2020-04-23,15.7094
2020-04-24,15.77
2020-04-25,15.77
2020-04-26,15.77
2020-04-27,15.9774
2020-04-28,16.2582
2020-04-29,16.8198
2020-04-30,16.6571
2020-05-01,16.3093
2020-05-02,16.3093
2020-05-03,16.3093
2020-05-04,16.1689
2020-05-05,16.1753
2020-05-06,15.8913
2020-05-07,16.1497
2020-05-08,16.2869
2020-05-09,16.2869
2020-05-10,16.2869
2020-05-11,16.0668
2020-05-12,15.7158
2020-05-13,15.4829
2020-05-14,15.6615
2020-05-15,15.7764
2020-05-16,15.7764
2020-05-17,15.7764
2020-05-18,16.4018
2020-05-19,16.0923
2020-05-20,16.3539
2020-05-21,16.322
2020-05-22,16.2837
2020-05-23,16.2837
2020-05-24,16.2837
2020-05-25,16.2837
2020-05-26,17.0144
2020-05-27,17.1803
2020-05-28,17.0718
2020-05-29,16.9378
2020-05-30,16.9378
2020-05-31,16.9378
2020-06-01,16.8485
2020-06-02,17.2027
2020-06-03,17.3207
2020-06-04,17.4994
2020-06-05,18.1376
2020-06-06,18.1376
2020-06-07,18.1376
2020-06-08,18.4439
2020-06-09,18.0897
2020-06-10,17.852
2020-06-11,17.0208
2020-06-12,17.1452
2020-06-13,17.1452
2020-06-14,17.1452
2020-06-15,17.1803
2020-06-16,17.6877
2020-06-17,17.3718
2020-06-18,17.2665
2020-06-19,17.225
2020-06-20,17.225
2020-06-21,17.225
2020-06-22,17.2091
2020-06-23,17.1676
2020-06-24,16.8501
2020-06-25,16.9857
2020-06-26,17.0399
2020-06-27,17.0399
2020-06-28,17.0399
2020-06-29,17.3463
2020-06-30,20.0275
2020-07-01,19.6405
2020-07-02,19.8399
2020-07-03,19.8399
2020-07-04,19.8399
2020-07-05,19.8399
2020-07-06,20.0002
2020-07-07,19.6581
2020-07-08,19.6913
2020-07-09,19.3669
2020-07-10,19.5311
2020-07-11,19.5311
2020-07-12,19.5311
2020-07-13,19.6992
2020-07-14,19.8633
2020-07-15,20.1722
2020-07-16,20.2347
2020-07-17,20.1604
2020-07-18,20.1604
2020-07-19,20.1604
2020-07-20,19.9337
2020-07-21,20.1331
2020-07-22,20.1565
2020-07-23,20.2074
2020-07-24,19.9454
2020-07-25,19.9454
2020-07-26,19.9454
2020-07-27,20.0471
2020-07-28,19.7656
2020-07-29,20.0588
2020-07-30,19.8282
2020-07-31,19.6796
2020-08-01,19.6796
2020-08-02,19.6796
2020-08-03,19.8594
2020-08-04,20.4327
2020-08-05,20.5793
2020-08-06,20.507
2020-08-07,20.6516
2020-08-08,20.6516
2020-08-09,20.6516
2020-08-10,21.0268
2020-08-11,21.0971
2020-08-12,21.1987
2020-08-13,21.144
2020-08-14,21.1401
2020-08-15,21.1401
2020-08-16,21.1401
2020-08-17,21.0229
2020-08-18,20.7376
2020-08-19,20.8118
2020-08-20,20.6946
2020-08-21,20.5929
2020-08-22,20.5929
2020-08-23,20.5929
2020-08-24,20.7297
2020-08-25,20.6672
2020-08-26,20.761
2020-08-27,20.9447
2020-08-28,21.1303
2020-08-29,21.1303
2020-08-30,21.1303
2020-08-31,20.7219
2020-09-01,21.0072
2020-09-02,21.1362
2020-09-03,20.9056
2020-09-04,21.1518
2020-09-05,21.1518
2020-09-06,21.1518
