,2336307D US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,16.4934
2020-01-02,16.566
2020-01-03,16.4882
2020-01-04,16.4882
2020-01-05,16.4882
2020-01-06,16.4778
2020-01-07,16.4155
2020-01-08,16.4103
2020-01-09,16.6776
2020-01-10,16.6101
2020-01-11,16.6101
2020-01-12,16.6101
2020-01-13,16.7165
2020-01-14,16.6309
2020-01-15,16.5738
2020-01-16,16.7917
2020-01-17,16.675
2020-01-18,16.675
2020-01-19,16.675
2020-01-20,16.675
2020-01-21,16.553
2020-01-22,16.6879
2020-01-23,16.7398
2020-01-24,16.4985
2020-01-25,16.4985
2020-01-26,16.4985
2020-01-27,16.2624
2020-01-28,16.4752
2020-01-29,16.4882
2020-01-30,16.5556
2020-01-31,15.8203
2020-02-01,15.8203
2020-02-02,15.8203
2020-02-03,16.1609
2020-02-04,16.5294
2020-02-05,16.7287
2020-02-06,16.6757
2020-02-07,16.5798
2020-02-08,16.5798
2020-02-09,16.5798
2020-02-10,16.6732
2020-02-11,16.6833
2020-02-12,16.7539
2020-02-13,16.7009
2020-02-14,16.6782
2020-02-15,16.6782
2020-02-16,16.6782
2020-02-17,16.6782
2020-02-18,16.9634
2020-02-19,17.2182
2020-02-20,17.3167
2020-02-21,16.9886
2020-02-22,16.9886
2020-02-23,16.9886
2020-02-24,16.4158
2020-02-25,15.8178
2020-02-26,15.9672
2020-02-27,15.4803
2020-02-28,14.7945
2020-02-29,14.7945
2020-03-01,14.7945
2020-03-02,15.3783
2020-03-03,15.0596
2020-03-04,15.3961
2020-03-05,14.4554
2020-03-06,14.1061
2020-03-07,14.1061
2020-03-08,14.1061
2020-03-09,12.8187
2020-03-10,13.581
2020-03-11,12.6912
2020-03-12,11.6409
2020-03-13,12.6097
2020-03-14,12.6097
2020-03-15,12.6097
2020-03-16,11.284
2020-03-17,11.6434
2020-03-18,11.154
2020-03-19,11.6001
2020-03-20,11.363
2020-03-21,11.363
2020-03-22,11.363
2020-03-23,10.3331
2020-03-24,11.5517
2020-03-25,12.138
2020-03-26,12.7371
2020-03-27,12.551
2020-03-28,12.551
2020-03-29,12.551
2020-03-30,12.8875
2020-03-31,12.4975
2020-04-01,12.0029
2020-04-02,12.1737
2020-04-03,11.9978
2020-04-04,11.9978
2020-04-05,11.9978
2020-04-06,12.4414
2020-04-07,12.5816
2020-04-08,13.0838
2020-04-09,13.1756
2020-04-10,13.1756
2020-04-11,13.1756
2020-04-12,13.1756
2020-04-13,12.7473
2020-04-14,13.0558
2020-04-15,12.6657
2020-04-16,12.8544
2020-04-17,13.0813
2020-04-18,13.0813
2020-04-19,13.0813
2020-04-20,12.732
2020-04-21,12.5765
2020-04-22,12.8671
2020-04-23,12.6555
2020-04-24,12.8365
2020-04-25,12.8365
2020-04-26,12.8365
2020-04-27,13.2011
2020-04-28,13.3158
2020-04-29,13.7467
2020-04-30,12.368
2020-05-01,11.7239
2020-05-02,11.7239
2020-05-03,11.7239
2020-05-04,11.8894
2020-05-05,12.0033
2020-05-06,11.9541
2020-05-07,12.1818
2020-05-08,12.531
2020-05-09,12.531
2020-05-10,12.531
2020-05-11,12.6397
2020-05-12,12.0007
2020-05-13,11.5945
2020-05-14,11.7549
2020-05-15,11.6204
2020-05-16,11.6204
2020-05-17,11.6204
2020-05-18,12.0007
2020-05-19,11.9205
2020-05-20,11.6385
2020-05-21,11.8457
2020-05-22,12.1372
2020-05-23,12.1372
2020-05-24,12.1372
2020-05-25,12.1372
2020-05-26,12.5551
2020-05-27,12.9704
2020-05-28,12.6531
2020-05-29,12.1733
2020-05-30,12.1733
2020-05-31,12.1733
2020-06-01,12.4828
2020-06-02,12.7846
2020-06-03,13.3934
2020-06-04,13.4502
2020-06-05,13.6204
2020-06-06,13.6204
2020-06-07,13.6204
2020-06-08,13.9996
2020-06-09,13.8268
2020-06-10,13.605
2020-06-11,12.8517
2020-06-12,13.0529
2020-06-13,13.0529
2020-06-14,13.0529
2020-06-15,13.1742
2020-06-16,13.3496
2020-06-17,13.3857
2020-06-18,13.2902
2020-06-19,13.2515
2020-06-20,13.2515
2020-06-21,13.2515
2020-06-22,13.1432
2020-06-23,13.1303
2020-06-24,12.7227
2020-06-25,12.9575
2020-06-26,12.3564
2020-06-27,12.3564
2020-06-28,12.3564
2020-06-29,12.5422
2020-06-30,12.8311
