,TGT US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,17.0117
2020-01-02,16.7749
2020-01-03,16.6299
2020-01-04,16.6299
2020-01-05,16.6299
2020-01-06,16.4993
2020-01-07,16.5236
2020-01-08,16.4793
2020-01-09,16.4904
2020-01-10,16.6265
2020-01-11,16.6265
2020-01-12,16.6265
2020-01-13,16.5314
2020-01-14,16.6852
2020-01-15,15.7709
2020-01-16,15.6956
2020-01-17,15.7621
2020-01-18,15.7621
2020-01-19,15.7621
2020-01-20,15.7621
2020-01-21,15.4433
2020-01-22,15.4278
2020-01-23,15.6082
2020-01-24,15.4743
2020-01-25,15.4743
2020-01-26,15.4743
2020-01-27,15.6359
2020-01-28,15.5982
2020-01-29,15.4687
2020-01-30,15.513
2020-01-31,14.4909
2020-02-01,14.4909
2020-02-02,14.4909
2020-02-03,14.6834
2020-02-04,14.7639
2020-02-05,15.0119
2020-02-06,14.9695
2020-02-07,15.0206
2020-02-08,15.0206
2020-02-09,15.0206
2020-02-10,15.1696
2020-02-11,15.138
2020-02-12,15.2925
2020-02-13,15.311
2020-02-14,15.1315
2020-02-15,15.1315
2020-02-16,15.1315
2020-02-17,15.1315
2020-02-18,15.262
2020-02-19,15.2142
2020-02-20,15.3088
2020-02-21,15.1729
2020-02-22,15.1729
2020-02-23,15.1729
2020-02-24,14.8215
2020-02-25,14.5975
2020-02-26,14.4822
2020-02-27,13.934
2020-02-28,13.649
2020-02-29,13.649
2020-03-01,13.649
2020-03-02,14.3082
2020-03-03,13.9003
2020-03-04,14.1146
2020-03-05,13.9144
2020-03-06,13.9122
2020-03-07,13.9122
2020-03-08,13.9122
2020-03-09,13.7044
2020-03-10,14.1698
2020-03-11,13.7988
2020-03-12,12.4053
2020-03-13,13.3085
2020-03-14,13.3085
2020-03-15,13.3085
2020-03-16,12.5311
2020-03-17,13.5891
2020-03-18,13.502
2020-03-19,13.2526
2020-03-20,12.9192
2020-03-21,12.9192
2020-03-22,12.9192
2020-03-23,12.8429
2020-03-24,13.259
2020-03-25,12.2354
2020-03-26,12.7762
2020-03-27,12.6332
2020-03-28,12.6332
2020-03-29,12.6332
2020-03-30,12.7698
2020-03-31,12.4429
2020-04-01,12.6902
2020-04-02,12.5924
2020-04-03,12.3999
2020-04-04,12.3999
2020-04-05,12.3999
2020-04-06,12.9311
2020-04-07,13.0117
2020-04-08,13.6966
2020-04-09,13.6504
2020-04-10,13.6504
2020-04-11,13.6504
2020-04-12,13.6504
2020-04-13,13.702
2020-04-14,14.0999
2020-04-15,13.8698
2020-04-16,14.1988
2020-04-17,14.6418
2020-04-18,14.6418
2020-04-19,14.6418
2020-04-20,14.1644
2020-04-21,13.9407
2020-04-22,13.9343
2020-04-23,13.6138
2020-04-24,14.0396
2020-04-25,14.0396
2020-04-26,14.0396
2020-04-27,14.2344
2020-04-28,14.4619
2020-04-29,14.4726
2020-04-30,14.2194
2020-05-01,16.5382
2020-05-02,16.5382
2020-05-03,16.5382
2020-05-04,16.9739
2020-05-05,16.9802
2020-05-06,17.208
2020-05-07,17.1805
2020-05-08,17.4898
2020-05-09,17.4898
2020-05-10,17.4898
2020-05-11,18.0344
2020-05-12,17.9355
2020-05-13,17.9042
2020-05-14,18.0044
2020-05-15,18.1296
2020-05-16,18.1296
2020-05-17,18.1296
2020-05-18,18.663
2020-05-19,18.4088
2020-05-20,17.9683
2020-05-21,17.8493
2020-05-22,17.7003
2020-05-23,17.7003
2020-05-24,17.7003
2020-05-25,17.7003
2020-05-26,17.4035
2020-05-27,17.6903
2020-05-28,17.818
2020-05-29,18.3093
2020-05-30,18.3093
2020-05-31,18.3093
2020-06-01,17.9536
2020-06-02,17.8735
2020-06-03,18.2342
2020-06-04,18.0125
2020-06-05,18.2091
2020-06-06,18.2091
2020-06-07,18.2091
2020-06-08,18.3144
2020-06-09,18.1077
2020-06-10,18.0175
2020-06-11,17.7682
2020-06-12,17.6292
2020-06-13,17.6292
2020-06-14,17.6292
2020-06-15,17.7858
2020-06-16,17.9185
2020-06-17,17.8008
2020-06-18,17.6793
2020-06-19,18.0876
2020-06-20,18.0876
2020-06-21,18.0876
2020-06-22,18.3219
2020-06-23,18.2054
2020-06-24,17.9824
2020-06-25,17.9937
2020-06-26,17.6442
2020-06-27,17.6442
2020-06-28,17.6442
2020-06-29,17.8384
2020-06-30,18.0087
2020-07-01,17.8872
2020-07-02,17.9073
2020-07-03,17.9073
2020-07-04,17.9073
2020-07-05,17.9073
2020-07-06,17.9223
2020-07-07,17.7745
2020-07-08,17.7294
2020-07-09,17.7545
2020-07-10,17.8747
2020-07-11,17.8747
2020-07-12,17.8747
2020-07-13,17.8584
2020-07-14,18.0275
2020-07-15,18.2267
2020-07-16,18.2617
2020-07-17,18.2267
2020-07-18,18.2267
2020-07-19,18.2267
2020-07-20,17.995
2020-07-21,18.0426
2020-07-22,18.4108
2020-07-23,18.3118
