,TKR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.5188
2020-01-02,11.6253
2020-01-03,11.5917
2020-01-04,11.5917
2020-01-05,11.5917
2020-01-06,11.5786
2020-01-07,11.6632
2020-01-08,11.7784
2020-01-09,11.8324
2020-01-10,11.6734
2020-01-11,11.6734
2020-01-12,11.6734
2020-01-13,11.7186
2020-01-14,11.7551
2020-01-15,11.7055
2020-01-16,11.8018
2020-01-17,11.7974
2020-01-18,11.7974
2020-01-19,11.7974
2020-01-20,11.7974
2020-01-21,11.6428
2020-01-22,11.6092
2020-01-23,11.5728
2020-01-24,11.4313
2020-01-25,11.4313
2020-01-26,11.4313
2020-01-27,11.2489
2020-01-28,11.3263
2020-01-29,11.2854
2020-01-30,11.316
2020-01-31,10.9674
2020-02-01,10.9674
2020-02-02,10.9674
2020-02-03,11.1512
2020-02-04,11.4575
2020-02-05,11.6151
2020-02-06,11.4415
2020-02-07,11.0812
2020-02-08,11.0812
2020-02-09,11.0812
2020-02-10,10.9981
2020-02-11,11.1629
2020-02-12,11.3511
2020-02-13,11.3438
2020-02-14,11.2202
2020-02-15,11.2202
2020-02-16,11.2202
2020-02-17,11.2202
2020-02-18,11.1427
2020-02-19,10.9627
2020-02-20,10.9627
2020-02-21,10.9071
2020-02-22,10.9071
2020-02-23,10.9071
2020-02-24,10.5354
2020-02-25,10.1564
2020-02-26,10.0642
2020-02-27,9.8418
2020-02-28,9.8667
2020-02-29,9.8667
2020-03-01,9.8667
2020-03-02,9.9355
2020-03-03,9.6047
2020-03-04,9.8608
2020-03-05,9.4833
2020-03-06,9.3355
2020-03-07,9.3355
2020-03-08,9.3355
2020-03-09,8.6419
2020-03-10,9.0589
2020-03-11,8.5395
2020-03-12,7.9249
2020-03-13,8.3682
2020-03-14,8.3682
2020-03-15,8.3682
2020-03-16,7.7683
2020-03-17,7.7463
2020-03-18,6.8683
2020-03-19,7.4805
2020-03-20,7.2104
2020-03-21,7.2104
2020-03-22,7.2104
2020-03-23,7.0136
2020-03-24,7.6949
2020-03-25,8.194
2020-03-26,8.3599
2020-03-27,8.0061
2020-03-28,8.0061
2020-03-29,8.0061
2020-03-30,8.1588
2020-03-31,8.6143
2020-04-01,8.2509
2020-04-02,8.4016
2020-04-03,8.1345
2020-04-04,8.1345
2020-04-05,8.1345
2020-04-06,8.7215
2020-04-07,8.7261
2020-04-08,8.9637
2020-04-09,9.046
2020-04-10,9.046
2020-04-11,9.046
2020-04-12,9.046
2020-04-13,9.0258
2020-04-14,9.1035
2020-04-15,8.8177
2020-04-16,8.8084
2020-04-17,9.1268
2020-04-18,9.1268
2020-04-19,9.1268
2020-04-20,8.9094
2020-04-21,8.6516
2020-04-22,8.6236
2020-04-23,8.8752
2020-04-24,9.0088
2020-04-25,9.0088
2020-04-26,9.0088
2020-04-27,9.251
2020-04-28,9.3193
2020-04-29,9.734
2020-04-30,9.428
2020-05-01,9.1168
2020-05-02,9.1168
2020-05-03,9.1168
2020-05-04,9.2183
2020-05-05,9.3321
2020-05-06,9.1768
2020-05-07,9.2875
2020-05-08,9.5704
2020-05-09,9.5704
2020-05-10,9.5704
2020-05-11,9.5289
2020-05-12,9.2367
2020-05-13,9.1306
2020-05-14,9.266
2020-05-15,9.3398
2020-05-16,9.3398
2020-05-17,9.3398
2020-05-18,9.8979
2020-05-19,9.9394
2020-05-20,9.9917
2020-05-21,9.8041
2020-05-22,9.8195
2020-05-23,9.8195
2020-05-24,9.8195
2020-05-25,9.8195
2020-05-26,10.1916
2020-05-27,10.3669
2020-05-28,10.2208
2020-05-29,10.1332
2020-05-30,10.1332
2020-05-31,10.1332
2020-06-01,10.0855
2020-06-02,10.1163
2020-06-03,10.4284
2020-06-04,10.6683
2020-06-05,10.9881
2020-06-06,10.9881
2020-06-07,10.9881
2020-06-08,11.2356
2020-06-09,10.9742
2020-06-10,10.6575
2020-06-11,10.0455
2020-06-12,10.2608
2020-06-13,10.2608
2020-06-14,10.2608
2020-06-15,10.2823
2020-06-16,10.5191
2020-06-17,10.4484
2020-06-18,10.3777
2020-06-19,10.3792
2020-06-20,10.3792
2020-06-21,10.3792
2020-06-22,10.3946
2020-06-23,10.3653
2020-06-24,10.1086
2020-06-25,10.3838
2020-06-26,10.5299
2020-06-27,10.5299
2020-06-28,10.5299
2020-06-29,10.5729
2020-06-30,10.8446
2020-07-01,10.6514
2020-07-02,10.7562
2020-07-03,10.7562
2020-07-04,10.7562
2020-07-05,10.7562
2020-07-06,10.9985
2020-07-07,10.748
2020-07-08,10.7235
2020-07-09,10.5565
2020-07-10,10.658
2020-07-11,10.658
2020-07-12,10.658
2020-07-13,10.7922
2020-07-14,11.0034
2020-07-15,11.2457
2020-07-16,11.1131
2020-07-17,11.1344
2020-07-18,11.1344
2020-07-19,11.1344
2020-07-20,10.9854
2020-07-21,11.1901
2020-07-22,11.2064
2020-07-23,11.2114
2020-07-24,11.1197
2020-07-25,11.1197
2020-07-26,11.1197
2020-07-27,11.2081
2020-07-28,10.974
2020-07-29,11.2392
2020-07-30,11.0738
2020-07-31,10.8725
2020-08-01,10.8725
2020-08-02,10.8725
2020-08-03,11.5587
2020-08-04,11.4325
2020-08-05,11.5947
2020-08-06,11.6946
2020-08-07,11.883
2020-08-08,11.883
2020-08-09,11.883
2020-08-10,12.2924
2020-08-11,12.4595
2020-08-12,12.5381
2020-08-13,12.4284
2020-08-14,12.4661
2020-08-15,12.4661
2020-08-16,12.4661
2020-08-17,12.3743
2020-08-18,12.299
2020-08-19,12.2433
2020-08-20,12.1499
2020-08-21,12.0844
2020-08-22,12.0844
2020-08-23,12.0844
2020-08-24,12.2941
2020-08-25,12.3137
2020-08-26,12.3187
2020-08-27,12.2777
2020-08-28,12.4087
2020-08-29,12.4087
2020-08-30,12.4087
2020-08-31,12.2728
2020-09-01,12.6479
2020-09-02,12.7953
2020-09-03,12.3825
2020-09-04,12.4366
2020-09-05,12.4366
2020-09-06,12.4366
2020-09-07,12.4366
2020-09-08,12.2122
2020-09-09,12.5447
2020-09-10,12.4497
2020-09-11,12.6168
2020-09-12,12.6168
2020-09-13,12.6168
2020-09-14,12.7052
2020-09-15,12.828
2020-09-16,12.8297
2020-09-17,12.7036
2020-09-18,12.5316
2020-09-19,12.5316
2020-09-20,12.5316
2020-09-21,12.1876
2020-09-22,12.2908
2020-09-23,12.0828
2020-09-24,12.1631
2020-09-25,12.1729
2020-09-26,12.1729
2020-09-27,12.1729
2020-09-28,12.3743
2020-09-29,12.3301
2020-09-30,12.3017
2020-10-01,12.2449
2020-10-02,12.4737
2020-10-03,12.4737
2020-10-04,12.4737
2020-10-05,12.8746
2020-10-06,12.9331
2020-10-07,13.1719
2020-10-08,13.2354
2020-10-09,13.359
2020-10-10,13.359
2020-10-11,13.359
2020-10-12,13.227
2020-10-13,13.212
2020-10-14,13.1652
2020-10-15,13.2571
2020-10-16,13.2387
2020-10-17,13.2387
2020-10-18,13.2387
2020-10-19,13.1686
2020-10-20,13.3256
2020-10-21,13.2805
2020-10-22,13.3473
2020-10-23,13.4776
2020-10-24,13.4776
2020-10-25,13.4776
2020-10-26,13.2454
2020-10-27,12.9915
2020-10-28,12.6942
2020-10-29,12.9898
2020-10-30,13.2513
2020-10-31,13.2513
2020-11-01,13.2513
2020-11-02,13.7708
2020-11-03,13.9619
2020-11-04,13.3351
2020-11-05,13.8429
2020-11-06,13.8111
2020-11-07,13.8111
2020-11-08,13.8111
2020-11-09,14.5938
2020-11-10,15.1469
2020-11-11,14.981
2020-11-12,14.7731
2020-11-13,15.1569
2020-11-14,15.1569
2020-11-15,15.1569
2020-11-16,15.4855
2020-11-17,15.3648
2020-11-18,15.219
2020-11-19,15.348
2020-11-20,15.3028
2020-11-21,15.3028
2020-11-22,15.3028
2020-11-23,15.5944
2020-11-24,15.814
2020-11-25,15.7335
2020-11-26,15.7335
2020-11-27,15.767
2020-11-28,15.767
2020-11-29,15.767
2020-11-30,15.5542
2020-12-01,15.4972
2020-12-02,15.4218
2020-12-03,15.3011
2020-12-04,15.7603
2020-12-05,15.7603
2020-12-06,15.7603
2020-12-07,15.5559
2020-12-08,15.8173
2020-12-09,15.9564
2020-12-10,15.9464
2020-12-11,15.9196
2020-12-12,15.9196
2020-12-13,15.9196
2020-12-14,16.0134
2020-12-15,16.3771
2020-12-16,16.0402
2020-12-17,16.0218
2020-12-18,16.1391
2020-12-19,16.1391
2020-12-20,16.1391
2020-12-21,16.1995
