,DAN US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,16.2455
2020-01-02,16.4028
2020-01-03,15.931
2020-01-04,15.931
2020-01-05,15.931
2020-01-06,15.8261
2020-01-07,15.8595
2020-01-08,15.7213
2020-01-09,15.6879
2020-01-10,15.4592
2020-01-11,15.4592
2020-01-12,15.4592
2020-01-13,15.4258
2020-01-14,15.3544
2020-01-15,15.3305
2020-01-16,15.5926
2020-01-17,15.626
2020-01-18,15.626
2020-01-19,15.626
2020-01-20,15.626
2020-01-21,15.5354
2020-01-22,15.5545
2020-01-23,15.626
2020-01-24,15.3496
2020-01-25,15.3496
2020-01-26,15.3496
2020-01-27,15.1447
2020-01-28,15.3544
2020-01-29,15.3687
2020-01-30,15.1256
2020-01-31,14.9159
2020-02-01,14.9159
2020-02-02,14.9159
2020-02-03,15.1923
2020-02-04,15.3496
2020-02-05,15.545
2020-02-06,15.3925
2020-02-07,15.159
2020-02-08,15.159
2020-02-09,15.159
2020-02-10,14.9398
2020-02-11,15.3115
2020-02-12,15.6117
2020-02-13,16.1082
2020-02-14,15.9414
2020-02-15,15.9414
2020-02-16,15.9414
2020-02-17,15.9414
2020-02-18,15.7985
2020-02-19,15.8699
2020-02-20,16.0415
2020-02-21,15.827
2020-02-22,15.827
2020-02-23,15.827
2020-02-24,15.1455
2020-02-25,14.6546
2020-02-26,14.6689
2020-02-27,14.2638
2020-02-28,14.4258
2020-02-29,14.4258
2020-03-01,14.4258
2020-03-02,14.4354
2020-03-03,13.9969
2020-03-04,14.0732
2020-03-05,13.4726
2020-03-06,13.1057
2020-03-07,13.1057
2020-03-08,13.1057
2020-03-09,12.4766
2020-03-10,12.6815
2020-03-11,12.4337
2020-03-12,11.5086
2020-03-13,11.9008
2020-03-14,11.9008
2020-03-15,11.9008
2020-03-16,10.5951
2020-03-17,10.2268
2020-03-18,9.6385
2020-03-19,10.332
2020-03-20,10.3942
2020-03-21,10.3942
2020-03-22,10.3942
2020-03-23,10.5233
2020-03-24,11.1164
2020-03-25,11.2838
2020-03-26,11.5516
2020-03-27,11.456
2020-03-28,11.456
2020-03-29,11.456
2020-03-30,11.3603
2020-03-31,17.9907
2020-04-01,17.4681
2020-04-02,17.5842
2020-04-03,17.3011
2020-04-04,17.3011
2020-04-05,17.3011
2020-04-06,18.0851
2020-04-07,18.1649
2020-04-08,18.6803
2020-04-09,19.2175
2020-04-10,19.2175
2020-04-11,19.2175
2020-04-12,19.2175
2020-04-13,18.8618
2020-04-14,18.9924
2020-04-15,18.7311
2020-04-16,18.419
2020-04-17,18.869
2020-04-18,18.869
2020-04-19,18.869
2020-04-20,18.3682
2020-04-21,18.2303
2020-04-22,18.4698
2020-04-23,18.673
2020-04-24,18.9852
2020-04-25,18.9852
2020-04-26,18.9852
2020-04-27,19.2973
2020-04-28,19.428
2020-04-29,19.8998
2020-04-30,20.6711
2020-05-01,20.1483
2020-05-02,20.1483
2020-05-03,20.1483
2020-05-04,20.0104
2020-05-05,19.8652
2020-05-06,19.6038
2020-05-07,19.7054
2020-05-08,20.2209
2020-05-09,20.2209
2020-05-10,20.2209
2020-05-11,20.0902
2020-05-12,19.5893
2020-05-13,19.0012
2020-05-14,19.3061
2020-05-15,19.3352
2020-05-16,19.3352
2020-05-17,19.3352
2020-05-18,20.1338
2020-05-19,20.2427
2020-05-20,20.5912
2020-05-21,20.7219
2020-05-22,20.7945
2020-05-23,20.7945
2020-05-24,20.7945
2020-05-25,20.7945
2020-05-26,21.1648
2020-05-27,21.8327
2020-05-28,21.7529
2020-05-29,21.4987
2020-05-30,21.4987
2020-05-31,21.4987
2020-06-01,21.8327
2020-06-02,22.0868
2020-06-03,22.8201
2020-06-04,22.6967
2020-06-05,23.2485
