,LGND US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,1.7483
2020-01-02,1.7581
2020-01-03,1.6805
2020-01-04,1.6805
2020-01-05,1.6805
2020-01-06,1.6842
2020-01-07,1.6328
2020-01-08,1.5989
2020-01-09,1.5613
2020-01-10,1.5017
2020-01-11,1.5017
2020-01-12,1.5017
2020-01-13,1.4415
2020-01-14,1.4536
2020-01-15,1.4645
2020-01-16,1.4926
2020-01-17,1.446
2020-01-18,1.446
2020-01-19,1.446
2020-01-20,1.446
2020-01-21,1.4323
2020-01-22,1.4636
2020-01-23,1.4362
2020-01-24,1.4058
2020-01-25,1.4058
2020-01-26,1.4058
2020-01-27,1.3623
2020-01-28,1.3945
2020-01-29,1.4228
2020-01-30,1.4334
2020-01-31,1.3899
2020-02-01,1.3899
2020-02-02,1.3899
2020-02-03,1.4269
2020-02-04,1.4425
2020-02-05,1.4852
2020-02-06,1.4915
2020-02-07,1.5522
2020-02-08,1.5522
2020-02-09,1.5522
2020-02-10,1.5754
2020-02-11,1.5411
2020-02-12,1.5487
2020-02-13,1.5611
2020-02-14,1.5948
2020-02-15,1.5948
2020-02-16,1.5948
2020-02-17,1.5948
2020-02-18,1.6126
2020-02-19,1.6852
2020-02-20,1.6844
2020-02-21,1.6709
2020-02-22,1.6709
2020-02-23,1.6709
2020-02-24,1.6568
2020-02-25,1.6426
2020-02-26,1.712
2020-02-27,1.7281
2020-02-28,1.3932
2020-02-29,1.3932
2020-03-01,1.3932
2020-03-02,1.581
2020-03-03,1.5726
2020-03-04,1.685
2020-03-05,1.6595
2020-03-06,1.6783
2020-03-07,1.6783
2020-03-08,1.6783
2020-03-09,1.4138
2020-03-10,1.4856
2020-03-11,1.357
2020-03-12,1.1594
2020-03-13,1.1445
2020-03-14,1.1445
2020-03-15,1.1445
2020-03-16,0.7754
2020-03-17,1.0965
2020-03-18,1.021
2020-03-19,1.1359
2020-03-20,0.9695
2020-03-21,0.9695
2020-03-22,0.9695
2020-03-23,0.9219
2020-03-24,0.9963
2020-03-25,0.9091
2020-03-26,0.9706
2020-03-27,0.8453
2020-03-28,0.8453
2020-03-29,0.8453
2020-03-30,0.9356
2020-03-31,0.9356
2020-04-01,0.9356
2020-04-02,0.9356
2020-04-03,0.9356
2020-04-04,0.9356
2020-04-05,0.9356
2020-04-06,0.9356
2020-04-07,0.9356
2020-04-08,0.9356
2020-04-09,0.9356
2020-04-10,0.9356
2020-04-11,0.9356
2020-04-12,0.9356
2020-04-13,0.9356
2020-04-14,0.9356
2020-04-15,0.9356
2020-04-16,0.9356
2020-04-17,0.9356
2020-04-18,0.9356
2020-04-19,0.9356
2020-04-20,0.9356
2020-04-21,0.9356
2020-04-22,0.9356
2020-04-23,0.9356
2020-04-24,0.9356
2020-04-25,0.9356
2020-04-26,0.9356
2020-04-27,0.9356
2020-04-28,0.9356
2020-04-29,0.9356
2020-04-30,0.9356
2020-05-01,0.9356
2020-05-02,0.9356
2020-05-03,0.9356
2020-05-04,0.9356
2020-05-05,0.9356
2020-05-06,0.9356
2020-05-07,0.9356
2020-05-08,0.9356
2020-05-09,0.9356
2020-05-10,0.9356
2020-05-11,0.9356
2020-05-12,0.9356
2020-05-13,0.9356
2020-05-14,0.9356
2020-05-15,0.9356
2020-05-16,0.9356
2020-05-17,0.9356
2020-05-18,0.9356
2020-05-19,0.9356
2020-05-20,0.9356
2020-05-21,0.9356
2020-05-22,0.9356
2020-05-23,0.9356
2020-05-24,0.9356
2020-05-25,0.9356
2020-05-26,0.9356
2020-05-27,0.9356
2020-05-28,0.9356
2020-05-29,0.9356
2020-05-30,0.9356
2020-05-31,0.9356
2020-06-01,0.9356
2020-06-02,0.9356
2020-06-03,0.9356
2020-06-04,0.9356
2020-06-05,0.9356
2020-06-06,0.9356
2020-06-07,0.9356
2020-06-08,0.9356
2020-06-09,0.9356
2020-06-10,0.9356
2020-06-11,0.9356
2020-06-12,0.9356
2020-06-13,0.9356
2020-06-14,0.9356
2020-06-15,0.9356
2020-06-16,0.9356
2020-06-17,0.9356
