,EIX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,27.4665
2020-01-02,27.2585
2020-01-03,27.3393
2020-01-04,27.3393
2020-01-05,27.3393
2020-01-06,27.41
2020-01-07,27.5575
2020-01-08,27.5332
2020-01-09,27.614
2020-01-10,27.4847
2020-01-11,27.4847
2020-01-12,27.4847
2020-01-13,27.4585
2020-01-14,27.3898
2020-01-15,27.7736
2020-01-16,27.6989
2020-01-17,27.7797
2020-01-18,27.7797
2020-01-19,27.7797
2020-01-20,27.7797
2020-01-21,28.0302
2020-01-22,27.8019
2020-01-23,27.9272
2020-01-24,27.7716
2020-01-25,27.7716
2020-01-26,27.7716
2020-01-27,27.6282
2020-01-28,27.7474
2020-01-29,27.7837
2020-01-30,27.7211
2020-01-31,27.6969
2020-02-01,27.6969
2020-02-02,27.6969
2020-02-03,27.9211
2020-02-04,27.4787
2020-02-05,27.8544
2020-02-06,27.6443
2020-02-07,27.7878
2020-02-08,27.7878
2020-02-09,27.7878
2020-02-10,28.0302
2020-02-11,27.9898
2020-02-12,27.8888
2020-02-13,27.8625
2020-02-14,27.8161
2020-02-15,27.8161
2020-02-16,27.8161
2020-02-17,27.8161
2020-02-18,27.812
2020-02-19,27.715
2020-02-20,27.8524
2020-02-21,27.9029
2020-02-22,27.9029
2020-02-23,27.9029
2020-02-24,27.6504
2020-02-25,27.3999
2020-02-26,27.2443
2020-02-27,26.4241
2020-02-28,25.9561
2020-02-29,25.9561
2020-03-01,25.9561
2020-03-02,26.62
2020-03-03,26.1828
2020-03-04,26.5628
2020-03-05,26.3279
2020-03-06,26.0378
2020-03-07,26.0378
2020-03-08,26.0378
2020-03-09,24.8469
2020-03-10,25.282
2020-03-11,24.4343
2020-03-12,22.9412
2020-03-13,23.1087
2020-03-14,23.1087
2020-03-15,23.1087
2020-03-16,21.6595
2020-03-17,22.7239
2020-03-18,22.2499
2020-03-19,22.1927
2020-03-20,21.8046
2020-03-21,21.8046
2020-03-22,21.8046
2020-03-23,21.3163
2020-03-24,22.5237
2020-03-25,23.2264
2020-03-26,24.0252
2020-03-27,23.541
2020-03-28,23.541
2020-03-29,23.541
2020-03-30,23.7351
2020-03-31,24.758
2020-04-01,24.0181
2020-04-02,24.0728
2020-04-03,23.6166
2020-04-04,23.6166
2020-04-05,23.6166
2020-04-06,24.4175
2020-04-07,24.5983
2020-04-08,25.3424
2020-04-09,25.91
2020-04-10,25.91
2020-04-11,25.91
2020-04-12,25.91
2020-04-13,25.725
2020-04-14,25.8238
2020-04-15,25.4076
2020-04-16,25.8154
2020-04-17,26.2863
2020-04-18,26.2863
2020-04-19,26.2863
2020-04-20,25.8554
2020-04-21,25.4728
2020-04-22,25.6409
2020-04-23,25.4812
2020-04-24,25.6956
2020-04-25,25.6956
2020-04-26,25.6956
2020-04-27,26.0109
2020-04-28,26.3136
2020-04-29,25.931
2020-04-30,25.6143
2020-05-01,24.9778
2020-05-02,24.9778
2020-05-03,24.9778
2020-05-04,25.1127
2020-05-05,25.1253
2020-05-06,24.63
2020-05-07,24.7333
2020-05-08,25.2644
2020-05-09,25.2644
2020-05-10,25.2644
2020-05-11,25.216
2020-05-12,25.1295
2020-05-13,25.3403
2020-05-14,25.843
2020-05-15,25.499
2020-05-16,25.499
2020-05-17,25.499
2020-05-18,25.7685
2020-05-19,25.8211
2020-05-20,25.5669
2020-05-21,25.5691
2020-05-22,25.6042
2020-05-23,25.6042
2020-05-24,25.6042
2020-05-25,25.6042
2020-05-26,25.5122
2020-05-27,25.74
2020-05-28,25.946
2020-05-29,25.9723
2020-05-30,25.9723
2020-05-31,25.9723
2020-06-01,26.222
2020-06-02,26.3557
2020-06-03,26.5989
2020-06-04,26.1804
2020-06-05,26.5792
2020-06-06,26.5792
2020-06-07,26.5792
2020-06-08,27.4293
2020-06-09,26.7435
2020-06-10,26.4609
2020-06-11,25.6875
2020-06-12,25.854
2020-06-13,25.854
2020-06-14,25.854
2020-06-15,26.2659
2020-06-16,26.5003
2020-06-17,26.3623
2020-06-18,26.1322
2020-06-19,25.4355
2020-06-20,25.4355
2020-06-21,25.4355
2020-06-22,25.464
2020-06-23,25.4596
2020-06-24,25.1529
2020-06-25,25.2668
2020-06-26,25.2515
2020-06-27,25.2515
2020-06-28,25.2515
2020-06-29,25.3654
2020-06-30,25.2806
2020-07-01,25.5041
2020-07-02,25.5501
2020-07-03,25.5501
2020-07-04,25.5501
2020-07-05,25.5501
2020-07-06,25.6618
2020-07-07,25.3178
2020-07-08,25.3134
2020-07-09,25.1973
2020-07-10,25.5041
2020-07-11,25.5041
2020-07-12,25.5041
2020-07-13,25.6465
2020-07-14,25.7976
2020-07-15,25.4931
2020-07-16,25.6706
2020-07-17,25.7297
2020-07-18,25.7297
2020-07-19,25.7297
2020-07-20,25.4077
2020-07-21,25.6399
2020-07-22,25.8064
2020-07-23,25.7955
2020-07-24,25.6552
2020-07-25,25.6552
2020-07-26,25.6552
2020-07-27,25.0286
2020-07-28,25.4648
2020-07-29,25.1732
2020-07-30,25.4122
2020-07-31,25.5876
2020-08-01,25.5876
2020-08-02,25.5876
2020-08-03,25.2061
2020-08-04,25.3749
2020-08-05,25.1359
2020-08-06,25.1929
2020-08-07,25.3552
2020-08-08,25.3552
2020-08-09,25.3552
2020-08-10,25.2762
2020-08-11,25.1293
2020-08-12,25.3376
2020-08-13,25.1359
2020-08-14,24.9342
2020-08-15,24.9342
2020-08-16,24.9342
2020-08-17,24.7347
2020-08-18,24.6711
2020-08-19,24.8377
2020-08-20,24.6163
2020-08-21,24.6206
2020-08-22,24.6206
2020-08-23,24.6206
2020-08-24,24.8574
2020-08-25,24.7829
2020-08-26,24.5834
2020-08-27,24.7281
2020-08-28,24.8202
2020-08-29,24.8202
2020-08-30,24.8202
2020-08-31,24.8881
2020-09-01,24.7412
2020-09-02,24.9079
2020-09-03,24.9934
2020-09-04,24.8399
2020-09-05,24.8399
2020-09-06,24.8399
2020-09-07,24.8399
2020-09-08,24.6448
2020-09-09,24.682
2020-09-10,24.454
2020-09-11,24.4825
2020-09-12,24.4825
2020-09-13,24.4825
2020-09-14,24.7062
2020-09-15,24.6755
2020-09-16,24.9013
2020-09-17,24.921
2020-09-18,24.6557
2020-09-19,24.6557
2020-09-20,24.6557
2020-09-21,24.2786
2020-09-22,24.4365
2020-09-23,24.1909
2020-09-24,24.5286
2020-09-25,24.7062
2020-09-26,24.7062
2020-09-27,24.7062
2020-09-28,24.7588
2020-09-29,24.568
2020-09-30,61.8137
2020-10-01,61.6007
2020-10-02,62.1653
2020-10-03,62.1653
2020-10-04,62.1653
2020-10-05,62.7566
2020-10-06,63.4225
2020-10-07,63.9978
2020-10-08,64.6158
2020-10-09,64.6104
2020-10-10,64.6104
2020-10-11,64.6104
2020-10-12,64.7063
2020-10-13,64.7117
2020-10-14,64.6903
2020-10-15,64.994
2020-10-16,65.6865
2020-10-17,65.6865
2020-10-18,65.6865
2020-10-19,65.7664
2020-10-20,66.5601
2020-10-21,66.1873
2020-10-22,66.6347
2020-10-23,66.9543
2020-10-24,66.9543
2020-10-25,66.9543
2020-10-26,65.7291
2020-10-27,65.5505
2020-10-28,64.8842
2020-10-29,64.6229
2020-10-30,64.6069
2020-10-31,64.6069
2020-11-01,64.6069
2020-11-02,65.4119
2020-11-03,65.8704
2020-11-04,65.348
