,AIN US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.0333
2020-01-02,14.1879
2020-01-03,14.3175
2020-01-04,14.3175
2020-01-05,14.3175
2020-01-06,14.1846
2020-01-07,14.1081
2020-01-08,14.0633
2020-01-09,14.163
2020-01-10,13.8788
2020-01-11,13.8788
2020-01-12,13.8788
2020-01-13,14.261
2020-01-14,14.2444
2020-01-15,14.4388
2020-01-16,14.59
2020-01-17,14.4438
2020-01-18,14.4438
2020-01-19,14.4438
2020-01-20,14.4438
2020-01-21,14.1347
2020-01-22,13.681
2020-01-23,13.7857
2020-01-24,13.578
2020-01-25,13.578
2020-01-26,13.578
2020-01-27,13.4235
2020-01-28,13.6229
2020-01-29,13.5996
2020-01-30,13.4866
2020-01-31,13.0113
2020-02-01,13.0113
2020-02-02,13.0113
2020-02-03,13.1011
2020-02-04,13.2806
2020-02-05,13.568
2020-02-06,13.6561
2020-02-07,13.357
2020-02-08,13.357
2020-02-09,13.357
2020-02-10,13.4068
2020-02-11,13.6592
2020-02-12,13.719
2020-02-13,13.6758
2020-02-14,13.7456
2020-02-15,13.7456
2020-02-16,13.7456
2020-02-17,13.7456
2020-02-18,13.7389
2020-02-19,13.714
2020-02-20,13.8221
2020-02-21,13.7655
2020-02-22,13.7655
2020-02-23,13.7655
2020-02-24,13.3616
2020-02-25,12.9826
2020-02-26,12.976
2020-02-27,12.6618
2020-02-28,12.0641
2020-02-29,12.0641
2020-03-01,12.0641
2020-03-02,12.5926
2020-03-03,12.6009
2020-03-04,12.8585
2020-03-05,12.2702
2020-03-06,12.2735
2020-03-07,12.2735
2020-03-08,12.2735
2020-03-09,11.2332
2020-03-10,11.8913
2020-03-11,11.0056
2020-03-12,8.9765
2020-03-13,8.7472
2020-03-14,8.7472
2020-03-15,8.7472
2020-03-16,8.1423
2020-03-17,7.6056
2020-03-18,6.67
2020-03-19,7.9396
2020-03-20,7.6571
2020-03-21,7.6571
2020-03-22,7.6571
2020-03-23,8.2437
2020-03-24,8.6392
2020-03-25,8.1623
2020-03-26,9.382
2020-03-27,9.3903
2020-03-28,9.3903
2020-03-29,9.3903
2020-03-30,9.4501
2020-03-31,9.3263
2020-04-01,8.6835
2020-04-02,8.7304
2020-04-03,8.4558
2020-04-04,8.4558
2020-04-05,8.4558
2020-04-06,8.7856
2020-04-07,9.0266
2020-04-08,9.3296
2020-04-09,9.4066
2020-04-10,9.4066
2020-04-11,9.4066
2020-04-12,9.4066
2020-04-13,8.8676
2020-04-14,9.1037
2020-04-15,8.9128
2020-04-16,8.9848
2020-04-17,9.4384
2020-04-18,9.4384
2020-04-19,9.4384
2020-04-20,9.3966
2020-04-21,9.2694
2020-04-22,9.3631
2020-04-23,9.5288
2020-04-24,9.2041
2020-04-25,9.2041
2020-04-26,9.2041
2020-04-27,9.6243
2020-04-28,10.0193
2020-04-29,10.7258
2020-04-30,9.9585
2020-05-01,9.8247
2020-05-02,9.8247
2020-05-03,9.8247
2020-05-04,9.9418
2020-05-05,9.7176
2020-05-06,9.9502
2020-05-07,10.0255
2020-05-08,10.519
2020-05-09,10.519
2020-05-10,10.519
2020-05-11,9.9987
2020-05-12,9.7862
2020-05-13,9.6072
2020-05-14,9.721
2020-05-15,9.731
2020-05-16,9.731
2020-05-17,9.731
2020-05-18,10.5641
2020-05-19,10.263
2020-05-20,10.6578
2020-05-21,10.6812
2020-05-22,10.6729
2020-05-23,10.6729
2020-05-24,10.6729
2020-05-25,10.6729
2020-05-26,11.5194
2020-05-27,12.2722
2020-05-28,11.8472
2020-05-29,11.4909
2020-05-30,11.4909
2020-05-31,11.4909
2020-06-01,11.7168
2020-06-02,11.7569
2020-06-03,12.1751
2020-06-04,12.3909
2020-06-05,13.3395
2020-06-06,13.3395
2020-06-07,13.3395
2020-06-08,13.2776
2020-06-09,12.7339
2020-06-10,12.1149
2020-06-11,10.8318
2020-06-12,11.0409
2020-06-13,11.0409
2020-06-14,11.0409
2020-06-15,11.424
2020-06-16,11.7653
2020-06-17,11.3839
2020-06-18,11.2617
2020-06-19,11.066
2020-06-20,11.066
2020-06-21,11.066
2020-06-22,11.1664
2020-06-23,11.0309
2020-06-24,10.5959
2020-06-25,10.882
2020-06-26,10.4939
2020-06-27,10.4939
2020-06-28,10.4939
2020-06-29,11.2032
2020-06-30,11.119
2020-07-01,10.7464
2020-07-02,10.8205
2020-07-03,10.8205
2020-07-04,10.8205
2020-07-05,10.8205
2020-07-06,10.8121
2020-07-07,10.2203
2020-07-08,10.1259
2020-07-09,9.8444
2020-07-10,9.9691
2020-07-11,9.9691
2020-07-12,9.9691
2020-07-13,9.7432
2020-07-14,10.0096
2020-07-15,10.4024
2020-07-16,10.1613
2020-07-17,10.0855
2020-07-18,10.0855
2020-07-19,10.0855
2020-07-20,9.7752
2020-07-21,9.9843
2020-07-22,10.0922
2020-07-23,10.0281
2020-07-24,9.9826
2020-07-25,9.9826
2020-07-26,9.9826
2020-07-27,9.9961
2020-07-28,9.8073
2020-07-29,9.5858
