,BOOM US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.2546
2020-01-02,11.2522
2020-01-03,11.2969
2020-01-04,11.2969
2020-01-05,11.2969
2020-01-06,11.585
2020-01-07,11.2298
2020-01-08,10.969
2020-01-09,11.2323
2020-01-10,11.1006
2020-01-11,11.1006
2020-01-12,11.1006
2020-01-13,11.0212
2020-01-14,11.0534
2020-01-15,10.9317
2020-01-16,10.9988
2020-01-17,11.0261
2020-01-18,11.0261
2020-01-19,11.0261
2020-01-20,11.0261
2020-01-21,10.7603
2020-01-22,10.8597
2020-01-23,10.7131
2020-01-24,10.5964
2020-01-25,10.5964
2020-01-26,10.5964
2020-01-27,10.4871
2020-01-28,10.6585
2020-01-29,10.8349
2020-01-30,10.7454
2020-01-31,10.4821
2020-02-01,10.4821
2020-02-02,10.4821
2020-02-03,9.9779
2020-02-04,10.1021
2020-02-05,10.4275
2020-02-06,10.2015
2020-02-07,9.9953
2020-02-08,9.9953
2020-02-09,9.9953
2020-02-10,9.886
2020-02-11,10.0003
2020-02-12,10.0027
2020-02-13,9.7295
2020-02-14,9.7146
2020-02-15,9.7146
2020-02-16,9.7146
2020-02-17,9.7146
2020-02-18,9.7146
2020-02-19,9.8363
2020-02-20,9.7866
2020-02-21,9.8835
2020-02-22,9.8835
2020-02-23,9.8835
2020-02-24,9.58
2020-02-25,9.4756
2020-02-26,9.2619
2020-02-27,8.8841
2020-02-28,9.0531
2020-02-29,9.0531
2020-03-01,9.0531
2020-03-02,9.3538
2020-03-03,9.1202
2020-03-04,9.1998
2020-03-05,8.7649
2020-03-06,7.7882
2020-03-07,7.7882
2020-03-08,7.7882
2020-03-09,5.7728
2020-03-10,6.0064
2020-03-11,5.6709
2020-03-12,5.5367
2020-03-13,5.6535
2020-03-14,5.6535
2020-03-15,5.6535
2020-03-16,5.5367
2020-03-17,5.9865
2020-03-18,5.8573
2020-03-19,6.1754
2020-03-20,6.0337
2020-03-21,6.0337
2020-03-22,6.0337
2020-03-23,5.8796
2020-03-24,6.24
2020-03-25,6.0909
2020-03-26,6.1754
2020-03-27,6.1952
2020-03-28,6.1952
2020-03-29,6.1952
2020-03-30,5.4423
2020-03-31,7.6893
2020-04-01,7.3826
2020-04-02,7.7676
2020-04-03,8.058
2020-04-04,8.058
2020-04-05,8.058
2020-04-06,8.4757
2020-04-07,9.1413
2020-04-08,9.4614
2020-04-09,9.3332
2020-04-10,9.3332
2020-04-11,9.3332
2020-04-12,9.3332
2020-04-13,9.3628
2020-04-14,9.7636
2020-04-15,8.8898
2020-04-16,8.9358
2020-04-17,9.1986
2020-04-18,9.1986
2020-04-19,9.1986
2020-04-20,9.1263
2020-04-21,8.5514
2020-04-22,8.0653
2020-04-23,8.722
2020-04-24,8.3442
2020-04-25,8.3442
2020-04-26,8.3442
2020-04-27,8.0453
2020-04-28,8.1307
2020-04-29,9.2246
2020-04-30,8.6596
2020-05-01,8.2326
2020-05-02,8.2326
2020-05-03,8.2326
2020-05-04,8.2523
2020-05-05,8.0913
2020-05-06,7.4935
2020-05-07,7.5263
2020-05-08,8.6793
2020-05-09,8.6793
2020-05-10,8.6793
2020-05-11,8.3278
2020-05-12,8.2358
2020-05-13,7.9435
2020-05-14,8.1176
2020-05-15,8.0979
2020-05-16,8.0979
2020-05-17,8.0979
2020-05-18,9.103
2020-05-19,8.7614
2020-05-20,9.3494
2020-05-21,9.1096
2020-05-22,9.0143
2020-05-23,9.0143
2020-05-24,9.0143
2020-05-25,9.0143
2020-05-26,9.5103
2020-05-27,9.5235
2020-05-28,9.5629
2020-05-29,9.5596
2020-05-30,9.5596
2020-05-31,9.5596
2020-06-01,9.6384
2020-06-02,10.2199
2020-06-03,10.2034
2020-06-04,10.9556
2020-06-05,11.4911
2020-06-06,11.4911
2020-06-07,11.4911
2020-06-08,12.3451
2020-06-09,11.4944
2020-06-10,11.1889
2020-06-11,10.3381
2020-06-12,10.187
2020-06-13,10.187
2020-06-14,10.187
2020-06-15,10.325
2020-06-16,10.7159
2020-06-17,10.4071
2020-06-18,10.4169
2020-06-19,10.1574
2020-06-20,10.1574
2020-06-21,10.1574
2020-06-22,10.072
2020-06-23,10.2166
2020-06-24,9.6811
2020-06-25,9.6007
2020-06-26,9.149
2020-06-27,9.149
2020-06-28,9.149
2020-06-29,9.0538
2020-06-30,33.7399
2020-07-01,32.8762
2020-07-02,33.6679
2020-07-03,33.6679
2020-07-04,33.6679
2020-07-05,33.6679
2020-07-06,34.2917
2020-07-07,32.0484
2020-07-08,32.1804
2020-07-09,29.9611
2020-07-10,30.7288
2020-07-11,30.7288
2020-07-12,30.7288
2020-07-13,30.153
2020-07-14,30.5129
2020-07-15,32.6362
2020-07-16,32.3963
2020-07-17,32.4803
2020-07-18,32.4803
2020-07-19,32.4803
2020-07-20,33.0921
2020-07-21,35.2394
2020-07-22,34.9515
2020-07-23,35.7021
2020-07-24,34.9814
2020-07-25,34.9814
2020-07-26,34.9814
2020-07-27,36.0864
2020-07-28,36.5789
2020-07-29,37.3596
2020-07-30,36.3987
2020-07-31,35.9183
2020-08-01,35.9183
2020-08-02,35.9183
2020-08-03,36.7591
2020-08-04,37.804
2020-08-05,39.8819
2020-08-06,38.945
2020-08-07,39.4855
2020-08-08,39.4855
2020-08-09,39.4855
2020-08-10,40.9869
2020-08-11,41.4914
2020-08-12,40.9389
2020-08-13,40.8908
2020-08-14,41.4553
2020-08-15,41.4553
2020-08-16,41.4553
2020-08-17,40.7707
2020-08-18,40.1942
2020-08-19,40.5545
2020-08-20,42.5003
2020-08-21,41.3472
2020-08-22,41.3472
2020-08-23,41.3472
2020-08-24,43.0648
2020-08-25,43.1008
2020-08-26,42.6204
2020-08-27,43.257
2020-08-28,44.4641
2020-08-29,44.4641
2020-08-30,44.4641
2020-08-31,43.1849
2020-09-01,43.9776
2020-09-02,44.2058
2020-09-03,44.6863
2020-09-04,44.9745
2020-09-05,44.9745
2020-09-06,44.9745
2020-09-07,44.9745
2020-09-08,43.1128
2020-09-09,43.9056
2020-09-10,42.2961
2020-09-11,40.6026
2020-09-12,40.6026
2020-09-13,40.6026
2020-09-14,39.6056
2020-09-15,39.4375
2020-09-16,41.2391
2020-09-17,41.3112
2020-09-18,42.4282
2020-09-19,42.4282
2020-09-20,42.4282
2020-09-21,40.1101
2020-09-22,40.1942
2020-09-23,36.6029
2020-09-24,37.5157
2020-09-25,37.804
2020-09-26,37.804
2020-09-27,37.804
2020-09-28,39.2333
2020-09-29,40.1101
2020-09-30,507.1918
2020-10-01,489.461
2020-10-02,506.7293
2020-10-03,506.7293
2020-10-04,506.7293
2020-10-05,525.5394
2020-10-06,524.7685
2020-10-07,519.9889
2020-10-08,527.3896
2020-10-09,524.306
2020-10-10,524.306
2020-10-11,524.306
2020-10-12,526.4645
