,GEF/B US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.6634
2020-01-02,12.5902
2020-01-03,12.4951
2020-01-04,12.4951
2020-01-05,12.4951
2020-01-06,12.4385
2020-01-07,12.4289
2020-01-08,12.4749
2020-01-09,12.5401
2020-01-10,12.5028
2020-01-11,12.5028
2020-01-12,12.5028
2020-01-13,12.6675
2020-01-14,12.734
2020-01-15,12.7623
2020-01-16,12.8625
2020-01-17,12.7875
2020-01-18,12.7875
2020-01-19,12.7875
2020-01-20,12.7875
2020-01-21,12.638
2020-01-22,12.6336
2020-01-23,12.6369
2020-01-24,12.5716
2020-01-25,12.5716
2020-01-26,12.5716
2020-01-27,12.4803
2020-01-28,12.4899
2020-01-29,12.4862
2020-01-30,12.4401
2020-01-31,12.7228
2020-02-01,12.7228
2020-02-02,12.7228
2020-02-03,12.848
2020-02-04,12.8871
2020-02-05,13.0511
2020-02-06,12.9741
2020-02-07,12.8568
2020-02-08,12.8568
2020-02-09,12.8568
2020-02-10,12.8574
2020-02-11,12.9336
2020-02-12,12.9174
2020-02-13,12.9156
2020-02-14,12.8638
2020-02-15,12.8638
2020-02-16,12.8638
2020-02-17,12.8638
2020-02-18,12.8386
2020-02-19,12.8264
2020-02-20,12.8414
2020-02-21,12.8584
2020-02-22,12.8584
2020-02-23,12.8584
2020-02-24,12.4746
2020-02-25,12.2918
2020-02-26,12.2135
2020-02-27,11.8409
2020-02-28,12.0027
2020-02-29,12.0027
2020-03-01,12.0027
2020-03-02,11.978
2020-03-03,11.9114
2020-03-04,11.9693
2020-03-05,11.7551
2020-03-06,11.6753
2020-03-07,11.6753
2020-03-08,11.6753
2020-03-09,11.2967
2020-03-10,11.477
2020-03-11,11.2064
2020-03-12,10.9436
2020-03-13,11.356
2020-03-14,11.356
2020-03-15,11.356
2020-03-16,11.0982
2020-03-17,11.5709
2020-03-18,11.8158
2020-03-19,11.8083
2020-03-20,11.2294
2020-03-21,11.2294
2020-03-22,11.2294
2020-03-23,11.2612
2020-03-24,11.6195
2020-03-25,11.5275
2020-03-26,11.8142
2020-03-27,11.5973
2020-03-28,11.5973
2020-03-29,11.5973
2020-03-30,11.8025
2020-03-31,11.7338
2020-04-01,11.4243
2020-04-02,11.7718
2020-04-03,11.476
2020-04-04,11.476
2020-04-05,11.476
2020-04-06,11.7524
2020-04-07,11.9406
2020-04-08,11.9527
2020-04-09,11.9796
2020-04-10,11.9796
2020-04-11,11.9796
2020-04-12,11.9796
2020-04-13,12.0481
2020-04-14,11.9385
2020-04-15,11.5885
2020-04-16,11.5109
2020-04-17,11.7275
2020-04-18,11.7275
2020-04-19,11.7275
2020-04-20,11.5428
2020-04-21,11.5058
2020-04-22,11.4872
2020-04-23,11.5548
2020-04-24,11.6211
2020-04-25,11.6211
2020-04-26,11.6211
2020-04-27,11.837
2020-04-28,11.9593
2020-04-29,12.1443
2020-04-30,12.1539
2020-05-01,12.0951
2020-05-02,12.0951
2020-05-03,12.0951
2020-05-04,11.9903
2020-05-05,11.8123
2020-05-06,11.6731
2020-05-07,11.7552
2020-05-08,11.8867
2020-05-09,11.8867
2020-05-10,11.8867
2020-05-11,11.7188
2020-05-12,11.5936
2020-05-13,11.5831
2020-05-14,11.6169
2020-05-15,11.606
2020-05-16,11.606
2020-05-17,11.606
2020-05-18,11.9915
2020-05-19,11.8215
2020-05-20,11.9035
2020-05-21,11.8516
2020-05-22,11.8953
2020-05-23,11.8953
2020-05-24,11.8953
2020-05-25,11.8953
2020-05-26,12.1984
2020-05-27,12.3809
2020-05-28,12.2525
2020-05-29,12.0808
2020-05-30,12.0808
2020-05-31,12.0808
2020-06-01,12.0984
2020-06-02,12.0571
2020-06-03,12.3178
2020-06-04,12.5362
2020-06-05,12.9577
2020-06-06,12.9577
2020-06-07,12.9577
2020-06-08,12.9666
2020-06-09,12.7243
2020-06-10,12.3904
2020-06-11,11.9885
2020-06-12,12.1763
2020-06-13,12.1763
2020-06-14,12.1763
2020-06-15,12.1932
2020-06-16,12.4011
2020-06-17,12.1018
2020-06-18,12.1083
2020-06-19,12.0955
2020-06-20,12.0955
2020-06-21,12.0955
2020-06-22,12.1316
2020-06-23,12.115
2020-06-24,11.9375
2020-06-25,12.0454
2020-06-26,12.0336
2020-06-27,12.0336
2020-06-28,12.0336
2020-06-29,12.2344
2020-06-30,12.3212
2020-07-01,12.2001
2020-07-02,12.3314
2020-07-03,12.3314
2020-07-04,12.3314
2020-07-05,12.3314
2020-07-06,12.2981
2020-07-07,12.2043
2020-07-08,12.1158
2020-07-09,11.9419
2020-07-10,12.1658
2020-07-11,12.1658
2020-07-12,12.1658
2020-07-13,12.1036
2020-07-14,12.2701
2020-07-15,12.3148
2020-07-16,12.4487
2020-07-17,12.404
2020-07-18,12.404
2020-07-19,12.404
2020-07-20,12.4295
2020-07-21,12.4721
2020-07-22,12.4859
2020-07-23,12.5037
2020-07-24,12.544
2020-07-25,12.544
2020-07-26,12.544
2020-07-27,12.5614
2020-07-28,12.4743
2020-07-29,12.5154
2020-07-30,12.3787
2020-07-31,14.3327
2020-08-01,14.3327
2020-08-02,14.3327
2020-08-03,14.4798
2020-08-04,14.5971
2020-08-05,14.6735
2020-08-06,14.7188
2020-08-07,14.9963
2020-08-08,14.9963
2020-08-09,14.9963
2020-08-10,15.1639
2020-08-11,15.2332
2020-08-12,15.2115
2020-08-13,15.2707
2020-08-14,15.2855
2020-08-15,15.2855
2020-08-16,15.2855
2020-08-17,15.2771
2020-08-18,15.1391
2020-08-19,15.1337
2020-08-20,14.9425
2020-08-21,14.8287
2020-08-22,14.8287
2020-08-23,14.8287
2020-08-24,15.0154
2020-08-25,14.9754
2020-08-26,14.9779
2020-08-27,14.498
2020-08-28,14.7188
2020-08-29,14.7188
2020-08-30,14.7188
2020-08-31,14.6149
2020-09-01,14.7195
2020-09-02,14.7761
2020-09-03,14.6418
2020-09-04,14.8118
2020-09-05,14.8118
2020-09-06,14.8118
2020-09-07,14.8118
2020-09-08,14.4032
2020-09-09,14.5034
2020-09-10,14.3422
2020-09-11,14.468
2020-09-12,14.468
2020-09-13,14.468
2020-09-14,14.6838
2020-09-15,14.7022
2020-09-16,14.6141
2020-09-17,14.6229
2020-09-18,14.4697
2020-09-19,14.4697
2020-09-20,14.4697
2020-09-21,14.3532
2020-09-22,14.3917
2020-09-23,14.243
2020-09-24,14.2867
2020-09-25,14.4607
2020-09-26,14.4607
2020-09-27,14.4607
2020-09-28,14.5833
2020-09-29,14.506
2020-09-30,14.4596
2020-10-01,14.4425
2020-10-02,14.6673
2020-10-03,14.6673
2020-10-04,14.6673
2020-10-05,14.9346
2020-10-06,14.8767
2020-10-07,15.067
2020-10-08,15.2196
