,OXY US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,135.6015
2020-01-02,137.5684
2020-01-03,139.0472
2020-01-04,139.0472
2020-01-05,139.0472
2020-01-06,141.1147
2020-01-07,141.4305
2020-01-08,141.0142
2020-01-09,141.5741
2020-01-10,142.3351
2020-01-11,142.3351
2020-01-12,142.3351
2020-01-13,143.297
2020-01-14,144.2589
2020-01-15,144.2877
2020-01-16,143.4406
2020-01-17,142.2346
2020-01-18,142.2346
2020-01-19,142.2346
2020-01-20,142.2346
2020-01-21,140.0666
2020-01-22,138.5878
2020-01-23,137.4823
2020-01-24,137.0516
2020-01-25,137.0516
2020-01-26,137.0516
2020-01-27,135.6445
2020-01-28,135.5871
2020-01-29,134.539
2020-01-30,134.7113
2020-01-31,133.4622
2020-02-01,133.4622
2020-02-02,133.4622
2020-02-03,133.9791
2020-02-04,134.5821
2020-02-05,136.908
2020-02-06,136.908
2020-02-07,136.5778
2020-02-08,136.5778
2020-02-09,136.5778
2020-02-10,134.5821
2020-02-11,135.544
2020-02-12,137.4392
2020-02-13,136.7931
2020-02-14,136.1614
2020-02-15,136.1614
2020-02-16,136.1614
2020-02-17,136.1614
2020-02-18,136.104
2020-02-19,137.4679
2020-02-20,138.1284
2020-02-21,136.908
2020-02-22,136.908
2020-02-23,136.908
2020-02-24,133.1177
2020-02-25,128.3941
2020-02-26,125.5657
2020-02-27,122.1056
2020-02-28,123.5412
2020-02-29,123.5412
2020-03-01,123.5412
2020-03-02,123.8433
2020-03-03,123.9009
2020-03-04,123.8145
2020-03-05,121.7283
2020-03-06,115.081
2020-03-07,115.081
2020-03-08,115.081
2020-03-09,94.4343
2020-03-10,97.0673
2020-03-11,93.4127
2020-03-12,93.5422
2020-03-13,96.9522
2020-03-14,96.9522
2020-03-15,96.9522
2020-03-16,93.7293
2020-03-17,92.7509
2020-03-18,91.5854
2020-03-19,92.0171
2020-03-20,91.1538
2020-03-21,91.1538
2020-03-22,91.1538
2020-03-23,90.3769
2020-03-24,91.8588
2020-03-25,93.7005
2020-03-26,94.8947
2020-03-27,93.1393
2020-03-28,93.1393
2020-03-29,93.1393
2020-03-30,92.2761
2020-03-31,92.2761
2020-04-01,92.2761
2020-04-02,92.2761
2020-04-03,92.2761
2020-04-04,92.2761
2020-04-05,92.2761
2020-04-06,92.2761
