,FCN US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,13.4933
2020-01-02,13.7613
2020-01-03,13.9403
2020-01-04,13.9403
2020-01-05,13.9403
2020-01-06,13.9972
2020-01-07,13.8324
2020-01-08,13.8301
2020-01-09,13.9605
2020-01-10,14.021
2020-01-11,14.021
2020-01-12,14.021
2020-01-13,14.2545
2020-01-14,14.0755
2020-01-15,14.104
2020-01-16,14.1692
2020-01-17,14.3446
2020-01-18,14.3446
2020-01-19,14.3446
2020-01-20,14.3446
2020-01-21,14.3589
2020-01-22,14.5652
2020-01-23,14.6956
2020-01-24,14.3518
2020-01-25,14.3518
2020-01-26,14.3518
2020-01-27,14.4419
2020-01-28,14.7667
2020-01-29,14.711
2020-01-30,14.8011
2020-01-31,14.6079
2020-02-01,14.6079
2020-02-02,14.6079
2020-02-03,14.7098
2020-02-04,14.96
2020-02-05,14.7691
2020-02-06,14.8557
2020-02-07,14.8189
2020-02-08,14.8189
2020-02-09,14.8189
2020-02-10,14.9458
2020-02-11,14.9197
2020-02-12,15.0572
2020-02-13,15.1533
2020-02-14,15.3608
2020-02-15,15.3608
2020-02-16,15.3608
2020-02-17,15.3608
2020-02-18,15.42
2020-02-19,15.6904
2020-02-20,15.2991
2020-02-21,15.0383
2020-02-22,15.0383
2020-02-23,15.0383
2020-02-24,14.3636
2020-02-25,13.37
2020-02-26,14.0056
2020-02-27,13.4988
2020-02-28,13.6736
2020-02-29,13.6736
2020-03-01,13.6736
2020-03-02,14.0079
2020-03-03,13.5389
2020-03-04,13.9181
2020-03-05,13.22
2020-03-06,13.6771
2020-03-07,13.6771
2020-03-08,13.6771
2020-03-09,13.6452
2020-03-10,13.9713
2020-03-11,13.9819
2020-03-12,13.4125
2020-03-13,14.5962
2020-03-14,14.5962
2020-03-15,14.5962
2020-03-16,13.9359
2020-03-17,14.3682
2020-03-18,15.93
2020-03-19,14.5643
2020-03-20,13.9134
2020-03-21,13.9134
2020-03-22,13.9134
2020-03-23,12.8715
2020-03-24,14.158
2020-03-25,14.2773
2020-03-26,12.7829
2020-03-27,13.9252
2020-03-28,13.9252
2020-03-29,13.9252
2020-03-30,14.3942
2020-03-31,15.8261
2020-04-01,15.8435
2020-04-02,15.9202
2020-04-03,16.1318
2020-04-04,16.1318
2020-04-05,16.1318
2020-04-06,17.6166
2020-04-07,17.5263
2020-04-08,17.577
2020-04-09,18.1029
2020-04-10,18.1029
2020-04-11,18.1029
2020-04-12,18.1029
2020-04-13,17.9717
2020-04-14,18.5879
2020-04-15,17.3444
2020-04-16,17.6359
2020-04-17,17.6911
2020-04-18,17.6911
2020-04-19,17.6911
2020-04-20,17.1133
2020-04-21,16.9048
2020-04-22,17.1624
2020-04-23,17.5635
2020-04-24,17.5279
2020-04-25,17.5279
2020-04-26,17.5279
2020-04-27,17.9352
2020-04-28,18.1941
2020-04-29,17.3415
2020-04-30,16.599
2020-05-01,16.3088
2020-05-02,16.3088
2020-05-03,16.3088
2020-05-04,16.5549
2020-05-05,16.3664
2020-05-06,15.851
2020-05-07,16.0995
2020-05-08,16.1191
2020-05-09,16.1191
2020-05-10,16.1191
2020-05-11,16.0187
2020-05-12,15.4653
2020-05-13,15.3674
2020-05-14,15.125
2020-05-15,15.0784
2020-05-16,15.0784
2020-05-17,15.0784
2020-05-18,15.9918
2020-05-19,15.3661
2020-05-20,15.1274
2020-05-21,15.1127
2020-05-22,15.1348
2020-05-23,15.1348
2020-05-24,15.1348
2020-05-25,15.1348
2020-05-26,15.6685
2020-05-27,15.835
2020-05-28,15.9538
2020-05-29,15.7542
2020-05-30,15.7542
2020-05-31,15.7542
2020-06-01,15.649
2020-06-02,15.7861
2020-06-03,16.3492
2020-06-04,15.7444
2020-06-05,14.9413
2020-06-06,14.9413
2020-06-07,14.9413
2020-06-08,15.1103
2020-06-09,14.7589
2020-06-10,14.6157
2020-06-11,14.3659
