,UNP US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,17.5759
2020-01-02,17.695
2020-01-03,17.5912
2020-01-04,17.5912
2020-01-05,17.5912
2020-01-06,17.4665
2020-01-07,17.3571
2020-01-08,17.5139
2020-01-09,17.4399
2020-01-10,17.3466
2020-01-11,17.3466
2020-01-12,17.3466
2020-01-13,17.5043
2020-01-14,17.5767
2020-01-15,17.5767
2020-01-16,17.8261
2020-01-17,17.9404
2020-01-18,17.9404
2020-01-19,17.9404
2020-01-20,17.9404
2020-01-21,17.7103
2020-01-22,17.5872
2020-01-23,18.0908
2020-01-24,17.9693
2020-01-25,17.9693
2020-01-26,17.9693
2020-01-27,17.3892
2020-01-28,17.4834
2020-01-29,17.6556
2020-01-30,17.7593
2020-01-31,17.4657
2020-02-01,17.4657
2020-02-02,17.4657
2020-02-03,17.5357
2020-02-04,17.773
2020-02-05,17.9219
2020-02-06,18.0039
2020-02-07,17.7366
2020-02-08,17.7366
2020-02-09,17.7366
2020-02-10,17.8038
2020-02-11,17.6942
2020-02-12,17.819
2020-02-13,17.8014
2020-02-14,17.7502
2020-02-15,17.7502
2020-02-16,17.7502
2020-02-17,17.7502
2020-02-18,17.5982
2020-02-19,17.7102
2020-02-20,17.7022
2020-02-21,17.5678
2020-02-22,17.5678
2020-02-23,17.5678
2020-02-24,17.1742
2020-02-25,16.7014
2020-02-26,16.2901
2020-02-27,15.7997
2020-02-28,15.8149
2020-02-29,15.8149
2020-03-01,15.8149
2020-03-02,15.8573
2020-03-03,15.6173
2020-03-04,16.0037
2020-03-05,15.4269
2020-03-06,15.5173
2020-03-07,15.5173
2020-03-08,15.5173
2020-03-09,13.8973
2020-03-10,14.7757
2020-03-11,14.3549
2020-03-12,13.5941
2020-03-13,14.5381
2020-03-14,14.5381
2020-03-15,14.5381
2020-03-16,13.0381
2020-03-17,13.3205
2020-03-18,12.2365
2020-03-19,12.7621
2020-03-20,12.4573
2020-03-21,12.4573
2020-03-22,12.4573
2020-03-23,12.1533
2020-03-24,13.3397
2020-03-25,13.6629
2020-03-26,14.4293
2020-03-27,14.1541
2020-03-28,14.1541
2020-03-29,14.1541
2020-03-30,14.2461
2020-03-31,14.2717
2020-04-01,13.9151
2020-04-02,14.3313
