,DHI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.8164
2020-01-02,9.7867
2020-01-03,9.851
2020-01-04,9.851
2020-01-05,9.851
2020-01-06,9.9251
2020-01-07,9.8922
2020-01-08,9.94
2020-01-09,9.9021
2020-01-10,9.9845
2020-01-11,9.9845
2020-01-12,9.9845
2020-01-13,9.9515
2020-01-14,10.0702
2020-01-15,10.1773
2020-01-16,10.2498
2020-01-17,10.3042
2020-01-18,10.3042
2020-01-19,10.3042
2020-01-20,10.3042
2020-01-21,10.5118
2020-01-22,10.586
2020-01-23,10.8447
2020-01-24,10.7656
2020-01-25,10.7656
2020-01-26,10.7656
2020-01-27,10.9568
2020-01-28,11.1709
2020-01-29,11.0645
2020-01-30,10.9941
2020-01-31,10.814
2020-02-01,10.814
2020-02-02,10.814
2020-02-03,10.7387
2020-02-04,10.5636
2020-02-05,10.8926
2020-02-06,11.0432
2020-02-07,11.0596
2020-02-08,11.0596
2020-02-09,11.0596
2020-02-10,11.1938
2020-02-11,11.2495
2020-02-12,11.2069
2020-02-13,11.2184
2020-02-14,11.2413
2020-02-15,11.2413
2020-02-16,11.2413
2020-02-17,11.2413
2020-02-18,11.2446
2020-02-19,11.2528
2020-02-20,11.2806
2020-02-21,11.2528
2020-02-22,11.2528
2020-02-23,11.2528
2020-02-24,11.0154
2020-02-25,10.6323
2020-02-26,10.3835
2020-02-27,10.2673
2020-02-28,9.8433
2020-02-29,9.8433
2020-03-01,9.8433
2020-03-02,10.0987
2020-03-03,10.2231
2020-03-04,10.7093
2020-03-05,10.4064
2020-03-06,10.0938
2020-03-07,10.0938
2020-03-08,10.0938
2020-03-09,9.1639
2020-03-10,9.4701
2020-03-11,8.591
2020-03-12,7.5433
2020-03-13,7.5564
2020-03-14,7.5564
2020-03-15,7.5564
2020-03-16,6.255
2020-03-17,6.2353
2020-03-18,5.8342
2020-03-19,6.0356
2020-03-20,6.2599
2020-03-21,6.2599
2020-03-22,6.2599
2020-03-23,5.9619
2020-03-24,6.5071
2020-03-25,7.1848
2020-03-26,7.5515
2020-03-27,7.1602
2020-03-28,7.1602
2020-03-29,7.1602
2020-03-30,7.1537
2020-03-31,6.5045
2020-04-01,6.3023
2020-04-02,6.2901
2020-04-03,6.2196
2020-04-04,6.2196
2020-04-05,6.2196
2020-04-06,6.941
2020-04-07,6.8936
2020-04-08,7.3699
2020-04-09,7.5829
2020-04-10,7.5829
2020-04-11,7.5829
2020-04-12,7.5829
2020-04-13,7.2137
2020-04-14,7.4481
2020-04-15,7.0743
2020-04-16,7.2244
2020-04-17,7.4052
2020-04-18,7.4052
2020-04-19,7.4052
2020-04-20,7.1616
2020-04-21,7.1203
2020-04-22,7.2535
2020-04-23,7.2979
2020-04-24,7.5675
2020-04-25,7.5675
2020-04-26,7.5675
2020-04-27,7.7467
2020-04-28,8.4851
2020-04-29,8.6758
2020-04-30,8.4737
2020-05-01,8.3703
2020-05-02,8.3703
2020-05-03,8.3703
2020-05-04,8.308
2020-05-05,8.5041
2020-05-06,8.4798
2020-05-07,8.4646
2020-05-08,8.8339
2020-05-09,8.8339
2020-05-10,8.8339
2020-05-11,8.6728
2020-05-12,8.4524
2020-05-13,8.2411
2020-05-14,8.3126
2020-05-15,8.4722
2020-05-16,8.4722
2020-05-17,8.4722
2020-05-18,9.1865
2020-05-19,9.1972
2020-05-20,9.261
2020-05-21,9.3522
2020-05-22,9.5133
2020-05-23,9.5133
2020-05-24,9.5133
2020-05-25,9.5133
2020-05-26,9.7915
2020-05-27,10.2383
2020-05-28,9.7945
2020-05-29,9.7018
2020-05-30,9.7018
2020-05-31,9.7018
2020-06-01,9.6547
2020-06-02,9.6866
2020-06-03,9.91
2020-06-04,9.4404
2020-06-05,9.8811
2020-06-06,9.8811
2020-06-07,9.8811
2020-06-08,9.6744
2020-06-09,9.7367
2020-06-10,9.8507
2020-06-11,9.0589
2020-06-12,9.5042
2020-06-13,9.5042
2020-06-14,9.5042
2020-06-15,9.7899
2020-06-16,10.1137
2020-06-17,10.1927
2020-06-18,10.0073
2020-06-19,9.8173
2020-06-20,9.8173
2020-06-21,9.8173
2020-06-22,9.8766
2020-06-23,9.869
2020-06-24,9.5179
2020-06-25,9.5209
2020-06-26,9.3568
2020-06-27,9.3568
2020-06-28,9.3568
2020-06-29,9.5984
2020-06-30,8.7839
2020-07-01,8.5574
2020-07-02,8.5873
2020-07-03,8.5873
2020-07-04,8.5873
2020-07-05,8.5873
2020-07-06,8.8509
2020-07-07,8.9406
2020-07-08,9.2682
2020-07-09,9.1528
2020-07-10,9.2411
2020-07-11,9.2411
2020-07-12,9.2411
2020-07-13,8.9919
2020-07-14,9.3109
2020-07-15,9.4391
2020-07-16,9.7938
2020-07-17,9.9277
2020-07-18,9.9277
2020-07-19,9.9277
2020-07-20,9.9305
2020-07-21,9.818
2020-07-22,10.1157
2020-07-23,9.9846
2020-07-24,9.9661
2020-07-25,9.9661
2020-07-26,9.9661
2020-07-27,10.3678
2020-07-28,10.0868
2020-07-29,10.3746
2020-07-30,10.298
2020-07-31,10.3137
2020-08-01,10.3137
2020-08-02,10.3137
2020-08-03,10.6215
2020-08-04,10.4818
2020-08-05,10.5887
2020-08-06,10.5217
2020-08-07,10.63
2020-08-08,10.63
2020-08-09,10.63
2020-08-10,10.8181
2020-08-11,10.7241
2020-08-12,11.0404
2020-08-13,11.0718
2020-08-14,11.0589
2020-08-15,11.0589
2020-08-16,11.0589
2020-08-17,11.3354
2020-08-18,11.3653
2020-08-19,11.4351
2020-08-20,11.5164
2020-08-21,11.8541
2020-08-22,11.8541
2020-08-23,11.8541
2020-08-24,11.7401
2020-08-25,11.6418
2020-08-26,11.4408
2020-08-27,11.2171
2020-08-28,11.1231
2020-08-29,11.1231
2020-08-30,11.1231
2020-08-31,11.0561
2020-09-01,11.3397
2020-09-02,11.2727
2020-09-03,10.9407
2020-09-04,10.6086
2020-09-05,10.6086
2020-09-06,10.6086
2020-09-07,10.6086
2020-09-08,10.5773
2020-09-09,10.8708
2020-09-10,10.8224
2020-09-11,11.0589
2020-09-12,11.0589
2020-09-13,11.0589
2020-09-14,11.2485
2020-09-15,11.1131
2020-09-16,11.4836
2020-09-17,11.334
2020-09-18,11.2442
2020-09-19,11.2442
2020-09-20,11.2442
2020-09-21,11.163
2020-09-22,11.646
2020-09-23,11.0276
2020-09-24,11.1459
2020-09-25,11.1216
2020-09-26,11.1216
2020-09-27,11.1216
2020-09-28,11.5007
2020-09-29,11.4337
2020-09-30,9.8624
2020-10-01,10.0979
2020-10-02,10.1411
2020-10-03,10.1411
2020-10-04,10.1411
2020-10-05,9.871
2020-10-06,9.7983
2020-10-07,9.8784
2020-10-08,10.1189
2020-10-09,10.1657
2020-10-10,10.1657
2020-10-11,10.1657
2020-10-12,10.1978
2020-10-13,10.1361
2020-10-14,10.1879
2020-10-15,10.2557
2020-10-16,10.0424
2020-10-17,10.0424
2020-10-18,10.0424
2020-10-19,9.8821
2020-10-20,9.9721
2020-10-21,9.5517
2020-10-22,9.2409
2020-10-23,9.5455
2020-10-24,9.5455
2020-10-25,9.5455
2020-10-26,9.2718
2020-10-27,9.0572
2020-10-28,9.0301
2020-10-29,8.9253
2020-10-30,8.7748
2020-10-31,8.7748
2020-11-01,8.7748
2020-11-02,9.0671
2020-11-03,9.1016
2020-11-04,9.7539
2020-11-05,9.527
2020-11-06,9.2434
2020-11-07,9.2434
2020-11-08,9.2434
2020-11-09,8.5455
2020-11-10,9.2838
2020-11-11,9.527
2020-11-12,9.3505
2020-11-13,9.5788
2020-11-14,9.5788
2020-11-15,9.5788
2020-11-16,9.6849
2020-11-17,9.6035
2020-11-18,9.7355
2020-11-19,9.8046
2020-11-20,9.8022
2020-11-21,9.8022
2020-11-22,9.8022
2020-11-23,10.0839
2020-11-24,9.7145
2020-11-25,9.9332
2020-11-26,9.9332
2020-11-27,9.9233
2020-11-28,9.9233
2020-11-29,9.9233
2020-11-30,9.7404
2020-12-01,9.4427
2020-12-02,9.0943
2020-12-03,9.4736
2020-12-04,9.3414
2020-12-05,9.3414
2020-12-06,9.3414
2020-12-07,9.654
2020-12-08,9.2871
2020-12-09,9.1734
2020-12-10,9.1808
2020-12-11,9.1734
2020-12-12,9.1734
2020-12-13,9.1734
2020-12-14,9.2339
2020-12-15,9.3019
2020-12-16,9.3303
2020-12-17,9.6132
2020-12-18,9.5836
2020-12-19,9.5836
2020-12-20,9.5836
2020-12-21,9.4946
2020-12-22,9.4711
2020-12-23,9.2828
2020-12-24,9.4188
2020-12-25,9.4188
2020-12-26,9.4188
2020-12-27,9.4188
2020-12-28,9.2396
2020-12-29,9.1889
2020-12-30,9.205
2020-12-31,7.8409
2021-01-01,7.8409
2021-01-02,7.8409
2021-01-03,7.8409
2021-01-04,7.6747
2021-01-05,7.5769
2021-01-06,7.518
2021-01-07,7.8167
2021-01-08,7.6348
2021-01-09,7.6348
2021-01-10,7.6348
2021-01-11,7.7505
2021-01-12,7.7894
2021-01-13,7.8199
2021-01-14,7.8525
2021-01-15,7.8872
2021-01-16,7.8872
2021-01-17,7.8872
2021-01-18,7.8872
2021-01-19,8.0923
2021-01-20,8.492
2021-01-21,8.6455
2021-01-22,8.7654
2021-01-23,8.7654
2021-01-24,8.7654
2021-01-25,8.8979
2021-01-26,8.7519
2021-01-27,8.4247
2021-01-28,8.6492
2021-01-29,8.6492
2021-01-30,8.6492
2021-01-31,8.6492
2021-02-01,8.6796
2021-02-02,8.7143
2021-02-03,8.623
2021-02-04,8.6786
2021-02-05,8.987
2021-02-06,8.987
2021-02-07,8.987
2021-02-08,9.2955
2021-02-09,9.1738
2021-02-10,9.2535
2021-02-11,9.3469
2021-02-12,9.2136
2021-02-13,9.2136
2021-02-14,9.2136
2021-02-15,9.2136
2021-02-16,8.8758
2021-02-17,8.816
2021-02-18,8.8003
2021-02-19,8.902
2021-02-20,8.902
2021-02-21,8.902
2021-02-22,8.7185
2021-02-23,8.7646
2021-02-24,8.9902
2021-02-25,8.4111
2021-02-26,8.6566
2021-02-27,8.6566
2021-02-28,8.6566
2021-03-01,8.7373
2021-03-02,8.8569
2021-03-03,8.5695
2021-03-04,8.4404
2021-03-05,8.8811
2021-03-06,8.8811
2021-03-07,8.8811
2021-03-08,9.0384
2021-03-09,8.9576
2021-03-10,9.2042
2021-03-11,9.3322
2021-03-12,9.0573
2021-03-13,9.0573
2021-03-14,9.0573
2021-03-15,9.3752
2021-03-16,9.3269
2021-03-17,9.7182
2021-03-18,9.2661
2021-03-19,9.3657
2021-03-20,9.3657
2021-03-21,9.3657
2021-03-22,9.456
2021-03-23,9.3458
2021-03-24,9.3584
2021-03-25,9.6196
2021-03-26,10.0183
2021-03-27,10.0183
2021-03-28,10.0183
2021-03-29,9.8106
2021-03-30,9.9543
2021-03-31,8.6911
2021-04-01,8.8652
2021-04-02,8.8652
2021-04-03,8.8652
2021-04-04,8.8652
2021-04-05,9.0087
2021-04-06,9.0755
2021-04-07,8.9663
2021-04-08,8.9031
2021-04-09,9.1251
2021-04-10,9.1251
2021-04-11,9.1251
2021-04-12,9.1089
2021-04-13,9.0538
2021-04-14,9.0259
2021-04-15,9.0457
2021-04-16,9.3453
2021-04-17,9.3453
2021-04-18,9.3453
2021-04-19,9.2867
2021-04-20,8.9446
2021-04-21,9.0683
2021-04-22,9.1386
2021-04-23,9.4328
2021-04-24,9.4328
2021-04-25,9.4328
2021-04-26,9.6297
2021-04-27,9.6449
2021-04-28,9.576
2021-04-29,9.7245
2021-04-30,9.4401
2021-05-01,9.4401
2021-05-02,9.4401
2021-05-03,9.6691
2021-05-04,9.7415
2021-05-05,9.746
2021-05-06,9.7272
2021-05-07,9.9392
2021-05-08,9.9392
2021-05-09,9.9392
2021-05-10,9.991
2021-05-11,9.5573
2021-05-12,8.9088
2021-05-13,9.1431
2021-05-14,9.2612
2021-05-15,9.2612
2021-05-16,9.2612
2021-05-17,9.204
2021-05-18,8.899
2021-05-19,8.8158
2021-05-20,8.8337
2021-05-21,8.746
2021-05-22,8.746
2021-05-23,8.746
2021-05-24,8.797
2021-05-25,8.9848
2021-05-26,9.0823
2021-05-27,9.1977
2021-05-28,9.1718
2021-05-29,9.1718
2021-05-30,9.1718
2021-05-31,9.1718
2021-06-01,9.1503
2021-06-02,8.9634
2021-06-03,8.8176
2021-06-04,8.9294
2021-06-05,8.9294
2021-06-06,8.9294
2021-06-07,8.907
2021-06-08,8.9571
2021-06-09,8.7594
2021-06-10,8.5054
2021-06-11,8.585
2021-06-12,8.585
2021-06-13,8.585
2021-06-14,8.5179
2021-06-15,8.5788
2021-06-16,8.4598
2021-06-17,8.5976
2021-06-18,8.6933
2021-06-19,8.6933
2021-06-20,8.6933
2021-06-21,8.7478
2021-06-22,8.7863
2021-06-23,8.6682
2021-06-24,8.6378
2021-06-25,8.5958
2021-06-26,8.5958
2021-06-27,8.5958
2021-06-28,8.6611
2021-06-29,8.7442
2021-06-30,7.584
2021-07-01,7.7724
2021-07-02,7.7377
2021-07-03,7.7377
2021-07-04,7.7377
2021-07-05,7.7377
2021-07-06,7.625
2021-07-07,7.7863
2021-07-08,7.4852
2021-07-09,7.5223
2021-07-10,7.5223
2021-07-11,7.5223
2021-07-12,7.4806
2021-07-13,7.286
2021-07-14,7.3061
2021-07-15,7.3269
2021-07-16,7.2698
2021-07-17,7.2698
2021-07-18,7.2698
2021-07-19,7.3076
2021-07-20,7.4829
2021-07-21,7.669
2021-07-22,7.4824
2021-07-23,7.7835
2021-07-24,7.7835
2021-07-25,7.7835
2021-07-26,7.7045
2021-07-27,7.752
2021-07-28,7.6101
2021-07-29,7.9338
2021-07-30,7.9277
2021-07-31,7.9277
2021-08-01,7.9277
2021-08-02,8.009
2021-08-03,8.0906
2021-08-04,7.9601
2021-08-05,7.9977
2021-08-06,7.8719
2021-08-07,7.8719
2021-08-08,7.8719
2021-08-09,7.8343
2021-08-10,7.9494
2021-08-11,8.1596
2021-08-12,8.0775
2021-08-13,8.1082
2021-08-14,8.1082
2021-08-15,8.1082
2021-08-16,8.1565
2021-08-17,7.8627
2021-08-18,7.7753
2021-08-19,7.7599
2021-08-20,7.8873
2021-08-21,7.8873
2021-08-22,7.8873
2021-08-23,7.8666
2021-08-24,7.9686
2021-08-25,8.0607
2021-08-26,7.9371
2021-08-27,8.0453
2021-08-28,8.0453
