,ALGT US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,10.4743
2020-01-02,10.564
2020-01-03,10.4516
2020-01-04,10.4516
2020-01-05,10.4516
2020-01-06,10.3387
2020-01-07,10.3431
2020-01-08,10.4609
2020-01-09,10.5234
2020-01-10,10.5024
2020-01-11,10.5024
2020-01-12,10.5024
2020-01-13,10.5038
2020-01-14,10.477
2020-01-15,10.5631
2020-01-16,10.6332
2020-01-17,10.6417
2020-01-18,10.6417
2020-01-19,10.6417
2020-01-20,10.6417
2020-01-21,10.2967
2020-01-22,10.3186
2020-01-23,10.5082
2020-01-24,10.4279
2020-01-25,10.4279
2020-01-26,10.4279
2020-01-27,10.1463
2020-01-28,10.3279
2020-01-29,9.9888
2020-01-30,10.282
2020-01-31,10.2065
2020-02-01,10.2065
2020-02-02,10.2065
2020-02-03,10.1039
2020-02-04,10.3391
2020-02-05,10.3717
2020-02-06,10.1949
2020-02-07,9.9629
2020-02-08,9.9629
2020-02-09,9.9629
2020-02-10,9.8433
2020-02-11,10.0271
2020-02-12,10.1325
2020-02-13,10.1646
2020-02-14,10.091
2020-02-15,10.091
2020-02-16,10.091
2020-02-17,10.091
2020-02-18,10.0945
2020-02-19,10.0651
2020-02-20,10.0097
2020-02-21,9.9754
2020-02-22,9.9754
2020-02-23,9.9754
2020-02-24,9.6121
2020-02-25,9.3153
2020-02-26,9.1662
2020-02-27,8.5517
2020-02-28,8.7865
2020-02-29,8.7865
2020-03-01,8.7865
2020-03-02,8.8713
2020-03-03,8.6246
2020-03-04,8.8197
2020-03-05,8.2465
2020-03-06,8.1684
2020-03-07,8.1684
2020-03-08,8.1684
2020-03-09,8.0177
2020-03-10,8.4035
2020-03-11,8.0882
2020-03-12,7.3068
2020-03-13,7.7894
2020-03-14,7.7894
2020-03-15,7.7894
2020-03-16,6.6551
2020-03-17,7.3508
2020-03-18,6.0352
2020-03-19,5.9589
2020-03-20,5.7939
2020-03-21,5.7939
2020-03-22,5.7939
2020-03-23,5.9235
2020-03-24,6.8641
2020-03-25,6.8578
2020-03-26,7.0673
2020-03-27,6.7847
2020-03-28,6.7847
2020-03-29,6.7847
2020-03-30,6.5192
2020-03-31,15.7755
2020-04-01,14.666
2020-04-02,14.477
2020-04-03,14.4612
2020-04-04,14.4612
2020-04-05,14.4612
2020-04-06,15.0429
2020-04-07,15.7576
2020-04-08,15.5032
2020-04-09,15.9371
2020-04-10,15.9371
2020-04-11,15.9371
2020-04-12,15.9371
2020-04-13,15.1506
2020-04-14,15.4884
2020-04-15,15.3448
2020-04-16,14.799
2020-04-17,15.0566
2020-04-18,15.0566
2020-04-19,15.0566
2020-04-20,14.7399
2020-04-21,14.817
2020-04-22,14.6438
2020-04-23,14.534
2020-04-24,14.4855
2020-04-25,14.4855
2020-04-26,14.4855
2020-04-27,14.4844
2020-04-28,15.2656
2020-04-29,15.9191
2020-04-30,15.425
2020-05-01,14.9341
2020-05-02,14.9341
2020-05-03,14.9341
2020-05-04,14.534
2020-05-05,14.42
2020-05-06,14.1382
2020-05-07,14.1318
2020-05-08,15.1009
2020-05-09,15.1009
2020-05-10,15.1009
2020-05-11,14.931
2020-05-12,14.8676
2020-05-13,15.3374
2020-05-14,14.9933
2020-05-15,15.1115
2020-05-16,15.1115
2020-05-17,15.1115
2020-05-18,16.1714
2020-05-19,15.8917
2020-05-20,16.2812
2020-05-21,16.6032
2020-05-22,16.2812
2020-05-23,16.2812
2020-05-24,16.2812
2020-05-25,16.2812
2020-05-26,17.7218
2020-05-27,18.5858
2020-05-28,18.2076
2020-05-29,18.2713
2020-05-30,18.2713
2020-05-31,18.2713
2020-06-01,18.5231
2020-06-02,18.9086
2020-06-03,19.8499
2020-06-04,20.2866
2020-06-05,20.1048
2020-06-06,20.1048
2020-06-07,20.1048
2020-06-08,21.1129
2020-06-09,20.718
2020-06-10,19.8781
2020-06-11,18.3152
2020-06-12,18.9741
2020-06-13,18.9741
2020-06-14,18.9741
2020-06-15,19.1051
2020-06-16,19.2203
2020-06-17,19.0768
2020-06-18,19.082
2020-06-19,18.5919
2020-06-20,18.5919
2020-06-21,18.5919
2020-06-22,18.6924
2020-06-23,19.1323
2020-06-24,18.44
2020-06-25,18.3415
2020-06-26,18.3154
2020-06-27,18.3154
2020-06-28,18.3154
2020-06-29,18.8317
2020-06-30,18.8317
2020-07-01,18.8317
2020-07-02,18.8317
2020-07-03,18.8317
2020-07-04,18.8317
2020-07-05,18.8317
2020-07-06,18.8317
2020-07-07,18.8317
2020-07-08,18.8317
2020-07-09,18.8317
2020-07-10,18.8317
2020-07-11,18.8317
2020-07-12,18.8317
2020-07-13,18.8317
2020-07-14,18.8317
2020-07-15,18.8317
2020-07-16,18.8317
2020-07-17,18.8317
2020-07-18,18.8317
2020-07-19,18.8317
2020-07-20,18.8317
2020-07-21,18.8317
2020-07-22,18.8317
2020-07-23,18.8317
2020-07-24,18.8317
2020-07-25,18.8317
2020-07-26,18.8317
2020-07-27,18.8317
2020-07-28,18.8317
2020-07-29,18.8317
2020-07-30,18.8317
2020-07-31,18.8317
2020-08-01,18.8317
2020-08-02,18.8317
2020-08-03,18.8317
2020-08-04,18.8317
2020-08-05,18.8317
2020-08-06,18.8317
2020-08-07,18.8317
2020-08-08,18.8317
2020-08-09,18.8317
2020-08-10,18.8317
2020-08-11,18.8317
2020-08-12,18.8317
2020-08-13,18.8317
2020-08-14,18.8317
2020-08-15,18.8317
2020-08-16,18.8317
2020-08-17,18.8317
2020-08-18,18.8317
2020-08-19,18.8317
2020-08-20,18.8317
2020-08-21,18.8317
2020-08-22,18.8317
2020-08-23,18.8317
2020-08-24,18.8317
2020-08-25,18.8317
2020-08-26,18.8317
2020-08-27,18.8317
2020-08-28,18.8317
2020-08-29,18.8317
2020-08-30,18.8317
2020-08-31,18.8317
2020-09-01,18.8317
2020-09-02,18.8317
2020-09-03,18.8317
2020-09-04,18.8317
2020-09-05,18.8317
2020-09-06,18.8317
2020-09-07,18.8317
2020-09-08,18.8317
2020-09-09,18.8317
2020-09-10,18.8317
2020-09-11,18.8317
2020-09-12,18.8317
2020-09-13,18.8317
2020-09-14,18.8317
2020-09-15,18.8317
2020-09-16,18.8317
