,ORCL US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.2786
2020-01-02,14.5044
2020-01-03,14.4602
2020-01-04,14.4602
2020-01-05,14.4602
2020-01-06,14.5253
2020-01-07,14.5533
2020-01-08,14.5463
2020-01-09,14.6045
2020-01-10,14.6208
2020-01-11,14.6208
2020-01-12,14.6208
2020-01-13,14.651
2020-01-14,14.7208
2020-01-15,14.6929
2020-01-16,14.8489
2020-01-17,14.779
2020-01-18,14.779
2020-01-19,14.779
2020-01-20,14.779
2020-01-21,14.8
2020-01-22,14.6836
2020-01-23,14.7441
2020-01-24,14.5323
2020-01-25,14.5323
2020-01-26,14.5323
2020-01-27,14.2111
2020-01-28,14.3903
2020-01-29,14.3298
2020-01-30,14.3554
2020-01-31,14.1552
2020-02-01,14.1552
2020-02-02,14.1552
2020-02-03,14.3042
2020-02-04,14.5253
2020-02-05,14.6883
2020-02-06,14.6813
2020-02-07,14.6836
2020-02-08,14.6836
2020-02-09,14.6836
2020-02-10,14.7465
2020-02-11,14.7837
2020-02-12,14.9187
2020-02-13,14.8209
2020-02-14,14.8582
2020-02-15,14.8582
2020-02-16,14.8582
2020-02-17,14.8582
2020-02-18,14.8535
2020-02-19,14.8512
2020-02-20,14.8675
2020-02-21,14.6743
2020-02-22,14.6743
2020-02-23,14.6743
2020-02-24,14.2018
2020-02-25,13.8084
2020-02-26,14.0621
2020-02-27,13.7665
2020-02-28,13.4435
2020-02-29,13.4435
2020-03-01,13.4435
2020-03-02,13.7756
2020-03-03,13.3028
2020-03-04,13.6926
2020-03-05,13.1068
2020-03-06,12.9615
2020-03-07,12.9615
2020-03-08,12.9615
2020-03-09,12.6479
2020-03-10,13.2405
2020-03-11,12.3504
2020-03-12,11.2157
2020-03-13,12.9043
2020-03-14,12.9043
2020-03-15,12.9043
2020-03-16,11.7231
2020-03-17,12.6617
2020-03-18,12.7547
2020-03-19,12.2559
2020-03-20,12.3874
2020-03-21,12.3874
2020-03-22,12.3874
2020-03-23,12.0564
2020-03-24,12.8839
2020-03-25,12.4531
2020-03-26,13.4825
2020-03-27,13.3351
2020-03-28,13.3351
2020-03-29,13.3351
2020-03-30,13.4553
2020-03-31,12.995
2020-04-01,13.0812
2020-04-02,13.3283
2020-04-03,13.2376
2020-04-04,13.2376
2020-04-05,13.2376
2020-04-06,13.7115
2020-04-07,13.546
2020-04-08,13.8566
2020-04-09,14.0947
2020-04-10,14.0947
2020-04-11,14.0947
2020-04-12,14.0947
2020-04-13,14.0471
2020-04-14,14.2806
2020-04-15,14.0901
2020-04-16,14.2126
2020-04-17,14.4212
2020-04-18,14.4212
2020-04-19,14.4212
2020-04-20,14.2602
2020-04-21,13.6707
2020-04-22,13.8884
2020-04-23,13.8203
2020-04-24,14.0561
2020-04-25,14.0561
2020-04-26,14.0561
2020-04-27,14.1378
2020-04-28,14.0992
2020-04-29,14.2534
2020-04-30,14.0471
2020-05-01,13.7795
2020-05-02,13.7795
2020-05-03,13.7795
2020-05-04,13.7705
2020-05-05,13.8385
2020-05-06,13.7954
2020-05-07,13.9632
2020-05-08,14.1831
2020-05-09,14.1831
2020-05-10,14.1831
2020-05-11,14.174
2020-05-12,13.8884
2020-05-13,13.7478
2020-05-14,14.0335
2020-05-15,14.0357
2020-05-16,14.0357
2020-05-17,14.0357
2020-05-18,14.0879
2020-05-19,13.9042
2020-05-20,14.0312
2020-05-21,13.877
2020-05-22,13.9677
2020-05-23,13.9677
2020-05-24,13.9677
