,WSM US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.1431
2020-01-02,14.0228
2020-01-03,13.9431
2020-01-04,13.9431
2020-01-05,13.9431
2020-01-06,13.9837
2020-01-07,14.1912
2020-01-08,14.2649
2020-01-09,14.3927
2020-01-10,14.2829
2020-01-11,14.2829
2020-01-12,14.2829
2020-01-13,14.4559
2020-01-14,14.5295
2020-01-15,14.4634
2020-01-16,14.6062
2020-01-17,14.6167
2020-01-18,14.6167
2020-01-19,14.6167
2020-01-20,14.6167
2020-01-21,14.5521
2020-01-22,14.4859
2020-01-23,14.4483
2020-01-24,14.3762
2020-01-25,14.3762
2020-01-26,14.3762
2020-01-27,14.1296
2020-01-28,14.3356
2020-01-29,14.1747
2020-01-30,14.0394
2020-01-31,12.785
2020-02-01,12.785
2020-02-02,12.785
2020-02-03,12.8015
2020-02-04,12.9616
2020-02-05,13.406
2020-02-06,13.0753
2020-02-07,12.9317
2020-02-08,12.9317
2020-02-09,12.9317
2020-02-10,12.999
2020-02-11,13.1905
2020-02-12,13.4434
2020-02-13,13.3701
2020-02-14,13.3746
2020-02-15,13.3746
2020-02-16,13.3746
2020-02-17,13.3746
2020-02-18,13.391
2020-02-19,13.2339
2020-02-20,13.3925
2020-02-21,13.3222
2020-02-22,13.3222
2020-02-23,13.3222
2020-02-24,12.5845
2020-02-25,12.2553
2020-02-26,12.0159
2020-02-27,11.7855
2020-02-28,11.6344
2020-02-29,11.6344
2020-03-01,11.6344
2020-03-02,11.9651
2020-03-03,11.6448
2020-03-04,12.0474
2020-03-05,11.4443
2020-03-06,11.2992
2020-03-07,11.2992
2020-03-08,11.2992
2020-03-09,10.379
2020-03-10,10.4732
2020-03-11,9.9271
2020-03-12,8.6761
2020-03-13,9.0951
2020-03-14,9.0951
2020-03-15,9.0951
2020-03-16,7.6227
2020-03-17,7.5434
2020-03-18,6.8866
2020-03-19,7.9993
2020-03-20,7.7177
2020-03-21,7.7177
2020-03-22,7.7177
2020-03-23,7.8503
2020-03-24,8.6296
2020-03-25,8.8158
2020-03-26,8.8441
2020-03-27,8.569
2020-03-28,8.569
2020-03-29,8.569
2020-03-30,8.7658
2020-03-31,8.639
2020-04-01,7.9054
2020-04-02,7.9725
2020-04-03,7.9934
2020-04-04,7.9934
2020-04-05,7.9934
2020-04-06,9.2101
2020-04-07,9.0282
2020-04-08,9.4055
2020-04-09,9.9154
2020-04-10,9.9154
2020-04-11,9.9154
2020-04-12,9.9154
2020-04-13,9.9557
2020-04-14,10.2673
2020-04-15,9.6426
2020-04-16,9.5456
2020-04-17,10.0005
2020-04-18,10.0005
2020-04-19,10.0005
2020-04-20,9.8708
2020-04-21,10.1034
2020-04-22,10.1959
2020-04-23,10.4792
2020-04-24,10.9461
2020-04-25,10.9461
2020-04-26,10.9461
2020-04-27,11.471
2020-04-28,11.565
2020-04-29,12.0497
2020-04-30,11.5217
2020-05-01,13.4264
2020-05-02,13.4264
2020-05-03,13.4264
2020-05-04,13.8402
2020-05-05,14.261
2020-05-06,14.4626
2020-05-07,14.5783
2020-05-08,14.8396
2020-05-09,14.8396
2020-05-10,14.8396
2020-05-11,14.8361
2020-05-12,14.7659
2020-05-13,14.2172
2020-05-14,14.2873
2020-05-15,14.5257
