,BLKB US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,130.6133
2020-01-02,132.469
2020-01-03,129.3905
2020-01-04,129.3905
2020-01-05,129.3905
2020-01-06,130.3256
2020-01-07,128.0814
2020-01-08,128.4699
2020-01-09,130.2392
2020-01-10,129.333
2020-01-11,129.333
2020-01-12,129.333
2020-01-13,131.9871
2020-01-14,131.2031
2020-01-15,131.1311
2020-01-16,134.1952
2020-01-17,133.7493
2020-01-18,133.7493
2020-01-19,133.7493
2020-01-20,133.7493
2020-01-21,133.9363
2020-01-22,134.3103
2020-01-23,132.656
2020-01-24,131.1311
2020-01-25,131.1311
2020-01-26,131.1311
2020-01-27,132.7135
2020-01-28,132.5265
2020-01-29,131.088
2020-01-30,131.2894
2020-01-31,128.7863
2020-02-01,128.7863
2020-02-02,128.7863
2020-02-03,130.455
2020-02-04,130.1961
2020-02-05,125.4777
2020-02-06,129.0884
2020-02-07,128.6856
2020-02-08,128.6856
2020-02-09,128.6856
2020-02-10,127.9376
2020-02-11,133.3069
2020-02-12,131.338
2020-02-13,134.1261
2020-02-14,133.0051
2020-02-15,133.0051
2020-02-16,133.0051
2020-02-17,133.0051
2020-02-18,129.9583
2020-02-19,128.3056
2020-02-20,126.5581
2020-02-21,124.7328
2020-02-22,124.7328
2020-02-23,124.7328
2020-02-24,123.3099
2020-02-25,121.5996
2020-02-26,120.8522
2020-02-27,115.5057
2020-02-28,113.5511
2020-02-29,113.5511
2020-03-01,113.5511
2020-03-02,116.6124
2020-03-03,113.2205
2020-03-04,115.477
2020-03-05,113.4936
2020-03-06,111.5677
2020-03-07,111.5677
2020-03-08,111.5677
2020-03-09,104.7408
2020-03-10,108.6501
2020-03-11,104.0365
2020-03-12,94.6226
2020-03-13,96.4766
2020-03-14,96.4766
2020-03-15,96.4766
2020-03-16,80.092
2020-03-17,80.8538
2020-03-18,74.0125
2020-03-19,86.6315
2020-03-20,90.239
2020-03-21,90.239
2020-03-22,90.239
2020-03-23,86.5453
2020-03-24,91.3025
2020-03-25,87.7525
2020-03-26,97.6695
2020-03-27,92.5386
2020-03-28,92.5386
2020-03-29,92.5386
2020-03-30,94.1483
2020-03-31,100.2492
2020-04-01,95.524
2020-04-02,96.628
2020-04-03,90.4749
2020-04-04,90.4749
2020-04-05,90.4749
2020-04-06,91.6378
2020-04-07,88.5318
2020-04-08,92.0352
2020-04-09,98.365
2020-04-10,98.365
2020-04-11,98.365
2020-04-12,98.365
2020-04-13,96.0981
2020-04-14,96.1569
2020-04-15,92.0941
2020-04-16,90.4455
2020-04-17,92.8154
2020-04-18,92.8154
2020-04-19,92.8154
2020-04-20,91.3434
2020-04-21,91.5926
2020-04-22,91.3102
2020-04-23,90.1805
2020-04-24,90.7453
2020-04-25,90.7453
2020-04-26,90.7453
2020-04-27,96.4828
2020-04-28,98.9204
2020-04-29,102.3242
2020-04-30,100.6149
2020-05-01,97.6719
2020-05-02,97.6719
2020-05-03,97.6719
2020-05-04,97.5975
2020-05-05,100.8527
2020-05-06,100.8824
2020-05-07,98.5934
2020-05-08,98.4894
2020-05-09,98.4894
2020-05-10,98.4894
2020-05-11,96.0071
2020-05-12,93.6363
2020-05-13,90.9683
2020-05-14,91.4142
2020-05-15,94.6248
