,K US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,22.7786
2020-01-02,22.4121
2020-01-03,22.4989
2020-01-04,22.4989
2020-01-05,22.4989
2020-01-06,22.4845
2020-01-07,22.6942
2020-01-08,22.7135
2020-01-09,22.7737
2020-01-10,22.8051
2020-01-11,22.8051
2020-01-12,22.8051
2020-01-13,22.9112
2020-01-14,22.9811
2020-01-15,23.0462
2020-01-16,23.1595
2020-01-17,23.1932
2020-01-18,23.1932
2020-01-19,23.1932
2020-01-20,23.1932
2020-01-21,23.1257
2020-01-22,23.0438
2020-01-23,23.0871
2020-01-24,22.822
2020-01-25,22.822
2020-01-26,22.822
2020-01-27,22.7472
2020-01-28,22.7352
2020-01-29,22.6026
2020-01-30,22.7111
2020-01-31,22.5495
2020-02-01,22.5495
2020-02-02,22.5495
2020-02-03,22.7014
2020-02-04,22.6629
2020-02-05,22.8268
2020-02-06,21.4044
2020-02-07,21.5756
2020-02-08,21.5756
2020-02-09,21.5756
2020-02-10,21.8577
2020-02-11,22.0819
2020-02-12,22.0602
2020-02-13,22.2916
2020-02-14,22.429
2020-02-15,22.429
2020-02-16,22.429
2020-02-17,22.429
2020-02-18,22.294
2020-02-19,22.0891
2020-02-20,21.9372
2020-02-21,21.9011
2020-02-22,21.9011
2020-02-23,21.9011
2020-02-24,21.6552
2020-02-25,21.4306
2020-02-26,21.2807
2020-02-27,20.8576
2020-02-28,20.7247
2020-02-29,20.7247
2020-03-01,20.7247
2020-03-02,21.3701
2020-03-03,21.2517
2020-03-04,21.711
2020-03-05,21.4959
2020-03-06,21.3822
2020-03-07,21.3822
2020-03-08,21.3822
2020-03-09,21.1937
2020-03-10,21.3295
2020-03-11,21.039
2020-03-12,20.1917
2020-03-13,21.5158
2020-03-14,21.5158
2020-03-15,21.5158
2020-03-16,21.2496
2020-03-17,22.8617
2020-03-18,22.7988
2020-03-19,20.976
2020-03-20,19.6156
2020-03-21,19.6156
2020-03-22,19.6156
2020-03-23,19.071
2020-03-24,19.727
2020-03-25,19.7028
2020-03-26,20.3297
2020-03-27,19.5554
2020-03-28,19.5554
2020-03-29,19.5554
2020-03-30,19.8888
2020-03-31,19.6758
2020-04-01,19.9305
2020-04-02,19.9838
2020-04-03,20.5071
2020-04-04,20.5071
2020-04-05,20.5071
2020-04-06,20.4909
2020-04-07,20.2686
2020-04-08,20.0162
2020-04-09,20.3126
2020-04-10,20.3126
2020-04-11,20.3126
2020-04-12,20.3126
2020-04-13,20.3265
2020-04-14,20.5164
2020-04-15,20.3612
2020-04-16,20.6345
2020-04-17,20.8406
2020-04-18,20.8406
2020-04-19,20.8406
2020-04-20,21.1254
2020-04-21,20.9564
2020-04-22,20.7619
2020-04-23,20.7202
2020-04-24,20.6276
2020-04-25,20.6276
2020-04-26,20.6276
2020-04-27,20.8591
2020-04-28,21.012
2020-04-29,20.8128
2020-04-30,20.9518
2020-05-01,20.8111
2020-05-02,20.8111
2020-05-03,20.8111
2020-05-04,20.5354
2020-05-05,20.4357
2020-05-06,20.6327
2020-05-07,20.3083
2020-05-08,20.5377
2020-05-09,20.5377
2020-05-10,20.5377
2020-05-11,20.4404
2020-05-12,20.5029
2020-05-13,20.6512
2020-05-14,20.5307
2020-05-15,20.628
2020-05-16,20.628
2020-05-17,20.628
2020-05-18,20.5539
2020-05-19,20.2481
2020-05-20,20.2597
2020-05-21,20.0025
2020-05-22,20.1693
2020-05-23,20.1693
2020-05-24,20.1693
2020-05-25,20.1693
2020-05-26,20.1762
2020-05-27,20.7532
2020-05-28,20.9408
2020-05-29,20.9153
2020-05-30,20.9153
2020-05-31,20.9153
2020-06-01,21.1007
2020-06-02,21.2629
2020-06-03,20.9431
2020-06-04,20.7763
2020-06-05,20.9872
2020-06-06,20.9872
2020-06-07,20.9872
2020-06-08,21.3463
2020-06-09,21.1215
2020-06-10,21.1957
2020-06-11,20.5585
2020-06-12,20.5168
2020-06-13,20.5168
2020-06-14,20.5168
2020-06-15,20.957
2020-06-16,21.2328
2020-06-17,21.3254
2020-06-18,21.4807
2020-06-19,21.4876
2020-06-20,21.4876
2020-06-21,21.4876
2020-06-22,21.2374
2020-06-23,21.1493
2020-06-24,20.8157
2020-06-25,20.9617
2020-06-26,19.0585
2020-06-27,19.0585
2020-06-28,19.0585
2020-06-29,19.3218
2020-06-30,19.5332
2020-07-01,19.5052
2020-07-02,19.5872
2020-07-03,19.5872
2020-07-04,19.5872
2020-07-05,19.5872
2020-07-06,19.5634
2020-07-07,19.6519
2020-07-08,19.6519
2020-07-09,19.4987
2020-07-10,19.7771
2020-07-11,19.7771
2020-07-12,19.7771
2020-07-13,19.7253
2020-07-14,20.0382
2020-07-15,19.9713
2020-07-16,20.0037
2020-07-17,20.0878
2020-07-18,20.0878
2020-07-19,20.0878
2020-07-20,19.8267
2020-07-21,19.8807
2020-07-22,19.8353
2020-07-23,20.0403
2020-07-24,20.0986
2020-07-25,20.0986
2020-07-26,20.0986
2020-07-27,20.377
2020-07-28,20.5798
2020-07-29,20.5863
2020-07-30,20.5108
2020-07-31,20.1763
2020-08-01,20.1763
2020-08-02,20.1763
2020-08-03,20.2541
2020-08-04,20.3318
2020-08-05,20.2346
2020-08-06,20.2281
2020-08-07,20.2908
2020-08-08,20.2908
2020-08-09,20.2908
2020-08-10,20.1828
2020-08-11,19.9906
2020-08-12,20.2389
2020-08-13,20.1828
2020-08-14,20.2001
2020-08-15,20.2001
2020-08-16,20.2001
2020-08-17,20.3253
2020-08-18,20.4182
2020-08-19,20.1461
2020-08-20,20.1223
2020-08-21,20.1547
2020-08-22,20.1547
2020-08-23,20.1547
2020-08-24,20.3037
2020-08-25,20.2843
2020-08-26,20.4765
2020-08-27,20.4938
2020-08-28,20.511
2020-08-29,20.511
2020-08-30,20.511
2020-08-31,20.5909
2020-09-01,20.2303
2020-09-02,20.4851
2020-09-03,20.3815
2020-09-04,20.226
2020-09-05,20.226
2020-09-06,20.226
2020-09-07,20.226
2020-09-08,19.6041
2020-09-09,19.6451
2020-09-10,19.5306
2020-09-11,19.4097
2020-09-12,19.4097
2020-09-13,19.4097
2020-09-14,19.4054
2020-09-15,19.4508
2020-09-16,19.0836
2020-09-17,18.9929
2020-09-18,18.8655
2020-09-19,18.8655
2020-09-20,18.8655
2020-09-21,18.8224
2020-09-22,18.8116
2020-09-23,18.479
2020-09-24,18.8072
2020-09-25,17.1488
2020-09-26,17.1488
2020-09-27,17.1488
2020-09-28,17.2081
2020-09-29,17.2199
2020-09-30,17.4471
2020-10-01,17.4056
2020-10-02,17.4708
2020-10-03,17.4708
2020-10-04,17.4708
2020-10-05,17.617
2020-10-06,17.5597
2020-10-07,17.5004
2020-10-08,17.5715
2020-10-09,17.696
2020-10-10,17.696
2020-10-11,17.696
2020-10-12,17.7869
2020-10-13,17.8876
