,DE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,10.3648
2020-01-02,10.5679
2020-01-03,10.494
2020-01-04,10.494
2020-01-05,10.494
2020-01-06,10.565
2020-01-07,10.3919
2020-01-08,10.5137
2020-01-09,10.6096
2020-01-10,10.4222
2020-01-11,10.4222
2020-01-12,10.4222
2020-01-13,10.4965
2020-01-14,10.4358
2020-01-15,10.3933
2020-01-16,10.5379
2020-01-17,10.5793
2020-01-18,10.5793
2020-01-19,10.5793
2020-01-20,10.5793
2020-01-21,10.3729
2020-01-22,10.2936
2020-01-23,10.3446
2020-01-24,10.2346
2020-01-25,10.2346
2020-01-26,10.2346
2020-01-27,9.8469
2020-01-28,9.8299
2020-01-29,9.6701
2020-01-30,9.7239
2020-01-31,9.8785
2020-02-01,9.8785
2020-02-02,9.8785
2020-02-03,9.8617
2020-02-04,10.2177
2020-02-05,10.445
2020-02-06,10.4746
2020-02-07,10.3928
2020-02-08,10.3928
2020-02-09,10.3928
2020-02-10,10.4386
2020-02-11,10.5558
2020-02-12,10.6468
2020-02-13,10.5848
2020-02-14,10.4288
2020-02-15,10.4288
2020-02-16,10.4288
2020-02-17,10.4288
2020-02-18,10.3261
2020-02-19,10.2467
2020-02-20,10.2989
2020-02-21,10.9715
2020-02-22,10.9715
2020-02-23,10.9715
2020-02-24,10.6485
2020-02-25,10.3464
2020-02-26,10.3621
2020-02-27,9.9602
2020-02-28,9.7225
2020-02-29,9.7225
2020-03-01,9.7225
2020-03-02,10.1523
2020-03-03,9.7976
2020-03-04,10.1032
2020-03-05,9.8721
2020-03-06,10.1592
2020-03-07,10.1592
2020-03-08,10.1592
2020-03-09,9.3481
2020-03-10,9.6364
2020-03-11,9.1101
2020-03-12,8.2153
2020-03-13,8.7104
2020-03-14,8.7104
2020-03-15,8.7104
2020-03-16,7.618
2020-03-17,8.0027
2020-03-18,7.2806
2020-03-19,7.5955
2020-03-20,7.1316
2020-03-21,7.1316
2020-03-22,7.1316
2020-03-23,7.1039
2020-03-24,7.9617
2020-03-25,8.1056
2020-03-26,8.7179
2020-03-27,8.488
2020-03-28,8.488
2020-03-29,8.488
2020-03-30,8.8415
2020-03-31,8.6642
2020-04-01,8.4048
2020-04-02,8.7346
2020-04-03,8.5117
2020-04-04,8.5117
2020-04-05,8.5117
2020-04-06,8.9721
2020-04-07,8.9334
2020-04-08,9.1615
2020-04-09,9.1026
2020-04-10,9.1026
2020-04-11,9.1026
2020-04-12,9.1026
2020-04-13,8.7589
2020-04-14,8.6624
2020-04-15,8.4995
2020-04-16,8.1899
2020-04-17,8.6815
2020-04-18,8.6815
2020-04-19,8.6815
2020-04-20,8.6145
2020-04-21,8.4273
2020-04-22,8.5515
2020-04-23,8.6035
2020-04-24,8.6913
2020-04-25,8.6913
2020-04-26,8.6913
2020-04-27,8.7531
2020-04-28,8.8606
2020-04-29,9.1806
2020-04-30,9.0628
2020-05-01,9.693
2020-05-02,9.693
2020-05-03,9.693
2020-05-04,9.3552
2020-05-05,9.4974
2020-05-06,9.3031
2020-05-07,9.5521
2020-05-08,9.6164
2020-05-09,9.6164
2020-05-10,9.6164
2020-05-11,9.4807
2020-05-12,9.1693
2020-05-13,8.8972
2020-05-14,8.9602
2020-05-15,8.9094
2020-05-16,8.9094
2020-05-17,8.9094
2020-05-18,9.6743
2020-05-19,9.5617
2020-05-20,9.958
2020-05-21,9.9902
2020-05-22,9.8551
2020-05-23,9.8551
2020-05-24,9.8551
2020-05-25,9.8551
2020-05-26,10.326
2020-05-27,10.6689
2020-05-28,10.6321
2020-05-29,10.5653
2020-05-30,10.5653
2020-05-31,10.5653
2020-06-01,10.3741
2020-06-02,10.6186
2020-06-03,10.9652
2020-06-04,11.1442
2020-06-05,11.5023
2020-06-06,11.5023
2020-06-07,11.5023
2020-06-08,11.6364
2020-06-09,11.3797
2020-06-10,11.1352
2020-06-11,10.4992
2020-06-12,10.7482
2020-06-13,10.7482
2020-06-14,10.7482
2020-06-15,10.7803
2020-06-16,10.962
2020-06-17,10.7829
2020-06-18,10.7418
2020-06-19,10.7418
2020-06-20,10.7418
2020-06-21,10.7418
2020-06-22,10.7219
2020-06-23,10.6834
2020-06-24,10.4607
2020-06-25,10.7149
2020-06-26,10.3677
2020-06-27,10.3677
2020-06-28,10.3677
2020-06-29,10.6674
2020-06-30,10.8882
2020-07-01,10.8689
2020-07-02,10.9363
2020-07-03,10.9363
2020-07-04,10.9363
2020-07-05,10.9363
2020-07-06,11.0852
2020-07-07,10.9876
2020-07-08,10.9671
2020-07-09,10.9202
2020-07-10,11.0127
2020-07-11,11.0127
2020-07-12,11.0127
2020-07-13,11.3168
2020-07-14,11.6846
2020-07-15,11.8662
2020-07-16,11.9323
2020-07-17,12.1306
2020-07-18,12.1306
2020-07-19,12.1306
2020-07-20,11.9573
2020-07-21,12.0754
2020-07-22,12.0651
2020-07-23,12.1447
2020-07-24,12.0562
2020-07-25,12.0562
2020-07-26,12.0562
2020-07-27,12.0979
2020-07-28,12.0844
2020-07-29,12.3706
2020-07-30,12.2288
2020-07-31,11.8881
2020-08-01,11.8881
2020-08-02,11.8881
2020-08-03,11.9709
2020-08-04,12.0019
2020-08-05,12.2997
2020-08-06,12.201
2020-08-07,12.3427
2020-08-08,12.3427
2020-08-09,12.3427
2020-08-10,12.748
2020-08-11,12.9573
2020-08-12,12.8997
2020-08-13,12.7221
2020-08-14,12.8251
2020-08-15,12.8251
2020-08-16,12.8251
2020-08-17,12.9427
2020-08-18,12.8883
2020-08-19,12.8795
2020-08-20,12.8232
2020-08-21,13.3543
2020-08-22,13.3543
2020-08-23,13.3543
2020-08-24,13.7274
2020-08-25,13.74
2020-08-26,14.0821
2020-08-27,14.0294
2020-08-28,14.0338
2020-08-29,14.0338
2020-08-30,14.0338
2020-08-31,14.044
2020-09-01,14.5272
2020-09-02,14.4905
2020-09-03,14.0915
2020-09-04,14.125
2020-09-05,14.125
2020-09-06,14.125
2020-09-07,14.125
2020-09-08,14.0554
2020-09-09,14.3898
2020-09-10,14.3638
2020-09-11,14.4176
2020-09-12,14.4176
2020-09-13,14.4176
2020-09-14,14.5677
2020-09-15,14.4056
2020-09-16,14.3822
2020-09-17,14.6697
2020-09-18,14.7983
2020-09-19,14.7983
2020-09-20,14.7983
2020-09-21,14.3068
2020-09-22,14.5202
2020-09-23,14.3283
2020-09-24,14.4531
2020-09-25,14.626
2020-09-26,14.626
2020-09-27,14.626
2020-09-28,14.7938
2020-09-29,14.6849
2020-09-30,14.7767
2020-10-01,14.6127
2020-10-02,14.9769
2020-10-03,14.9769
2020-10-04,14.9769
2020-10-05,15.1143
2020-10-06,15.0611
2020-10-07,15.3429
2020-10-08,15.5754
2020-10-09,15.6115
2020-10-10,15.6115
2020-10-11,15.6115
2020-10-12,15.7198
2020-10-13,15.7641
2020-10-14,15.8433
2020-10-15,15.8287
2020-10-16,15.944
2020-10-17,15.944
2020-10-18,15.944
2020-10-19,15.8243
2020-10-20,15.8686
2020-10-21,15.7122
2020-10-22,15.7426
2020-10-23,15.9104
2020-10-24,15.9104
2020-10-25,15.9104
2020-10-26,15.576
2020-10-27,15.2125
2020-10-28,14.8869
2020-10-29,15.1814
2020-10-30,14.6233
2020-10-31,14.6233
2020-11-01,14.6233
2020-11-02,14.9767
2020-11-03,15.4808
2020-11-04,15.0743
2020-11-05,15.8506
2020-11-06,15.9495
2020-11-07,15.9495
2020-11-08,15.9495
2020-11-09,16.0245
2020-11-10,16.3358
2020-11-11,16.0538
2020-11-12,15.972
2020-11-13,16.2027
2020-11-14,16.2027
2020-11-15,16.2027
2020-11-16,16.6488
2020-11-17,16.5945
2020-11-18,16.5408
2020-11-19,16.4346
2020-11-20,16.6159
2020-11-21,16.6159
2020-11-22,16.6159
2020-11-23,16.7715
2020-11-24,16.7959
2020-11-25,16.4859
2020-11-26,16.4859
2020-11-27,16.8227
2020-11-28,16.8227
2020-11-29,16.8227
2020-11-30,16.8026
2020-12-01,16.4065
2020-12-02,16.6427
2020-12-03,16.257
2020-12-04,16.3004
2020-12-05,16.3004
2020-12-06,16.3004
2020-12-07,16.2161
2020-12-08,16.2521
2020-12-09,16.3882
2020-12-10,16.304
2020-12-11,16.4456
2020-12-12,16.4456
2020-12-13,16.4456
2020-12-14,16.2595
2020-12-15,16.8252
2020-12-16,16.7721
2020-12-17,16.9795
2020-12-18,17.356
2020-12-19,17.356
2020-12-20,17.356
2020-12-21,17.176
2020-12-22,17.2681
2020-12-23,17.1876
2020-12-24,17.2651
2020-12-25,17.2651
2020-12-26,17.2651
2020-12-27,17.2651
2020-12-28,17.1607
2020-12-29,17.0289
2020-12-30,17.0784
2020-12-31,17.2553
2021-01-01,17.2553
2021-01-02,17.2553
2021-01-03,17.2553
2021-01-04,17.1693
2021-01-05,17.5745
2021-01-06,18.5558
2021-01-07,19.1275
2021-01-08,18.8331
2021-01-09,18.8331
2021-01-10,18.8331
2021-01-11,18.8949
2021-01-12,19.3339
2021-01-13,19.2807
2021-01-14,19.3805
2021-01-15,18.9243
2021-01-16,18.9243
