,EOG US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.1208
2020-01-02,14.1801
2020-01-03,14.3126
2020-01-04,14.3126
2020-01-05,14.3126
2020-01-06,14.8507
2020-01-07,14.9832
2020-01-08,14.6791
2020-01-09,14.821
2020-01-10,14.5123
2020-01-11,14.5123
2020-01-12,14.5123
2020-01-13,14.3953
2020-01-14,14.5216
2020-01-15,14.5856
2020-01-16,14.6292
2020-01-17,14.3625
2020-01-18,14.3625
2020-01-19,14.3625
2020-01-20,14.3625
2020-01-21,14.1645
2020-01-22,14.0163
2020-01-23,13.8198
2020-01-24,13.511
2020-01-25,13.511
2020-01-26,13.511
2020-01-27,13.0104
2020-01-28,13.0744
2020-01-29,12.7765
2020-01-30,12.8825
2020-01-31,12.4287
2020-02-01,12.4287
2020-02-02,12.4287
2020-02-03,12.1885
2020-02-04,12.5394
2020-02-05,13.0744
2020-02-06,12.8903
2020-02-07,12.6533
2020-02-08,12.6533
2020-02-09,12.6533
2020-02-10,12.5519
2020-02-11,12.7219
2020-02-12,12.8139
2020-02-13,12.8607
2020-02-14,12.7422
2020-02-15,12.7422
2020-02-16,12.7422
2020-02-17,12.7422
2020-02-18,12.6813
2020-02-19,13.1102
2020-02-20,12.909
2020-02-21,12.6314
2020-02-22,12.6314
2020-02-23,12.6314
2020-02-24,11.9608
2020-02-25,11.5055
2020-02-26,10.9144
2020-02-27,10.4153
2020-02-28,10.9287
2020-02-29,10.9287
2020-03-01,10.9287
2020-03-02,10.8662
2020-03-03,10.7992
2020-03-04,11.0566
2020-03-05,10.7118
2020-03-06,9.6866
2020-03-07,9.6866
2020-03-08,9.6866
2020-03-09,6.9249
2020-03-10,7.549
2020-03-11,7.1215
2020-03-12,6.1291
2020-03-13,6.488
2020-03-14,6.488
2020-03-15,6.488
2020-03-16,5.9107
2020-03-17,5.8779
2020-03-18,5.7016
2020-03-19,6.2414
2020-03-20,6.502
2020-03-21,6.502
2020-03-22,6.502
2020-03-23,6.4474
2020-03-24,7.2681
2020-03-25,7.251
2020-03-26,7.226
2020-03-27,6.6752
2020-03-28,6.6752
2020-03-29,6.6752
2020-03-30,6.5161
2020-03-31,8.1752
2020-04-01,7.9084
2020-04-02,8.6562
2020-04-03,8.9775
2020-04-04,8.9775
2020-04-05,8.9775
2020-04-06,8.8846
2020-04-07,9.2685
2020-04-08,10.0689
2020-04-09,9.9739
2020-04-10,9.9739
2020-04-11,9.9739
2020-04-12,9.9739
2020-04-13,9.6647
2020-04-14,9.4504
2020-04-15,8.9775
2020-04-16,8.2965
2020-04-17,9.3716
2020-04-18,9.3716
2020-04-19,9.3716
2020-04-20,9.2362
2020-04-21,9.1008
2020-04-22,9.6364
2020-04-23,9.8526
2020-04-24,9.6788
2020-04-25,9.6788
2020-04-26,9.6788
2020-04-27,9.9173
2020-04-28,10.0062
2020-04-29,10.5599
2020-04-30,10.5175
2020-05-01,9.9233
2020-05-02,9.9233
2020-05-03,9.9233
2020-05-04,10.3619
2020-05-05,10.2224
2020-05-06,10.18
2020-05-07,10.679
2020-05-08,11.3136
2020-05-09,11.3136
2020-05-10,11.3136
2020-05-11,10.9882
2020-05-12,10.964
2020-05-13,10.6568
2020-05-14,10.5275
2020-05-15,10.5517
2020-05-16,10.5517
2020-05-17,10.5517
2020-05-18,11.5137
2020-05-19,11.154
2020-05-20,11.5561
2020-05-21,11.4894
2020-05-22,11.4814
2020-05-23,11.4814
2020-05-24,11.4814
2020-05-25,11.4814
2020-05-26,11.3116
2020-05-27,11.5723
2020-05-28,11.352
2020-05-29,11.2166
2020-05-30,11.2166
2020-05-31,11.2166
2020-06-01,11.3864
2020-06-02,11.9926
2020-06-03,12.1058
2020-06-04,12.0614
2020-06-05,12.9021
2020-06-06,12.9021
2020-06-07,12.9021
2020-06-08,13.4679
2020-06-09,12.9344
2020-06-10,12.1584
2020-06-11,11.253
2020-06-12,11.54
2020-06-13,11.54
2020-06-14,11.54
2020-06-15,11.4672
2020-06-16,11.9502
2020-06-17,11.5218
2020-06-18,11.6127
2020-06-19,11.4854
2020-06-20,11.4854
2020-06-21,11.4854
2020-06-22,11.5096
2020-06-23,11.5177
2020-06-24,10.8084
