,UTL US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,19.6073
2020-01-02,19.4037
2020-01-03,19.4851
2020-01-04,19.4851
2020-01-05,19.4851
2020-01-06,19.4403
2020-01-07,19.3996
2020-01-08,19.3548
2020-01-09,19.3609
2020-01-10,19.4994
2020-01-11,19.4994
2020-01-12,19.4994
2020-01-13,19.6378
2020-01-14,19.4871
2020-01-15,19.6623
2020-01-16,19.872
2020-01-17,19.8516
2020-01-18,19.8516
2020-01-19,19.8516
2020-01-20,19.8516
2020-01-21,19.8781
2020-01-22,19.9025
2020-01-23,20.0104
2020-01-24,20.0613
2020-01-25,20.0613
2020-01-26,20.0613
2020-01-27,20.0043
2020-01-28,20.0328
2020-01-29,19.9107
2020-01-30,20.0349
2020-01-31,19.5848
2020-02-01,19.5848
2020-02-02,19.5848
2020-02-03,19.4993
2020-02-04,19.5848
2020-02-05,19.7742
2020-02-06,19.7641
2020-02-07,19.7865
2020-02-08,19.7865
2020-02-09,19.7865
2020-02-10,19.925
2020-02-11,19.9331
2020-02-12,20.0451
2020-02-13,20.1572
2020-02-14,20.2203
2020-02-15,20.2203
2020-02-16,20.2203
2020-02-17,20.2203
2020-02-18,20.2183
2020-02-19,20.149
2020-02-20,20.0981
2020-02-21,19.9759
2020-02-22,19.9759
2020-02-23,19.9759
2020-02-24,19.872
2020-02-25,19.6765
2020-02-26,19.7457
2020-02-27,19.0369
2020-02-28,18.4951
2020-02-29,18.4951
2020-03-01,18.4951
2020-03-02,18.8862
2020-03-03,18.5949
2020-03-04,19.0064
2020-03-05,18.7314
2020-03-06,19.4259
2020-03-07,19.4259
2020-03-08,19.4259
2020-03-09,19.4137
2020-03-10,19.3913
2020-03-11,18.9819
2020-03-12,17.5684
2020-03-13,18.3098
2020-03-14,18.3098
2020-03-15,18.3098
2020-03-16,16.6437
2020-03-17,18.1468
2020-03-18,17.7578
2020-03-19,17.601
2020-03-20,16.1263
2020-03-21,16.1263
2020-03-22,16.1263
2020-03-23,15.5092
2020-03-24,16.4583
2020-03-25,16.5052
2020-03-26,17.4421
2020-03-27,17.5602
2020-03-28,17.5602
2020-03-29,17.5602
2020-03-30,17.8148
2020-03-31,17.949
2020-04-01,17.3851
2020-04-02,17.6735
2020-04-03,17.2606
2020-04-04,17.2606
2020-04-05,17.2606
2020-04-06,18.2959
2020-04-07,17.9079
2020-04-08,18.1922
2020-04-09,19.0905
2020-04-10,19.0905
2020-04-11,19.0905
2020-04-12,19.0905
2020-04-13,18.5407
2020-04-14,18.4743
2020-04-15,17.8789
2020-04-16,17.8063
2020-04-17,18.3872
2020-04-18,18.3872
2020-04-19,18.3872
2020-04-20,17.6009
2020-04-21,17.5262
2020-04-22,17.7897
2020-04-23,17.5594
2020-04-24,17.8706
2020-04-25,17.8706
2020-04-26,17.8706
2020-04-27,18.1673
2020-04-28,18.2461
2020-04-29,18.5241
2020-04-30,17.5526
2020-05-01,17.2352
2020-05-02,17.2352
2020-05-03,17.2352
2020-05-04,17.2766
2020-05-05,17.2331
2020-05-06,16.8348
2020-05-07,17.0692
2020-05-08,17.482
2020-05-09,17.482
2020-05-10,17.482
2020-05-11,17.1791
2020-05-12,16.7082
2020-05-13,16.4883
2020-05-14,16.424
2020-05-15,16.4344
2020-05-16,16.4344
2020-05-17,16.4344
2020-05-18,16.8348
2020-05-19,16.4966
2020-05-20,16.673
2020-05-21,16.6107
2020-05-22,16.7559
2020-05-23,16.7559
2020-05-24,16.7559
2020-05-25,16.7559
2020-05-26,16.9738
2020-05-27,17.1231
2020-05-28,17.1978
2020-05-29,17.1086
2020-05-30,17.1086
2020-05-31,17.1086
2020-06-01,17.0899
2020-06-02,17.0754
2020-06-03,17.3244
2020-06-04,17.1231
2020-06-05,17.565
2020-06-06,17.565
2020-06-07,17.565
2020-06-08,17.6687
2020-06-09,17.3244
2020-06-10,17.2912
2020-06-11,17.0588
2020-06-12,17.1065
2020-06-13,17.1065
2020-06-14,17.1065
2020-06-15,17.1356
2020-06-16,17.065
2020-06-17,16.8825
2020-06-18,16.8534
2020-06-19,16.4821
2020-06-20,16.4821
2020-06-21,16.4821
2020-06-22,16.4136
2020-06-23,16.2373
2020-06-24,16.2705
2020-06-25,16.3929
2020-06-26,16.0299
2020-06-27,16.0299
2020-06-28,16.0299
2020-06-29,16.4157
2020-06-30,16.7671
2020-07-01,16.9949
2020-07-02,17.0434
2020-07-03,17.0434
2020-07-04,17.0434
2020-07-05,17.0434
2020-07-06,16.7945
2020-07-07,16.6068
2020-07-08,16.6216
2020-07-09,16.5414
2020-07-10,16.7439
2020-07-11,16.7439
2020-07-12,16.7439
2020-07-13,16.8093
2020-07-14,16.919
2020-07-15,16.9232
2020-07-16,16.9865
2020-07-17,17.1869
2020-07-18,17.1869
2020-07-19,17.1869
2020-07-20,16.8599
2020-07-21,16.9696
2020-07-22,17.0941
2020-07-23,17.0624
2020-07-24,16.9359
2020-07-25,16.9359
2020-07-26,16.9359
2020-07-27,16.822
2020-07-28,16.9359
2020-07-29,16.9738
2020-07-30,16.6643
2020-07-31,16.438
2020-08-01,16.438
2020-08-02,16.438
2020-08-03,16.2794
2020-08-04,16.1166
2020-08-05,15.9305
2020-08-06,15.9093
2020-08-07,16.3788
2020-08-08,16.3788
2020-08-09,16.3788
2020-08-10,16.3217
2020-08-11,16.1208
2020-08-12,16.1821
2020-08-13,15.9368
2020-08-14,15.8734
2020-08-15,15.8734
2020-08-16,15.8734
2020-08-17,15.886
2020-08-18,15.8036
2020-08-19,15.8247
2020-08-20,15.645
2020-08-21,15.6048
2020-08-22,15.6048
2020-08-23,15.6048
2020-08-24,15.6259
2020-08-25,15.7021
2020-08-26,15.9474
2020-08-27,16.0616
2020-08-28,16.1525
2020-08-29,16.1525
2020-08-30,16.1525
2020-08-31,16.2371
2020-09-01,15.9706
2020-09-02,16.199
2020-09-03,16.1525
2020-09-04,16.1187
2020-09-05,16.1187
2020-09-06,16.1187
2020-09-07,16.1187
2020-09-08,15.922
2020-09-09,15.8712
2020-09-10,15.7211
2020-09-11,15.6154
2020-09-12,15.6154
2020-09-13,15.6154
2020-09-14,15.5308
2020-09-15,15.4885
2020-09-16,15.7824
2020-09-17,15.6069
2020-09-18,15.5561
2020-09-19,15.5561
2020-09-20,15.5561
2020-09-21,15.516
2020-09-22,15.3785
2020-09-23,15.241
2020-09-24,15.351
2020-09-25,15.3383
2020-09-26,15.3383
2020-09-27,15.3383
2020-09-28,15.5244
2020-09-29,15.4483
2020-09-30,16.5351
2020-10-01,16.6712
2020-10-02,16.7151
2020-10-03,16.7151
2020-10-04,16.7151
2020-10-05,16.7942
2020-10-06,16.781
2020-10-07,16.7459
2020-10-08,16.9171
2020-10-09,17.0708
2020-10-10,17.0708
2020-10-11,17.0708
2020-10-12,17.0773
2020-10-13,16.9215
2020-10-14,16.8951
2020-10-15,16.95
2020-10-16,16.8754
2020-10-17,16.8754
2020-10-18,16.8754
2020-10-19,16.7525
2020-10-20,16.7217
2020-10-21,16.7459
2020-10-22,16.7239
2020-10-23,16.8205
2020-10-24,16.8205
2020-10-25,16.8205
2020-10-26,16.77
2020-10-27,16.8008
2020-10-28,16.2783
2020-10-29,15.9256
2020-10-30,15.6423
2020-10-31,15.6423
2020-11-01,15.6423
2020-11-02,15.8444
2020-11-03,16.0047
2020-11-04,15.717
2020-11-05,15.684
2020-11-06,15.2776
2020-11-07,15.2776
2020-11-08,15.2776
2020-11-09,15.3392
2020-11-10,15.5961
2020-11-11,16.2112
2020-11-12,15.9652
2020-11-13,15.9322
2020-11-14,15.9322
2020-11-15,15.9322
2020-11-16,16.3364
2020-11-17,16.3034
2020-11-18,16.3012
2020-11-19,16.2837
2020-11-20,16.4133
2020-11-21,16.4133
2020-11-22,16.4133
2020-11-23,16.6856
2020-11-24,16.9932
2020-11-25,17.0437
2020-11-26,17.0437
2020-11-27,16.9844
2020-11-28,16.9844
2020-11-29,16.9844
2020-11-30,17.0327
2020-12-01,17.2458
2020-12-02,17.2787
2020-12-03,17.4215
2020-12-04,17.5752
2020-12-05,17.5752
2020-12-06,17.5752
2020-12-07,17.4566
2020-12-08,17.573
2020-12-09,17.6521
2020-12-10,17.6499
2020-12-11,17.6148
2020-12-12,17.6148
2020-12-13,17.6148
2020-12-14,17.4017
2020-12-15,17.6785
2020-12-16,17.5028
2020-12-17,17.4918
2020-12-18,17.4852
2020-12-19,17.4852
2020-12-20,17.4852
2020-12-21,17.2304
2020-12-22,17.1535
2020-12-23,17.3248
2020-12-24,17.3666
2020-12-25,17.3666
2020-12-26,17.3666
2020-12-27,17.3666
2020-12-28,17.6324
2020-12-29,17.4698
2020-12-30,17.5796
2020-12-31,17.5079
2021-01-01,17.5079
2021-01-02,17.5079
2021-01-03,17.5079
2021-01-04,17.325
2021-01-05,17.3103
2021-01-06,17.4743
2021-01-07,17.2515
2021-01-08,17.2473
2021-01-09,17.2473
2021-01-10,17.2473
2021-01-11,17.1254
2021-01-12,17.1926
2021-01-13,17.2977
2021-01-14,17.3566
2021-01-15,17.4112
2021-01-16,17.4112
2021-01-17,17.4112
2021-01-18,17.4112
2021-01-19,17.1296
2021-01-20,17.0707
2021-01-21,16.8185
2021-01-22,16.7029
2021-01-23,16.7029
2021-01-24,16.7029
2021-01-25,16.5936
2021-01-26,16.4402
2021-01-27,16.4948
2021-01-28,16.7807
2021-01-29,16.7723
2021-01-30,16.7723
2021-01-31,16.7723
2021-02-01,17.0203
2021-02-02,16.9547
2021-02-03,16.9778
2021-02-04,17.1019
2021-02-05,17.1103
2021-02-06,17.1103
2021-02-07,17.1103
2021-02-08,17.1523
2021-02-09,17.1986
2021-02-10,17.207
2021-02-11,17.1355
2021-02-12,17.0598
2021-02-13,17.0598
2021-02-14,17.0598
2021-02-15,17.0598
2021-02-16,17.0009
2021-02-17,17.0724
2021-02-18,17.2343
2021-02-19,17.268
2021-02-20,17.268
2021-02-21,17.268
2021-02-22,17.2301
2021-02-23,17.1229
2021-02-24,17.1944
2021-02-25,17.1734
2021-02-26,17.0009
2021-02-27,17.0009
2021-02-28,17.0009
2021-03-01,17.186
2021-03-02,17.0157
2021-03-03,17.0072
2021-03-04,17.1229
2021-03-05,17.4341
2021-03-06,17.4341
2021-03-07,17.4341
2021-03-08,17.8483
2021-03-09,17.9114
2021-03-10,18.1827
2021-03-11,18.1785
2021-03-12,18.5401
2021-03-13,18.5401
2021-03-14,18.5401
2021-03-15,18.5044
2021-03-16,18.5464
2021-03-17,18.3677
2021-03-18,18.2878
2021-03-19,18.2689
2021-03-20,18.2689
2021-03-21,18.2689
2021-03-22,17.985
2021-03-23,17.964
2021-03-24,17.9472
2021-03-25,17.9451
2021-03-26,17.8339
2021-03-27,17.8339
2021-03-28,17.8339
2021-03-29,17.975
2021-03-30,17.7918
2021-03-31,16.1676
2021-04-01,16.3215
2021-04-02,16.3215
2021-04-03,16.3215
2021-04-04,16.3215
2021-04-05,16.5358
2021-04-06,16.6
2021-04-07,16.5844
2021-04-08,16.7539
2021-04-09,16.6643
2021-04-10,16.6643
2021-04-11,16.6643
2021-04-12,16.7753
2021-04-13,16.75
2021-04-14,16.8883
2021-04-15,16.8922
2021-04-16,17.0597
2021-04-17,17.0597
2021-04-18,17.0597
2021-04-19,17.0344
2021-04-20,17.0071
2021-04-21,17.1298
2021-04-22,17.0071
2021-04-23,17.085
2021-04-24,17.085
2021-04-25,17.085
2021-04-26,17.0383
2021-04-27,16.9974
2021-04-28,18.4816
2021-04-29,18.5381
2021-04-30,18.4933
2021-05-01,18.4933
2021-05-02,18.4933
2021-05-03,18.4855
2021-05-04,18.2403
2021-05-05,18.0396
2021-05-06,18.1994
2021-05-07,18.2871
2021-05-08,18.2871
2021-05-09,18.2871
2021-05-10,18.3144
2021-05-11,18.0182
2021-05-12,17.7357
2021-05-13,18.0552
2021-05-14,18.1215
2021-05-15,18.1215
2021-05-16,18.1215
2021-05-17,18.0396
2021-05-18,18.0981
2021-05-19,18.1078
2021-05-20,18.0046
2021-05-21,18.0883
2021-05-22,18.0883
2021-05-23,18.0883
2021-05-24,18.0221
2021-05-25,18.0162
2021-05-26,18.0922
2021-05-27,18.1507
2021-05-28,17.9558
2021-05-29,17.9558
2021-05-30,17.9558
2021-05-31,17.9558
2021-06-01,18.1234
2021-06-02,18.1078
2021-06-03,18.2715
2021-06-04,18.2598
2021-06-05,18.2598
2021-06-06,18.2598
2021-06-07,18.1916
2021-06-08,18.2325
2021-06-09,18.406
2021-06-10,18.3241
2021-06-11,18.3241
2021-06-12,18.3241
2021-06-13,18.3241
2021-06-14,18.3105
2021-06-15,18.4254
2021-06-16,18.252
2021-06-17,18.2559
2021-06-18,17.7746
2021-06-19,17.7746
2021-06-20,17.7746
2021-06-21,17.8837
2021-06-22,17.8448
2021-06-23,17.724
2021-06-24,17.8487
2021-06-25,17.8857
2021-06-26,17.8857
2021-06-27,17.8857
2021-06-28,17.8682
