,LE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,26.7733
2020-01-02,25.7636
2020-01-03,25.5953
2020-01-04,25.5953
2020-01-05,25.5953
2020-01-06,25.6542
2020-01-07,25.8982
2020-01-08,25.8814
2020-01-09,25.5196
2020-01-10,25.3597
2020-01-11,25.3597
2020-01-12,25.3597
2020-01-13,25.6963
2020-01-14,26.0497
2020-01-15,25.6374
2020-01-16,25.183
2020-01-17,24.9811
2020-01-18,24.9811
2020-01-19,24.9811
2020-01-20,24.9811
2020-01-21,25.1157
2020-01-22,24.7623
2020-01-23,24.3584
2020-01-24,24.2406
2020-01-25,24.2406
2020-01-26,24.2406
2020-01-27,23.7947
2020-01-28,23.416
2020-01-29,23.1047
2020-01-30,22.9028
2020-01-31,15.2894
2020-02-01,15.2894
2020-02-02,15.2894
2020-02-03,15.3369
2020-02-04,15.3436
2020-02-05,15.5947
2020-02-06,15.4929
2020-02-07,15.0315
2020-02-08,15.0315
2020-02-09,15.0315
2020-02-10,14.9298
2020-02-11,15.2283
2020-02-12,15.3979
2020-02-13,14.8009
2020-02-14,14.638
2020-02-15,14.638
2020-02-16,14.638
2020-02-17,14.638
2020-02-18,14.8551
2020-02-19,15.269
2020-02-20,15.1672
2020-02-21,14.8891
2020-02-22,14.8891
2020-02-23,14.8891
2020-02-24,14.482
2020-02-25,14.0952
2020-02-26,14.4548
2020-02-27,14.0749
2020-02-28,14.5362
2020-02-29,14.5362
2020-03-01,14.5362
2020-03-02,13.7085
2020-03-03,13.3218
2020-03-04,13.4982
2020-03-05,13.3218
2020-03-06,12.9689
2020-03-07,12.9689
2020-03-08,12.9689
2020-03-09,12.4262
2020-03-10,12.2498
2020-03-11,12.1073
2020-03-12,11.1574
2020-03-13,11.6527
2020-03-14,11.6527
2020-03-15,11.6527
2020-03-16,10.4721
2020-03-17,12.3312
2020-03-18,11.5318
2020-03-19,12.0272
2020-03-20,11.8847
2020-03-21,11.8847
2020-03-22,11.8847
2020-03-23,10.8734
2020-03-24,11.0023
2020-03-25,11.4842
2020-03-26,11.9389
2020-03-27,11.5792
2020-03-28,11.5792
2020-03-29,11.5792
2020-03-30,10.8666
2020-03-31,11.0091
2020-04-01,10.6223
2020-04-02,10.439
2020-04-03,10.2083
2020-04-04,10.2083
2020-04-05,10.2083
2020-04-06,10.9956
2020-04-07,10.982
2020-04-08,11.1652
2020-04-09,11.6199
2020-04-10,11.6199
2020-04-11,11.6199
2020-04-12,11.6199
2020-04-13,11.905
2020-04-14,11.8643
2020-04-15,12.0
2020-04-16,11.9593
2020-04-17,12.8212
2020-04-18,12.8212
2020-04-19,12.8212
2020-04-20,12.8144
2020-04-21,12.3868
2020-04-22,11.8303
2020-04-23,11.9661
2020-04-24,12.0
2020-04-25,12.0
2020-04-26,12.0
2020-04-27,12.6922
2020-04-28,12.8687
2020-04-29,13.4116
2020-04-30,13.1605
2020-05-01,27.5253
2020-05-02,27.5253
2020-05-03,27.5253
2020-05-04,27.1692
2020-05-05,25.7511
2020-05-06,25.5159
2020-05-07,26.2917
2020-05-08,27.3473
2020-05-09,27.3473
2020-05-10,27.3473
2020-05-11,26.9784
2020-05-12,25.9228
2020-05-13,24.9563
2020-05-14,25.3887
2020-05-15,25.2361
2020-05-16,25.2361
2020-05-17,25.2361
2020-05-18,25.3378
2020-05-19,25.3505
2020-05-20,25.465
2020-05-21,25.6558
2020-05-22,25.5795
2020-05-23,25.5795
2020-05-24,25.5795
2020-05-25,25.5795
2020-05-26,25.7448
2020-05-27,26.4888
2020-05-28,25.5413
2020-05-29,25.5031
2020-05-30,25.5031
2020-05-31,25.5031
2020-06-01,26.6986
2020-06-02,25.6812
2020-06-03,26.273
2020-06-04,27.9757
2020-06-05,28.7118
2020-06-06,28.7118
2020-06-07,28.7118
2020-06-08,29.96
2020-06-09,30.0624
2020-06-10,28.3405
2020-06-11,27.4892
2020-06-12,27.9116
2020-06-13,27.9116
2020-06-14,27.9116
2020-06-15,28.0781
2020-06-16,28.5646
2020-06-17,28.7822
2020-06-18,28.475
2020-06-19,28.1869
