,BIG US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,7.9479
2020-01-02,7.8344
2020-01-03,7.7929
2020-01-04,7.7929
2020-01-05,7.7929
2020-01-06,7.9501
2020-01-07,8.0003
2020-01-08,7.9971
2020-01-09,7.9872
2020-01-10,7.9872
2020-01-11,7.9872
2020-01-12,7.9872
2020-01-13,8.0942
2020-01-14,8.0724
2020-01-15,8.0494
2020-01-16,7.9545
2020-01-17,7.9021
2020-01-18,7.9021
2020-01-19,7.9021
2020-01-20,7.9021
2020-01-21,7.8137
2020-01-22,7.7678
2020-01-23,7.7329
2020-01-24,7.8541
2020-01-25,7.8541
2020-01-26,7.8541
2020-01-27,7.8235
2020-01-28,7.8803
2020-01-29,7.8988
2020-01-30,7.8344
2020-01-31,6.397
2020-02-01,6.397
2020-02-02,6.397
2020-02-03,6.5022
2020-02-04,6.456
2020-02-05,6.517
2020-02-06,6.4865
2020-02-07,6.4107
2020-02-08,6.4107
2020-02-09,6.4107
2020-02-10,6.4501
2020-02-11,6.4157
2020-02-12,6.3803
2020-02-13,6.272
2020-02-14,6.2593
2020-02-15,6.2593
2020-02-16,6.2593
2020-02-17,6.2593
2020-02-18,6.2622
2020-02-19,6.2593
2020-02-20,6.2848
2020-02-21,6.2347
2020-02-22,6.2347
2020-02-23,6.2347
2020-02-24,6.2022
2020-02-25,6.1756
2020-02-26,5.9769
2020-02-27,5.9425
2020-02-28,5.2903
2020-02-29,5.2903
2020-03-01,5.2903
2020-03-02,5.4192
2020-03-03,5.4703
2020-03-04,5.5116
2020-03-05,5.369
2020-03-06,5.4831
2020-03-07,5.4831
2020-03-08,5.4831
2020-03-09,5.426
2020-03-10,5.4546
2020-03-11,5.3788
2020-03-12,5.0217
2020-03-13,5.1231
2020-03-14,5.1231
2020-03-15,5.1231
2020-03-16,4.7817
2020-03-17,5.0798
2020-03-18,4.8171
2020-03-19,5.0119
2020-03-20,4.9253
2020-03-21,4.9253
2020-03-22,4.9253
2020-03-23,4.8771
2020-03-24,5.2509
2020-03-25,5.1398
2020-03-26,5.0572
2020-03-27,5.0109
2020-03-28,5.0109
2020-03-29,5.0109
2020-03-30,5.1004
2020-03-31,5.1339
2020-04-01,5.0959
2020-04-02,5.1146
2020-04-03,5.1847
2020-04-04,5.1847
2020-04-05,5.1847
2020-04-06,5.2962
2020-04-07,5.2252
2020-04-08,5.2913
2020-04-09,5.6722
2020-04-10,5.6722
2020-04-11,5.6722
2020-04-12,5.6722
2020-04-13,5.6071
2020-04-14,5.61
2020-04-15,5.5814
2020-04-16,5.5785
2020-04-17,5.6238
2020-04-18,5.6238
2020-04-19,5.6238
2020-04-20,5.6692
2020-04-21,5.6041
2020-04-22,5.6663
2020-04-23,5.6535
2020-04-24,5.7452
2020-04-25,5.7452
2020-04-26,5.7452
2020-04-27,5.9752
2020-04-28,6.0886
2020-04-29,6.2209
2020-04-30,6.0492
2020-05-01,6.0887
2020-05-02,6.0887
2020-05-03,6.0887
2020-05-04,6.1859
2020-05-05,6.0979
2020-05-06,6.1051
2020-05-07,6.1787
2020-05-08,6.3045
2020-05-09,6.3045
2020-05-10,6.3045
2020-05-11,6.3423
2020-05-12,6.3423
2020-05-13,6.3495
2020-05-14,6.3914
2020-05-15,6.5315
2020-05-16,6.5315
2020-05-17,6.5315
2020-05-18,6.7626
2020-05-19,6.8557
2020-05-20,6.8935
2020-05-21,6.9733
2020-05-22,6.9487
2020-05-23,6.9487
2020-05-24,6.9487
2020-05-25,6.9487
2020-05-26,7.3087
2020-05-27,7.6226
2020-05-28,7.3833
2020-05-29,7.595
2020-05-30,7.595
2020-05-31,7.595
2020-06-01,7.4477
2020-06-02,7.4529
2020-06-03,7.5776
2020-06-04,7.414
2020-06-05,7.3578
2020-06-06,7.3578
2020-06-07,7.3578
2020-06-08,7.2146
2020-06-09,7.3496
2020-06-10,7.3927
2020-06-11,7.1678
2020-06-12,7.0634
2020-06-13,7.0634
2020-06-14,7.0634
2020-06-15,7.1882
2020-06-16,7.2107
2020-06-17,7.313
2020-06-18,7.1749
2020-06-19,7.0461
2020-06-20,7.0461
2020-06-21,7.0461
2020-06-22,7.087
2020-06-23,7.0819
2020-06-24,7.0328
2020-06-25,7.0941
2020-06-26,8.034
2020-06-27,8.034
2020-06-28,8.034
2020-06-29,8.0442
2020-06-30,7.9276
2020-07-01,7.8039
2020-07-02,7.7609
2020-07-03,7.7609
2020-07-04,7.7609
2020-07-05,7.7609
2020-07-06,7.7292
2020-07-07,7.7936
2020-07-08,7.9031
2020-07-09,7.8212
2020-07-10,7.764
2020-07-11,7.764
2020-07-12,7.764
2020-07-13,7.4521
2020-07-14,7.5144
2020-07-15,7.4337
2020-07-16,7.3529
2020-07-17,7.3273
2020-07-18,7.3273
2020-07-19,7.3273
2020-07-20,7.6075
