,RUTH US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.8351
2020-01-02,14.9821
2020-01-03,14.9984
2020-01-04,14.9984
2020-01-05,14.9984
2020-01-06,14.9261
2020-01-07,14.9261
2020-01-08,15.0381
2020-01-09,14.9728
2020-01-10,14.8468
2020-01-11,14.8468
2020-01-12,14.8468
2020-01-13,14.9144
2020-01-14,14.7115
2020-01-15,14.8468
2020-01-16,15.0147
2020-01-17,15.0147
2020-01-18,15.0147
2020-01-19,15.0147
2020-01-20,15.0147
2020-01-21,14.4433
2020-01-22,14.287
2020-01-23,14.3196
2020-01-24,14.161
2020-01-25,14.161
2020-01-26,14.161
2020-01-27,13.8251
2020-01-28,13.8065
2020-01-29,13.6852
2020-01-30,14.287
2020-01-31,14.245
2020-02-01,14.245
2020-02-02,14.245
2020-02-03,14.2776
2020-02-04,14.0584
2020-02-05,14.357
2020-02-06,14.4829
2020-02-07,14.2683
2020-02-08,14.2683
2020-02-09,14.2683
2020-02-10,14.3709
2020-02-11,14.6835
2020-02-12,14.7815
2020-02-13,14.7302
2020-02-14,14.8001
2020-02-15,14.8001
2020-02-16,14.8001
2020-02-17,14.8001
2020-02-18,15.1127
2020-02-19,15.5932
2020-02-20,15.7985
2020-02-21,15.1174
2020-02-22,15.1174
2020-02-23,15.1174
2020-02-24,14.3873
2020-02-25,13.9604
2020-02-26,13.6618
2020-02-27,13.3073
2020-02-28,13.5496
2020-02-29,13.5496
2020-03-01,13.5496
2020-03-02,13.8463
2020-03-03,13.5218
2020-03-04,13.3271
2020-03-05,12.4138
2020-03-06,12.2562
2020-03-07,12.2562
2020-03-08,12.2562
2020-03-09,11.3337
2020-03-10,11.4728
2020-03-11,11.0324
2020-03-12,10.1887
2020-03-13,10.4436
2020-03-14,10.4436
2020-03-15,10.4436
2020-03-16,8.5384
2020-03-17,7.194
2020-03-18,6.6099
2020-03-19,6.749
2020-03-20,6.5867
2020-03-21,6.5867
2020-03-22,6.5867
2020-03-23,6.7304
2020-03-24,7.6112
2020-03-25,8.047
2020-03-26,8.4364
2020-03-27,12.2074
2020-03-28,12.2074
2020-03-29,12.2074
2020-03-30,11.7069
2020-03-31,11.94
2020-04-01,11.5149
2020-04-02,11.3641
2020-04-03,11.1515
2020-04-04,11.1515
2020-04-05,11.1515
2020-04-06,11.8303
2020-04-07,12.1869
2020-04-08,12.6737
2020-04-09,13.3148
2020-04-10,13.3148
2020-04-11,13.3148
2020-04-12,13.3148
2020-04-13,12.8657
2020-04-14,12.9342
2020-04-15,12.8451
2020-04-16,12.4406
2020-04-17,13.1879
2020-04-18,13.1879
2020-04-19,13.1879
2020-04-20,12.7868
2020-04-21,12.8588
2020-04-22,13.3525
2020-04-23,13.2428
2020-04-24,12.9639
2020-04-25,12.9639
2020-04-26,12.9639
2020-04-27,13.6059
2020-04-28,13.7129
2020-04-29,14.9166
2020-04-30,14.8865
2020-05-01,13.9536
2020-05-02,13.9536
2020-05-03,13.9536
2020-05-04,13.8333
2020-05-05,13.3451
2020-05-06,13.3919
2020-05-07,13.4855
2020-05-08,13.785
2020-05-09,13.785
2020-05-10,13.785
2020-05-11,13.3972
2020-05-12,12.9626
2020-05-13,12.4344
2020-05-14,12.5414
2020-05-15,12.762
2020-05-16,12.762
2020-05-17,12.762
2020-05-18,13.2635
2020-05-19,13.3504
2020-05-20,13.4574
2020-05-21,12.762
2020-05-22,12.7019
2020-05-23,12.7019
2020-05-24,12.7019
2020-05-25,12.7019
2020-05-26,14.1504
2020-05-27,14.8622
2020-05-28,14.3663
2020-05-29,13.8464
2020-05-30,13.8464
2020-05-31,13.8464
2020-06-01,14.1344
2020-06-02,14.1184
2020-06-03,14.7102
2020-06-04,15.4101
2020-06-05,15.918
2020-06-06,15.918
2020-06-07,15.918
2020-06-08,17.8136
2020-06-09,16.2099
2020-06-10,15.5621
2020-06-11,14.4023
2020-06-12,15.0622
2020-06-13,15.0622
2020-06-14,15.0622
2020-06-15,15.1422
2020-06-16,15.1661
2020-06-17,14.6503
2020-06-18,14.7742
2020-06-19,14.0864
2020-06-20,14.0864
2020-06-21,14.0864
2020-06-22,13.9264
2020-06-23,14.5183
2020-06-24,13.9864
2020-06-25,13.8384
2020-06-26,13.8384
2020-06-27,13.8384
2020-06-28,13.8384
2020-06-29,13.8384
2020-06-30,13.8384
2020-07-01,13.8384
2020-07-02,13.8384
2020-07-03,13.8384
2020-07-04,13.8384
2020-07-05,13.8384
2020-07-06,13.8384
2020-07-07,13.8384
2020-07-08,13.8384
2020-07-09,13.8384
2020-07-10,13.8384
2020-07-11,13.8384
2020-07-12,13.8384
2020-07-13,13.8384
2020-07-14,13.8384
2020-07-15,13.8384
2020-07-16,13.8384
2020-07-17,13.8384
2020-07-18,13.8384
2020-07-19,13.8384
2020-07-20,13.8384
2020-07-21,13.8384
2020-07-22,13.8384
2020-07-23,13.8384
2020-07-24,13.8384
2020-07-25,13.8384
2020-07-26,13.8384
2020-07-27,13.8384
2020-07-28,13.8384
2020-07-29,13.8384
2020-07-30,13.8384
2020-07-31,13.8384
2020-08-01,13.8384
2020-08-02,13.8384
2020-08-03,13.8384
2020-08-04,13.8384
2020-08-05,13.8384
2020-08-06,13.8384
2020-08-07,13.8384
2020-08-08,13.8384
2020-08-09,13.8384
2020-08-10,13.8384
2020-08-11,13.8384
2020-08-12,13.8384
2020-08-13,13.8384
2020-08-14,13.8384
2020-08-15,13.8384
2020-08-16,13.8384
2020-08-17,13.8384
2020-08-18,13.8384
2020-08-19,13.8384
2020-08-20,13.8384
2020-08-21,13.8384
2020-08-22,13.8384
2020-08-23,13.8384
2020-08-24,13.8384
2020-08-25,13.8384
2020-08-26,13.8384
2020-08-27,13.8384
2020-08-28,13.8384
2020-08-29,13.8384
2020-08-30,13.8384
2020-08-31,13.8384
2020-09-01,13.8384
2020-09-02,13.8384
2020-09-03,13.8384
2020-09-04,13.8384
2020-09-05,13.8384
2020-09-06,13.8384
2020-09-07,13.8384
2020-09-08,13.8384
2020-09-09,13.8384
2020-09-10,13.8384
2020-09-11,13.8384
2020-09-12,13.8384
2020-09-13,13.8384
2020-09-14,13.8384
2020-09-15,13.8384
2020-09-16,13.8384
2020-09-17,13.8384
2020-09-18,13.8384
2020-09-19,13.8384
2020-09-20,13.8384
2020-09-21,13.8384
2020-09-22,13.8384
2020-09-23,13.8384
2020-09-24,13.8384
2020-09-25,13.8384
2020-09-26,13.8384
2020-09-27,13.8384
2020-09-28,13.8384
2020-09-29,13.8384
2020-09-30,13.8384
2020-10-01,13.8384
2020-10-02,13.8384
2020-10-03,13.8384
2020-10-04,13.8384
2020-10-05,13.8384
2020-10-06,13.8384
2020-10-07,13.8384
2020-10-08,13.8384
2020-10-09,13.8384
2020-10-10,13.8384
2020-10-11,13.8384
2020-10-12,13.8384
2020-10-13,13.8384
2020-10-14,13.8384
2020-10-15,13.8384
2020-10-16,13.8384
2020-10-17,13.8384
2020-10-18,13.8384
2020-10-19,13.8384
2020-10-20,13.8384
2020-10-21,13.8384
2020-10-22,13.8384
2020-10-23,13.8384
2020-10-24,13.8384
2020-10-25,13.8384
2020-10-26,13.8384
2020-10-27,13.8384
2020-10-28,13.8384
2020-10-29,13.8384
2020-10-30,13.8384
2020-10-31,13.8384
2020-11-01,13.8384
2020-11-02,13.8384
2020-11-03,13.8384
2020-11-04,13.8384
2020-11-05,13.8384
2020-11-06,13.8384
2020-11-07,13.8384
2020-11-08,13.8384
2020-11-09,13.8384
2020-11-10,13.8384
2020-11-11,13.8384
2020-11-12,13.8384
2020-11-13,13.8384
2020-11-14,13.8384
2020-11-15,13.8384
2020-11-16,13.8384
2020-11-17,13.8384
2020-11-18,13.8384
2020-11-19,13.8384
2020-11-20,13.8384
2020-11-21,13.8384
2020-11-22,13.8384
2020-11-23,13.8384
2020-11-24,13.8384
2020-11-25,13.8384
2020-11-26,13.8384
2020-11-27,13.8384
2020-11-28,13.8384
2020-11-29,13.8384
2020-11-30,13.8384
2020-12-01,13.8384
2020-12-02,13.8384
2020-12-03,13.8384
2020-12-04,13.8384
2020-12-05,13.8384
2020-12-06,13.8384
2020-12-07,13.8384
2020-12-08,13.8384
2020-12-09,13.8384
2020-12-10,13.8384
2020-12-11,13.8384
2020-12-12,13.8384
2020-12-13,13.8384
2020-12-14,13.8384
2020-12-15,13.8384
2020-12-16,13.8384
2020-12-17,13.8384
2020-12-18,13.8384
2020-12-19,13.8384
2020-12-20,13.8384
2020-12-21,13.8384
2020-12-22,13.8384
2020-12-23,13.8384
2020-12-24,13.8384
2020-12-25,13.8384
2020-12-26,13.8384
2020-12-27,13.8384
2020-12-28,13.8384
2020-12-29,13.8384
2020-12-30,13.8384
2020-12-31,13.8384
2021-01-01,13.8384
2021-01-02,13.8384
2021-01-03,13.8384
2021-01-04,13.8384
2021-01-05,13.8384
2021-01-06,13.8384
2021-01-07,13.8384
2021-01-08,13.8384
2021-01-09,13.8384
2021-01-10,13.8384
2021-01-11,13.8384
2021-01-12,13.8384
2021-01-13,13.8384
2021-01-14,13.8384
2021-01-15,13.8384
2021-01-16,13.8384
