,VSH US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-11-14,4.5452
2022-11-15,4.7012
2022-11-16,4.6407
2022-11-17,4.7105
2022-11-18,4.7641
2022-11-19,4.7641
2022-11-20,4.7641
2022-11-21,4.6942
2022-11-22,4.7268
2022-11-23,4.7199
2022-11-24,4.7199
2022-11-25,4.6756
2022-11-26,4.6756
2022-11-27,4.6756
2022-11-28,4.5685
2022-11-29,4.5824
2022-11-30,4.813
2022-12-01,4.8247
2022-12-02,4.813
2022-12-03,4.813
2022-12-04,4.813
2022-12-05,4.6523
2022-12-06,4.5661
2022-12-07,4.5824
2022-12-08,4.6313
2022-12-09,4.5941
2022-12-10,4.5941
2022-12-11,4.5941
2022-12-12,4.6779
2022-12-13,4.7362
2022-12-14,4.643
2022-12-15,4.4753
2022-12-16,4.4776
2022-12-17,4.4776
2022-12-18,4.4776
2022-12-19,4.3961
2022-12-20,4.4054
2022-12-21,4.4799
2022-12-22,4.3961
2022-12-23,4.424
2022-12-24,4.424
2022-12-25,4.424
2022-12-26,4.424
2022-12-27,4.4264
2022-12-28,4.3402
2022-12-29,4.4939
2022-12-30,4.4655
2022-12-31,4.4655
2023-01-01,4.4655
2023-01-02,4.4655
2023-01-03,4.445
2023-01-04,4.486
2023-01-05,4.445
2023-01-06,4.6135
2023-01-07,4.6135
2023-01-08,4.6135
2023-01-09,4.6363
2023-01-10,4.7023
2023-01-11,4.6682
2023-01-12,4.7137
2023-01-13,4.782
2023-01-14,4.782
2023-01-15,4.782
2023-01-16,4.782
2023-01-17,4.7593
2023-01-18,4.6386
2023-01-19,4.5452
2023-01-20,4.6044
2023-01-21,4.6044
2023-01-22,4.6044
2023-01-23,4.6978
2023-01-24,4.7729
2023-01-25,4.7775
2023-01-26,4.8002
2023-01-27,4.7433
2023-01-28,4.7433
2023-01-29,4.7433
2023-01-30,4.6887
2023-01-31,4.7661
2023-02-01,4.8982
2023-02-02,5.0826
2023-02-03,5.0689
2023-02-04,5.0689
2023-02-05,5.0689
2023-02-06,4.9983
2023-02-07,5.0234
2023-02-08,4.3562
2023-02-09,4.2993
2023-02-10,4.2834
2023-02-11,4.2834
2023-02-12,4.2834
2023-02-13,4.3312
2023-02-14,4.338
2023-02-15,4.4701
2023-02-16,4.4678
2023-02-17,4.4245
2023-02-18,4.4245
2023-02-19,4.4245
2023-02-20,4.4245
2023-02-21,4.3244
2023-02-22,4.3244
2023-02-23,4.3515
2023-02-24,4.3244
2023-02-25,4.3244
2023-02-26,4.3244
2023-02-27,4.356
2023-02-28,4.347
2023-03-01,4.3944
2023-03-02,4.4395
2023-03-03,4.4576
2023-03-04,4.4576
2023-03-05,4.4576
2023-03-06,4.4079
2023-03-07,4.3605
2023-03-08,4.4666
2023-03-09,4.435
2023-03-10,4.3876
2023-03-11,4.3876
2023-03-12,4.3876
2023-03-13,4.3492
