,PLCE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.4894
2020-01-02,14.4462
2020-01-03,14.4462
2020-01-04,14.4462
2020-01-05,14.4462
2020-01-06,14.7069
2020-01-07,14.8739
2020-01-08,14.8019
2020-01-09,14.8696
2020-01-10,15.1374
2020-01-11,15.1374
2020-01-12,15.1374
2020-01-13,15.1389
2020-01-14,15.0957
2020-01-15,14.8739
2020-01-16,14.8926
2020-01-17,14.8105
2020-01-18,14.8105
2020-01-19,14.8105
2020-01-20,14.8105
2020-01-21,14.5211
2020-01-22,14.5542
2020-01-23,14.6536
2020-01-24,14.6205
2020-01-25,14.6205
2020-01-26,14.6205
2020-01-27,14.5038
2020-01-28,14.6795
2020-01-29,14.7861
2020-01-30,14.583
2020-01-31,14.8922
2020-02-01,14.8922
2020-02-02,14.8922
2020-02-03,15.4175
2020-02-04,15.3925
2020-02-05,16.0006
2020-02-06,15.9459
2020-02-07,15.9147
2020-02-08,15.9147
2020-02-09,15.9147
2020-02-10,15.8865
2020-02-11,16.0741
2020-02-12,16.3008
2020-02-13,16.4806
2020-02-14,16.3962
2020-02-15,16.3962
2020-02-16,16.3962
2020-02-17,16.3962
2020-02-18,16.5353
2020-02-19,16.6385
2020-02-20,16.7792
2020-02-21,16.379
2020-02-22,16.379
2020-02-23,16.379
2020-02-24,15.4597
2020-02-25,15.1189
2020-02-26,15.072
2020-02-27,14.7671
2020-02-28,14.5686
2020-02-29,14.5686
2020-03-01,14.5686
2020-03-02,14.0245
2020-03-03,13.5493
2020-03-04,13.8854
2020-03-05,13.2163
2020-03-06,12.9098
2020-03-07,12.9098
2020-03-08,12.9098
2020-03-09,12.4049
2020-03-10,12.2595
2020-03-11,11.4121
2020-03-12,10.8587
2020-03-13,11.4277
2020-03-14,11.4277
2020-03-15,11.4277
2020-03-16,10.041
2020-03-17,8.7372
2020-03-18,7.8445
2020-03-19,8.2572
2020-03-20,8.3114
2020-03-21,8.3114
2020-03-22,8.3114
2020-03-23,8.1533
2020-03-24,8.6984
2020-03-25,8.8806
2020-03-26,8.8339
2020-03-27,8.6954
2020-03-28,8.6954
2020-03-29,8.6954
2020-03-30,8.465
2020-03-31,8.5087
2020-04-01,8.1323
2020-04-02,7.9817
2020-04-03,7.6857
2020-04-04,7.6857
2020-04-05,7.6857
2020-04-06,8.4041
2020-04-07,8.5762
2020-04-08,8.9898
2020-04-09,9.3128
2020-04-10,9.3128
2020-04-11,9.3128
2020-04-12,9.3128
2020-04-13,9.5739
2020-04-14,9.7279
2020-04-15,9.5528
2020-04-16,9.2487
2020-04-17,9.6675
2020-04-18,9.6675
2020-04-19,9.6675
2020-04-20,9.5452
2020-04-21,9.6403
2020-04-22,9.4124
2020-04-23,9.3022
2020-04-24,9.3068
2020-04-25,9.3068
2020-04-26,9.3068
2020-04-27,9.5739
2020-04-28,9.8773
2020-04-29,10.3015
2020-04-30,10.0252
2020-05-01,10.0252
2020-05-02,10.0252
2020-05-03,10.0252
2020-05-04,10.0252
2020-05-05,10.0252
2020-05-06,10.0252
2020-05-07,10.0252
2020-05-08,10.0252
2020-05-09,10.0252
2020-05-10,10.0252
2020-05-11,10.0252
2020-05-12,10.0252
2020-05-13,10.0252
2020-05-14,10.0252
2020-05-15,10.0252
2020-05-16,10.0252
2020-05-17,10.0252
2020-05-18,10.0252
2020-05-19,10.0252
2020-05-20,10.0252
2020-05-21,10.0252
2020-05-22,10.0252
2020-05-23,10.0252
2020-05-24,10.0252
2020-05-25,10.0252
2020-05-26,10.0252
2020-05-27,10.0252
2020-05-28,10.0252
2020-05-29,10.0252
2020-05-30,10.0252
2020-05-31,10.0252
2020-06-01,10.0252
2020-06-02,10.0252
2020-06-03,10.0252
2020-06-04,10.0252
2020-06-05,10.0252
2020-06-06,10.0252
2020-06-07,10.0252
2020-06-08,10.0252
2020-06-09,10.0252
2020-06-10,10.0252
2020-06-11,10.0252
2020-06-12,10.0252
2020-06-13,10.0252
2020-06-14,10.0252
2020-06-15,10.0252
2020-06-16,10.0252
2020-06-17,10.0252
2020-06-18,10.0252
2020-06-19,10.0252
2020-06-20,10.0252
2020-06-21,10.0252
2020-06-22,10.0252
2020-06-23,10.0252
2020-06-24,10.0252
2020-06-25,10.0252
2020-06-26,10.0252
2020-06-27,10.0252
2020-06-28,10.0252
2020-06-29,10.0252
2020-06-30,10.0252
2020-07-01,10.0252
2020-07-02,10.0252
2020-07-03,10.0252
2020-07-04,10.0252
2020-07-05,10.0252
2020-07-06,10.0252
2020-07-07,10.0252
2020-07-08,10.0252
2020-07-09,10.0252
2020-07-10,10.0252
2020-07-11,10.0252
2020-07-12,10.0252
2020-07-13,10.0252
2020-07-14,10.0252
2020-07-15,10.0252
2020-07-16,10.0252
2020-07-17,10.0252
2020-07-18,10.0252
2020-07-19,10.0252
2020-07-20,10.0252
2020-07-21,10.0252
2020-07-22,10.0252
2020-07-23,10.0252
2020-07-24,10.0252
2020-07-25,10.0252
2020-07-26,10.0252
2020-07-27,10.0252
2020-07-28,10.0252
2020-07-29,10.0252
2020-07-30,10.0252
2020-07-31,10.0252
2020-08-01,10.0252
2020-08-02,10.0252
2020-08-03,10.0252
2020-08-04,10.0252
2020-08-05,10.0252
2020-08-06,10.0252
2020-08-07,10.0252
2020-08-08,10.0252
2020-08-09,10.0252
2020-08-10,10.0252
2020-08-11,10.0252
2020-08-12,10.0252
2020-08-13,10.0252
2020-08-14,10.0252
2020-08-15,10.0252
2020-08-16,10.0252
2020-08-17,10.0252
2020-08-18,10.0252
2020-08-19,10.0252
2020-08-20,10.0252
2020-08-21,10.0252
2020-08-22,10.0252
2020-08-23,10.0252
2020-08-24,10.0252
2020-08-25,10.0252
2020-08-26,10.0252
2020-08-27,10.0252
2020-08-28,10.0252
2020-08-29,10.0252
2020-08-30,10.0252
2020-08-31,10.0252
2020-09-01,10.0252
2020-09-02,10.0252
2020-09-03,10.0252
2020-09-04,10.0252
2020-09-05,10.0252
2020-09-06,10.0252
2020-09-07,10.0252
2020-09-08,10.0252
2020-09-09,10.0252
2020-09-10,10.0252
2020-09-11,10.0252
2020-09-12,10.0252
2020-09-13,10.0252
2020-09-14,10.0252
2020-09-15,10.0252
2020-09-16,10.0252
2020-09-17,10.0252
2020-09-18,10.0252
2020-09-19,10.0252
2020-09-20,10.0252
2020-09-21,10.0252
2020-09-22,10.0252
2020-09-23,10.0252
2020-09-24,10.0252
2020-09-25,10.0252
2020-09-26,10.0252
2020-09-27,10.0252
2020-09-28,10.0252
2020-09-29,10.0252
2020-09-30,10.0252
2020-10-01,10.0252
2020-10-02,10.0252
2020-10-03,10.0252
2020-10-04,10.0252
2020-10-05,10.0252
2020-10-06,10.0252
2020-10-07,10.0252
2020-10-08,10.0252
2020-10-09,10.0252
2020-10-10,10.0252
2020-10-11,10.0252
2020-10-12,10.0252
2020-10-13,10.0252
2020-10-14,10.0252
2020-10-15,10.0252
2020-10-16,10.0252
2020-10-17,10.0252
2020-10-18,10.0252
2020-10-19,10.0252
2020-10-20,10.0252
2020-10-21,10.0252
2020-10-22,10.0252
2020-10-23,10.0252
2020-10-24,10.0252
2020-10-25,10.0252
2020-10-26,10.0252
2020-10-27,10.0252
2020-10-28,10.0252
2020-10-29,10.0252
2020-10-30,10.0252
2020-10-31,10.0252
2020-11-01,10.0252
2020-11-02,10.0252
2020-11-03,10.0252
2020-11-04,10.0252
2020-11-05,10.0252
2020-11-06,10.0252
2020-11-07,10.0252
2020-11-08,10.0252
2020-11-09,10.0252
2020-11-10,10.0252
2020-11-11,10.0252
2020-11-12,10.0252
2020-11-13,10.0252
2020-11-14,10.0252
2020-11-15,10.0252
2020-11-16,10.0252
2020-11-17,10.0252
2020-11-18,10.0252
2020-11-19,10.0252
2020-11-20,10.0252
2020-11-21,10.0252
2020-11-22,10.0252
2020-11-23,10.0252
2020-11-24,10.0252
2020-11-25,10.0252
2020-11-26,10.0252
2020-11-27,10.0252
2020-11-28,10.0252
2020-11-29,10.0252
2020-11-30,10.0252
2020-12-01,10.0252
2020-12-02,10.0252
2020-12-03,10.0252
2020-12-04,10.0252
2020-12-05,10.0252
2020-12-06,10.0252
2020-12-07,10.0252
2020-12-08,10.0252
2020-12-09,10.0252
2020-12-10,10.0252
2020-12-11,10.0252
2020-12-12,10.0252
2020-12-13,10.0252
2020-12-14,10.0252
2020-12-15,10.0252
2020-12-16,10.0252
2020-12-17,10.0252
2020-12-18,10.0252
2020-12-19,10.0252
2020-12-20,10.0252
2020-12-21,10.0252
2020-12-22,10.0252
2020-12-23,10.0252
2020-12-24,10.0252
2020-12-25,10.0252
2020-12-26,10.0252
2020-12-27,10.0252
2020-12-28,10.0252
2020-12-29,10.0252
2020-12-30,10.0252
2020-12-31,10.0252
2021-01-01,10.0252
2021-01-02,10.0252
2021-01-03,10.0252
2021-01-04,10.0252
2021-01-05,10.0252
2021-01-06,10.0252
2021-01-07,10.0252
2021-01-08,10.0252
2021-01-09,10.0252
2021-01-10,10.0252
2021-01-11,10.0252
2021-01-12,10.0252
2021-01-13,10.0252
2021-01-14,10.0252
2021-01-15,10.0252
2021-01-16,10.0252
2021-01-17,10.0252
2021-01-18,10.0252
2021-01-19,10.0252
2021-01-20,10.0252
2021-01-21,10.0252
2021-01-22,10.0252
2021-01-23,10.0252
2021-01-24,10.0252
2021-01-25,10.0252
2021-01-26,10.0252
2021-01-27,10.0252
2021-01-28,10.0252
2021-01-29,10.0252
2021-01-30,10.0252
2021-01-31,10.0252
2021-02-01,10.0252
2021-02-02,10.0252
2021-02-03,10.0252
2021-02-04,10.0252
2021-02-05,10.0252
2021-02-06,10.0252
2021-02-07,10.0252
2021-02-08,10.0252
2021-02-09,10.0252
2021-02-10,10.0252
2021-02-11,10.0252
2021-02-12,10.0252
2021-02-13,10.0252
2021-02-14,10.0252
2021-02-15,10.0252
2021-02-16,10.0252
2021-02-17,10.0252
2021-02-18,10.0252
2021-02-19,10.0252
2021-02-20,10.0252
2021-02-21,10.0252
2021-02-22,10.0252
2021-02-23,10.0252
2021-02-24,10.0252
2021-02-25,10.0252
2021-02-26,10.0252
2021-02-27,10.0252
