,ENPH US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,29.5264
2020-01-02,33.3112
2020-01-03,33.2523
2020-01-04,33.2523
2020-01-05,33.2523
2020-01-06,33.6885
2020-01-07,34.0776
2020-01-08,35.2685
2020-01-09,35.9641
2020-01-10,34.8794
2020-01-11,34.8794
2020-01-12,34.8794
2020-01-13,35.0209
2020-01-14,34.3252
2020-01-15,34.2781
2020-01-16,35.068
2020-01-17,35.858
2020-01-18,35.858
2020-01-19,35.858
2020-01-20,35.858
2020-01-21,35.5751
2020-01-22,35.9995
2020-01-23,36.5301
2020-01-24,37.2729
2020-01-25,37.2729
2020-01-26,37.2729
2020-01-27,34.0305
2020-01-28,36.7305
2020-01-29,37.1078
2020-01-30,38.2044
2020-01-31,35.8816
2020-02-01,35.8816
2020-02-02,35.8816
2020-02-03,37.5323
2020-02-04,42.225
2020-02-05,42.2368
2020-02-06,43.9819
2020-02-07,43.581
2020-02-08,43.581
2020-02-09,43.581
2020-02-10,44.2412
2020-02-11,45.4793
2020-02-12,47.6488
2020-02-13,47.4601
2020-02-14,47.1654
2020-02-15,47.1654
2020-02-16,47.1654
2020-02-17,47.1654
2020-02-18,46.0806
2020-02-19,66.1838
2020-02-20,67.976
2020-02-21,68.8404
2020-02-22,68.8404
2020-02-23,68.8404
2020-02-24,64.2953
2020-02-25,59.1212
2020-02-26,60.2723
2020-02-27,56.5816
2020-02-28,56.8308
2020-02-29,56.8308
2020-03-01,56.8308
2020-03-02,59.7145
2020-03-03,60.8657
2020-03-04,62.1711
2020-03-05,65.9923
2020-03-06,61.6726
2020-03-07,61.6726
2020-03-08,61.6726
2020-03-09,50.1971
2020-03-10,52.8197
2020-03-11,48.239
2020-03-12,37.9026
2020-03-13,37.7128
2020-03-14,37.7128
2020-03-15,37.7128
2020-03-16,31.2926
2020-03-17,33.4643
2020-03-18,27.1866
2020-03-19,29.8686
2020-03-20,29.5719
2020-03-21,29.5719
2020-03-22,29.5719
2020-03-23,31.3638
2020-03-24,39.4691
2020-03-25,42.4003
2020-03-26,41.5933
2020-03-27,37.1431
2020-03-28,37.1431
2020-03-29,37.1431
2020-03-30,36.8993
2020-03-31,27.2949
2020-04-01,25.0881
2020-04-02,25.2195
2020-04-03,24.1424
2020-04-04,24.1424
2020-04-05,24.1424
2020-04-06,28.8362
2020-04-07,29.7032
2020-04-08,32.234
2020-04-09,32.3478
2020-04-10,32.3478
2020-04-11,32.3478
2020-04-12,32.3478
2020-04-13,32.1026
2020-04-14,35.2727
2020-04-15,33.7052
2020-04-16,32.9871
