,MSFT US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,23.3293
2020-01-02,23.7788
2020-01-03,23.4709
2020-01-04,23.4709
2020-01-05,23.4709
2020-01-06,23.534
2020-01-07,23.3108
2020-01-08,23.6972
2020-01-09,24.0052
2020-01-10,23.8897
2020-01-11,23.8897
2020-01-12,23.8897
2020-01-13,24.1884
2020-01-14,24.0113
2020-01-15,24.173
2020-01-16,24.6333
2020-01-17,24.7765
2020-01-18,24.7765
2020-01-19,24.7765
2020-01-20,24.7765
2020-01-21,24.6841
2020-01-22,24.561
2020-01-23,24.718
2020-01-24,24.4594
2020-01-25,24.4594
2020-01-26,24.4594
2020-01-27,24.0344
2020-01-28,24.524
2020-01-29,24.8441
2020-01-30,25.5717
2020-01-31,25.1802
2020-02-01,25.1802
2020-02-02,25.1802
2020-02-03,25.8173
2020-02-04,26.6984
2020-02-05,26.6646
2020-02-06,27.2372
2020-02-07,27.2771
2020-02-08,27.2771
2020-02-09,27.2771
2020-02-10,28.0154
2020-02-11,27.3615
2020-02-12,27.403
2020-02-13,27.2495
2020-02-14,27.5012
2020-02-15,27.5012
2020-02-16,27.5012
2020-02-17,27.5012
2020-02-18,27.7898
2020-02-19,27.7975
2020-02-20,27.3584
2020-02-21,26.4635
2020-02-22,26.4635
2020-02-23,26.4635
2020-02-24,25.2815
2020-02-25,24.8487
2020-02-26,25.171
2020-02-27,23.3305
2020-02-28,23.9184
2020-02-29,23.9184
2020-03-01,23.9184
2020-03-02,25.5732
2020-03-03,24.3022
2020-03-04,25.2294
2020-03-05,24.5724
2020-03-06,23.8509
2020-03-07,23.8509
2020-03-08,23.8509
2020-03-09,22.17
2020-03-10,23.7511
2020-03-11,22.6321
2020-03-12,20.3955
2020-03-13,23.4303
2020-03-14,23.4303
2020-03-15,23.4303
2020-03-16,19.8368
2020-03-17,21.5483
2020-03-18,20.6012
2020-03-19,20.9558
2020-03-20,20.133
2020-03-21,20.133
2020-03-22,20.133
2020-03-23,19.9227
2020-03-24,21.82
2020-03-25,21.6021
2020-03-26,23.0128
2020-03-27,22.0288
2020-03-28,22.0288
2020-03-29,22.0288
2020-03-30,23.6452
2020-03-31,21.9553
2020-04-01,21.1392
2020-04-02,21.5982
2020-04-03,21.3899
2020-04-04,21.3899
2020-04-05,21.3899
2020-04-06,23.0569
2020-04-07,22.7976
2020-04-08,23.0365
2020-04-09,23.038
2020-04-10,23.038
2020-04-11,23.038
2020-04-12,23.038
2020-04-13,23.0919
2020-04-14,24.2854
2020-04-15,24.0202
2020-04-16,24.7721
2020-04-17,24.9994
2020-04-18,24.9994
2020-04-19,24.9994
2020-04-20,24.4836
2020-04-21,23.4285
2020-04-22,24.2592
2020-04-23,23.9531
2020-04-24,24.4093
2020-04-25,24.4093
2020-04-26,24.4093
2020-04-27,24.3364
2020-04-28,23.7185
2020-04-29,24.7521
2020-04-30,25.0107
2020-05-01,24.3366
2020-05-02,24.3366
2020-05-03,24.3366
2020-05-04,24.957
2020-05-05,25.2359
2020-05-06,25.4945
2020-05-07,25.6485
2020-05-08,25.8055
2020-05-09,25.8055
2020-05-10,25.8055
2020-05-11,26.1048
2020-05-12,25.4902
2020-05-13,25.0892
2020-05-14,25.2025
2020-05-15,25.5846
2020-05-16,25.5846
2020-05-17,25.5846
2020-05-18,25.8389
2020-05-19,25.6529
2020-05-20,25.9478
2020-05-21,25.6238
2020-05-22,25.6355
2020-05-23,25.6355
2020-05-24,25.6355
2020-05-25,25.6355
2020-05-26,25.3536
2020-05-27,25.3885
2020-05-28,25.3289
2020-05-29,25.5977
2020-05-30,25.5977
2020-05-31,25.5977
2020-06-01,25.5367
2020-06-02,25.8389
2020-06-03,25.9043
2020-06-04,25.5498
2020-06-05,26.1716
2020-06-06,26.1716
2020-06-07,26.1716
2020-06-08,26.3401
2020-06-09,26.5494
2020-06-10,27.5722
2020-06-11,26.0365
2020-06-12,26.2501
2020-06-13,26.2501
2020-06-14,26.2501
2020-06-15,26.4244
2020-06-16,27.0971
2020-06-17,27.1944
2020-06-18,27.4967
2020-06-19,27.3267
2020-06-20,27.3267
2020-06-21,27.3267
2020-06-22,28.1141
2020-06-23,28.3088
2020-06-24,27.7175
2020-06-25,28.0807
2020-06-26,27.4981
2020-06-27,27.4981
2020-06-28,27.4981
2020-06-29,27.8047
2020-06-30,27.9861
2020-07-01,28.1557
2020-07-02,28.3781
2020-07-03,28.3781
2020-07-04,28.3781
2020-07-05,28.3781
2020-07-06,29.011
2020-07-07,28.6618
2020-07-08,29.3146
2020-07-09,29.527
2020-07-10,29.4343
2020-07-11,29.4343
2020-07-12,29.4343
2020-07-13,28.4936
2020-07-14,28.676
2020-07-15,28.6318
2020-07-16,28.0445
2020-07-17,27.8963
2020-07-18,27.8963
2020-07-19,27.8963
2020-07-20,29.1393
2020-07-21,28.733
2020-07-22,29.1111
2020-07-23,27.8005
2020-07-24,27.624
2020-07-25,27.624
2020-07-26,27.624
2020-07-27,27.9869
2020-07-28,27.7265
2020-07-29,28.0168
2020-07-30,27.994
2020-07-31,28.1391
2020-08-01,28.1391
2020-08-02,28.1391
2020-08-03,29.7792
2020-08-04,29.3169
2020-08-05,29.2671
2020-08-06,29.7522
2020-08-07,29.2017
2020-08-08,29.2017
2020-08-09,29.2017
2020-08-10,28.6
2020-08-11,27.9072
2020-08-12,28.7337
2020-08-13,28.664
2020-08-14,28.6924
2020-08-15,28.6924
2020-08-16,28.6924
2020-08-17,28.8887
2020-08-18,29.0608
2020-08-19,28.8062
2020-08-20,29.5004
2020-08-21,29.2785
2020-08-22,29.2785
2020-08-23,29.2785
2020-08-24,29.3738
2020-08-25,29.7692
2020-08-26,30.4349
2020-08-27,31.2073
2020-08-28,31.5388
2020-08-29,31.5388
2020-08-30,31.5388
2020-08-31,31.058
2020-09-01,31.3055
2020-09-02,31.9285
2020-09-03,29.8873
2020-09-04,29.4534
2020-09-05,29.4534
2020-09-06,29.4534
2020-09-07,29.4534
2020-09-08,27.8048
2020-09-09,29.0324
2020-09-10,28.1903
2020-09-11,27.9997
2020-09-12,27.9997
2020-09-13,27.9997
2020-09-14,28.196
2020-09-15,28.6753
2020-09-16,28.1448
2020-09-17,27.8404
2020-09-18,27.4819
2020-09-19,27.4819
2020-09-20,27.4819
2020-09-21,27.7877
2020-09-22,28.4819
2020-09-23,27.5104
2020-09-24,27.8802
2020-09-25,28.5388
2020-09-26,28.5388
2020-09-27,28.5388
2020-09-28,28.7692
2020-09-29,28.4591
2020-09-30,27.2535
2020-10-01,27.5393
2020-10-02,26.6979
2020-10-03,26.6979
2020-10-04,26.6979
2020-10-05,27.2602
2020-10-06,26.6604
2020-10-07,27.1864
2020-10-08,27.287
2020-10-09,27.9889
2020-10-10,27.9889
2020-10-11,27.9889
2020-10-12,28.739
2020-10-13,28.9349
2020-10-14,28.6665
2020-10-15,28.5055
2020-10-16,28.5055
2020-10-17,28.5055
2020-10-18,28.5055
2020-10-19,27.7572
2020-10-20,27.8148
2020-10-21,27.8349
2020-10-22,27.847
2020-10-23,28.0267
2020-10-24,28.0267
2020-10-25,28.0267
2020-10-26,27.202
2020-10-27,27.6183
