,CVI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,8.5197
2020-01-02,8.5527
2020-01-03,8.5111
2020-01-04,8.5111
2020-01-05,8.5111
2020-01-06,8.4608
2020-01-07,8.5683
2020-01-08,8.4521
2020-01-09,8.5267
2020-01-10,8.492
2020-01-11,8.492
2020-01-12,8.492
2020-01-13,8.5041
2020-01-14,8.3707
2020-01-15,8.2372
2020-01-16,8.1523
2020-01-17,8.0015
2020-01-18,8.0015
2020-01-19,8.0015
2020-01-20,8.0015
2020-01-21,7.9443
2020-01-22,7.9547
2020-01-23,7.8628
2020-01-24,7.7987
2020-01-25,7.7987
2020-01-26,7.7987
2020-01-27,7.5508
2020-01-28,7.6583
2020-01-29,7.5266
2020-01-30,7.6306
2020-01-31,7.511
2020-02-01,7.511
2020-02-02,7.511
2020-02-03,7.4434
2020-02-04,7.3498
2020-02-05,7.5179
2020-02-06,7.3428
2020-02-07,7.3896
2020-02-08,7.3896
2020-02-09,7.3896
2020-02-10,7.5474
2020-02-11,7.589
2020-02-12,7.5162
2020-02-13,7.4312
2020-02-14,7.3758
2020-02-15,7.3758
2020-02-16,7.3758
2020-02-17,7.3758
2020-02-18,7.2718
2020-02-19,7.4364
2020-02-20,7.5907
2020-02-21,7.4867
2020-02-22,7.4867
2020-02-23,7.4867
2020-02-24,7.225
2020-02-25,7.0187
2020-02-26,6.7258
2020-02-27,6.6062
2020-02-28,6.4381
2020-02-29,6.4381
2020-03-01,6.4381
2020-03-02,6.3462
2020-03-03,6.1677
2020-03-04,6.0654
2020-03-05,5.7621
2020-03-06,5.7222
2020-03-07,5.7222
2020-03-08,5.7222
2020-03-09,5.1745
2020-03-10,5.093
2020-03-11,4.7585
2020-03-12,4.1536
2020-03-13,5.1173
2020-03-14,5.1173
2020-03-15,5.1173
2020-03-16,4.6233
2020-03-17,4.8885
2020-03-18,4.7984
2020-03-19,4.9457
2020-03-20,4.9942
2020-03-21,4.9942
2020-03-22,4.9942
2020-03-23,4.3668
2020-03-24,4.1709
2020-03-25,4.1987
2020-03-26,4.5159
2020-03-27,4.1397
2020-03-28,4.1397
2020-03-29,4.1397
2020-03-30,4.2351
2020-03-31,10.0202
2020-04-01,9.3606
2020-04-02,9.3289
2020-04-03,9.2266
2020-04-04,9.2266
2020-04-05,9.2266
2020-04-06,9.8827
2020-04-07,10.373
2020-04-08,10.8315
2020-04-09,10.5494
2020-04-10,10.5494
2020-04-11,10.5494
2020-04-12,10.5494
2020-04-13,10.6799
2020-04-14,10.7681
2020-04-15,10.2919
2020-04-16,9.8933
2020-04-17,10.6552
2020-04-18,10.6552
2020-04-19,10.6552
2020-04-20,10.6763
2020-04-21,10.433
2020-04-22,10.4118
2020-04-23,10.9444
2020-04-24,10.8174
2020-04-25,10.8174
2020-04-26,10.8174
2020-04-27,11.4594
2020-04-28,11.7557
2020-04-29,12.5282
2020-04-30,12.6023
2020-05-01,11.4594
2020-05-02,11.4594
2020-05-03,11.4594
2020-05-04,12.0979
2020-05-05,11.7381
2020-05-06,11.3889
2020-05-07,11.2407
2020-05-08,11.925
2020-05-09,11.925
2020-05-10,11.925
2020-05-11,11.6534
