,LH US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,17.4535
2020-01-02,17.3301
2020-01-03,17.3119
2020-01-04,17.3119
2020-01-05,17.3119
2020-01-06,17.4717
2020-01-07,17.4527
2020-01-08,17.7944
2020-01-09,17.8725
2020-01-10,18.0674
2020-01-11,18.0674
2020-01-12,18.0674
2020-01-13,18.1871
2020-01-14,18.2725
2020-01-15,18.1148
2020-01-16,18.0791
2020-01-17,18.025
2020-01-18,18.025
2020-01-19,18.025
2020-01-20,18.025
2020-01-21,18.217
2020-01-22,18.2119
2020-01-23,18.2272
2020-01-24,18.0382
2020-01-25,18.0382
2020-01-26,18.0382
2020-01-27,18.0608
2020-01-28,18.2864
2020-01-29,18.2426
2020-01-30,18.1739
2020-01-31,17.9082
2020-02-01,17.9082
2020-02-02,17.9082
2020-02-03,18.1404
2020-02-04,18.4272
2020-02-05,18.5594
2020-02-06,18.5273
2020-02-07,18.4141
2020-02-08,18.4141
2020-02-09,18.4141
2020-02-10,18.5046
2020-02-11,18.6908
2020-02-12,18.7922
2020-02-13,19.3193
2020-02-14,19.3594
2020-02-15,19.3594
2020-02-16,19.3594
2020-02-17,19.3594
2020-02-18,19.0426
2020-02-19,18.9667
2020-02-20,18.8871
2020-02-21,18.9419
2020-02-22,18.9419
2020-02-23,18.9419
2020-02-24,18.7951
2020-02-25,18.5732
2020-02-26,18.5068
2020-02-27,18.4331
2020-02-28,17.9558
2020-02-29,17.9558
2020-03-01,17.9558
2020-03-02,18.8533
2020-03-03,18.3472
2020-03-04,19.0925
2020-03-05,18.7853
2020-03-06,18.2499
2020-03-07,18.2499
2020-03-08,18.2499
2020-03-09,17.9851
2020-03-10,17.5916
2020-03-11,16.7343
2020-03-12,15.1177
2020-03-13,16.1513
2020-03-14,16.1513
2020-03-15,16.1513
2020-03-16,14.022
2020-03-17,14.2063
2020-03-18,12.987
2020-03-19,13.4807
2020-03-20,12.9489
2020-03-21,12.9489
2020-03-22,12.9489
2020-03-23,12.7353
2020-03-24,13.7192
2020-03-25,14.0885
2020-03-26,15.1294
2020-03-27,14.5194
2020-03-28,14.5194
2020-03-29,14.5194
2020-03-30,14.7564
2020-03-31,23.3222
2020-04-01,22.1087
2020-04-02,22.0618
2020-04-03,21.7419
2020-04-04,21.7419
2020-04-05,21.7419
2020-04-06,23.2943
2020-04-07,24.1286
2020-04-08,25.0422
2020-04-09,25.7106
2020-04-10,25.7106
2020-04-11,25.7106
2020-04-12,25.7106
2020-04-13,24.9581
2020-04-14,25.4594
